PRCP       028004 18891201 20180131 missing_value=99999.9 PALMERVILLE                               
19340801 19340831     0.0
19340901 19340930     1.5
19341001 19341031    14.5
19341101 19341130    61.7
19341201 19341231    55.7
19350101 19350131   125.4
19350201 19350228   191.0
19350301 19350331   269.6
19350401 19350430     6.1
19350501 19350531    48.8
19350601 19350630     9.2
19350701 19350731     4.6
19350801 19350831     0.0
19350901 19350930     0.0
19351001 19351031    11.2
19351101 19351130    25.7
19351201 19351231    41.9
19360101 19360131   245.4
19360201 19360229   299.3
19360301 19360331   276.2
19360401 19360430    83.9
19360501 19360531     6.6
19360601 19360630    28.5
19360701 19360731     2.3
19360801 19360831     0.0
19360901 19360930     6.9
19361001 19361031    11.1
19361101 19361130    36.8
19361201 19361231   142.0
19370101 19370131   182.7
19370201 19370228   162.6
19370301 19370331   241.1
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630     0.0
19370701 19370731     7.9
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031     4.6
19371101 19371130    84.8
19371201 19371231    97.5
19380101 19380131   293.0
19380201 19380228   280.5
19380301 19380331    51.9
19380401 19380430    59.1
19380501 19380531     5.0
19380601 19380630     1.8
19380701 19380731    56.7
19380801 19380831     3.6
19380901 19380930     0.0
19381001 19381031    35.1
19381101 19381130   113.4
19381201 19381231     2.5
19390101 19390131   150.5
19390201 19390228   315.2
19390301 19390331   226.5
19390401 19390430    95.6
19390501 19390531     2.1
19390601 19390630    36.4
19390701 19390731     0.0
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031    37.4
19391101 19391130   140.6
19391201 19391231    80.0
19400101 19400131   221.2
19400201 19400229   375.5
19400301 19400331   226.4
19400401 19400430    43.9
19400501 19400531     7.4
19400601 19400630     3.6
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    69.4
19401201 19401231    15.2
19410101 19410131   246.0
19410201 19410228   158.3
19410301 19410331   188.8
19410401 19410430    17.0
19410501 19410531    14.0
19410601 19410630     1.3
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130    49.3
19411201 19411231    48.0
19420101 19420131     2.5
19420201 19420228   288.8
19420301 19420331     3.8
19420401 19420430    37.7
19420501 19420531     1.3
19420601 19420630     5.6
19420701 19420731    29.2
19420801 19420831     1.0
19420901 19420930     0.0
19421001 19421031    32.0
19421101 19421130    22.8
19421201 19421231   294.9
19430101 19430131   106.5
19430201 19430228   445.6
19430301 19430331   161.9
19430401 19430430    14.5
19430501 19430531     1.0
19430601 19430630    42.1
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930    40.9
19431001 19431031    10.9
19431101 19431130     8.7
19431201 19431231   111.6
19440101 19440131   322.7
19440201 19440229   533.1
19440301 19440331   212.7
19440401 19440430    10.6
19440501 19440531     0.0
19440601 19440630    30.0
19440701 19440731    55.6
19440801 19440831     6.4
19440901 19440930     0.3
19441001 19441031     1.5
19441101 19441130     1.3
19441201 19441231   203.9
19450101 19450131   180.3
19450201 19450228   227.2
19450301 19450331   322.9
19450401 19450430   122.0
19450501 19450531    16.3
19450601 19450630     2.1
19450701 19450731     0.0
19450801 19450831     0.0
19450901 19450930     0.8
19451001 19451031     7.1
19451101 19451130     3.6
19451201 19451231    69.3
19460101 19460131   343.4
19460201 19460228   228.5
19460301 19460331   110.0
19460401 19460430     9.0
19460501 19460531     5.8
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.8
19461101 19461130     7.1
19461201 19461231   194.5
19470101 19470131   167.4
19470201 19470228   220.9
19470301 19470331   177.2
19470401 19470430     0.0
19470501 19470531     0.8
19470601 19470630    26.7
19470701 19470731     0.0
19470801 19470831    92.7
19470901 19470930    97.5
19471001 19471031     3.8
19471101 19471130    20.4
19471201 19471231   124.6
19480101 19480131   270.6
19480201 19480229   126.2
19480301 19480331   105.2
19480401 19480430   159.0
19480501 19480531     3.0
19480601 19480630     1.6
19480701 19480731    13.7
19480801 19480831     0.3
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130   125.0
19481201 19481231   168.4
19490101 19490131   349.0
19490201 19490228   289.2
19490301 19490331   250.5
19490401 19490430    46.2
19490501 19490531     0.5
19490601 19490630     0.5
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031    11.4
19491101 19491130   115.9
19491201 19491231   363.8
19500101 19500131   180.2
19500201 19500228    99.3
19500301 19500331    98.3
19500401 19500430    56.2
19500501 19500531     6.4
19500601 19500630    45.7
19500701 19500731    44.5
19500801 19500831     0.8
19500901 19500930     0.3
19501001 19501031    29.5
19501101 19501130   123.2
19501201 19501231   303.7
19510101 19510131   244.7
19510201 19510228   276.4
19510301 19510331    42.5
19510401 19510430     0.0
19510501 19510531     6.1
19510601 19510630     0.0
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     2.3
19511001 19511031     1.3
19511101 19511130    40.5
19511201 19511231    54.8
19520101 19520131   146.5
19520201 19520229    99.8
19520301 19520331    58.9
19520401 19520430     5.8
19520501 19520531     3.4
19520601 19520630    24.7
19520701 19520731     0.8
19520801 19520831     0.3
19520901 19520930     0.0
19521001 19521031    14.0
19521101 19521130   187.2
19521201 19521231   194.0
19530101 19530131   365.2
19530201 19530228   232.8
19530301 19530331    59.5
19530401 19530430    11.4
19530501 19530531     5.5
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    14.2
19530901 19530930     0.0
19531001 19531031    22.4
19531101 19531130    16.5
19531201 19531231   121.1
19540101 19540131   348.2
19540201 19540228   191.1
19540301 19540331   193.3
19540401 19540430    80.8
19540501 19540531     9.6
19540601 19540630     0.8
19540701 19540731     4.6
19540801 19540831     0.8
19540901 19540930     0.0
19541001 19541031    34.1
19541101 19541130    74.3
19541201 19541231    26.9
19550101 19550131   245.2
19550201 19550228   311.7
19550301 19550331   501.5
19550401 19550430    39.5
19550501 19550531    11.3
19550601 19550630     3.6
19550701 19550731     0.0
19550801 19550831     0.0
19550901 19550930     0.3
19551001 19551031    47.7
19551101 19551130    14.2
19551201 19551231   133.6
19560101 19560131   369.1
19560201 19560229   369.4
19560301 19560331   165.2
19560401 19560430    39.2
19560501 19560531    90.2
19560601 19560630    19.0
19560701 19560731     0.0
19560801 19560831    12.7
19560901 19560930    81.6
19561001 19561031    13.8
19561101 19561130   100.2
19561201 19561231   191.2
19570101 19570131   261.3
19570201 19570228   272.6
19570301 19570331   263.4
19570401 19570430    39.4
19570501 19570531    22.7
19570601 19570630     1.8
19570701 19570731     0.0
19570801 19570831     5.8
19570901 19570930     0.3
19571001 19571031    15.2
19571101 19571130    82.0
19571201 19571231    22.8
19580101 19580131   364.3
19580201 19580228   291.3
19580301 19580331   123.4
19580401 19580430    51.9
19580501 19580531     1.8
19580601 19580630     8.9
19580701 19580731     0.0
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031     4.9
19581101 19581130    60.7
19581201 19581231    77.5
19590101 19590131   263.7
19590201 19590228   233.3
19590301 19590331   118.2
19590401 19590430    25.7
19590501 19590531    19.5
19590601 19590630     0.5
19590701 19590731     6.8
19590801 19590831     0.5
19590901 19590930     0.5
19591001 19591031     2.5
19591101 19591130    53.3
19591201 19591231   234.9
19600101 19600131   104.0
19600201 19600229   267.2
19600301 19600331    91.8
19600401 19600430    11.5
19600501 19600531   170.9
19600601 19600630     4.4
19600701 19600731     0.5
19600801 19600831     0.3
19600901 19600930    12.4
19601001 19601031    40.9
19601101 19601130   154.4
19601201 19601231   161.6
19610101 19610131   125.3
19610201 19610228   161.1
19610301 19610331   226.7
19610401 19610430    11.2
19610501 19610531     7.9
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     1.3
19610901 19610930     2.3
19611001 19611031     5.0
19611101 19611130    58.6
19611201 19611231   218.1
19620101 19620131   371.4
19620201 19620228   417.6
19620301 19620331    81.8
19620401 19620430    32.2
19620501 19620531     7.9
19620601 19620630     4.3
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930    21.6
19621001 19621031     0.0
19621101 19621130    59.2
19621201 19621231   224.3
19630101 19630131   345.4
19630201 19630228   463.0
19630301 19630331   114.5
19630401 19630430    91.0
19630501 19630531     2.6
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     1.0
19630901 19630930     0.0
19631001 19631031     3.5
19631101 19631130    11.2
19631201 19631231   146.6
19640101 19640131   319.0
19640201 19640229   223.7
19640301 19640331   612.4
19640401 19640430    50.5
19640501 19640531     7.2
19640601 19640630    28.8
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930    10.2
19641001 19641031    57.0
19641101 19641130   190.5
19641201 19641231    70.7
19650101 19650131   244.3
19650201 19650228   148.6
19650301 19650331   209.6
19650401 19650430    64.6
19650501 19650531    32.3
19650601 19650630    72.7
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130    11.2
19651201 19651231   119.9
19660101 19660131   130.6
19660201 19660228   185.1
19660301 19660331    33.9
19660401 19660430     6.4
19660501 19660531     1.5
19660601 19660630     1.3
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031     1.0
19661101 19661130    66.1
19661201 19661231    22.4
19670101 19670131   105.7
19670201 19670228   279.6
19670301 19670331   304.0
19670401 19670430     8.7
19670501 19670531     2.1
19670601 19670630    93.7
19670701 19670731     0.3
19670801 19670831    11.9
19670901 19670930     0.0
19671001 19671031    16.8
19671101 19671130    50.9
19671201 19671231   202.1
19680101 19680131   352.1
19680201 19680229   278.9
19680301 19680331   105.1
19680401 19680430    22.7
19680501 19680531     8.2
19680601 19680630     0.0
19680701 19680731    17.8
19680801 19680831     0.0
19680901 19680930     0.0
19681001 19681031    32.0
19681101 19681130    22.6
19681201 19681231   236.5
19690101 19690131   217.1
19690201 19690228    77.2
19690301 19690331   151.6
19690401 19690430    16.5
19690501 19690531    13.3
19690601 19690630    19.2
19690701 19690731    16.1
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     3.3
19691101 19691130     9.4
19691201 19691231   225.7
19700101 19700131   220.1
19700201 19700228   252.4
19700301 19700331   153.6
19700401 19700430    18.3
19700501 19700531     0.0
19700601 19700630     0.8
19700701 19700731     0.0
19700801 19700831    64.5
19700901 19700930     0.0
19701001 19701031    22.9
19701101 19701130    51.3
19701201 19701231   183.2
19710101 19710131   234.7
19710201 19710228   497.6
19710301 19710331   213.2
19710401 19710430    98.0
19710501 19710531     6.9
19710601 19710630    18.9
19710701 19710731    17.3
19710801 19710831     0.0
19710901 19710930     0.0
19711001 19711031    25.7
19711101 19711130    51.1
19711201 19711231   105.8
19720101 19720131   145.4
19720201 19720229   355.2
19720301 19720331   325.7
19720401 19720430    30.8
19720501 19720531    58.7
19720601 19720630    16.5
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     1.8
19721001 19721031     0.0
19721101 19721130    39.9
19721201 19721231    25.8
19730101 19730131   190.3
19730201 19730228   518.1
19730301 19730331   135.6
19730401 19730430    45.9
19730501 19730531     2.5
19730601 19730630     0.0
19730701 19730731     1.3
19730801 19730831     0.5
19730901 19730930    24.9
19731001 19731031    45.2
19731101 19731130   317.0
19731201 19731231   313.2
19740101 19740131   473.2
19740201 19740228   400.0
19740301 19740331   350.0
19740401 19740430     4.2
19740501 19740531    11.0
19740601 19740630     1.0
19740701 19740731     0.0
19740801 19740831    13.0
19740901 19740930     0.0
19741001 19741031    13.8
19741101 19741130    73.0
19741201 19741231   149.6
19750101 19750131   440.2
19750201 19750228   161.8
19750301 19750331   222.2
19750401 19750430    72.2
19750501 19750531     5.6
19750601 19750630    13.2
19750701 19750731     0.8
19750801 19750831     4.8
19750901 19750930    70.8
19751001 19751031    21.6
19751101 19751130    30.8
19751201 19751231   328.8
19760101 19760131   332.4
19760201 19760229   224.8
19760301 19760331   416.0
19760401 19760430    30.6
19760501 19760531    18.2
19760601 19760630     5.4
19760701 19760731     0.0
19760801 19760831     8.2
19760901 19760930     0.0
19761001 19761031     3.2
19761101 19761130   104.0
19761201 19761231   289.5
19770101 19770131   205.6
19770201 19770228   542.8
19770301 19770331   329.4
19770401 19770430   124.8
19770501 19770531    32.0
19770601 19770630    21.4
19770701 19770731     0.0
19770801 19770831     0.8
19770901 19770930     1.6
19771001 19771031     0.0
19771101 19771130    30.6
19771201 19771231    95.1
19780101 19780131   127.0
19780201 19780228   140.6
19780301 19780331    35.2
19780401 19780430   101.2
19780501 19780531    57.4
19780601 19780630     0.0
19780701 19780731     6.0
19780801 19780831     0.0
19780901 19780930     0.0
19781001 19781031    20.6
19781101 19781130    39.8
19781201 19781231   203.6
19790101 19790131   813.2
19790201 19790228   310.6
19790301 19790331   256.2
19790401 19790430    99.4
19790501 19790531     0.0
19790601 19790630    46.0
19790701 19790731     2.4
19790801 19790831     0.0
19790901 19790930     0.0
19791001 19791031    23.8
19791101 19791130     4.2
19791201 19791231    18.0
19800101 19800131   186.0
19800201 19800229   163.4
19800301 19800331   222.4
19800401 19800430    39.1
19800501 19800531    10.4
19800601 19800630     2.6
19800701 19800731     0.0
19800801 19800831     1.4
19800901 19800930     0.0
19801001 19801031     8.2
19801101 19801130     1.6
19801201 19801231   172.6
19810101 19810131   388.0
19810201 19810228   493.6
19810301 19810331    41.6
19810401 19810430    28.6
19810501 19810531    55.4
19810601 19810630     9.4
19810701 19810731     0.8
19810801 19810831     0.0
19810901 19810930     0.0
19811001 19811031    44.0
19811101 19811130    72.2
19811201 19811231   121.0
19820101 19820131   109.2
19820201 19820228    94.6
19820301 19820331   128.6
19820401 19820430    70.9
19820501 19820531     1.4
19820601 19820630     8.0
19820701 19820731     0.2
19820801 19820831     2.4
19820901 19820930     2.4
19821001 19821031     0.0
19821101 19821130    41.0
19821201 19821231   122.0
19830101 19830131    75.2
19830201 19830228   112.0
19830301 19830331   231.4
19830401 19830430   228.8
19830501 19830531    41.0
19830601 19830630    10.4
19830701 19830731     0.4
19830801 19830831     4.0
19830901 19830930     0.2
19831001 19831031     3.6
19831101 19831130   102.6
19831201 19831231   135.6
19840101 19840131   379.8
19840201 19840229   352.2
19840301 19840331    33.4
19840401 19840430    30.6
19840501 19840531    22.8
19840601 19840630     0.0
19840701 19840731     0.0
19840801 19840831     0.0
19840901 19840930     9.6
19841001 19841031     0.0
19841101 19841130    69.1
19841201 19841231   198.8
19850101 19850131    97.8
19850201 19850228    92.6
19850301 19850331   190.8
