PRCP       055063 18920401 20080131 missing_value=99999.9 WILLOW TREE (MAIN STREET)                 
19310801 19310831    34.6
19310901 19310930    18.7
19311001 19311031    13.5
19311101 19311130    82.8
19311201 19311231    95.1
19320101 19320131    39.8
19320201 19320229    35.8
19320301 19320331   142.6
19320401 19320430    44.6
19320501 19320531    15.3
19320601 19320630    22.8
19320701 19320731    48.7
19320801 19320831    32.3
19320901 19320930   110.8
19321001 19321031    35.0
19321101 19321130    45.2
19321201 19321231    39.3
19330101 19330131   101.7
19330201 19330228    11.6
19330301 19330331    21.1
19330401 19330430    36.1
19330501 19330531    41.1
19330601 19330630    36.8
19330701 19330731   106.5
19330801 19330831     9.4
19330901 19330930    68.6
19331001 19331031    84.2
19331101 19331130   111.1
19331201 19331231   104.8
19340101 19340131    48.7
19340201 19340228   119.4
19340301 19340331     0.0
19340401 19340430    16.9
19340501 19340531     4.6
19340601 19340630    40.5
19340701 19340731    86.5
19340801 19340831    85.3
19340901 19340930    71.9
19341001 19341031   125.4
19341101 19341130    46.9
19341201 19341231   108.9
19350101 19350131    67.2
19350201 19350228    38.7
19350301 19350331    16.2
19350401 19350430    30.3
19350501 19350531     9.9
19350601 19350630     3.6
19350701 19350731    47.1
19350801 19350831    26.2
19350901 19350930    38.2
19351001 19351031    91.2
19351101 19351130    10.3
19351201 19351231    46.0
19360101 19360131    62.9
19360201 19360229    89.8
19360301 19360331   111.9
19360401 19360430    28.4
19360501 19360531    34.1
19360601 19360630    23.1
19360701 19360731    98.0
19360801 19360831    58.1
19360901 19360930    56.4
19361001 19361031     6.8
19361101 19361130     0.7
19361201 19361231    86.9
19370101 19370131   105.8
19370201 19370228    32.8
19370301 19370331    35.9
19370401 19370430    15.3
19370501 19370531    19.0
19370601 19370630    49.6
19370701 19370731    34.4
19370801 19370831    51.8
19370901 19370930    28.0
19371001 19371031    39.7
19371101 19371130    53.7
19371201 19371231    52.2
19380101 19380131    29.4
19380201 19380228    56.5
19380301 19380331    26.3
19380401 19380430    71.4
19380501 19380531    43.0
19380601 19380630    28.7
19380701 19380731    54.1
19380801 19380831    58.4
19380901 19380930    16.8
19381001 19381031    71.7
19381101 19381130    46.6
19381201 19381231     6.8
19390101 19390131    60.0
19390201 19390228     1.3
19390301 19390331   102.3
19390401 19390430    35.5
19390501 19390531     1.9
19390601 19390630    31.7
19390701 19390731    19.8
19390801 19390831    58.3
19390901 19390930     4.9
19391001 19391031    42.6
19391101 19391130    51.0
19391201 19391231    28.2
19400101 19400131     3.1
19400201 19400229    10.2
19400301 19400331    41.2
19400401 19400430    92.6
19400501 19400531     0.5
19400601 19400630     3.9
19400701 19400731     1.6
19400801 19400831    32.7
19400901 19400930    40.3
19401001 19401031    20.8
19401101 19401130    34.1
19401201 19401231   121.7
19410101 19410131   252.3
19410201 19410228    29.9
19410301 19410331    95.3
19410401 19410430    12.4
19410501 19410531    30.7
19410601 19410630    95.5
19410701 19410731    25.9
19410801 19410831    30.8
19410901 19410930    34.8
19411001 19411031    80.3
19411101 19411130    28.9
19411201 19411231     9.2
19420101 19420131    29.0
19420201 19420228    58.9
19420301 19420331    56.2
19420401 19420430     0.0
19420501 19420531    52.5
19420601 19420630    72.1
19420701 19420731   152.3
19420801 19420831    24.7
19420901 19420930    48.5
19421001 19421031    79.5
19421101 19421130    96.8
19421201 19421231    44.3
19430101 19430131   143.5
19430201 19430228    52.4
19430301 19430331     0.0
19430401 19430430    37.1
19430501 19430531    45.2
19430601 19430630    41.3
19430701 19430731    27.4
19430801 19430831    33.9
19430901 19430930    60.3
19431001 19431031    57.4
19431101 19431130    80.3
19431201 19431231    81.0
19440101 19440131   104.3
19440201 19440229   105.5
19440301 19440331    27.4
19440401 19440430    36.4
19440501 19440531    89.7
19440601 19440630    16.8
19440701 19440731    44.0
19440801 19440831   100.8
19440901 19440930    21.4
19441001 19441031     6.1
19441101 19441130    30.5
19441201 19441231    19.8
19450101 19450131   144.2
19450201 19450228    54.3
19450301 19450331    38.4
19450401 19450430    46.5
19450501 19450531    99.0
19450601 19450630   120.3
19450701 19450731    28.7
19450801 19450831    81.3
19450901 19450930     0.0
19451001 19451031    60.2
19451101 19451130    44.7
19451201 19451231    29.0
19460101 19460131    58.5
19460201 19460228     1.8
19460301 19460331    40.1
19460401 19460430    34.0
19460501 19460531    15.7
19460601 19460630    35.0
19460701 19460731     9.4
19460801 19460831     1.8
19460901 19460930    30.8
19461001 19461031    12.6
19461101 19461130    24.1
19461201 19461231    80.3
19470101 19470131    30.0
19470201 19470228    85.5
19470301 19470331    12.7
19470401 19470430    56.6
19470501 19470531    39.9
19470601 19470630    24.9
19470701 19470731    45.4
19470801 19470831    44.2
19470901 19470930    57.5
19471001 19471031   113.2
19471101 19471130    83.6
19471201 19471231   194.7
19480101 19480131    54.5
19480201 19480229    28.7
19480301 19480331    69.9
19480401 19480430    31.4
19480501 19480531    20.3
19480601 19480630    88.1
19480701 19480731    28.0
19480801 19480831    10.4
19480901 19480930    61.4
19481001 19481031    17.4
19481101 19481130    32.7
19481201 19481231    83.4
19490101 19490131    77.8
19490201 19490228   133.8
19490301 19490331    22.7
19490401 19490430    64.6
19490501 19490531    21.0
19490601 19490630    80.5
19490701 19490731    31.6
19490801 19490831    17.2
19490901 19490930   149.0
19491001 19491031   148.4
19491101 19491130    96.3
19491201 19491231    28.9
19500101 19500131   128.3
19500201 19500228   129.0
19500301 19500331     6.4
19500401 19500430   240.0
19500501 19500531    57.7
19500601 19500630   119.9
19500701 19500731   150.7
19500801 19500831    34.7
19500901 19500930    47.7
19501001 19501031   183.2
19501101 19501130   145.6
19501201 19501231    13.2
19510101 19510131   106.0
19510201 19510228    43.7
19510301 19510331    12.5
19510401 19510430    15.5
19510501 19510531    19.8
19510601 19510630    90.8
19510701 19510731    56.1
19510801 19510831    72.3
19510901 19510930    35.1
19511001 19511031     8.7
19511101 19511130    30.5
19511201 19511231    27.1
19520101 19520131    42.5
19520201 19520229    76.2
19520301 19520331    76.4
19520401 19520430    70.4
19520501 19520531    76.3
19520601 19520630    76.7
19520701 19520731    50.8
19520801 19520831    96.7
19520901 19520930    21.1
19521001 19521031    64.4
