PRCP       026025 18630101 20171231 missing_value=99999.9 PENOLA POST OFFICE                        
19590101 19590131    25.4
19590201 19590228    34.8
19590301 19590331    80.5
19590401 19590430    20.0
19590501 19590531    13.8
19590601 19590630    27.5
19590701 19590731    40.3
19590801 19590831    84.3
19590901 19590930    48.5
19591001 19591031    16.7
19591101 19591130    16.1
19591201 19591231    60.7
19600101 19600131    64.2
19600201 19600229    79.8
19600301 19600331    19.8
19600401 19600430    86.3
19600501 19600531   104.3
19600601 19600630    64.2
19600701 19600731    84.1
19600801 19600831    77.3
19600901 19600930   107.1
19601001 19601031    47.5
19601101 19601130    26.2
19601201 19601231    17.3
19610101 19610131     9.2
19610201 19610228     4.8
19610301 19610331     7.0
19610401 19610430    92.2
19610501 19610531    39.3
19610601 19610630    57.7
19610701 19610731    82.8
19610801 19610831    45.1
19610901 19610930    54.2
19611001 19611031    33.3
19611101 19611130    19.4
19611201 19611231    55.4
19620101 19620131    19.4
19620201 19620228    43.6
19620301 19620331    32.4
19620401 19620430    13.2
19620501 19620531    84.1
19620601 19620630   157.2
19620701 19620731    57.3
19620801 19620831    85.5
19620901 19620930    72.7
19621001 19621031   103.6
19621101 19621130    22.3
19621201 19621231    41.3
19630101 19630131   103.4
19630201 19630228     5.5
19630301 19630331     8.4
19630401 19630430     4.6
19630501 19630531    71.8
19630601 19630630    69.4
19630701 19630731   114.2
19630801 19630831    73.7
19630901 19630930    83.7
19631001 19631031     4.6
19631101 19631130     5.5
19631201 19631231    25.5
19640101 19640131    11.3
19640201 19640229    16.1
19640301 19640331    20.7
19640401 19640430    29.1
19640501 19640531    60.3
19640601 19640630   112.0
19640701 19640731   210.4
19640801 19640831    88.8
19640901 19640930    87.8
19641001 19641031    76.2
19641101 19641130    67.7
19641201 19641231    55.4
19650101 19650131     6.9
19650201 19650228     1.5
19650301 19650331    28.8
19650401 19650430    47.3
19650501 19650531    79.0
19650601 19650630    32.5
19650701 19650731   100.1
19650801 19650831   125.6
19650901 19650930    44.3
19651001 19651031    25.0
19651101 19651130    53.9
19651201 19651231    45.2
19660101 19660131     4.6
19660201 19660228    21.2
19660301 19660331    19.4
19660401 19660430    19.1
19660501 19660531    53.6
19660601 19660630    54.7
19660701 19660731   155.8
19660801 19660831    45.9
19660901 19660930    90.0
19661001 19661031    39.1
19661101 19661130    35.3
19661201 19661231    70.6
19670101 19670131     8.6
19670201 19670228    28.7
19670301 19670331     9.7
19670401 19670430     6.2
19670501 19670531    30.3
19670601 19670630    18.1
19670701 19670731    90.8
19670801 19670831    62.1
19670901 19670930    21.0
19671001 19671031     9.5
19671101 19671130    11.7
19671201 19671231    50.1
19680101 19680131     9.5
19680201 19680229    17.8
19680301 19680331    31.1
19680401 19680430    78.8
19680501 19680531   148.0
19680601 19680630    69.7
19680701 19680731    96.2
19680801 19680831   119.0
19680901 19680930    57.7
19681001 19681031    92.2
19681101 19681130    90.9
19681201 19681231    18.3
19690101 19690131    15.6
19690201 19690228    49.3
19690301 19690331    44.3
19690401 19690430    33.7
19690501 19690531    57.4
19690601 19690630    21.8
19690701 19690731    79.3
19690801 19690831    77.1
19690901 19690930    87.9
19691001 19691031     6.0
19691101 19691130    20.6
19691201 19691231    40.3
19700101 19700131    29.7
19700201 19700228     2.0
19700301 19700331    38.2
19700401 19700430    68.0
19700501 19700531    65.6
19700601 19700630    74.6
19700701 19700731   109.6
19700801 19700831   157.7
19700901 19700930    42.3
19701001 19701031    22.6
19701101 19701130    70.6
19701201 19701231    51.5
19710101 19710131    10.7
19710201 19710228     6.2
19710301 19710331    31.5
19710401 19710430   121.5
19710501 19710531    91.8
19710601 19710630   112.5
19710701 19710731    51.4
19710801 19710831   119.5
19710901 19710930    77.4
19711001 19711031    83.0
19711101 19711130    73.8
19711201 19711231    63.7
19720101 19720131    69.5
19720201 19720229    28.2
19720301 19720331     1.4
19720401 19720430    68.3
19720501 19720531    33.4
19720601 19720630    61.6
19720701 19720731   125.8
19720801 19720831   101.2
19720901 19720930    31.6
19721001 19721031    27.6
19721101 19721130    33.3
19721201 19721231     1.1
19730101 19730131    28.2
19730201 19730228    50.9
19730301 19730331    55.9
19730401 19730430    64.0
19730501 19730531    72.0
19730601 19730630   100.3
19730701 19730731    64.0
19730801 19730831    87.4
19730901 19730930   111.7
19731001 19731031    51.9
19731101 19731130    24.2
19731201 19731231    43.7
19740101 19740131    38.0
19740201 19740228    37.6
19740301 19740331    32.8
19740401 19740430    90.2
19740501 19740531    38.6
19740601 19740630    46.0
19740701 19740731   157.2
19740801 19740831    77.8
19740901 19740930   111.4
19741001 19741031    95.4
19741101 19741130    29.6
19741201 19741231    25.0
19750101 19750131    13.6
19750201 19750228     4.2
19750301 19750331    61.3
19750401 19750430    23.7
19750501 19750531   103.2
19750601 19750630    45.5
19750701 19750731   154.6
19750801 19750831    69.6
19750901 19750930    77.8
19751001 19751031   129.4
19751101 19751130    52.0
19751201 19751231    25.0
19760101 19760131    10.4
19760201 19760229    57.8
19760301 19760331     9.6
19760401 19760430    34.6
19760501 19760531    36.8
19760601 19760630    73.8
19760701 19760731    37.8
19760801 19760831    96.4
19760901 19760930   113.4
19761001 19761031    59.8
19761101 19761130    40.0
19761201 19761231    69.2
19770101 19770131    39.0
19770201 19770228    23.0
19770301 19770331    35.2
19770401 19770430    11.2
19770501 19770531    96.8
19770601 19770630   100.6
19770701 19770731    64.2
19770801 19770831    44.8
19770901 19770930    20.6
19771001 19771031    34.4
19771101 19771130   125.6
19771201 19771231     8.2
19780101 19780131    12.4
19780201 19780228    14.8
19780301 19780331    11.6
19780401 19780430    38.8
19780501 19780531    49.2
19780601 19780630    44.2
19780701 19780731   131.8
19780801 19780831    83.8
19780901 19780930    58.0
19781001 19781031    46.4
19781101 19781130    65.6
19781201 19781231    20.8
19790101 19790131    14.6
19790201 19790228    27.0
19790301 19790331     7.8
19790401 19790430    37.0
19790501 19790531    63.4
19790601 19790630    61.2
19790701 19790731    76.4
19790801 19790831   108.6
19790901 19790930   137.4
19791001 19791031    83.6
19791101 19791130    62.6
19791201 19791231    19.6
19800101 19800131    17.0
19800201 19800229     2.4
19800301 19800331     6.6
19800401 19800430   100.6
19800501 19800531    53.8
19800601 19800630    79.4
19800701 19800731    96.6
19800801 19800831    61.8
19800901 19800930    74.6
19801001 19801031    52.2
19801101 19801130    30.8
19801201 19801231    18.0
19810101 19810131    41.4
19810201 19810228     1.6
19810301 19810331    36.8
19810401 19810430    14.2
19810501 19810531    60.4
19810601 19810630   114.0
19810701 19810731   147.6
19810801 19810831   183.4
19810901 19810930    34.6
19811001 19811031    56.8
19811101 19811130    41.6
19811201 19811231     6.2
19820101 19820131    23.0
19820201 19820228     8.2
19820301 19820331    41.4
19820401 19820430    53.6
19820501 19820531    55.6
19820601 19820630    70.0
19820701 19820731    44.2
19820801 19820831    24.8
19820901 19820930    58.2
19821001 19821031    21.4
19821101 19821130     9.2
19821201 19821231     5.0
19830101 19830131    22.4
19830201 19830228     0.0
19830301 19830331   121.4
19830401 19830430    70.8
19830501 19830531    76.0
19830601 19830630    68.8
19830701 19830731    92.8
19830801 19830831    88.8
19830901 19830930    95.0
19831001 19831031    21.4
19831101 19831130    78.8
19831201 19831231    19.2
19840101 19840131    29.4
19840201 19840229     3.0
19840301 19840331    60.4
19840401 19840430    28.4
19840501 19840531    39.2
19840601 19840630    62.8
19840701 19840731   132.0
19840801 19840831   144.8
19840901 19840930   111.2
19841001 19841031    26.0
19841101 19841130    84.6
19841201 19841231    26.4
19850101 19850131     9.8
19850201 19850228     4.6
19850301 19850331    27.8
19850401 19850430    32.8
19850501 19850531    81.6
19850601 19850630    62.6
19850701 19850731    75.0
19850801 19850831   101.4
19850901 19850930    32.4
19851001 19851031    64.6
19851101 19851130    55.4
19851201 19851231    73.6
19860101 19860131    12.8
19860201 19860228     1.6
19860301 19860331     3.2
19860401 19860430    72.4
19860501 19860531    49.8
19860601 19860630    35.4
19860701 19860731   110.2
19860801 19860831    68.2
19860901 19860930    60.0
19861001 19861031    97.6
19861101 19861130    14.6
19861201 19861231   115.0
19870101 19870131     6.2
19870201 19870228    18.6
19870301 19870331    17.0
19870401 19870430    14.8
19870501 19870531   145.4
19870601 19870630    77.0
19870701 19870731    83.2
19870801 19870831    44.8
19870901 19870930    21.8
19871001 19871031    56.0
19871101 19871130    22.8
19871201 19871231    37.6
19880101 19880131    52.2
19880201 19880229    29.2
19880301 19880331    44.0
19880401 19880430    18.6
19880501 19880531    96.2
19880601 19880630   107.8
19880701 19880731   102.2
19880801 19880831    83.8
19880901 19880930    93.8
19881001 19881031    58.0
19881101 19881130    45.4
19881201 19881231    33.8
19890101 19890131    20.8
19890201 19890228     8.0
19890301 19890331    16.8
19890401 19890430    55.6
19890501 19890531    69.2
19890601 19890630   113.6
19890701 19890731   124.8
19890801 19890831   119.4
19890901 19890930    59.3
19891001 19891031    70.1
19891101 19891130    11.6
19891201 19891231    22.4
19900101 19900131     5.6
19900201 19900228     9.2
19900301 19900331     8.6
19900401 19900430    14.8
19900501 19900531    15.6
19900601 19900630    94.2
19900701 19900731   129.4
19900801 19900831   130.2
19900901 19900930    75.8
19901001 19901031    38.4
19901101 19901130    34.6
19901201 19901231    23.6
19910101 19910131    67.6
19910201 19910228     0.0
19910301 19910331    27.6
19910401 19910430    46.0
19910501 19910531     5.2
19910601 19910630   156.8
19910701 19910731    70.6
19910801 19910831   158.0
19910901 19910930    86.8
19911001 19911031     8.4
19911101 19911130    45.4
19911201 19911231    10.6
19920101 19920131     5.8
19920201 19920229    11.8
19920301 19920331    37.0
19920401 19920430   102.2
19920501 19920531    54.1
19920601 19920630    65.9
19920701 19920731    99.4
19920801 19920831   121.8
19920901 19920930   115.0
19921001 19921031    81.8
19921101 19921130    87.8
19921201 19921231    65.0
19930101 19930131    38.6
19930201 19930228    28.0
19930301 19930331    13.6
19930401 19930430     4.6
19930501 19930531    52.6
19930601 19930630    69.4
19930701 19930731    91.9
19930801 19930831    78.6
19930901 19930930   102.1
19931001 19931031    74.6
19931101 19931130    16.0
19931201 19931231    62.0
19940101 19940131    37.4
19940201 19940228    20.4
19940301 19940331     0.4
19940401 19940430    14.0
19940501 19940531    80.2
19940601 19940630    73.2
19940701 19940731    83.8
19940801 19940831    46.6
19940901 19940930    41.2
19941001 19941031    50.4
19941101 19941130    51.8
19941201 19941231    18.4
19950101 19950131    50.2
19950201 19950228    16.8
19950301 19950331    15.8
19950401 19950430    88.8
19950501 19950531    57.0
19950601 19950630    63.2
19950701 19950731   155.8
19950801 19950831    44.6
19950901 19950930    47.4
19951001 19951031    24.0
19951101 19951130    16.0
19951201 19951231    19.8
19960101 19960131    59.4
19960201 19960229    15.4
19960301 19960331    21.4
19960401 19960430    34.6
19960501 19960531     2.4
19960601 19960630   140.4
19960701 19960731   108.4
19960801 19960831   137.0
19960901 19960930   111.0
19961001 19961031    45.2
19961101 19961130     9.6
19961201 19961231    26.2
19970101 19970131    31.4
19970201 19970228    12.8
19970301 19970331    19.2
19970401 19970430    12.4
19970501 19970531   105.4
19970601 19970630    26.6
19970701 19970731    35.4
19970801 19970831    66.0
19970901 19970930   107.0
19971001 19971031    27.8
19971101 19971130    79.4
19971201 19971231     5.6
19980101 19980131    20.3
19980201 19980228    16.0
19980301 19980331    10.6
19980401 19980430    67.6
19980501 19980531    34.4
19980601 19980630    83.8
19980701 19980731    89.0
19980801 19980831    43.2
19980901 19980930    78.0
19981001 19981031    51.4
19981101 19981130    16.4
19981201 19981231    15.6
19990101 19990131     5.8
19990201 19990228    26.0
19990301 19990331    53.8
19990401 19990430     6.8
19990501 19990531    85.4
19990601 19990630    81.7
19990701 19990731    38.6
19990801 19990831    54.2
19990901 19990930    70.8
19991001 19991031    29.0
19991101 19991130    54.4
19991201 19991231    88.4
20000101 20000131     5.2
20000201 20000229    27.2
20000301 20000331    13.2
20000401 20000430    68.2
20000501 20000531    86.4
20000601 20000630    68.6
20000701 20000731    88.2
20000801 20000831    54.4
20000901 20000930   120.0
20001001 20001031    66.4
20001101 20001130    60.0
20001201 20001231    13.4
20010101 20010131     8.2
20010201 20010228    23.8
20010301 20010331    85.6
20010401 20010430    38.0
20010501 20010531    41.8
20010601 20010630    71.2
20010701 20010731    28.6
20010801 20010831   126.8
20010901 20010930    83.0
20011001 20011031    81.0
20011101 20011130    57.4
20011201 20011231    42.4
20020101 20020131    17.8
20020201 20020228    11.8
20020301 20020331     8.6
20020401 20020430    18.4
20020501 20020531    43.0
20020601 20020630    55.2
20020701 20020731   137.5
20020801 20020831    52.3
20020901 20020930    74.6
20021001 20021031    53.2
20021101 20021130    41.6
20021201 20021231    41.4
20030101 20030131    33.6
20030201 20030228    36.6
20030301 20030331    62.8
20030401 20030430    34.2
20030501 20030531    26.8
20030601 20030630   184.6
20030701 20030731    79.4
20030801 20030831   112.8
20030901 20030930    61.0
20031001 20031031    55.6
20031101 20031130    22.4
20031201 20031231    20.6
20040101 20040131    20.2
20040201 20040229    29.8
20040301 20040331    58.2
20040401 20040430    29.4
20040501 20040531    69.2
20040601 20040630   112.2
20040701 20040731    88.2
20040801 20040831   139.0
20040901 20040930    43.2
20041001 20041031    17.6
20041101 20041130    46.6
20041201 20041231    32.4
20050101 20050131    17.0
20050201 20050228    37.1
20050301 20050331     8.6
20050401 20050430    20.8
20050501 20050531    17.2
20050601 20050630    88.6
20050701 20050731    41.0
20050801 20050831    97.5
20050901 20050930    58.2
20051001 20051031   100.4
20051101 20051130    26.6
20051201 20051231    43.8
20060101 20060131    25.4
20060201 20060228    65.0
20060301 20060331    24.0
20060401 20060430    69.6
20060501 20060531    61.2
20060601 20060630    13.4
20060701 20060731    63.2
20060801 20060831    28.2
20060901 20060930    43.6
20061001 20061031     8.6
20061101 20061130    12.0
20061201 20061231    20.9
20070101 20070131   100.0
20070201 20070228     0.0
20070301 20070331    22.6
20070401 20070430    24.0
20070501 20070531   132.8
20070601 20070630    33.2
20070701 20070731    81.4
20070801 20070831    58.6
20070901 20070930    70.8
20071001 20071031    43.0
20071101 20071130    82.8
20071201 20071231    28.8
20080101 20080131     8.0
20080201 20080229    14.2
20080301 20080331    18.4
20080401 20080430    42.2
20080501 20080531    44.2
20080601 20080630    36.8
20080701 20080731    73.4
20080801 20080831    77.8
20080901 20080930    58.4
20081001 20081031     8.6
20081101 20081130    16.4
20081201 20081231   106.3
20090101 20090131     1.4
20090201 20090228     0.0
20090301 20090331    38.8
20090401 20090430    69.8
20090501 20090531    15.2
20090601 20090630    60.4
20090701 20090731   121.4
20090801 20090831   114.6
20090901 20090930   103.6
20091001 20091031    53.1
20091101 20091130    41.8
20091201 20091231    37.0
20100101 20100131    19.8
20100201 20100228    35.4
20100301 20100331    18.0
20100401 20100430    74.0
20100501 20100531    52.0
20100601 20100630    67.8
20100701 20100731    81.6
20100801 20100831   126.4
20100901 20100930    85.4
20101001 20101031    43.4
20101101 20101130    32.2
20101201 20101231    97.0
20110101 20110131    97.2
20110201 20110228    49.1
20110301 20110331    88.3
20110401 20110430    29.4
20110501 20110531    72.4
20110601 20110630    81.6
20110701 20110731    98.5
20110801 20110831    93.3
20110901 20110930    33.2
20111001 20111031    39.8
20111101 20111130    46.1
20111201 20111231    33.2
20120101 20120131     7.4
20120201 20120229     2.9
20120301 20120331    39.9
20120401 20120430    27.2
20120501 20120531    45.8
20120601 20120630   125.8
20120701 20120731    71.6
20120801 20120831   108.8
20120901 20120930    48.6
20121001 20121031 99999.9
20121101 20121130    27.7
20121201 20121231    20.9
20130101 20130131     1.8
20130201 20130228    25.8
20130301 20130331    21.8
20130401 20130430    33.9
20130501 20130531    55.1
20130601 20130630    66.6
20130701 20130731   137.9
20130801 20130831   157.3
20130901 20130930   107.3
20131001 20131031    92.8
20131101 20131130    31.7
20131201 20131231    28.7
20140101 20140131    24.0
20140201 20140228    18.0
20140301 20140331    35.8
20140401 20140430    51.0
20140501 20140531    62.2
20140601 20140630   115.5
20140701 20140731    73.9
20140801 20140831    36.1
20140901 20140930    23.3
20141001 20141031    16.0
20141101 20141130    19.7
20141201 20141231    29.4
20150101 20150131   110.8
20150201 20150228     1.7
20150301 20150331    28.7
20150401 20150430    34.8
20150501 20150531   103.1
20150601 20150630    47.5
20150701 20150731    61.7
20150801 20150831    40.8
20150901 20150930    40.1
20151001 20151031 99999.9
20151101 20151130    18.5
20151201 20151231    13.2
20160101 20160131 99999.9
20160201 20160229    32.8
20160301 20160331    31.1
20160401 20160430    33.0
20160501 20160531   120.7
20160601 20160630   104.9
20160701 20160731   139.4
20160801 20160831    83.9
20160901 20160930   124.4
20161001 20161031    92.1
20161101 20161130    36.6
20161201 20161231    46.6
20170101 20170131    48.4
20170201 20170228    22.2
20170301 20170331 99999.9
20170401 20170430    77.9
20170501 20170531    89.8
20170601 20170630    25.8
20170701 20170731   107.2
20170801 20170831   125.6
20170901 20170930    86.4
20171001 20171031    55.2
20171101 20171130    55.9
20171201 20171231    33.2
