PRCP       026025 18630101 20171231 missing_value=99999.9 PENOLA POST OFFICE                        
19010201 19010228     3.1
19010301 19010331    22.3
19010401 19010430    66.7
19010501 19010531    46.7
19010601 19010630   122.2
19010701 19010731    58.9
19010801 19010831    49.6
19010901 19010930    97.9
19011001 19011031    62.7
19011101 19011130    19.1
19011201 19011231    35.5
19020101 19020131    13.3
19020201 19020228    33.8
19020301 19020331    21.8
19020401 19020430    10.7
19020501 19020531    24.9
19020601 19020630    84.7
19020701 19020731    47.7
19020801 19020831    80.7
19020901 19020930    38.4
19021001 19021031    78.5
19021101 19021130    21.2
19021201 19021231   119.7
19030101 19030131    38.1
19030201 19030228    42.1
19030301 19030331    49.7
19030401 19030430    66.4
19030501 19030531    48.0
19030601 19030630   125.2
19030701 19030731   100.4
19030801 19030831    73.2
19030901 19030930    71.7
19031001 19031031    57.3
19031101 19031130    30.5
19031201 19031231    24.5
19040101 19040131    72.7
19040201 19040229    31.8
19040301 19040331    13.7
19040401 19040430    37.3
19040501 19040531    65.7
19040601 19040630    53.4
19040701 19040731    73.0
19040801 19040831    58.6
19040901 19040930    43.2
19041001 19041031    87.7
19041101 19041130    26.3
19041201 19041231     2.6
19050101 19050131    13.2
19050201 19050228    17.9
19050301 19050331     6.7
19050401 19050430    78.3
19050501 19050531    47.5
19050601 19050630    93.9
19050701 19050731    98.8
19050801 19050831    65.4
19050901 19050930    54.8
19051001 19051031    98.6
19051101 19051130    14.7
19051201 19051231     8.7
19060101 19060131     2.3
19060201 19060228    10.1
19060301 19060331    38.5
19060401 19060430    29.7
19060501 19060531   106.6
19060601 19060630   147.4
19060701 19060731   144.6
19060801 19060831    88.7
19060901 19060930    92.1
19061001 19061031    50.2
19061101 19061130    56.5
19061201 19061231    10.2
19070101 19070131    10.2
19070201 19070228     6.9
19070301 19070331    17.9
19070401 19070430    91.2
19070501 19070531    82.2
19070601 19070630    33.5
19070701 19070731    98.1
19070801 19070831   106.5
19070901 19070930    44.5
19071001 19071031    62.7
19071101 19071130    56.2
19071201 19071231    30.8
19080101 19080131     5.1
19080201 19080229    37.9
19080301 19080331    39.6
19080401 19080430    14.2
19080501 19080531    81.0
19080601 19080630   128.6
19080701 19080731    49.6
19080801 19080831    47.2
19080901 19080930    87.6
19081001 19081031   107.5
19081101 19081130    26.9
19081201 19081231    13.3
19090101 19090131    19.6
19090201 19090228    16.0
19090301 19090331    39.9
19090401 19090430    77.2
19090501 19090531    82.2
19090601 19090630   130.2
19090701 19090731    87.8
19090801 19090831   139.9
19090901 19090930    46.0
19091001 19091031    79.8
19091101 19091130    39.0
19091201 19091231    23.2
19100101 19100131    17.9
19100201 19100228     7.7
19100301 19100331   124.7
19100401 19100430    22.6
19100501 19100531   129.3
19100601 19100630    91.6
19100701 19100731   111.6
19100801 19100831    59.1
19100901 19100930   100.9
19101001 19101031    64.2
19101101 19101130    79.5
19101201 19101231    46.8
19110101 19110131    16.0
19110201 19110228    95.6
19110301 19110331    16.4
19110401 19110430    35.1
19110501 19110531    63.4
19110601 19110630   101.0
19110701 19110731    91.8
19110801 19110831    38.8
19110901 19110930    63.9
19111001 19111031    20.5
19111101 19111130     1.6
19111201 19111231    69.8
19120101 19120131     2.9
19120201 19120229    34.8
19120301 19120331    35.5
19120401 19120430    82.4
19120501 19120531    30.7
19120601 19120630    53.7
19120701 19120731    65.0
19120801 19120831    69.2
19120901 19120930   137.0
19121001 19121031    47.7
19121101 19121130    39.3
19121201 19121231    53.5
19130101 19130131     7.8
19130201 19130228    24.6
19130301 19130331    50.3
19130401 19130430    21.6
19130501 19130531    35.1
19130601 19130630    21.4
19130701 19130731    42.7
19130801 19130831    94.0
19130901 19130930    42.6
19131001 19131031    47.4
19131101 19131130    54.2
19131201 19131231    50.3
19140101 19140131     9.0
19140201 19140228     0.0
19140301 19140331    23.9
19140401 19140430    55.2
19140501 19140531    51.7
19140601 19140630    23.0
19140701 19140731    70.3
19140801 19140831     9.2
19140901 19140930    12.0
19141001 19141031     7.5
19141101 19141130    51.4
19141201 19141231    39.4
19150101 19150131    19.6
19150201 19150228     7.6
19150301 19150331    17.0
19150401 19150430    24.1
19150501 19150531    66.9
19150601 19150630   167.6
19150701 19150731    69.5
19150801 19150831   112.1
19150901 19150930   116.5
19151001 19151031    46.7
19151101 19151130    35.9
19151201 19151231     0.3
19160101 19160131    43.9
19160201 19160229    11.2
19160301 19160331     3.3
19160401 19160430    49.5
19160501 19160531    41.6
19160601 19160630   138.4
19160701 19160731    66.3
19160801 19160831   103.3
19160901 19160930    53.6
19161001 19161031    62.7
19161101 19161130   102.1
19161201 19161231    53.7
19170101 19170131    11.5
19170201 19170228    39.8
19170301 19170331    47.1
19170401 19170430    29.6
19170501 19170531   132.6
19170601 19170630    63.4
19170701 19170731   188.3
19170801 19170831    77.8
19170901 19170930   121.3
19171001 19171031    70.7
19171101 19171130    32.6
19171201 19171231    19.1
19180101 19180131    14.0
19180201 19180228     4.0
19180301 19180331    11.0
19180401 19180430    30.3
19180501 19180531    69.6
19180601 19180630   112.5
