PRCP       013005 19200101 20180131 missing_value=99999.9 LORNA GLEN                                
19630801 19630831     1.0
19630901 19630930     4.0
19631001 19631031     3.3
19631101 19631130    10.2
19631201 19631231     0.8
19640101 19640131    15.1
19640201 19640229     4.6
19640301 19640331     0.0
19640401 19640430    79.1
19640501 19640531     2.8
19640601 19640630    11.4
19640701 19640731     0.8
19640801 19640831     0.0
19640901 19640930     3.3
19641001 19641031     0.0
19641101 19641130    34.5
19641201 19641231     0.0
19650101 19650131     0.0
19650201 19650228    21.5
19650301 19650331   153.0
19650401 19650430     1.0
19650501 19650531     8.2
19650601 19650630    25.3
19650701 19650731     0.8
19650801 19650831    30.4
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130    21.6
19651201 19651231    24.9
19660101 19660131     2.0
19660201 19660228    31.7
19660301 19660331    10.2
19660401 19660430    84.7
19660501 19660531     1.5
19660601 19660630    23.4
19660701 19660731     0.0
19660801 19660831     4.6
19660901 19660930     0.0
19661001 19661031    21.3
19661101 19661130     0.0
19661201 19661231     4.8
19670101 19670131    14.1
19670201 19670228   135.5
19670301 19670331     0.0
19670401 19670430     0.0
19670501 19670531    66.8
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     3.3
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130     0.8
19671201 19671231    40.4
19680101 19680131    39.7
19680201 19680229    33.7
19680301 19680331    70.7
19680401 19680430    33.2
19680501 19680531    18.3
19680601 19680630    56.1
19680701 19680731    34.8
19680801 19680831     0.0
19680901 19680930     8.4
19681001 19681031     0.0
19681101 19681130     0.0
19681201 19681231     0.0
19690101 19690131    21.0
19690201 19690228    29.2
19690301 19690331     0.0
19690401 19690430     1.0
19690501 19690531    45.7
19690601 19690630     0.0
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     1.8
19691101 19691130     0.0
19691201 19691231    10.2
19700101 19700131    12.4
19700201 19700228     7.1
19700301 19700331     2.0
19700401 19700430     0.8
19700501 19700531    87.2
19700601 19700630     1.8
19700701 19700731     1.5
19700801 19700831     0.0
19700901 19700930    19.8
19701001 19701031     0.0
19701101 19701130    10.2
19701201 19701231     4.6
19710101 19710131     4.6
19710201 19710228     3.8
19710301 19710331     6.3
19710401 19710430     0.0
19710501 19710531     0.0
19710601 19710630    74.7
19710701 19710731    16.8
19710801 19710831     0.0
19710901 19710930     0.0
19711001 19711031     2.2
19711101 19711130     5.0
19711201 19711231     0.2
19720101 19720131     0.3
19720201 19720229     9.9
19720301 19720331    21.3
19720401 19720430     1.0
19720501 19720531     0.5
19720601 19720630     4.8
19720701 19720731    37.9
19720801 19720831     3.1
19720901 19720930     0.0
19721001 19721031     0.3
19721101 19721130     6.9
19721201 19721231     6.6
19730101 19730131   281.4
19730201 19730228     0.0
19730301 19730331    71.1
19730401 19730430    49.0
19730501 19730531    58.9
19730601 19730630    72.9
19730701 19730731    74.4
19730801 19730831    40.0
19730901 19730930     2.5
19731001 19731031     2.0
19731101 19731130     6.3
19731201 19731231    47.5
19740101 19740131    25.6
19740201 19740228    75.0
19740301 19740331    26.4
19740401 19740430    43.8
19740501 19740531    12.6
19740601 19740630     9.2
19740701 19740731    54.2
19740801 19740831    13.2
19740901 19740930    19.0
19741001 19741031    10.8
19741101 19741130    36.6
19741201 19741231    11.2
19750101 19750131    21.0
19750201 19750228    44.0
19750301 19750331    24.4
19750401 19750430    19.4
19750501 19750531    17.2
19750601 19750630     2.0
19750701 19750731    20.6
19750801 19750831     4.0
19750901 19750930     9.0
19751001 19751031    48.0
19751101 19751130   104.0
19751201 19751231    66.0
19760101 19760131     2.0
19760201 19760229    23.4
19760301 19760331    14.0
19760401 19760430    25.0
19760501 19760531     3.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031    19.0
19761101 19761130     0.0
19761201 19761231     0.0
19770101 19770131    10.0
19770201 19770228     0.0
19770301 19770331     1.4
19770401 19770430     0.0
19770501 19770531    11.2
19770601 19770630     2.0
19770701 19770731     1.0
19770801 19770831     8.0
19770901 19770930     0.0
19771001 19771031    12.0
19771101 19771130     0.0
19771201 19771231    62.0
19780101 19780131    10.0
19780201 19780228   158.1
19780301 19780331     1.8
19780401 19780430     2.7
19780501 19780531     0.0
19780601 19780630     1.6
19780701 19780731    18.6
19780801 19780831    44.0
19780901 19780930     0.0
19781001 19781031    32.2
19781101 19781130    17.4
19781201 19781231    11.1
19790101 19790131     5.8
19790201 19790228    60.5
19790301 19790331    22.8
19790401 19790430    14.4
19790501 19790531    18.6
19790601 19790630     1.0
19790701 19790731     0.0
19790801 19790831    36.0
19790901 19790930    15.2
19791001 19791031     0.0
19791101 19791130     6.4
19791201 19791231    19.2
19800101 19800131     4.4
19800201 19800229   248.5
19800301 19800331     1.8
19800401 19800430    64.9
19800501 19800531    21.4
19800601 19800630    26.4
19800701 19800731    35.6
19800801 19800831     0.0
19800901 19800930     0.3
19801001 19801031     0.0
19801101 19801130     5.4
19801201 19801231     0.0
19810101 19810131     3.6
19810201 19810228    50.2
19810301 19810331     8.4
19810401 19810430     0.0
19810501 19810531    21.6
19810601 19810630     2.2
19810701 19810731     6.4
19810801 19810831     5.0
19810901 19810930     0.0
19811001 19811031     0.0
19811101 19811130     5.0
19811201 19811231    39.8
19820101 19820131    33.6
19820201 19820228    57.2
19820301 19820331    15.4
19820401 19820430    27.5
19820501 19820531    10.4
19820601 19820630     3.6
19820701 19820731     0.0
19820801 19820831    10.0
19820901 19820930    29.2
19821001 19821031     8.2
19821101 19821130    13.2
