PRCP       092012 18880801 20180131 missing_value=99999.9 FINGAL (FORESTRY LEGGE STREET)            
19420301 19420331    12.6
19420401 19420430    17.0
19420501 19420531    86.2
19420601 19420630    53.9
19420701 19420731   115.4
19420801 19420831    53.1
19420901 19420930    37.1
19421001 19421031    49.7
19421101 19421130    12.7
19421201 19421231    43.0
19430101 19430131    55.4
19430201 19430228    26.1
19430301 19430331     5.2
19430401 19430430    54.9
19430501 19430531    29.0
19430601 19430630    32.5
19430701 19430731    47.2
19430801 19430831    36.3
19430901 19430930    91.9
19431001 19431031    26.1
19431101 19431130    69.5
19431201 19431231    43.8
19440101 19440131   122.7
19440201 19440229    44.9
19440301 19440331    31.0
19440401 19440430    18.5
19440501 19440531    92.8
19440601 19440630    10.4
19440701 19440731   109.8
19440801 19440831    22.1
19440901 19440930    38.3
19441001 19441031    44.0
19441101 19441130    25.6
19441201 19441231    70.4
19450101 19450131    72.6
19450201 19450228    88.4
19450301 19450331    19.9
19450401 19450430    11.0
19450501 19450531    19.6
19450601 19450630    41.5
19450701 19450731    20.9
19450801 19450831    67.4
19450901 19450930    16.0
19451001 19451031    17.7
19451101 19451130    20.7
19451201 19451231    28.7
19460101 19460131    33.8
19460201 19460228    94.5
19460301 19460331   197.1
19460401 19460430    61.7
19460501 19460531    35.2
19460601 19460630   121.9
19460701 19460731   107.1
19460801 19460831    38.9
19460901 19460930    33.7
19461001 19461031    16.0
19461101 19461130    37.8
19461201 19461231    49.6
19470101 19470131    18.0
19470201 19470228    37.1
19470301 19470331    51.0
19470401 19470430    23.3
19470501 19470531    46.2
19470601 19470630   141.0
19470701 19470731    81.1
19470801 19470831    50.6
19470901 19470930    38.2
19471001 19471031    85.9
19471101 19471130    92.9
19471201 19471231    72.7
19480101 19480131    22.9
19480201 19480229    28.2
19480301 19480331    11.8
19480401 19480430    57.6
19480501 19480531    58.8
19480601 19480630    23.2
19480701 19480731    29.4
19480801 19480831    18.5
19480901 19480930    48.3
19481001 19481031    86.1
19481101 19481130    48.8
19481201 19481231    22.1
19490101 19490131    25.4
19490201 19490228    48.2
19490301 19490331    57.4
19490401 19490430    11.2
19490501 19490531    33.5
19490601 19490630    57.2
19490701 19490731    59.4
19490801 19490831    22.1
19490901 19490930    16.5
19491001 19491031   150.7
19491101 19491130    80.2
19491201 19491231    33.7
19500101 19500131    38.6
19500201 19500228    23.1
19500301 19500331    36.1
19500401 19500430    35.1
19500501 19500531    65.8
19500601 19500630    22.2
19500701 19500731    44.5
19500801 19500831    93.2
19500901 19500930    17.7
19501001 19501031    86.0
19501101 19501130    59.7
19501201 19501231    57.6
19510101 19510131     8.9
19510201 19510228    27.2
19510301 19510331    21.6
19510401 19510430    54.8
19510501 19510531    79.1
19510601 19510630    31.6
19510701 19510731    59.2
19510801 19510831    39.1
19510901 19510930    19.3
19511001 19511031    88.0
19511101 19511130    58.9
19511201 19511231    47.2
