PRCP       020020 19011201 20180131 missing_value=99999.9 PANARAMITEE                               
19340801 19340831     4.9
19340901 19340930     5.6
19341001 19341031    21.4
19341101 19341130    46.2
19341201 19341231     0.0
19350101 19350131     5.3
19350201 19350228     0.0
19350301 19350331     6.7
19350401 19350430    62.1
19350501 19350531     0.0
19350601 19350630     5.4
19350701 19350731     2.8
19350801 19350831     7.6
19350901 19350930     9.9
19351001 19351031    46.7
19351101 19351130     3.3
19351201 19351231    17.2
19360101 19360131    34.3
19360201 19360229     3.8
19360301 19360331     0.8
19360401 19360430     0.0
19360501 19360531    20.4
19360601 19360630    21.8
19360701 19360731    29.8
19360801 19360831    25.3
19360901 19360930     1.0
19361001 19361031    12.0
19361101 19361130     5.3
19361201 19361231    41.9
19370101 19370131   110.2
19370201 19370228    51.9
19370301 19370331     1.8
19370401 19370430     1.3
19370501 19370531     7.6
19370601 19370630    21.6
19370701 19370731     4.3
19370801 19370831    22.7
19370901 19370930     0.0
19371001 19371031    16.3
19371101 19371130    17.3
19371201 19371231    43.7
19380101 19380131    28.9
19380201 19380228     9.2
19380301 19380331     0.0
19380401 19380430     1.8
19380501 19380531     0.0
19380601 19380630    13.5
19380701 19380731    18.6
19380801 19380831     8.6
19380901 19380930     0.0
19381001 19381031    77.0
19381101 19381130     6.1
19381201 19381231     0.0
19390101 19390131     7.3
19390201 19390228   100.1
19390301 19390331    41.2
19390401 19390430     9.6
19390501 19390531    14.1
19390601 19390630    25.4
19390701 19390731     5.5
19390801 19390831    14.4
19390901 19390930     2.0
19391001 19391031    17.0
19391101 19391130    42.2
19391201 19391231     0.0
19400101 19400131     8.9
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430    24.1
19400501 19400531    17.5
19400601 19400630     0.3
19400701 19400731    12.2
19400801 19400831     5.9
19400901 19400930     5.8
19401001 19401031     5.8
19401101 19401130     0.0
19401201 19401231     6.9
19410101 19410131   100.1
19410201 19410228     0.0
19410301 19410331     6.6
19410401 19410430     1.3
19410501 19410531     0.0
19410601 19410630    31.8
19410701 19410731    26.7
19410801 19410831    21.6
19410901 19410930     1.3
19411001 19411031    15.3
19411101 19411130    49.8
19411201 19411231     6.8
19420101 19420131    12.5
19420201 19420228     0.0
19420301 19420331     0.0
19420401 19420430    28.2
19420501 19420531    41.8
19420601 19420630    18.6
19420701 19420731    20.6
19420801 19420831    32.3
19420901 19420930    13.2
19421001 19421031     7.6
19421101 19421130     5.0
19421201 19421231     6.4
19430101 19430131     3.0
19430201 19430228    50.6
19430301 19430331     0.0
19430401 19430430    31.3
19430501 19430531     0.0
19430601 19430630     8.7
19430701 19430731    14.7
19430801 19430831    22.8
19430901 19430930     0.0
19431001 19431031    15.2
19431101 19431130    28.4
19431201 19431231     7.6
19440101 19440131     6.1
19440201 19440229    45.7
19440301 19440331     3.6
19440401 19440430     6.6
19440501 19440531    15.7
19440601 19440630     3.8
19440701 19440731     8.1
19440801 19440831    14.7
19440901 19440930     0.0
19441001 19441031     2.5
19441101 19441130    14.2
19441201 19441231    37.1
19450101 19450131     4.8
19450201 19450228     3.8
19450301 19450331     4.3
19450401 19450430     0.0
19450501 19450531     8.5
19450601 19450630    44.7
19450701 19450731    32.9
19450801 19450831    13.7
19450901 19450930    15.3
19451001 19451031    59.4
19451101 19451130    67.0
19451201 19451231    24.6
19460101 19460131    68.9
19460201 19460228    72.2
19460301 19460331     8.1
19460401 19460430     8.4
19460501 19460531     7.7
19460601 19460630     9.7
19460701 19460731    17.3
19460801 19460831     0.0
19460901 19460930    17.3
19461001 19461031     3.8
19461101 19461130    41.2
19461201 19461231    50.8
19470101 19470131     7.1
19470201 19470228    82.4
