PRCP       033035 18860101 20171130 missing_value=99999.9 KALAMIA ESTATE                            
19580201 19580228   504.4
19580301 19580331   186.6
19580401 19580430   103.1
19580501 19580531     5.6
19580601 19580630    77.5
19580701 19580731     0.0
19580801 19580831    11.2
19580901 19580930    21.1
19581001 19581031     0.0
19581101 19581130    51.0
19581201 19581231   173.1
19590101 19590131   246.8
19590201 19590228   224.2
19590301 19590331   123.9
19590401 19590430    16.8
19590501 19590531    52.5
19590601 19590630     3.4
19590701 19590731     0.8
19590801 19590831     0.5
19590901 19590930     0.3
19591001 19591031     0.3
19591101 19591130    11.5
19591201 19591231   269.3
19600101 19600131   134.1
19600201 19600229   427.5
19600301 19600331   287.3
19600401 19600430     0.5
19600501 19600531   111.8
19600601 19600630    10.5
19600701 19600731     8.7
19600801 19600831    10.5
19600901 19600930     2.8
19601001 19601031     0.5
19601101 19601130    34.7
19601201 19601231    93.8
19610101 19610131    84.1
19610201 19610228   232.6
19610301 19610331    50.6
19610401 19610430     2.1
19610501 19610531     9.1
19610601 19610630     0.0
19610701 19610731    14.5
19610801 19610831    14.3
19610901 19610930     0.0
19611001 19611031     0.3
19611101 19611130    56.8
19611201 19611231    62.8
19620101 19620131   178.3
19620201 19620228   365.3
19620301 19620331    51.7
19620401 19620430    25.4
19620501 19620531    36.1
19620601 19620630    22.0
19620701 19620731     4.3
19620801 19620831     0.0
19620901 19620930     5.6
19621001 19621031     1.8
19621101 19621130    24.3
19621201 19621231   113.3
19630101 19630131   258.4
19630201 19630228   236.8
19630301 19630331   309.9
19630401 19630430   229.7
19630501 19630531     3.1
19630601 19630630     1.8
19630701 19630731     4.4
19630801 19630831    26.0
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130    11.9
19631201 19631231    21.1
19640101 19640131   118.8
19640201 19640229   214.4
19640301 19640331   108.9
19640401 19640430    82.6
19640501 19640531    36.9
19640601 19640630    58.2
19640701 19640731    48.8
19640801 19640831     0.8
19640901 19640930     0.0
19641001 19641031    55.8
19641101 19641130    32.7
19641201 19641231   136.3
19650101 19650131   114.3
19650201 19650228    78.6
19650301 19650331   332.0
19650401 19650430   103.2
19650501 19650531     7.2
19650601 19650630     5.2
19650701 19650731     0.0
19650801 19650831     5.4
19650901 19650930     0.3
19651001 19651031    12.7
19651101 19651130     2.5
19651201 19651231   129.2
19660101 19660131   483.1
19660201 19660228    64.6
19660301 19660331    24.9
19660401 19660430    33.8
19660501 19660531    31.9
19660601 19660630    16.8
19660701 19660731    14.8
19660801 19660831    26.0
19660901 19660930     0.0
19661001 19661031     4.8
19661101 19661130    40.1
19661201 19661231    50.3
19670101 19670131    52.6
19670201 19670228   320.0
19670301 19670331   249.3
19670401 19670430     2.3
19670501 19670531    12.3
19670601 19670630   196.8
19670701 19670731     3.1
19670801 19670831     6.5
19670901 19670930     0.0
19671001 19671031     9.4
19671101 19671130    12.5
19671201 19671231   192.8
19680101 19680131   490.9
19680201 19680229   538.6
19680301 19680331    87.3
19680401 19680430    18.3
19680501 19680531    82.6
19680601 19680630     0.0
19680701 19680731    12.0
19680801 19680831     1.0
19680901 19680930     0.8
19681001 19681031    19.6
19681101 19681130     3.9
19681201 19681231    27.3
19690101 19690131   129.5
19690201 19690228     5.8
19690301 19690331    38.2
19690401 19690430     3.4
19690501 19690531    18.1
19690601 19690630    29.6
19690701 19690731     0.6
19690801 19690831     0.0
19690901 19690930     0.3
19691001 19691031    77.0
19691101 19691130    25.7
19691201 19691231    69.7
19700101 19700131   247.9
19700201 19700228    74.5
19700301 19700331   305.2
19700401 19700430    15.1
19700501 19700531     0.0
19700601 19700630     2.8
19700701 19700731     0.0
19700801 19700831    56.4
19700901 19700930     0.3
19701001 19701031    91.8
19701101 19701130    50.9
19701201 19701231   112.4
19710101 19710131    84.2
19710201 19710228   259.3
19710301 19710331   288.4
19710401 19710430    41.4
19710501 19710531    23.2
19710601 19710630    40.9
19710701 19710731    13.0
19710801 19710831    92.2
19710901 19710930     0.3
19711001 19711031    46.5
19711101 19711130    15.2
19711201 19711231   377.4
19720101 19720131   545.3
19720201 19720229   196.7
19720301 19720331   155.9
19720401 19720430     4.8
19720501 19720531    11.1
19720601 19720630    10.1
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     6.4
19721001 19721031     0.0
19721101 19721130    14.5
19721201 19721231     2.4
19730101 19730131   218.6
19730201 19730228   298.7
19730301 19730331   228.1
19730401 19730430    36.3
19730501 19730531     8.4
19730601 19730630    11.1
19730701 19730731    19.1
19730801 19730831     0.8
19730901 19730930    63.2
19731001 19731031    24.8
19731101 19731130   162.7
19731201 19731231   379.9
19740101 19740131  1049.2
19740201 19740228   279.4
19740301 19740331   251.2
19740401 19740430    54.4
19740501 19740531    96.6
19740601 19740630     4.0
19740701 19740731     0.0
19740801 19740831    16.6
19740901 19740930     7.4
19741001 19741031    14.4
19741101 19741130    59.8
19741201 19741231    68.6
19750101 19750131   225.4
19750201 19750228   108.0
19750301 19750331   192.4
19750401 19750430     8.0
19750501 19750531     0.4
19750601 19750630    15.0
19750701 19750731     1.4
19750801 19750831    65.3
19750901 19750930    36.4
19751001 19751031   250.2
19751101 19751130    25.4
19751201 19751231   505.9
19760101 19760131   148.3
19760201 19760229   455.5
19760301 19760331   548.0
19760401 19760430    24.6
19760501 19760531     4.2
19760601 19760630     1.4
19760701 19760731     2.6
19760801 19760831     0.0
19760901 19760930     1.0
19761001 19761031    41.5
19761101 19761130   122.6
19761201 19761231   282.0
19770101 19770131    61.6
19770201 19770228   300.4
19770301 19770331   466.7
19770401 19770430    61.4
19770501 19770531   141.4
19770601 19770630     0.4
19770701 19770731     0.8
19770801 19770831     4.4
19770901 19770930     0.0
19771001 19771031     4.4
19771101 19771130    51.8
19771201 19771231    83.6
19780101 19780131   380.4
19780201 19780228   182.2
19780301 19780331    42.4
19780401 19780430   111.0
19780501 19780531    72.9
19780601 19780630    17.2
19780701 19780731    31.2
19780801 19780831    37.4
