PRCP       009591 18991101 20151231 missing_value=99999.9 PARDELUP                                  
19330601 19330630   224.5
19330701 19330731   106.7
19330801 19330831   119.0
19330901 19330930   115.5
19331001 19331031   132.3
19331101 19331130    41.6
19331201 19331231    16.8
19340101 19340131    19.0
19340201 19340228     2.8
19340301 19340331   102.2
19340401 19340430    23.9
19340501 19340531    43.2
19340601 19340630   100.7
19340701 19340731   145.0
19340801 19340831    93.5
19340901 19340930   115.7
19341001 19341031    96.5
19341101 19341130    64.5
19341201 19341231    33.1
19350101 19350131    49.3
19350201 19350228    25.4
19350301 19350331     9.7
19350401 19350430    55.9
19350501 19350531    44.7
19350601 19350630   133.0
19350701 19350731   166.0
19350801 19350831   107.3
19350901 19350930   100.6
19351001 19351031    62.2
19351101 19351130     3.6
19351201 19351231    25.7
19360101 19360131    33.5
19360201 19360229     4.8
19360301 19360331     1.3
19360401 19360430    28.0
19360501 19360531   108.9
19360601 19360630   106.6
19360701 19360731    95.1
19360801 19360831   111.0
19360901 19360930    54.2
19361001 19361031    44.7
19361101 19361130    20.8
19361201 19361231    32.1
19370101 19370131    18.8
19370201 19370228     4.6
19370301 19370331    56.7
19370401 19370430    57.0
19370501 19370531   169.2
19370601 19370630    52.5
19370701 19370731    84.6
19370801 19370831   132.5
19370901 19370930    76.9
19371001 19371031    71.7
19371101 19371130    35.0
19371201 19371231    15.0
19380101 19380131     3.3
19380201 19380228     2.6
19380301 19380331    44.2
19380401 19380430    45.3
19380501 19380531   114.0
19380601 19380630    93.3
19380701 19380731   112.4
19380801 19380831    88.9
19380901 19380930    54.5
19381001 19381031    56.9
19381101 19381130    29.3
19381201 19381231    19.3
19390101 19390131   136.3
19390201 19390228    30.8
19390301 19390331    11.8
19390401 19390430    30.8
19390501 19390531    84.7
19390601 19390630   131.4
19390701 19390731   106.0
19390801 19390831   156.7
19390901 19390930    22.6
19391001 19391031   158.5
19391101 19391130    79.4
19391201 19391231     1.5
19400101 19400131    10.9
19400201 19400229     6.3
19400301 19400331     1.0
19400401 19400430    29.8
19400501 19400531    75.3
19400601 19400630    54.8
19400701 19400731    85.4
19400801 19400831    45.4
19400901 19400930    60.7
19401001 19401031    34.3
19401101 19401130    28.5
19401201 19401231    37.1
19410101 19410131     3.3
19410201 19410228     5.4
19410301 19410331   159.2
19410401 19410430    50.3
19410501 19410531    83.9
19410601 19410630   107.9
19410701 19410731   109.1
19410801 19410831    90.6
19410901 19410930   121.2
19411001 19411031    78.8
19411101 19411130    38.4
19411201 19411231     7.1
19420101 19420131    21.9
19420201 19420228     3.5
19420301 19420331    81.4
19420401 19420430   122.2
19420501 19420531   152.4
19420601 19420630   137.3
19420701 19420731   117.1
19420801 19420831   155.9
19420901 19420930   121.4
19421001 19421031    76.7
19421101 19421130    25.6
19421201 19421231   107.4
19430101 19430131    50.7
19430201 19430228    40.1
19430301 19430331   211.4
19430401 19430430   123.5
19430501 19430531    52.9
19430601 19430630    74.1
19430701 19430731   185.4
19430801 19430831    89.1
19430901 19430930    81.6
19431001 19431031    13.9
19431101 19431130    19.0
19431201 19431231    33.2
19440101 19440131     9.2
19440201 19440229    16.5
19440301 19440331    23.4
19440401 19440430    33.9
19440501 19440531   107.5
19440601 19440630    50.0
19440701 19440731   140.5
19440801 19440831    86.4
19440901 19440930    50.5
19441001 19441031    15.5
19441101 19441130    24.0
19441201 19441231    79.4
19450101 19450131     7.4
19450201 19450228     9.7
19450301 19450331    69.3
19450401 19450430    38.1
19450501 19450531   113.9
19450601 19450630   211.7
19450701 19450731   147.2
19450801 19450831   178.6
19450901 19450930   133.2
19451001 19451031    27.1
19451101 19451130    31.6
19451201 19451231    38.4
19460101 19460131     3.3
19460201 19460228     4.4
19460301 19460331    11.7
19460401 19460430    20.4
19460501 19460531   107.0
19460601 19460630   136.5
19460701 19460731   126.8
19460801 19460831    76.5
19460901 19460930    38.1
19461001 19461031    29.8
19461101 19461130   104.7
19461201 19461231    48.9
19470101 19470131     5.2
19470201 19470228    23.6
19470301 19470331    15.5
19470401 19470430   200.2
19470501 19470531   131.8
19470601 19470630   200.4
19470701 19470731    61.5
19470801 19470831    61.3
19470901 19470930    95.6
19471001 19471031   177.7
19471101 19471130    48.4
19471201 19471231    22.1
19480101 19480131     3.8
19480201 19480229     5.9
19480301 19480331    12.6
19480401 19480430    46.5
19480501 19480531    23.5
19480601 19480630    68.1
19480701 19480731   120.4
19480801 19480831   119.0
19480901 19480930   102.2
19481001 19481031    51.6
19481101 19481130    65.0
19481201 19481231    25.7
19490101 19490131    15.5
19490201 19490228     2.3
19490301 19490331    29.5
19490401 19490430    48.7
19490501 19490531    71.1
19490601 19490630    59.7
19490701 19490731   128.6
19490801 19490831    97.3
19490901 19490930    65.2
19491001 19491031   144.7
19491101 19491130    54.2
19491201 19491231     2.5
19500101 19500131    14.0
19500201 19500228     4.6
19500301 19500331     0.0
19500401 19500430     1.4
19500501 19500531   244.3
19500601 19500630   112.8
19500701 19500731   147.4
19500801 19500831    69.7
19500901 19500930   116.8
19501001 19501031    86.4
19501101 19501130    55.4
19501201 19501231    26.9
19510101 19510131    48.1
19510201 19510228    59.6
19510301 19510331    11.5
19510401 19510430   122.9
19510501 19510531    84.9
19510601 19510630   160.8
19510701 19510731   110.8
19510801 19510831   119.0
19510901 19510930    81.1
19511001 19511031    76.1
19511101 19511130    41.9
19511201 19511231    70.1
19520101 19520131    43.1
19520201 19520229     6.4
19520301 19520331    47.0
19520401 19520430    46.1
19520501 19520531    98.0
19520601 19520630   133.2
19520701 19520731    76.2
19520801 19520831    70.9
19520901 19520930    73.9
19521001 19521031    90.2
19521101 19521130    62.8
19521201 19521231    33.9
19530101 19530131     6.6
19530201 19530228    51.6
19530301 19530331    21.3
19530401 19530430    29.6
19530501 19530531    79.0
19530601 19530630   115.5
19530701 19530731    94.8
19530801 19530831    56.5
19530901 19530930    74.0
19531001 19531031    98.1
19531101 19531130    70.8
19531201 19531231    23.6
19540101 19540131    13.3
19540201 19540228     5.9
19540301 19540331    20.0
19540401 19540430    56.2
19540501 19540531    70.7
19540601 19540630    59.2
19540701 19540731    85.2
19540801 19540831    62.5
19540901 19540930    46.6
19541001 19541031    43.2
19541101 19541130    41.1
19541201 19541231    16.6
19550101 19550131    38.6
19550201 19550228   159.9
19550301 19550331    14.8
19550401 19550430   135.5
19550501 19550531    72.2
19550601 19550630   117.3
19550701 19550731   121.3
19550801 19550831   196.0
19550901 19550930    91.3
19551001 19551031   121.0
19551101 19551130    22.2
19551201 19551231    43.5
19560101 19560131     1.0
19560201 19560229     2.8
19560301 19560331    71.9
19560401 19560430    31.8
19560501 19560531   132.4
19560601 19560630   111.1
19560701 19560731   129.6
19560801 19560831    39.4
19560901 19560930    58.5
19561001 19561031    69.2
19561101 19561130    34.9
19561201 19561231    42.3
19570101 19570131     6.9
19570201 19570228    12.3
19570301 19570331    31.0
19570401 19570430    69.1
19570501 19570531    97.4
19570601 19570630   180.4
