PRCP       022020 18640101 20180131 missing_value=99999.9 WALLAROO                                  
18951201 18951231    23.7
18960101 18960131    40.1
18960201 18960229    10.7
18960301 18960331    11.7
18960401 18960430    24.9
18960501 18960531    48.8
18960601 18960630    81.5
18960701 18960731    20.5
18960801 18960831    44.7
18960901 18960930    14.4
18961001 18961031     4.6
18961101 18961130     2.0
18961201 18961231    14.3
18970101 18970131     6.6
18970201 18970228    12.8
18970301 18970331     5.1
18970401 18970430     6.2
18970501 18970531    18.4
18970601 18970630    34.3
18970701 18970731    42.6
18970801 18970831    46.6
18970901 18970930    40.2
18971001 18971031     2.5
18971101 18971130     2.6
18971201 18971231     0.3
18980101 18980131     0.0
18980201 18980228     2.6
18980301 18980331    26.9
18980401 18980430    54.5
18980501 18980531    27.3
18980601 18980630    93.8
18980701 18980731    22.8
18980801 18980831    91.4
18980901 18980930    16.2
18981001 18981031    23.2
18981101 18981130    11.5
18981201 18981231     1.0
18990101 18990131    12.4
18990201 18990228    10.4
18990301 18990331     2.8
18990401 18990430    23.4
18990501 18990531    39.8
18990601 18990630    53.3
18990701 18990731     8.8
18990801 18990831    19.8
18990901 18990930    41.1
18991001 18991031    11.4
18991101 18991130    17.8
18991201 18991231     7.2
19000101 19000131    13.5
19000201 19000228     1.6
19000301 19000331    36.6
19000401 19000430    39.3
19000501 19000531    38.2
19000601 19000630    37.0
19000701 19000731    15.7
19000801 19000831    51.1
19000901 19000930    25.0
19001001 19001031    10.0
19001101 19001130     6.2
19001201 19001231    22.1
19010101 19010131     3.5
19010201 19010228    21.7
19010301 19010331     5.2
19010401 19010430    61.9
19010501 19010531    19.2
19010601 19010630    39.8
19010701 19010731    52.4
19010801 19010831    29.9
19010901 19010930    45.7
19011001 19011031    53.3
19011101 19011130    14.0
19011201 19011231    15.8
19020101 19020131    12.5
19020201 19020228    15.2
19020301 19020331    31.3
19020401 19020430     7.6
19020501 19020531     8.9
19020601 19020630    62.5
19020701 19020731    24.0
19020801 19020831    11.5
19020901 19020930    18.6
19021001 19021031    31.9
19021101 19021130     6.4
19021201 19021231    58.0
19030101 19030131    17.0
19030201 19030228    19.3
19030301 19030331    35.3
19030401 19030430    52.7
