PRCP       010537 18910101 20180131 missing_value=99999.9 CRANBROOK                                 
19210401 19210430    24.5
19210501 19210531   152.9
19210601 19210630    50.5
19210701 19210731    62.3
19210801 19210831    45.8
19210901 19210930    57.1
19211001 19211031    54.9
19211101 19211130    23.3
19211201 19211231    33.7
19220101 19220131     4.9
19220201 19220228    17.6
19220301 19220331    33.7
19220401 19220430    40.7
19220501 19220531    68.8
19220601 19220630    36.6
19220701 19220731    95.9
19220801 19220831    79.1
19220901 19220930    35.7
19221001 19221031    19.0
19221101 19221130    34.6
19221201 19221231    24.0
19230101 19230131    23.9
19230201 19230228     5.3
19230301 19230331    48.3
19230401 19230430    30.4
19230501 19230531   104.3
19230601 19230630   161.4
19230701 19230731    54.8
19230801 19230831    60.6
19230901 19230930    91.4
19231001 19231031    32.6
19231101 19231130     6.1
19231201 19231231     5.2
19240101 19240131     2.8
19240201 19240229     4.6
19240301 19240331     1.0
19240401 19240430     6.8
19240501 19240531    86.9
19240601 19240630    41.6
19240701 19240731    50.4
19240801 19240831    71.0
19240901 19240930    70.1
19241001 19241031    96.9
19241101 19241130    28.4
19241201 19241231     4.6
19250101 19250131    15.0
19250201 19250228    23.4
19250301 19250331    31.4
19250401 19250430    27.2
19250501 19250531    66.4
19250601 19250630    64.7
19250701 19250731    74.8
19250801 19250831    21.3
19250901 19250930    40.0
19251001 19251031    76.6
19251101 19251130     4.9
19251201 19251231    69.0
19260101 19260131    10.1
19260201 19260228    29.5
19260301 19260331    66.5
19260401 19260430    99.7
19260501 19260531    38.4
19260601 19260630    40.5
19260701 19260731   151.5
19260801 19260831    38.1
19260901 19260930    63.3
19261001 19261031    54.2
19261101 19261130    40.6
19261201 19261231    18.7
19270101 19270131    10.7
19270201 19270228     3.6
19270301 19270331    60.4
19270401 19270430    27.9
19270501 19270531    47.3
19270601 19270630    78.3
19270701 19270731    52.0
19270801 19270831    34.2
19270901 19270930    74.6
19271001 19271031    65.5
19271101 19271130     5.8
19271201 19271231     7.1
19280101 19280131    36.5
19280201 19280229     0.0
19280301 19280331     4.3
19280401 19280430    44.7
19280501 19280531    51.2
19280601 19280630    31.2
19280701 19280731    74.0
19280801 19280831    89.6
19280901 19280930    73.2
19281001 19281031    29.4
19281101 19281130     3.5
19281201 19281231     3.0
19290101 19290131     0.8
19290201 19290228    22.1
19290301 19290331     7.1
19290401 19290430    26.6
19290501 19290531    68.4
19290601 19290630   107.7
19290701 19290731    61.2
19290801 19290831    54.2
19290901 19290930    37.6
19291001 19291031    32.0
19291101 19291130   107.1
19291201 19291231    19.3
19300101 19300131     0.0
19300201 19300228     8.9
19300301 19300331    23.4
19300401 19300430    23.5
19300501 19300531    96.8
19300601 19300630   105.4
19300701 19300731    80.5
19300801 19300831    32.7
19300901 19300930    44.3
19301001 19301031    19.5
19301101 19301130    19.3
19301201 19301231    13.3
19310101 19310131     0.0
19310201 19310228     4.3
19310301 19310331    46.2
19310401 19310430    34.2
19310501 19310531    55.6
19310601 19310630    59.2
19310701 19310731    52.4
19310801 19310831   100.3
19310901 19310930    82.9
19311001 19311031    28.1
19311101 19311130    18.4
19311201 19311231    36.5
19320101 19320131    22.2
19320201 19320229     2.0
19320301 19320331    14.2
19320401 19320430    48.7
19320501 19320531    69.4
19320601 19320630   101.2
19320701 19320731   106.2
19320801 19320831    74.1
19320901 19320930    32.6
19321001 19321031    54.8
19321101 19321130    18.8
19321201 19321231     8.6
19330101 19330131    24.1
19330201 19330228     4.6
19330301 19330331    28.6
19330401 19330430    36.3
19330501 19330531    66.0
19330601 19330630   181.0
19330701 19330731    66.1
19330801 19330831    62.5
19330901 19330930    73.0
19331001 19331031    82.9
19331101 19331130    24.6
19331201 19331231    17.2
19340101 19340131    30.1
19340201 19340228     9.6
19340301 19340331   106.7
19340401 19340430    19.5
19340501 19340531    52.6
19340601 19340630    85.9
19340701 19340731    87.8
19340801 19340831    65.6
19340901 19340930    54.7
19341001 19341031    35.9
19341101 19341130    20.8
19341201 19341231    25.1
19350101 19350131    29.2
19350201 19350228    13.2
19350301 19350331     0.0
19350401 19350430    39.3
19350501 19350531    26.2
19350601 19350630    94.6
19350701 19350731    94.8
19350801 19350831    40.4
19350901 19350930    57.5
19351001 19351031    40.5
19351101 19351130     6.6
19351201 19351231    11.9
19360101 19360131    26.1
19360201 19360229     0.5
19360301 19360331     0.3
19360401 19360430    18.5
19360501 19360531    51.5
19360601 19360630    93.0
19360701 19360731    62.7
19360801 19360831    61.0
19360901 19360930    24.7
19361001 19361031    11.5
19361101 19361130    19.3
19361201 19361231    23.1
19370101 19370131     3.6
19370201 19370228     0.8
19370301 19370331    65.9
19370401 19370430    50.5
19370501 19370531   107.3
19370601 19370630    58.8
19370701 19370731    30.4
19370801 19370831    92.4
19370901 19370930    44.4
19371001 19371031    25.5
19371101 19371130    16.9
19371201 19371231     1.3
19380101 19380131     7.9
19380201 19380228     1.8
19380301 19380331    37.6
19380401 19380430    22.5
19380501 19380531    51.5
19380601 19380630    52.5
19380701 19380731    97.3
19380801 19380831    75.3
19380901 19380930    34.0
19381001 19381031    42.5
19381101 19381130    17.9
19381201 19381231    11.7
19390101 19390131   102.6
19390201 19390228    37.4
19390301 19390331     3.3
19390401 19390430    42.2
19390501 19390531    69.7
19390601 19390630    77.6
19390701 19390731    96.7
19390801 19390831    89.5
19390901 19390930    17.9
19391001 19391031   113.7
19391101 19391130    60.5
19391201 19391231     0.0
19400101 19400131     8.6
19400201 19400229     0.0
19400301 19400331     1.0
19400401 19400430    16.8
19400501 19400531    35.6
19400601 19400630    29.9
19400701 19400731    62.5
19400801 19400831    39.4
19400901 19400930    28.7
19401001 19401031    19.5
19401101 19401130    11.8
19401201 19401231    45.0
19410101 19410131     0.0
19410201 19410228     2.3
19410301 19410331    56.2
19410401 19410430    46.9
19410501 19410531    37.7
19410601 19410630    81.6
19410701 19410731    71.5
19410801 19410831    56.5
19410901 19410930    83.8
19411001 19411031    33.6
19411101 19411130    25.0
19411201 19411231     3.5
19420101 19420131    11.9
19420201 19420228    19.1
19420301 19420331    40.8
19420401 19420430    57.6
19420501 19420531   114.8
19420601 19420630    99.5
19420701 19420731    86.6
19420801 19420831    89.6
19420901 19420930    74.6
19421001 19421031    36.9
19421101 19421130    15.4
19421201 19421231    44.0
19430101 19430131    44.5
19430201 19430228    17.5
19430301 19430331    66.2
19430401 19430430    64.0
19430501 19430531    39.6
19430601 19430630    37.0
19430701 19430731    78.2
19430801 19430831    65.2
19430901 19430930    51.0
19431001 19431031    12.1
19431101 19431130     6.4
19431201 19431231    15.8
19440101 19440131     7.1
19440201 19440229     0.8
19440301 19440331    10.4
19440401 19440430    20.5
19440501 19440531    59.6
19440601 19440630    36.2
19440701 19440731    91.7
19440801 19440831    70.7
19440901 19440930    35.7
19441001 19441031     1.3
19441101 19441130    15.5
19441201 19441231    32.0
19450101 19450131     0.0
19450201 19450228     5.0
19450301 19450331    33.5
19450401 19450430    15.7
19450501 19450531    75.9
19450601 19450630   131.3
19450701 19450731    96.8
19450801 19450831   155.5
19450901 19450930    58.4
19451001 19451031    14.7
19451101 19451130    10.7
19451201 19451231    14.7
19460101 19460131     9.6
19460201 19460228     2.3
19460301 19460331     9.2
19460401 19460430    19.5
19460501 19460531    73.6
19460601 19460630   109.0
19460701 19460731   104.9
19460801 19460831    63.9
19460901 19460930    26.0
19461001 19461031    24.4
19461101 19461130    63.5
19461201 19461231    38.0
19470101 19470131     2.5
19470201 19470228    10.4
19470301 19470331     8.4
19470401 19470430   129.6
19470501 19470531    96.2
19470601 19470630   157.8
19470701 19470731    56.5
19470801 19470831    36.4
19470901 19470930    57.8
19471001 19471031    97.8
19471101 19471130    43.6
19471201 19471231     8.7
19480101 19480131     0.0
19480201 19480229     3.8
19480301 19480331     9.6
19480401 19480430    31.0
19480501 19480531    12.2
19480601 19480630    49.9
19480701 19480731    80.1
19480801 19480831    92.0
19480901 19480930    59.9
19481001 19481031    34.9
19481101 19481130    55.2
19481201 19481231    39.7
19490101 19490131    10.0
19490201 19490228     1.0
19490301 19490331    32.2
19490401 19490430    19.6
19490501 19490531    36.3
19490601 19490630    59.1
19490701 19490731    95.6
19490801 19490831   103.0
19490901 19490930    44.9
19491001 19491031    80.8
19491101 19491130    42.6
19491201 19491231     1.0
19500101 19500131     9.1
19500201 19500228     0.8
19500301 19500331     0.3
19500401 19500430     0.5
19500501 19500531   189.4
19500601 19500630    71.9
19500701 19500731    91.1
19500801 19500831    51.2
19500901 19500930    55.6
19501001 19501031    46.3
19501101 19501130    46.2
19501201 19501231     8.7
19510101 19510131    28.9
19510201 19510228    49.1
19510301 19510331     5.6
19510401 19510430    65.4
19510501 19510531    57.9
19510601 19510630   131.1
19510701 19510731    46.8
19510801 19510831    75.8
19510901 19510930    63.9
19511001 19511031    44.0
19511101 19511130    59.2
19511201 19511231    46.5
19520101 19520131    34.7
19520201 19520229     7.8
19520301 19520331    23.4
19520401 19520430    18.7
19520501 19520531    74.9
19520601 19520630    80.4
19520701 19520731    45.1
19520801 19520831    38.7
19520901 19520930    44.4
19521001 19521031   109.4
19521101 19521130    25.9
19521201 19521231    23.2
19530101 19530131     3.0
19530201 19530228    20.6
19530301 19530331     4.1
19530401 19530430    12.9
19530501 19530531    58.2
19530601 19530630    69.2
19530701 19530731    57.2
19530801 19530831    47.9
19530901 19530930    78.9
19531001 19531031    87.8
19531101 19531130    40.3
19531201 19531231     3.3
19540101 19540131    16.8
19540201 19540228     2.6
19540301 19540331     4.1
19540401 19540430    10.9
19540501 19540531    60.9
19540601 19540630    36.0
19540701 19540731    50.6
19540801 19540831    35.7
19540901 19540930    28.3
19541001 19541031    22.1
19541101 19541130    54.1
19541201 19541231     8.7
19550101 19550131     6.5
19550201 19550228   190.2
19550301 19550331     7.9
19550401 19550430    84.2
19550501 19550531    42.5
19550601 19550630    55.2
19550701 19550731    58.2
19550801 19550831    93.4
19550901 19550930    61.5
19551001 19551031    54.2
19551101 19551130     6.9
19551201 19551231    13.8
19560101 19560131     0.0
19560201 19560229     0.8
19560301 19560331    58.2
19560401 19560430    18.5
19560501 19560531    66.2
19560601 19560630    62.1
19560701 19560731    90.8
19560801 19560831    24.1
19560901 19560930    23.3
19561001 19561031    48.6
19561101 19561130    25.1
19561201 19561231    16.7
19570101 19570131    20.6
19570201 19570228     6.9
19570301 19570331    28.3
19570401 19570430    52.4
19570501 19570531    60.6
19570601 19570630   146.2
19570701 19570731    24.4
19570801 19570831    71.3
19570901 19570930    21.4
19571001 19571031    50.1
19571101 19571130     0.0
19571201 19571231     9.9
19580101 19580131     8.0
19580201 19580228    21.5
19580301 19580331     4.4
19580401 19580430    30.0
19580501 19580531    60.1
19580601 19580630    36.1
19580701 19580731   149.7
19580801 19580831    45.9
19580901 19580930    87.0
19581001 19581031    24.7
19581101 19581130    11.1
19581201 19581231    22.9
19590101 19590131     6.7
