PRCP       029004 18861201 20180131 missing_value=99999.9 BURKETOWN POST OFFICE                     
19200201 19200229   320.7
19200301 19200331    18.3
19200401 19200430    56.4
19200501 19200531     7.7
19200601 19200630     2.8
19200701 19200731     0.0
19200801 19200831     0.0
19200901 19200930     0.0
19201001 19201031    32.6
19201101 19201130    28.9
19201201 19201231   166.9
19210101 19210131   131.6
19210201 19210228   188.1
19210301 19210331   160.8
19210401 19210430   264.6
19210501 19210531     0.0
19210601 19210630     0.0
19210701 19210731     1.3
19210801 19210831     0.0
19210901 19210930     4.5
19211001 19211031     3.5
19211101 19211130    31.8
19211201 19211231    87.4
19220101 19220131   397.7
19220201 19220228   345.0
19220301 19220331    43.0
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630     0.0
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    26.7
19221101 19221130    46.0
19221201 19221231   179.9
19230101 19230131    64.0
19230201 19230228    29.9
19230301 19230331    61.4
19230401 19230430     0.0
19230501 19230531     2.0
19230601 19230630    48.3
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031     7.6
19231101 19231130     6.9
19231201 19231231   116.0
19240101 19240131   414.0
19240201 19240229   219.2
19240301 19240331    72.9
19240401 19240430    71.4
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     1.0
19240801 19240831    32.0
19240901 19240930     0.0
19241001 19241031     1.8
19241101 19241130     0.0
19241201 19241231   208.8
19250101 19250131   260.5
19250201 19250228   145.5
19250301 19250331   473.3
19250401 19250430     9.4
19250501 19250531     0.0
19250601 19250630     0.0
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     0.0
19251001 19251031     0.0
19251101 19251130     7.6
19251201 19251231    72.9
19260101 19260131   153.7
19260201 19260228    39.1
19260301 19260331    49.0
19260401 19260430     0.0
19260501 19260531    13.2
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930    32.6
19261001 19261031     3.0
19261101 19261130     0.5
19261201 19261231   147.6
19270101 19270131   194.6
19270201 19270228   371.3
19270301 19270331    41.1
19270401 19270430    26.1
19270501 19270531     0.0
19270601 19270630    29.3
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     0.0
19271001 19271031     0.0
19271101 19271130    32.2
19271201 19271231   132.5
19280101 19280131    14.5
19280201 19280229    54.1
19280301 19280331   653.3
19280401 19280430     4.6
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130    36.4
19281201 19281231   149.3
19290101 19290131   250.1
19290201 19290228   116.3
19290301 19290331    47.7
19290401 19290430    37.3
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130    20.8
19291201 19291231    80.2
19300101 19300131   221.6
19300201 19300228   402.1
19300301 19300331   109.4
19300401 19300430     0.0
19300501 19300531    11.9
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831     2.3
19300901 19300930     0.0
19301001 19301031    45.4
19301101 19301130   120.9
19301201 19301231   145.9
19310101 19310131   204.4
19310201 19310228     3.3
