PRCP       085096 18721201 20180131 missing_value=99999.9 WILSONS PROMONTORY LIGHTHOUSE             
19010901 19010930    93.9
19011001 19011031    83.7
19011101 19011130    28.9
19011201 19011231    21.2
19020101 19020131    71.3
19020201 19020228    66.4
19020301 19020331   147.5
19020401 19020430    27.2
19020501 19020531    35.1
19020601 19020630   147.3
19020701 19020731    88.3
19020801 19020831    37.1
19020901 19020930    87.8
19021001 19021031    52.9
19021101 19021130    30.2
19021201 19021231   106.1
19030101 19030131    43.4
19030201 19030228    27.6
19030301 19030331    98.6
19030401 19030430   126.8
19030501 19030531    74.9
19030601 19030630   229.5
19030701 19030731    95.5
19030801 19030831   102.5
19030901 19030930    92.4
19031001 19031031    78.5
19031101 19031130    57.4
19031201 19031231    82.6
19040101 19040131    94.5
19040201 19040229    49.8
19040301 19040331    14.8
19040401 19040430    47.6
19040501 19040531    65.2
19040601 19040630    57.0
19040701 19040731   128.3
19040801 19040831    83.8
19040901 19040930    98.7
19041001 19041031    63.8
19041101 19041130    81.6
19041201 19041231    25.7
19050101 19050131    47.1
19050201 19050228    24.4
19050301 19050331    18.1
19050401 19050430    21.8
19050501 19050531   109.0
19050601 19050630   187.7
19050701 19050731   183.1
19050801 19050831    63.7
19050901 19050930   123.2
19051001 19051031    82.8
19051101 19051130    62.4
19051201 19051231   115.0
19060101 19060131     3.8
19060201 19060228     5.0
19060301 19060331   126.6
19060401 19060430   112.8
19060501 19060531    68.3
19060601 19060630   123.7
19060701 19060731   200.9
19060801 19060831   133.1
19060901 19060930    53.4
19061001 19061031   166.6
19061101 19061130    83.3
19061201 19061231    32.4
19070101 19070131    23.6
19070201 19070228    10.5
19070301 19070331    35.1
19070401 19070430   142.8
19070501 19070531    31.2
19070601 19070630    42.5
19070701 19070731   137.6
19070801 19070831   117.9
19070901 19070930   105.3
19071001 19071031   114.9
19071101 19071130    38.3
19071201 19071231    76.9
19080101 19080131     9.2
19080201 19080229    24.3
19080301 19080331   102.9
19080401 19080430    47.2
19080501 19080531    96.3
19080601 19080630   123.0
19080701 19080731   109.5
19080801 19080831    79.1
19080901 19080930    96.7
19081001 19081031    45.4
19081101 19081130    32.9
19081201 19081231    18.9
19090101 19090131    49.2
19090201 19090228    35.5
19090301 19090331    93.1
19090401 19090430   101.2
19090501 19090531    95.1
19090601 19090630   138.5
19090701 19090731   128.8
19090801 19090831   117.0
19090901 19090930    40.7
19091001 19091031    67.1
19091101 19091130    43.2
19091201 19091231    69.9
19100101 19100131    58.5
19100201 19100228    36.8
19100301 19100331    34.6
19100401 19100430    39.7
19100501 19100531   101.6
19100601 19100630    90.4
19100701 19100731    75.4
19100801 19100831   104.9
19100901 19100930   138.9
19101001 19101031   149.9
19101101 19101130    71.3
19101201 19101231   185.4
19110101 19110131    53.4
19110201 19110228    57.5
19110301 19110331   107.3
19110401 19110430    45.7
19110501 19110531    64.4
19110601 19110630   168.2
19110701 19110731    43.1
19110801 19110831    64.1
19110901 19110930    55.9
19111001 19111031    30.1
19111101 19111130    26.6
19111201 19111231    94.1
19120101 19120131    10.4
19120201 19120229    27.7
19120301 19120331    38.6
19120401 19120430   108.9
19120501 19120531    81.5
19120601 19120630    42.5
19120701 19120731    65.0
