PRCP       013002 19500301 20171231 missing_value=99999.9 GLEN AYLE                                 
19790201 19790228    45.8
19790301 19790331     9.4
19790401 19790430     3.0
19790501 19790531    50.0
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831    33.0
19790901 19790930    16.0
19791001 19791031     0.0
19791101 19791130     0.0
19791201 19791231    17.0
19800101 19800131    13.0
19800201 19800229   178.0
19800301 19800331     0.0
19800401 19800430   113.0
19800501 19800531     5.0
19800601 19800630    31.0
19800701 19800731    37.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031     0.0
19801101 19801130     0.0
19801201 19801231     0.0
19810101 19810131     0.0
19810201 19810228    20.0
19810301 19810331     9.0
19810401 19810430     4.0
19810501 19810531     6.0
19810601 19810630     0.0
19810701 19810731     4.0
19810801 19810831     0.0
19810901 19810930     0.0
19811001 19811031     0.0
19811101 19811130     9.0
19811201 19811231     0.0
19820101 19820131    30.0
19820201 19820228   124.0
19820301 19820331     0.0
19820401 19820430     8.0
19820501 19820531    10.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     8.0
19820901 19820930    27.0
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231    40.0
19830101 19830131    14.0
19830201 19830228    34.8
19830301 19830331    73.0
19830401 19830430    28.0
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     0.0
19831001 19831031     0.0
19831101 19831130     8.0
19831201 19831231    35.0
19840101 19840131    11.0
19840201 19840229     0.0
19840301 19840331    67.4
19840401 19840430     0.0
19840501 19840531    56.0
19840601 19840630     0.0
19840701 19840731    77.0
19840801 19840831     6.0
19840901 19840930     0.0
19841001 19841031     0.0
19841101 19841130     4.0
19841201 19841231    86.6
19850101 19850131    18.6
19850201 19850228    17.0
19850301 19850331 99999.9
19850401 19850430     0.0
19850501 19850531     0.0
19850601 19850630     0.0
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031     0.0
19851101 19851130    21.6
19851201 19851231     0.0
19860101 19860131     9.0
19860201 19860228    36.2
19860301 19860331     2.0
19860401 19860430     0.0
19860501 19860531     0.0
19860601 19860630    25.0
19860701 19860731     5.0
19860801 19860831     0.0
19860901 19860930     9.6
19861001 19861031     0.0
19861101 19861130     0.0
19861201 19861231     0.0
19870101 19870131   114.6
19870201 19870228   167.4
19870301 19870331     0.0
19870401 19870430     3.0
19870501 19870531    22.0
19870601 19870630    17.6
19870701 19870731     2.0
19870801 19870831     0.0
19870901 19870930     0.0
19871001 19871031     0.0
19871101 19871130     9.0
19871201 19871231    19.0
19880101 19880131    14.2
19880201 19880229    40.0
19880301 19880331    55.0
19880401 19880430    35.0
19880501 19880531    97.4
19880601 19880630     0.0
19880701 19880731     0.0
19880801 19880831     0.0
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130     5.0
19881201 19881231     0.0
19890101 19890131    35.4
19890201 19890228     6.0
19890301 19890331     4.0
19890401 19890430     4.0
19890501 19890531     6.0
19890601 19890630    32.1
19890701 19890731    14.0
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     0.0
19891101 19891130     6.4
19891201 19891231    11.0
19900101 19900131    86.8
19900201 19900228     9.0
19900301 19900331    17.4
19900401 19900430     7.0
19900501 19900531     0.0
19900601 19900630     2.0
19900701 19900731     0.0
19900801 19900831     8.6
19900901 19900930     0.0
19901001 19901031     0.0
19901101 19901130    22.8
19901201 19901231    15.0
19910101 19910131    15.1
19910201 19910228     3.8
19910301 19910331     5.6
19910401 19910430    10.6
19910501 19910531    34.4
19910601 19910630    91.4
19910701 19910731    12.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130     0.0
19911201 19911231     0.0
19920101 19920131    14.9
19920201 19920229    20.0
19920301 19920331    59.2
19920401 19920430   112.4
19920501 19920531    31.4
19920601 19920630    74.0
19920701 19920731     0.0
19920801 19920831    35.6
19920901 19920930     9.0
19921001 19921031     8.6
19921101 19921130     0.0
19921201 19921231     8.0
19930101 19930131    35.8
19930201 19930228    57.4
19930301 19930331     0.0
19930401 19930430     4.6
19930501 19930531    68.6
19930601 19930630    25.0
19930701 19930731     4.0
19930801 19930831    35.4
19930901 19930930     0.0
19931001 19931031     0.0
19931101 19931130    12.8
19931201 19931231    86.4
19940101 19940131     5.0
19940201 19940228    61.8
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     4.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031    11.6
19941101 19941130     0.0
19941201 19941231    67.2
19950101 19950131    38.7
19950201 19950228   306.3
19950301 19950331    30.8
19950401 19950430    27.8
19950501 19950531     2.0
19950601 19950630    28.6
19950701 19950731     0.0
19950801 19950831     0.0
19950901 19950930     4.0
19951001 19951031     0.0
19951101 19951130    26.4
19951201 19951231   148.3
19960101 19960131     7.0
19960201 19960229     2.0
19960301 19960331    65.2
19960401 19960430    22.0
19960501 19960531     3.4
19960601 19960630    20.0
19960701 19960731    22.0
19960801 19960831     9.2
19960901 19960930     0.0
19961001 19961031    10.0
19961101 19961130     6.0
19961201 19961231    26.5
19970101 19970131    50.0
19970201 19970228   236.0
19970301 19970331     3.8
19970401 19970430    21.2
19970501 19970531    78.0
19970601 19970630    20.2
19970701 19970731    22.0
19970801 19970831    55.6
19970901 19970930    13.0
19971001 19971031     0.0
19971101 19971130     6.6
19971201 19971231    12.2
19980101 19980131    21.0
19980201 19980228     6.6
19980301 19980331     7.0
