PRCP       010592 19080801 20120831 missing_value=99999.9 LAKE GRACE POST OFFICE                    
19461201 19461231     9.1
19470101 19470131     0.8
19470201 19470228    37.6
19470301 19470331     1.0
19470401 19470430    51.8
19470501 19470531    52.4
19470601 19470630    69.5
19470701 19470731    40.7
19470801 19470831    12.0
19470901 19470930    20.5
19471001 19471031    46.2
19471101 19471130    28.0
19471201 19471231     0.5
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331     5.1
19480401 19480430    15.5
19480501 19480531     2.1
19480601 19480630    62.4
19480701 19480731    68.0
19480801 19480831    34.5
19480901 19480930    65.4
19481001 19481031    11.7
19481101 19481130    14.3
19481201 19481231    17.6
19490101 19490131     1.3
19490201 19490228     3.6
19490301 19490331    10.9
19490401 19490430    14.1
19490501 19490531     6.0
19490601 19490630    45.7
19490701 19490731    66.2
19490801 19490831    44.5
19490901 19490930    17.5
19491001 19491031    20.5
19491101 19491130    20.2
19491201 19491231     0.5
19500101 19500131     1.8
19500201 19500228     0.0
19500301 19500331     0.3
19500401 19500430     0.5
19500501 19500531    58.9
19500601 19500630    33.0
19500701 19500731    50.6
19500801 19500831    12.3
19500901 19500930    29.1
19501001 19501031    15.5
19501101 19501130     8.7
19501201 19501231     2.0
19510101 19510131    17.8
19510201 19510228    35.1
19510301 19510331     5.8
19510401 19510430    38.4
19510501 19510531    25.1
19510601 19510630    76.3
19510701 19510731    21.0
19510801 19510831    30.7
19510901 19510930    55.4
19511001 19511031    23.9
19511101 19511130     1.5
19511201 19511231    17.3
19520101 19520131     9.6
19520201 19520229     1.0
19520301 19520331    13.5
19520401 19520430     1.5
19520501 19520531    64.5
19520601 19520630    69.6
19520701 19520731    37.3
19520801 19520831    15.4
19520901 19520930    33.0
19521001 19521031    29.6
19521101 19521130    17.0
19521201 19521231    23.6
19530101 19530131     3.0
19530201 19530228     6.6
19530301 19530331    45.8
19530401 19530430    18.1
19530501 19530531    98.2
19530601 19530630    53.6
19530701 19530731    34.3
19530801 19530831    16.1
19530901 19530930    24.8
19531001 19531031    55.9
19531101 19531130     7.8
19531201 19531231     0.0
19540101 19540131     5.3
19540201 19540228     2.3
19540301 19540331     0.0
19540401 19540430     7.9
19540501 19540531    71.4
19540601 19540630    21.5
19540701 19540731    54.8
19540801 19540831    22.9
19540901 19540930    11.2
19541001 19541031     5.1
19541101 19541130    13.3
19541201 19541231     5.3
19550101 19550131     1.8
19550201 19550228   214.3
19550301 19550331     5.8
19550401 19550430    46.7
19550501 19550531    29.8
19550601 19550630    17.1
19550701 19550731    30.7
19550801 19550831   104.3
19550901 19550930    34.6
19551001 19551031    26.9
19551101 19551130     1.3
19551201 19551231    11.0
19560101 19560131     1.3
19560201 19560229     4.8
19560301 19560331    15.3
19560401 19560430    11.5
19560501 19560531    52.6
19560601 19560630    61.0
19560701 19560731    42.2
19560801 19560831     5.7
19560901 19560930    12.4
19561001 19561031     8.3
19561101 19561130    27.2
19561201 19561231    12.0
19570101 19570131    12.9
19570201 19570228    12.1
19570301 19570331    14.2
19570401 19570430    11.3
