PRCP       054003 18930101 20180131 missing_value=99999.9 BARRABA POST OFFICE                       
19260301 19260331    41.2
19260401 19260430    49.0
19260501 19260531    55.5
19260601 19260630    47.3
19260701 19260731    30.2
19260801 19260831    12.0
19260901 19260930    41.0
19261001 19261031     6.3
19261101 19261130     5.8
19261201 19261231    92.9
19270101 19270131   100.6
19270201 19270228     4.1
19270301 19270331    32.1
19270401 19270430    61.5
19270501 19270531     2.8
19270601 19270630    24.8
19270701 19270731     1.8
19270801 19270831     5.3
19270901 19270930     1.8
19271001 19271031    58.5
19271101 19271130   159.1
19271201 19271231    95.3
19280101 19280131    44.1
19280201 19280229   197.9
19280301 19280331   186.5
19280401 19280430    78.3
19280501 19280531    23.2
19280601 19280630   112.1
19280701 19280731    70.9
19280801 19280831     0.0
19280901 19280930     3.8
19281001 19281031    23.6
19281101 19281130    51.3
19281201 19281231    26.2
19290101 19290131    36.3
19290201 19290228    72.2
19290301 19290331    41.6
19290401 19290430    91.7
19290501 19290531     5.6
19290601 19290630    31.8
19290701 19290731    14.3
19290801 19290831    96.5
19290901 19290930    28.5
19291001 19291031    77.4
19291101 19291130    42.4
19291201 19291231    23.9
19300101 19300131    39.0
19300201 19300228     8.2
19300301 19300331    65.5
19300401 19300430    43.9
19300501 19300531    15.5
19300601 19300630    97.5
19300701 19300731    63.2
19300801 19300831    22.5
19300901 19300930    18.8
19301001 19301031   124.7
19301101 19301130   104.6
19301201 19301231    39.9
19310101 19310131    25.1
19310201 19310228    32.9
19310301 19310331   179.3
19310401 19310430    72.3
19310501 19310531   101.0
19310601 19310630    89.0
19310701 19310731    36.5
19310801 19310831    29.0
19310901 19310930    21.8
19311001 19311031    10.7
19311101 19311130    38.9
19311201 19311231   178.4
19320101 19320131    37.7
19320201 19320229    13.8
19320301 19320331    71.2
19320401 19320430    47.0
19320501 19320531    21.1
19320601 19320630    17.7
19320701 19320731    26.3
19320801 19320831    19.6
19320901 19320930   104.2
19321001 19321031    66.4
19321101 19321130    62.7
19321201 19321231    35.5
19330101 19330131   134.1
19330201 19330228     8.4
19330301 19330331    17.0
19330401 19330430    26.4
19330501 19330531    30.1
19330601 19330630    69.4
19330701 19330731   143.5
19330801 19330831    16.4
19330901 19330930    56.7
19331001 19331031   118.7
19331101 19331130   107.9
19331201 19331231    72.7
19340101 19340131   140.1
19340201 19340228   124.8
19340301 19340331     0.8
19340401 19340430    45.0
19340501 19340531     2.8
19340601 19340630    23.6
19340701 19340731    86.3
19340801 19340831    39.0
19340901 19340930    68.6
19341001 19341031   118.7
19341101 19341130    55.6
19341201 19341231    29.5
19350101 19350131   112.5
19350201 19350228    42.2
