PRCP       008147 19090801 20180131 missing_value=99999.9 YUNA                                      
19521101 19521130     2.1
19521201 19521231     4.5
19530101 19530131     0.0
19530201 19530228     2.3
19530301 19530331   103.6
19530401 19530430    47.3
19530501 19530531   126.6
19530601 19530630    73.0
19530701 19530731    74.8
19530801 19530831    16.8
19530901 19530930    12.0
19531001 19531031     0.5
19531101 19531130     6.1
19531201 19531231     0.0
19540101 19540131    19.5
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     6.9
19540501 19540531    25.4
19540601 19540630    15.8
19540701 19540731    57.6
19540801 19540831    32.8
19540901 19540930     6.3
19541001 19541031     1.3
19541101 19541130     0.0
19541201 19541231     0.0
19550101 19550131     2.8
19550201 19550228    71.2
19550301 19550331     1.8
19550401 19550430    23.6
19550501 19550531    70.2
19550601 19550630    21.3
19550701 19550731     0.5
19550801 19550831    84.0
19550901 19550930    18.8
19551001 19551031    33.0
19551101 19551130     0.0
19551201 19551231     6.1
19560101 19560131     0.0
19560201 19560229     0.0
19560301 19560331    14.2
19560401 19560430     5.8
19560501 19560531    81.8
19560601 19560630    92.2
19560701 19560731    66.1
19560801 19560831    12.6
19560901 19560930     1.8
19561001 19561031    15.5
19561101 19561130    13.8
19561201 19561231     2.3
19570101 19570131    10.4
19570201 19570228     0.0
19570301 19570331     0.0
19570401 19570430     3.8
19570501 19570531    15.7
19570601 19570630   104.2
19570701 19570731    22.8
19570801 19570831    61.8
19570901 19570930     4.0
19571001 19571031    13.9
19571101 19571130     0.0
19571201 19571231     0.5
19580101 19580131    39.3
19580201 19580228     4.6
19580301 19580331     0.0
19580401 19580430     4.6
19580501 19580531    59.0
19580601 19580630    15.7
19580701 19580731   157.1
19580801 19580831    99.2
19580901 19580930    42.0
19581001 19581031    14.0
19581101 19581130     5.6
19581201 19581231    30.7
19590101 19590131     0.0
19590201 19590228     0.0
19590301 19590331     0.0
19590401 19590430     3.0
19590501 19590531    11.3
19590601 19590630    73.4
19590701 19590731    27.8
19590801 19590831    55.1
19590901 19590930     0.0
19591001 19591031    21.4
19591101 19591130     6.6
19591201 19591231    17.8
19600101 19600131     6.9
19600201 19600229    62.5
19600301 19600331    76.7
19600401 19600430    18.9
19600501 19600531    62.3
19600601 19600630    46.8
19600701 19600731   129.2
19600801 19600831    16.7
19600901 19600930    11.1
19601001 19601031     3.0
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131    29.0
19610201 19610228     3.6
19610301 19610331     1.3
19610401 19610430    51.0
19610501 19610531    27.4
19610601 19610630    97.8
19610701 19610731    59.8
19610801 19610831    40.6
19610901 19610930     3.3
19611001 19611031     4.6
19611101 19611130     0.0
19611201 19611231     7.6
19620101 19620131    21.6
19620201 19620228     0.0
19620301 19620331     0.0
19620401 19620430     1.8
19620501 19620531    94.8
19620601 19620630   124.4
19620701 19620731    50.8
19620801 19620831    20.8
19620901 19620930    11.7
19621001 19621031    23.9
19621101 19621130     2.5
19621201 19621231     8.1
19630101 19630131    39.9
19630201 19630228    69.1
19630301 19630331    16.1
19630401 19630430    11.5
19630501 19630531   160.7
19630601 19630630    90.8
19630701 19630731    86.1
19630801 19630831    76.8
19630901 19630930    11.4
19631001 19631031     2.3
19631101 19631130     7.6
19631201 19631231     2.0
19640101 19640131     2.0
19640201 19640229     3.3
19640301 19640331    24.6
19640401 19640430    21.6
19640501 19640531     3.3
19640601 19640630    93.1
19640701 19640731    84.9
19640801 19640831    28.1
19640901 19640930    19.9
19641001 19641031    37.3
19641101 19641130     3.1
19641201 19641231     2.3
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     3.8
19650501 19650531    64.6
19650601 19650630   141.5
19650701 19650731    98.7
19650801 19650831    62.0
19650901 19650930    15.2
19651001 19651031    33.6
19651101 19651130    31.8
19651201 19651231     0.0
19660101 19660131     0.0
