PRCP       029048 19211201 20170131 missing_value=99999.9 VANROOK STATION                           
19620901 19620930    30.7
19621001 19621031    12.0
19621101 19621130    50.5
19621201 19621231   122.9
19630101 19630131   341.9
19630201 19630228   320.9
19630301 19630331   293.1
19630401 19630430    81.1
19630501 19630531     0.8
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130    19.6
19631201 19631231    73.2
19640101 19640131   258.1
19640201 19640229   283.0
19640301 19640331   285.5
19640401 19640430    24.4
19640501 19640531     0.0
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     0.0
19641001 19641031    20.6
19641101 19641130    85.7
19641201 19641231   438.6
19650101 19650131   161.5
19650201 19650228    62.5
19650301 19650331   124.0
19650401 19650430    33.0
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130    12.2
19651201 19651231   138.7
19660101 19660131   107.1
19660201 19660228   238.5
19660301 19660331    42.2
19660401 19660430     0.0
19660501 19660531    11.4
19660601 19660630     0.0
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031     0.0
19661101 19661130    46.4
19661201 19661231    63.5
19670101 19670131   110.3
19670201 19670228   548.8
19670301 19670331   190.1
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630     2.5
19670701 19670731     1.3
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     2.5
19671101 19671130    54.5
19671201 19671231    35.8
19680101 19680131   238.9
19680201 19680229   180.5
19680301 19680331    73.9
19680401 19680430    40.6
19680501 19680531    13.2
19680601 19680630     0.0
19680701 19680731    10.7
19680801 19680831     0.0
19680901 19680930     0.0
19681001 19681031     0.0
19681101 19681130    23.6
19681201 19681231    66.2
19690101 19690131   209.4
19690201 19690228   159.1
19690301 19690331    59.8
19690401 19690430     1.3
19690501 19690531     7.4
19690601 19690630    15.8
19690701 19690731     5.8
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     2.3
19691101 19691130     8.9
19691201 19691231   257.3
19700101 19700131    25.7
19700201 19700228   116.9
19700301 19700331   254.8
19700401 19700430     0.5
19700501 19700531     0.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831    13.0
19700901 19700930     0.0
19701001 19701031    57.4
19701101 19701130    24.7
19701201 19701231   212.6
19710101 19710131    42.6
19710201 19710228   371.7
19710301 19710331   236.5
19710401 19710430   146.8
19710501 19710531     0.0
19710601 19710630     0.5
19710701 19710731     0.0
19710801 19710831     0.0
19710901 19710930     1.0
19711001 19711031    15.2
19711101 19711130    60.1
19711201 19711231    40.0
19720101 19720131   299.6
19720201 19720229   415.7
19720301 19720331   256.3
19720401 19720430     0.0
19720501 19720531     2.0
19720601 19720630     3.3
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    58.1
19721201 19721231    56.6
19730101 19730131   235.0
19730201 19730228   319.4
19730301 19730331   144.7
19730401 19730430    58.9
19730501 19730531     0.0
19730601 19730630     0.0
19730701 19730731     0.0
19730801 19730831     0.0
19730901 19730930    33.0
19731001 19731031     0.0
19731101 19731130   246.5
19731201 19731231   238.3
19740101 19740131  1341.4
19740201 19740228   340.0
19740301 19740331   411.0
19740401 19740430     0.0
19740501 19740531     0.0
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831     0.0
19740901 19740930     0.0
19741001 19741031     4.0
19741101 19741130     4.2
19741201 19741231   170.9
19750101 19750131   219.3
19750201 19750228   278.6
19750301 19750331   224.6
19750401 19750430    50.6
19750501 19750531     0.0
19750601 19750630     2.0
19750701 19750731     1.6
19750801 19750831     0.0
19750901 19750930    14.0
19751001 19751031   145.8
19751101 19751130    38.6
19751201 19751231   264.8
19760101 19760131   485.8
19760201 19760229   508.0
19760301 19760331   246.2
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031     0.0
19761101 19761130   158.8
19761201 19761231   254.6
19770101 19770131   127.0
19770201 19770228   166.8
19770301 19770331    95.3
19770401 19770430    26.4
19770501 19770531     0.0
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130    85.1
19771201 19771231   239.0
19780101 19780131   187.6
19780201 19780228   232.4
19780301 19780331    15.6
19780401 19780430    29.6
19780501 19780531     0.0
19780601 19780630     0.0
19780701 19780731     0.0
19780801 19780831     0.0
19780901 19780930    12.2
19781001 19781031     0.0
19781101 19781130    53.4
19781201 19781231   148.4
19790101 19790131   293.0
19790201 19790228   392.1
19790301 19790331   198.0
19790401 19790430    12.0
19790501 19790531     0.0
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930     0.0
19791001 19791031     5.8
19791101 19791130    41.0
19791201 19791231    90.8
19800101 19800131   219.1
19800201 19800229   343.9
19800301 19800331    45.4
19800401 19800430    28.6
19800501 19800531    19.0
19800601 19800630     0.0
19800701 19800731     0.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031    87.6
19801101 19801130     4.0
19801201 19801231    67.0
19810101 19810131   701.0
19810201 19810228   137.4
19810301 19810331    11.2
19810401 19810430    16.0
19810501 19810531    37.4
19810601 19810630     0.0
19810701 19810731     9.0
19810801 19810831     0.0
19810901 19810930    10.4
19811001 19811031     0.0
19811101 19811130    48.0
19811201 19811231   179.6
19820101 19820131   198.8
19820201 19820228   117.0
19820301 19820331   225.0
19820401 19820430    25.6
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     6.4
19820901 19820930     0.0
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231   100.2
19830101 19830131    59.6
19830201 19830228   133.8
19830301 19830331   206.4
19830401 19830430    84.4
19830501 19830531    39.2
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     0.0
19831001 19831031     0.0
19831101 19831130    88.5
19831201 19831231    28.0
19840101 19840131   186.5
19840201 19840229   690.0
19840301 19840331   231.0
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731     0.0
19840801 19840831     0.0
19840901 19840930     0.0
19841001 19841031     0.0
19841101 19841130    59.0
19841201 19841231    89.0
19850101 19850131   129.0
19850201 19850228   180.0
19850301 19850331   120.6
19850401 19850430    42.4
19850501 19850531     3.6
19850601 19850630    24.0
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031    12.4
19851101 19851130    59.4
19851201 19851231    87.8
19860101 19860131   371.1
19860201 19860228    41.6
19860301 19860331    10.6
19860401 19860430    10.8
19860501 19860531     0.0
19860601 19860630     0.0
19860701 19860731     0.0
19860801 19860831     0.0
19860901 19860930     0.0
19861001 19861031    68.8
19861101 19861130    33.0
19861201 19861231    84.5
19870101 19870131   212.0
19870201 19870228   412.4
19870301 19870331    88.6
19870401 19870430    49.8
19870501 19870531     0.0
19870601 19870630     2.0
19870701 19870731     0.0
19870801 19870831     0.0
19870901 19870930     0.0
19871001 19871031     0.0
19871101 19871130    26.2
19871201 19871231   181.0
19880101 19880131   131.4
19880201 19880229   358.2
19880301 19880331    66.4
19880401 19880430    15.0
19880501 19880531     0.0
19880601 19880630     0.0
19880701 19880731     0.0
19880801 19880831    10.6
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130    84.2
19881201 19881231   222.8
19890101 19890131   121.2
19890201 19890228   151.2
19890301 19890331   222.6
19890401 19890430    68.0
19890501 19890531    10.0
19890601 19890630     0.0
19890701 19890731     0.0
19890801 19890831     6.0
19890901 19890930     0.0
19891001 19891031     0.0
19891101 19891130   134.0
19891201 19891231   275.0
19900101 19900131 99999.9
19900201 19900228 99999.9
19900301 19900331 99999.9
19900401 19900430 99999.9
19900501 19900531 99999.9
19900601 19900630 99999.9
19900701 19900731 99999.9
19900801 19900831 99999.9
19900901 19900930 99999.9
19901001 19901031 99999.9
19901101 19901130 99999.9
19901201 19901231 99999.9
19910101 19910131 99999.9
19910201 19910228 99999.9
19910301 19910331 99999.9
19910401 19910430 99999.9
19910501 19910531 99999.9
19910601 19910630 99999.9
19910701 19910731 99999.9
19910801 19910831 99999.9
19910901 19910930 99999.9
19911001 19911031 99999.9
19911101 19911130 99999.9
19911201 19911231 99999.9
19920101 19920131 99999.9
19920201 19920229 99999.9
19920301 19920331 99999.9
19920401 19920430 99999.9
19920501 19920531 99999.9
19920601 19920630 99999.9
19920701 19920731 99999.9
19920801 19920831 99999.9
19920901 19920930 99999.9
19921001 19921031 99999.9
19921101 19921130 99999.9
19921201 19921231 99999.9
19930101 19930131   271.8
19930201 19930228    49.5
19930301 19930331     0.0
19930401 19930430     0.0
19930501 19930531     0.0
19930601 19930630     0.0
19930701 19930731     3.4
19930801 19930831     0.0
19930901 19930930     0.0
19931001 19931031     0.0
19931101 19931130     8.9
19931201 19931231    64.6
19940101 19940131   211.3
19940201 19940228   153.9
19940301 19940331   171.0
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     0.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130    11.8
19941201 19941231    27.6
19950101 19950131    31.0
19950201 19950228   205.0
19950301 19950331   148.0
19950401 19950430     0.0
19950501 19950531     0.0
19950601 19950630     0.0
19950701 19950731     0.0
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031    23.0
19951101 19951130    16.0
19951201 19951231    85.2
19960101 19960131   619.4
19960201 19960229    72.8
19960301 19960331   161.5
19960401 19960430    24.0
19960501 19960531     0.0
19960601 19960630     0.0
19960701 19960731     0.0
19960801 19960831     9.0
19960901 19960930     0.0
19961001 19961031    53.6
19961101 19961130     0.8
19961201 19961231    88.7
19970101 19970131   256.4
19970201 19970228    96.9
19970301 19970331    40.0
19970401 19970430     0.0
19970501 19970531     0.0
19970601 19970630     0.0
19970701 19970731     0.0
19970801 19970831     0.0
19970901 19970930     0.0
19971001 19971031    11.4
19971101 19971130    52.0
19971201 19971231   423.2
19980101 19980131   629.7
19980201 19980228   420.0
19980301 19980331   333.0
19980401 19980430    68.8
19980501 19980531     9.0
19980601 19980630 99999.9
19980701 19980731 99999.9
19980801 19980831 99999.9
19980901 19980930 99999.9
19981001 19981031    77.4
19981101 19981130   215.2
19981201 19981231   104.0
19990101 19990131   268.8
19990201 19990228   465.0
19990301 19990331   268.0
19990401 19990430   281.8
19990501 19990531     0.0
19990601 19990630     0.0
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031     0.0
19991101 19991130    66.0
19991201 19991231   107.0
20000101 20000131   299.2
20000201 20000229   475.8
20000301 20000331    91.2
20000401 20000430    49.2
20000501 20000531     0.0
20000601 20000630    33.6
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     0.0
20001001 20001031    57.4
20001101 20001130    60.6
20001201 20001231   254.6
20010101 20010131   156.2
20010201 20010228   287.2
20010301 20010331   141.8
20010401 20010430    25.4
20010501 20010531     0.0
20010601 20010630    12.0
20010701 20010731     0.0
20010801 20010831     0.0
20010901 20010930     0.0
20011001 20011031    12.6
20011101 20011130    38.2
20011201 20011231   170.7
20020101 20020131   297.2
20020201 20020228   224.0
20020301 20020331    71.4
20020401 20020430     0.0
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130     1.0
20021201 20021231   106.0
20030101 20030131   105.6
20030201 20030228   153.2
20030301 20030331   161.6
20030401 20030430     0.0
20030501 20030531     5.2
20030601 20030630     0.0
20030701 20030731     0.0
20030801 20030831     0.0
20030901 20030930     0.0
20031001 20031031     3.0
20031101 20031130    13.0
20031201 20031231   174.2
20040101 20040131   344.6
20040201 20040229   254.6
20040301 20040331   167.8
20040401 20040430     3.8
20040501 20040531     6.4
20040601 20040630     0.0
20040701 20040731     0.0
20040801 20040831     0.0
20040901 20040930     0.0
20041001 20041031     0.0
20041101 20041130    81.6
20041201 20041231   239.8
20050101 20050131   214.6
20050201 20050228   133.8
20050301 20050331    46.0
20050401 20050430     0.0
20050501 20050531     0.0
