PRCP       074128 18700101 20180131 missing_value=99999.9 DENILIQUIN POST OFFICE                    
19010501 19010531     3.1
19010601 19010630    23.4
19010701 19010731    34.8
19010801 19010831    55.0
19010901 19010930    26.7
19011001 19011031    45.8
19011101 19011130     7.7
19011201 19011231     3.6
19020101 19020131    22.9
19020201 19020228     0.0
19020301 19020331    29.3
19020401 19020430     0.0
19020501 19020531     7.1
19020601 19020630    35.0
19020701 19020731    13.2
19020801 19020831     9.1
19020901 19020930    12.7
19021001 19021031    56.1
19021101 19021130     5.1
19021201 19021231    92.1
19030101 19030131     1.8
19030201 19030228    16.5
19030301 19030331    57.0
19030401 19030430    51.4
19030501 19030531     6.4
19030601 19030630    38.4
19030701 19030731    41.5
19030801 19030831     5.8
19030901 19030930    82.0
19031001 19031031    31.5
19031101 19031130    40.1
19031201 19031231    35.4
19040101 19040131    73.0
19040201 19040229     9.4
19040301 19040331     3.3
19040401 19040430    21.3
19040501 19040531    31.0
19040601 19040630    37.6
19040701 19040731    64.9
19040801 19040831    37.6
19040901 19040930     9.7
19041001 19041031    51.9
19041101 19041130    13.8
19041201 19041231    15.8
19050101 19050131    35.2
19050201 19050228    20.8
19050301 19050331     1.3
19050401 19050430    96.8
19050501 19050531    34.1
19050601 19050630    20.7
19050701 19050731    70.1
19050801 19050831     8.4
19050901 19050930    26.4
19051001 19051031    29.4
19051101 19051130     2.3
19051201 19051231     2.6
19060101 19060131     0.0
19060201 19060228    27.7
19060301 19060331   160.3
19060401 19060430     2.0
19060501 19060531   114.7
19060601 19060630    52.2
19060701 19060731    26.9
19060801 19060831    64.6
19060901 19060930    89.7
19061001 19061031    87.5
19061101 19061130    48.9
19061201 19061231    20.1
19070101 19070131     2.8
19070201 19070228     8.4
19070301 19070331     7.9
19070401 19070430    33.4
19070501 19070531    21.9
19070601 19070630    35.5
19070701 19070731    43.3
19070801 19070831    35.4
19070901 19070930    13.7
19071001 19071031    11.4
19071101 19071130    47.5
19071201 19071231    22.6
19080101 19080131     4.8
19080201 19080229    25.1
19080301 19080331     7.2
19080401 19080430     7.4
19080501 19080531    37.8
19080601 19080630    65.5
19080701 19080731    13.4
19080801 19080831    38.4
19080901 19080930    28.3
19081001 19081031    26.2
19081101 19081130     7.6
19081201 19081231    14.0
19090101 19090131     2.3
19090201 19090228    22.6
19090301 19090331    29.1
19090401 19090430    39.9
19090501 19090531    70.3
19090601 19090630    61.8
19090701 19090731    35.1
19090801 19090831    74.1
19090901 19090930    22.7
19091001 19091031    18.1
19091101 19091130     5.4
19091201 19091231     5.6
19100101 19100131    30.6
19100201 19100228     0.5
19100301 19100331    64.8
19100401 19100430     0.0
19100501 19100531    45.0
19100601 19100630    92.6
19100701 19100731    51.9
19100801 19100831    41.3
19100901 19100930    57.7
19101001 19101031    25.7
19101101 19101130    21.3
19101201 19101231    22.4
19110101 19110131    48.6
19110201 19110228    93.5
19110301 19110331    34.1
19110401 19110430     0.0
19110501 19110531    64.7
19110601 19110630    33.7
19110701 19110731    22.8
19110801 19110831    12.5
19110901 19110930    23.7
19111001 19111031     2.6
19111101 19111130    15.8
19111201 19111231    31.5
19120101 19120131    18.0
19120201 19120229    43.7
19120301 19120331    10.6
19120401 19120430     0.3
19120501 19120531     0.0
19120601 19120630    68.0
19120701 19120731   109.3
19120801 19120831    21.6
19120901 19120930    49.4
19121001 19121031    11.2
19121101 19121130   102.9
19121201 19121231    60.6
19130101 19130131     3.3
19130201 19130228    14.5
19130301 19130331    71.2
19130401 19130430     8.6
19130501 19130531    73.0
19130601 19130630    44.2
19130701 19130731    11.2
19130801 19130831    11.7
19130901 19130930    40.6
19131001 19131031    31.5
19131101 19131130     4.9
19131201 19131231     4.1
19140101 19140131     5.8
19140201 19140228     0.3
19140301 19140331     7.1
19140401 19140430    19.3
19140501 19140531    38.7
19140601 19140630     9.8
19140701 19140731     6.9
19140801 19140831     1.6
19140901 19140930     5.6
19141001 19141031     0.3
19141101 19141130    13.7
