PRCP       024501 18900901 20180131 missing_value=99999.9 AUSTRALIA PLAINS                          
19290501 19290531    12.7
19290601 19290630    24.9
19290701 19290731    15.0
19290801 19290831    11.4
19290901 19290930    31.1
19291001 19291031     6.6
19291101 19291130    30.4
19291201 19291231    68.5
19300101 19300131     0.0
19300201 19300228    12.2
19300301 19300331     0.0
19300401 19300430    15.2
19300501 19300531     7.4
19300601 19300630     8.6
19300701 19300731    42.4
19300801 19300831    73.6
19300901 19300930    21.2
19301001 19301031    67.0
19301101 19301130     8.6
19301201 19301231    10.2
19310101 19310131     7.6
19310201 19310228     0.0
19310301 19310331     6.9
19310401 19310430    42.9
19310501 19310531    36.6
19310601 19310630    50.0
19310701 19310731    34.9
19310801 19310831    28.8
19310901 19310930    43.0
19311001 19311031    12.5
19311101 19311130     2.8
19311201 19311231    38.1
19320101 19320131     1.5
19320201 19320229    39.6
19320301 19320331    17.3
19320401 19320430    42.1
19320501 19320531    53.9
19320601 19320630    34.8
19320701 19320731    28.7
19320801 19320831    77.4
19320901 19320930    47.2
19321001 19321031    15.0
19321101 19321130     0.8
19321201 19321231    12.9
19330101 19330131    35.2
19330201 19330228     0.0
19330301 19330331     5.4
19330401 19330430    10.4
19330501 19330531    28.6
19330601 19330630     7.2
19330701 19330731    19.1
19330801 19330831    52.2
19330901 19330930    51.6
19331001 19331031     0.0
19331101 19331130    17.2
19331201 19331231     7.6
19340101 19340131     6.8
19340201 19340228     9.5
19340301 19340331    13.7
19340401 19340430    44.1
19340501 19340531     5.8
19340601 19340630    21.3
19340701 19340731    20.1
19340801 19340831    28.9
19340901 19340930    45.4
19341001 19341031    47.1
19341101 19341130    42.9
19341201 19341231     6.1
19350101 19350131    14.0
19350201 19350228     0.0
19350301 19350331    34.5
19350401 19350430    21.2
19350501 19350531    17.1
19350601 19350630    24.5
19350701 19350731    27.4
19350801 19350831    30.2
19350901 19350930    18.7
19351001 19351031    30.5
19351101 19351130     3.8
19351201 19351231    15.9
19360101 19360131    47.0
19360201 19360229    19.0
19360301 19360331    20.9
19360401 19360430     9.4
19360501 19360531    19.9
19360601 19360630    18.2
19360701 19360731    59.0
19360801 19360831    32.5
19360901 19360930     5.8
19361001 19361031    29.3
19361101 19361130     6.8
19361201 19361231    69.7
19370101 19370131    34.8
19370201 19370228    40.5
19370301 19370331     3.0
19370401 19370430     8.6
19370501 19370531    43.2
19370601 19370630    78.3
19370701 19370731    10.5
19370801 19370831    66.3
19370901 19370930    50.8
19371001 19371031    11.8
19371101 19371130    41.9
19371201 19371231    98.1
19380101 19380131    20.4
19380201 19380228    49.1
19380301 19380331     0.0
19380401 19380430    32.0
19380501 19380531     1.5
19380601 19380630    20.6
19380701 19380731    34.8
19380801 19380831    45.1
19380901 19380930     3.8
19381001 19381031    17.3
19381101 19381130     5.1
19381201 19381231     0.0
19390101 19390131    11.7
19390201 19390228    53.6
19390301 19390331     9.2
19390401 19390430    12.0
19390501 19390531    10.3
19390601 19390630    31.0
19390701 19390731    28.6
19390801 19390831    56.1
19390901 19390930     8.4
19391001 19391031     9.2
19391101 19391130    71.4
19391201 19391231     0.8
19400101 19400131    10.4
19400201 19400229    10.9
19400301 19400331    10.9
19400401 19400430    28.4
19400501 19400531    11.2
19400601 19400630     3.1
19400701 19400731    10.6
19400801 19400831     8.4
19400901 19400930    18.2
19401001 19401031     6.4
19401101 19401130     7.9
19401201 19401231    14.4
19410101 19410131   122.8
19410201 19410228     3.3
19410301 19410331    48.6
19410401 19410430     7.1
19410501 19410531     5.9
19410601 19410630    41.4
19410701 19410731    38.1
19410801 19410831    25.1
19410901 19410930    34.6
19411001 19411031    53.8
19411101 19411130    15.5
19411201 19411231     3.8
19420101 19420131    19.0
19420201 19420228     2.3
19420301 19420331     0.0
19420401 19420430    30.9
19420501 19420531    52.3
19420601 19420630    46.2
19420701 19420731    47.6
19420801 19420831    49.6
19420901 19420930    48.6
19421001 19421031    25.5
19421101 19421130    18.3
19421201 19421231    10.8
19430101 19430131    10.7
19430201 19430228    45.5
19430301 19430331     2.0
19430401 19430430    17.0
19430501 19430531     6.7
19430601 19430630    40.7
19430701 19430731    12.8
19430801 19430831    37.5
19430901 19430930    36.1
19431001 19431031    33.6
19431101 19431130     7.9
19431201 19431231    21.9
19440101 19440131     0.0
19440201 19440229     8.5
19440301 19440331     7.7
19440401 19440430    35.1
19440501 19440531    57.5
19440601 19440630     2.3
19440701 19440731    16.4
19440801 19440831    21.8
19440901 19440930     7.6
19441001 19441031    17.2
19441101 19441130    19.3
19441201 19441231    26.6
19450101 19450131     6.9
19450201 19450228     6.9
19450301 19450331     0.3
19450401 19450430     7.9
19450501 19450531    13.9
19450601 19450630    44.8
19450701 19450731    13.7
19450801 19450831    24.8
19450901 19450930    16.0
19451001 19451031    47.8
19451101 19451130    40.1
19451201 19451231    24.1
19460101 19460131    31.8
19460201 19460228   135.1
19460301 19460331    26.7
19460401 19460430     6.9
19460501 19460531    34.2
19460601 19460630    24.5
19460701 19460731    57.5
19460801 19460831    12.9
19460901 19460930     8.7
19461001 19461031     6.6
19461101 19461130    37.6
19461201 19461231    80.4
19470101 19470131     3.3
19470201 19470228    96.1
19470301 19470331    46.2
19470401 19470430    18.6
19470501 19470531     7.1
19470601 19470630    25.2
19470701 19470731    58.9
19470801 19470831    35.5
19470901 19470930    48.8
19471001 19471031    35.7
19471101 19471130    10.8
19471201 19471231    29.1
19480101 19480131     1.3
19480201 19480229     4.3
19480301 19480331     3.0
19480401 19480430    71.1
19480501 19480531    12.5
19480601 19480630    23.7
19480701 19480731    22.9
19480801 19480831    50.5
19480901 19480930     2.8
19481001 19481031    56.1
19481101 19481130    32.5
19481201 19481231    31.0
19490101 19490131     2.8
19490201 19490228    34.9
19490301 19490331     0.0
19490401 19490430     0.0
19490501 19490531    43.1
19490601 19490630     9.9
