PRCP       052019 18940301 20171231 missing_value=99999.9 MOGIL MOGIL (BENIMORA)                    
19330301 19330331     0.5
19330401 19330430    19.1
19330501 19330531    31.7
19330601 19330630    37.3
19330701 19330731    94.9
19330801 19330831    10.0
19330901 19330930    51.8
19331001 19331031    34.7
19331101 19331130    74.2
19331201 19331231    51.4
19340101 19340131    31.0
19340201 19340228   183.0
19340301 19340331     2.0
19340401 19340430     3.0
19340501 19340531     2.5
19340601 19340630    22.4
19340701 19340731    51.9
19340801 19340831    15.6
19340901 19340930    31.3
19341001 19341031   126.5
19341101 19341130    45.8
19341201 19341231    25.9
19350101 19350131    96.6
19350201 19350228     0.0
19350301 19350331     0.0
19350401 19350430    11.9
19350501 19350531     2.5
19350601 19350630     5.6
19350701 19350731    53.6
19350801 19350831    14.5
19350901 19350930    55.9
19351001 19351031    19.4
19351101 19351130     5.1
19351201 19351231    40.8
19360101 19360131   108.4
19360201 19360229    40.7
19360301 19360331    42.7
19360401 19360430     5.1
19360501 19360531    20.4
19360601 19360630    17.8
19360701 19360731    53.4
19360801 19360831    21.1
19360901 19360930    21.4
19361001 19361031     0.0
19361101 19361130     1.3
19361201 19361231    35.1
19370101 19370131    33.0
19370201 19370228    83.4
19370301 19370331   128.6
19370401 19370430     0.8
19370501 19370531     1.3
19370601 19370630    29.7
19370701 19370731    17.3
19370801 19370831     5.6
19370901 19370930    26.7
19371001 19371031    21.9
19371101 19371130    87.9
19371201 19371231    16.0
19380101 19380131    32.7
19380201 19380228    14.3
19380301 19380331     3.3
19380401 19380430     9.9
19380501 19380531    76.8
19380601 19380630    28.2
19380701 19380731    22.9
19380801 19380831    48.2
19380901 19380930    10.7
19381001 19381031    56.2
19381101 19381130    30.7
19381201 19381231     0.0
19390101 19390131    77.0
19390201 19390228     9.7
19390301 19390331   155.4
19390401 19390430    36.1
19390501 19390531     9.7
19390601 19390630    42.0
19390701 19390731    40.4
19390801 19390831    74.9
19390901 19390930    29.4
19391001 19391031    25.4
19391101 19391130    26.5
19391201 19391231     7.6
19400101 19400131    17.2
19400201 19400229     5.3
19400301 19400331    91.9
19400401 19400430    28.5
19400501 19400531    10.6
19400601 19400630     7.6
19400701 19400731     3.0
19400801 19400831     7.9
19400901 19400930    35.0
19401001 19401031     8.4
19401101 19401130    14.5
19401201 19401231    44.3
19410101 19410131   197.1
19410201 19410228     3.6
19410301 19410331   116.1
19410401 19410430     1.8
19410501 19410531    11.2
19410601 19410630    34.8
19410701 19410731     5.4
19410801 19410831    15.0
19410901 19410930     7.8
19411001 19411031     9.4
19411101 19411130    28.6
19411201 19411231    15.7
19420101 19420131     3.8
19420201 19420228    46.7
19420301 19420331    52.1
19420401 19420430     0.0
19420501 19420531    18.8
19420601 19420630    55.6
19420701 19420731   127.5
19420801 19420831     4.1
19420901 19420930     4.3
19421001 19421031    26.7
19421101 19421130   208.5
19421201 19421231   201.5
19430101 19430131   149.9
19430201 19430228     3.0
19430301 19430331     0.0
