PRCP       011010 19110101 20150531 missing_value=99999.9 NOONDOONIA                                
19620201 19620228    28.0
19620301 19620331    56.4
19620401 19620430    10.0
19620501 19620531    36.5
19620601 19620630    24.6
19620701 19620731    26.3
19620801 19620831     7.7
19620901 19620930    19.8
19621001 19621031    13.1
19621101 19621130     2.3
19621201 19621231    14.9
19630101 19630131    20.3
19630201 19630228    96.2
19630301 19630331    76.3
19630401 19630430    17.0
19630501 19630531    79.8
19630601 19630630    24.0
19630701 19630731    37.3
19630801 19630831    33.4
19630901 19630930     3.6
19631001 19631031     1.0
19631101 19631130     9.7
19631201 19631231     7.9
19640101 19640131    16.0
19640201 19640229     0.3
19640301 19640331     1.5
19640401 19640430    60.9
19640501 19640531     1.3
19640601 19640630    20.0
19640701 19640731    62.0
19640801 19640831     6.8
19640901 19640930    75.7
19641001 19641031    19.3
19641101 19641130    10.7
19641201 19641231     0.0
19650101 19650131     0.5
19650201 19650228    11.0
19650301 19650331     6.6
19650401 19650430     0.0
19650501 19650531    21.0
19650601 19650630    56.4
19650701 19650731    17.2
19650801 19650831    26.2
19650901 19650930     6.8
19651001 19651031    15.5
19651101 19651130    31.7
19651201 19651231    10.0
19660101 19660131     9.4
19660201 19660228     2.3
19660301 19660331    10.1
19660401 19660430    18.6
19660501 19660531     4.1
19660601 19660630    36.7
19660701 19660731    11.0
19660801 19660831    11.2
19660901 19660930    27.0
19661001 19661031    17.6
19661101 19661130     1.5
19661201 19661231    18.6
19670101 19670131   118.7
19670201 19670228    11.2
19670301 19670331    35.6
19670401 19670430    21.9
19670501 19670531    33.2
19670601 19670630    16.4
19670701 19670731    38.5
19670801 19670831     7.7
19670901 19670930    10.9
19671001 19671031    22.6
19671101 19671130    13.7
19671201 19671231     4.3
19680101 19680131    21.4
19680201 19680229     8.9
19680301 19680331    61.7
19680401 19680430    12.2
19680501 19680531    34.7
19680601 19680630    77.6
19680701 19680731    15.3
19680801 19680831    15.0
19680901 19680930    23.9
19681001 19681031     5.8
19681101 19681130     8.1
19681201 19681231    92.5
19690101 19690131     0.0
19690201 19690228     1.8
19690301 19690331    53.3
19690401 19690430    22.4
19690501 19690531    38.6
19690601 19690630     8.5
19690701 19690731     2.5
19690801 19690831     6.1
19690901 19690930    42.7
19691001 19691031    45.9
19691101 19691130     0.0
19691201 19691231     3.8
19700101 19700131     4.1
19700201 19700228    19.6
19700301 19700331     2.8
19700401 19700430    22.0
19700501 19700531    17.0
19700601 19700630     2.8
19700701 19700731     7.4
19700801 19700831    10.7
19700901 19700930   106.0
19701001 19701031     0.0
19701101 19701130    13.4
19701201 19701231     1.5
19710101 19710131     7.9
19710201 19710228     6.1
19710301 19710331    44.9
19710401 19710430     1.1
19710501 19710531    11.7
19710601 19710630    26.1
19710701 19710731     9.0
19710801 19710831     6.4
19710901 19710930     1.7
19711001 19711031    24.1
19711101 19711130     8.6
19711201 19711231     7.8
19720101 19720131    24.3
19720201 19720229     3.5
19720301 19720331    59.9
19720401 19720430     1.1
19720501 19720531     1.5
19720601 19720630    23.5
19720701 19720731    15.5
19720801 19720831    14.9
19720901 19720930     0.8
19721001 19721031     7.5
19721101 19721130     9.5
19721201 19721231     1.7
19730101 19730131    31.3
19730201 19730228     4.3
19730301 19730331     6.6
19730401 19730430    35.4
19730501 19730531    48.2
19730601 19730630    50.7
19730701 19730731    24.3
19730801 19730831    66.2
19730901 19730930    18.2
19731001 19731031    17.0
19731101 19731130    37.1
19731201 19731231    15.3
19740101 19740131     1.1
19740201 19740228    44.4
19740301 19740331    15.3
19740401 19740430   108.1
19740501 19740531    37.0
19740601 19740630    37.7
19740701 19740731    77.1
19740801 19740831    11.1
19740901 19740930    82.8
19741001 19741031     6.3
19741101 19741130    92.9
19741201 19741231    14.1
19750101 19750131     2.9
19750201 19750228    62.0
19750301 19750331    27.3
19750401 19750430    40.7
19750501 19750531    23.0
19750601 19750630     3.8
19750701 19750731    18.0
19750801 19750831     9.0
19750901 19750930    16.6
19751001 19751031    70.6
19751101 19751130     0.7
19751201 19751231    36.3
19760101 19760131    10.6
19760201 19760229     7.4
19760301 19760331     0.0
19760401 19760430     1.3
19760501 19760531     0.0
19760601 19760630     7.9
19760701 19760731     4.8
19760801 19760831     4.2
19760901 19760930    37.0
19761001 19761031    41.9
19761101 19761130    18.5
19761201 19761231    23.3
19770101 19770131     8.0
19770201 19770228    13.1
19770301 19770331     2.9
19770401 19770430    15.4
19770501 19770531    33.6
19770601 19770630     5.8
19770701 19770731     6.0
19770801 19770831    15.4
19770901 19770930    10.6
19771001 19771031    40.2
19771101 19771130    12.6
19771201 19771231    18.5
19780101 19780131    24.4
19780201 19780228    41.6
19780301 19780331     1.2
19780401 19780430     3.2
19780501 19780531    11.8
19780601 19780630    50.2
19780701 19780731    44.2
19780801 19780831     0.0
19780901 19780930    51.7
19781001 19781031    14.2
19781101 19781130    23.4
19781201 19781231    21.1
19790101 19790131    10.3
19790201 19790228    44.8
19790301 19790331    15.0
19790401 19790430    19.3
19790501 19790531    20.2
19790601 19790630    16.0
19790701 19790731    11.5
19790801 19790831    28.7
19790901 19790930    18.4
19791001 19791031     0.0
19791101 19791130    37.9
19791201 19791231    15.8
19800101 19800131    13.4
19800201 19800229    31.2
19800301 19800331     0.3
19800401 19800430    37.3
19800501 19800531    19.1
19800601 19800630    23.2
19800701 19800731    44.4
19800801 19800831    12.3
19800901 19800930     1.6
19801001 19801031     4.8
19801101 19801130    22.5
19801201 19801231     7.5
19810101 19810131     2.1
19810201 19810228   108.0
19810301 19810331    30.8
19810401 19810430     1.1
19810501 19810531    25.5
19810601 19810630    11.3
19810701 19810731     9.4
19810801 19810831    18.2
19810901 19810930     1.9
19811001 19811031     2.4
19811101 19811130    48.5
19811201 19811231    27.1
19820101 19820131    29.5
19820201 19820228    24.1
19820301 19820331    82.0
19820401 19820430     2.1
19820501 19820531    19.6
19820601 19820630    39.1
19820701 19820731     5.4
19820801 19820831     3.2
19820901 19820930    76.6
19821001 19821031    26.0
19821101 19821130     4.3
19821201 19821231    33.2
19830101 19830131     8.0
19830201 19830228    10.0
19830301 19830331   100.0
19830401 19830430    32.0
19830501 19830531     0.0
19830601 19830630    13.9
19830701 19830731     5.9
19830801 19830831    17.4
19830901 19830930    14.7
19831001 19831031    19.6
19831101 19831130    27.6
19831201 19831231    85.8
19840101 19840131     0.3
19840201 19840229     0.5
19840301 19840331    54.7
19840401 19840430    23.7
19840501 19840531    38.0
19840601 19840630     5.2
19840701 19840731    35.1
19840801 19840831    32.0
19840901 19840930    54.0
19841001 19841031    31.5
19841101 19841130    16.5
19841201 19841231    15.0
19850101 19850131     0.0
19850201 19850228    41.5
19850301 19850331    81.0
19850401 19850430     2.0
19850501 19850531    23.7
19850601 19850630    11.0
19850701 19850731    36.3
19850801 19850831    19.0
19850901 19850930    11.5
19851001 19851031    10.5
19851101 19851130    40.5
19851201 19851231     3.5
19860101 19860131     2.5
19860201 19860228     8.0
19860301 19860331    46.5
19860401 19860430    11.0
19860501 19860531    93.0
19860601 19860630    58.2
19860701 19860731    33.5
19860801 19860831    16.3
19860901 19860930    42.5
19861001 19861031    10.5
19861101 19861130    38.0
19861201 19861231    46.0
19870101 19870131   123.2
19870201 19870228     0.0
19870301 19870331    11.0
19870401 19870430    25.5
19870501 19870531    26.7
19870601 19870630    36.0
