PRCP       038002 18980101 20171130 missing_value=99999.9 BIRDSVILLE POLICE STATION                 
19290101 19290131     0.0
19290201 19290228     0.0
19290301 19290331    10.4
19290401 19290430     1.3
19290501 19290531     0.0
19290601 19290630    13.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     4.3
19291001 19291031     0.0
19291101 19291130     8.9
19291201 19291231    14.3
19300101 19300131     3.0
19300201 19300228    16.6
19300301 19300331     0.0
19300401 19300430     0.0
19300501 19300531     0.5
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031    39.5
19301101 19301130    13.0
19301201 19301231    27.4
19310101 19310131     0.3
19310201 19310228     3.8
19310301 19310331     9.2
19310401 19310430    38.1
19310501 19310531    39.7
19310601 19310630    24.6
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930    24.6
19311001 19311031     9.7
19311101 19311130     2.3
19311201 19311231     9.4
19320101 19320131     0.0
19320201 19320229     1.8
19320301 19320331    13.5
19320401 19320430     9.7
19320501 19320531    16.1
19320601 19320630    59.7
19320701 19320731     0.5
19320801 19320831     0.0
19320901 19320930     2.3
19321001 19321031     2.8
19321101 19321130     4.3
19321201 19321231     1.0
19330101 19330131    12.5
19330201 19330228    26.2
19330301 19330331    17.5
19330401 19330430     0.0
19330501 19330531    15.8
19330601 19330630     0.0
19330701 19330731     0.0
19330801 19330831    12.7
19330901 19330930    15.2
19331001 19331031     0.0
19331101 19331130    28.0
19331201 19331231     4.6
19340101 19340131     2.0
19340201 19340228    13.2
19340301 19340331     0.8
19340401 19340430     0.0
19340501 19340531     0.0
19340601 19340630     0.0
19340701 19340731    14.4
19340801 19340831     2.6
19340901 19340930     3.0
19341001 19341031    18.5
19341101 19341130     3.0
19341201 19341231     0.0
19350101 19350131     1.5
19350201 19350228     0.0
19350301 19350331     0.0
19350401 19350430     2.0
19350501 19350531     0.0
19350601 19350630    26.9
19350701 19350731     1.0
19350801 19350831     9.1
19350901 19350930    11.4
19351001 19351031     7.6
19351101 19351130     0.0
19351201 19351231     2.8
19360101 19360131     1.8
19360201 19360229    60.9
19360301 19360331    12.7
19360401 19360430     0.0
19360501 19360531    23.1
19360601 19360630     0.0
19360701 19360731    28.9
19360801 19360831     5.1
19360901 19360930     6.1
19361001 19361031     1.3
19361101 19361130     1.8
19361201 19361231    22.1
19370101 19370131     4.5
19370201 19370228    24.8
19370301 19370331     0.0
19370401 19370430     1.5
19370501 19370531     0.0
19370601 19370630     1.3
19370701 19370731     0.0
19370801 19370831     1.3
19370901 19370930     0.0
19371001 19371031     0.0
19371101 19371130    17.0
19371201 19371231     4.1
19380101 19380131     6.6
19380201 19380228    36.8
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630    57.2
19380701 19380731     3.6
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130     3.8
19381201 19381231     0.0
19390101 19390131    24.6
19390201 19390228    99.6
19390301 19390331    20.3
19390401 19390430     7.9
19390501 19390531     3.3
19390601 19390630    15.6
19390701 19390731    36.1
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031    21.3
19391101 19391130    39.9
19391201 19391231     0.0
19400101 19400131    22.6
19400201 19400229     8.5
19400301 19400331     0.0
19400401 19400430    25.9
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.3
19401101 19401130     6.6
19401201 19401231     0.0
19410101 19410131    13.2
19410201 19410228     0.0
19410301 19410331    13.0
19410401 19410430    30.3
19410501 19410531     0.0
19410601 19410630    16.0
19410701 19410731     2.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031    23.6
19411101 19411130     3.4
19411201 19411231     4.1
19420101 19420131    10.5
19420201 19420228    33.8
19420301 19420331     0.0
19420401 19420430     0.0
19420501 19420531     2.8
19420601 19420630    12.0
19420701 19420731     3.3
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031    22.6
19421101 19421130     0.0
19421201 19421231    13.8
19430101 19430131     3.8
19430201 19430228    17.6
19430301 19430331     1.3
19430401 19430430    30.0
19430501 19430531     0.0
19430601 19430630     2.3
19430701 19430731     4.6
19430801 19430831    34.5
19430901 19430930     4.0
19431001 19431031     7.7
19431101 19431130     6.6
19431201 19431231     0.0
19440101 19440131     0.0
19440201 19440229   106.3
19440301 19440331     0.0
19440401 19440430     0.0
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831     2.3
19440901 19440930     0.0
19441001 19441031     1.1
19441101 19441130     0.0
19441201 19441231    18.1
19450101 19450131     0.5
19450201 19450228     2.3
19450301 19450331     7.1
19450401 19450430     0.0
19450501 19450531     3.1
19450601 19450630     0.0
19450701 19450731    14.0
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031    13.0
19451101 19451130     0.0
19451201 19451231    16.7
19460101 19460131    25.9
19460201 19460228    38.9
19460301 19460331     0.0
19460401 19460430     0.0
19460501 19460531     4.1
19460601 19460630     0.8
