PRCP       065022 18880501 20180131 missing_value=99999.9 MANILDRA (HAZELDALE)                      
19430701 19430731    49.4
19430801 19430831    71.6
19430901 19430930    83.8
19431001 19431031    37.7
19431101 19431130    95.8
19431201 19431231    38.3
19440101 19440131    11.4
19440201 19440229    13.0
19440301 19440331    45.2
19440401 19440430    23.9
19440501 19440531    37.9
19440601 19440630     3.4
19440701 19440731    34.9
19440801 19440831    28.2
19440901 19440930    12.7
19441001 19441031    20.4
19441101 19441130    20.6
19441201 19441231     2.6
19450101 19450131   106.2
19450201 19450228    47.8
19450301 19450331    13.7
19450401 19450430    37.7
19450501 19450531    76.1
19450601 19450630   135.7
19450701 19450731    39.4
19450801 19450831    61.8
19450901 19450930     6.9
19451001 19451031    26.6
19451101 19451130    24.7
19451201 19451231    15.0
19460101 19460131    25.6
19460201 19460228    52.0
19460301 19460331    69.1
19460401 19460430    31.1
19460501 19460531    19.3
19460601 19460630    23.2
19460701 19460731    26.9
19460801 19460831    14.8
19460901 19460930    13.3
19461001 19461031    40.8
19461101 19461130    63.1
19461201 19461231    32.6
19470101 19470131    14.0
19470201 19470228    61.8
19470301 19470331    60.0
19470401 19470430    27.4
19470501 19470531    57.9
19470601 19470630    27.5
19470701 19470731    99.1
19470801 19470831    36.4
19470901 19470930    68.9
19471001 19471031    49.8
19471101 19471130   132.5
19471201 19471231   182.3
19480101 19480131    52.6
19480201 19480229   100.7
19480301 19480331    41.6
19480401 19480430    55.1
19480501 19480531    57.9
19480601 19480630    91.2
19480701 19480731    18.4
19480801 19480831    40.7
19480901 19480930    38.9
19481001 19481031    37.5
19481101 19481130    25.4
19481201 19481231    27.9
19490101 19490131    71.1
19490201 19490228    44.3
19490301 19490331    56.6
19490401 19490430    48.8
19490501 19490531    52.6
19490601 19490630    67.5
19490701 19490731    67.8
19490801 19490831    13.5
19490901 19490930   109.6
19491001 19491031    77.8
19491101 19491130   101.5
19491201 19491231    36.4
19500101 19500131   136.0
19500201 19500228   180.7
19500301 19500331   145.9
19500401 19500430   117.1
19500501 19500531    48.3
19500601 19500630   120.3
19500701 19500731   117.1
19500801 19500831    47.1
19500901 19500930    57.3
19501001 19501031   195.8
19501101 19501130   144.7
19501201 19501231     4.1
19510101 19510131    82.5
19510201 19510228    28.0
19510301 19510331    30.1
19510401 19510430    31.8
19510501 19510531    49.5
19510601 19510630    76.7
19510701 19510731    73.3
19510801 19510831   105.0
19510901 19510930    50.4
19511001 19511031    32.8
19511101 19511130    22.1
19511201 19511231    66.2
19520101 19520131    18.2
19520201 19520229    18.6
19520301 19520331    75.1
19520401 19520430   151.8
19520501 19520531    94.4
19520601 19520630   138.6
19520701 19520731    57.7
19520801 19520831    49.9
19520901 19520930    52.2
19521001 19521031    96.5
19521101 19521130    36.9
19521201 19521231    49.3
19530101 19530131    62.8
19530201 19530228    29.1
19530301 19530331    12.3
19530401 19530430     5.4
19530501 19530531    84.1
19530601 19530630    31.6
19530701 19530731    10.9
19530801 19530831    90.0
19530901 19530930    29.5
19531001 19531031    39.5
19531101 19531130    57.1
19531201 19531231    33.8
19540101 19540131   128.6
19540201 19540228   103.0
19540301 19540331     0.8
19540401 19540430    46.2
19540501 19540531     4.6
19540601 19540630    51.8
19540701 19540731    16.4
19540801 19540831    28.2
19540901 19540930    35.1
19541001 19541031   157.3
19541101 19541130   105.3
19541201 19541231    61.4
19550101 19550131    68.5
19550201 19550228   209.5
19550301 19550331    71.4
19550401 19550430     5.1
19550501 19550531    56.0
19550601 19550630    57.2
19550701 19550731    33.8
19550801 19550831    79.2
19550901 19550930    34.9
19551001 19551031   169.1
19551101 19551130    35.4
19551201 19551231    73.5
19560101 19560131   142.7
19560201 19560229   148.2
