PRCP       010126 19100101 20180131 missing_value=99999.9 TRAYNING                                  
19390801 19390831    34.5
19390901 19390930     1.6
19391001 19391031    60.6
19391101 19391130    47.9
19391201 19391231     1.3
19400101 19400131     0.8
19400201 19400229     0.0
19400301 19400331     2.1
19400401 19400430     4.1
19400501 19400531    10.4
19400601 19400630    35.8
19400701 19400731    41.5
19400801 19400831     4.5
19400901 19400930    17.9
19401001 19401031    30.4
19401101 19401130     0.3
19401201 19401231    40.2
19410101 19410131     0.8
19410201 19410228    33.0
19410301 19410331     4.8
19410401 19410430    29.5
19410501 19410531    45.5
19410601 19410630    89.9
19410701 19410731    45.5
19410801 19410831    19.6
19410901 19410930    26.7
19411001 19411031    15.0
19411101 19411130    10.4
19411201 19411231    28.7
19420101 19420131    16.8
19420201 19420228     1.5
19420301 19420331    21.8
19420401 19420430    26.3
19420501 19420531    54.3
19420601 19420630    36.6
19420701 19420731    44.9
19420801 19420831    45.6
19420901 19420930    19.3
19421001 19421031    10.7
19421101 19421130     0.8
19421201 19421231    33.6
19430101 19430131    15.8
19430201 19430228    83.6
19430301 19430331    71.0
19430401 19430430    51.5
19430501 19430531    24.4
19430601 19430630    57.0
19430701 19430731    35.0
19430801 19430831    50.9
19430901 19430930    27.5
19431001 19431031    13.0
19431101 19431130     0.0
19431201 19431231     8.6
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331    11.7
19440401 19440430     0.5
19440501 19440531    98.3
19440601 19440630    18.0
19440701 19440731    69.1
19440801 19440831    40.4
19440901 19440930     8.7
19441001 19441031     2.8
19441101 19441130     3.3
19441201 19441231     2.8
19450101 19450131     0.0
19450201 19450228    14.3
19450301 19450331    26.0
19450401 19450430    17.8
19450501 19450531    32.7
19450601 19450630   110.2
19450701 19450731    27.8
19450801 19450831   100.4
19450901 19450930    21.3
19451001 19451031     1.0
19451101 19451130     7.3
19451201 19451231     0.8
19460101 19460131     0.0
19460201 19460228     1.3
19460301 19460331     0.0
19460401 19460430    15.7
19460501 19460531    48.6
19460601 19460630    89.9
19460701 19460731    93.5
19460801 19460831    40.8
19460901 19460930    11.4
19461001 19461031     1.6
19461101 19461130    27.3
19461201 19461231     2.5
19470101 19470131     5.8
19470201 19470228     7.9
19470301 19470331    26.6
19470401 19470430    20.8
19470501 19470531    50.8
19470601 19470630    44.0
19470701 19470731    45.5
19470801 19470831    13.0
19470901 19470930    14.5
19471001 19471031    47.8
19471101 19471130    14.0
19471201 19471231     0.8
19480101 19480131     3.1
19480201 19480229    21.6
19480301 19480331    17.0
19480401 19480430    39.8
19480501 19480531     0.5
19480601 19480630    28.6
19480701 19480731    64.3
19480801 19480831    50.2
19480901 19480930    22.5
19481001 19481031     6.3
19481101 19481130    18.1
19481201 19481231     1.3
19490101 19490131     0.0
19490201 19490228     5.1
19490301 19490331     3.5
19490401 19490430     4.3
19490501 19490531     2.5
19490601 19490630    44.2
19490701 19490731    74.0
19490801 19490831    50.6
19490901 19490930    24.4
19491001 19491031     8.5
19491101 19491130    21.9
19491201 19491231     5.1
19500101 19500131    14.3
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    70.2
19500601 19500630    31.1
19500701 19500731    46.5
19500801 19500831    25.8
19500901 19500930    20.9
