PRCP       018069 18820101 20180131 missing_value=99999.9 ELLISTON                                  
19290101 19290131     7.6
19290201 19290228     0.5
19290301 19290331     8.3
19290401 19290430     9.9
19290501 19290531    14.7
19290601 19290630    69.2
19290701 19290731    44.8
19290801 19290831    55.9
19290901 19290930    27.2
19291001 19291031    25.2
19291101 19291130    69.2
19291201 19291231     8.9
19300101 19300131     0.5
19300201 19300228     7.1
19300301 19300331     1.0
19300401 19300430     8.1
19300501 19300531    25.0
19300601 19300630     3.8
19300701 19300731    53.3
19300801 19300831    68.9
19300901 19300930    21.9
19301001 19301031    54.8
19301101 19301130     9.9
19301201 19301231     6.6
19310101 19310131    14.9
19310201 19310228     0.0
19310301 19310331    27.9
19310401 19310430    53.8
19310501 19310531    56.9
19310601 19310630   102.9
19310701 19310731    71.1
19310801 19310831    38.5
19310901 19310930    51.7
19311001 19311031    15.7
19311101 19311130    40.8
19311201 19311231     0.0
19320101 19320131     1.5
19320201 19320229    43.7
19320301 19320331     9.2
19320401 19320430    50.9
19320501 19320531    25.7
19320601 19320630   129.4
19320701 19320731    68.2
19320801 19320831    86.9
19320901 19320930   101.6
19321001 19321031    37.9
19321101 19321130     5.6
19321201 19321231     6.5
19330101 19330131     4.1
19330201 19330228     0.8
19330301 19330331    23.6
19330401 19330430    18.3
19330501 19330531   115.1
19330601 19330630    46.8
19330701 19330731    88.1
19330801 19330831   113.7
19330901 19330930    29.9
19331001 19331031    14.3
19331101 19331130    11.4
19331201 19331231     3.3
19340101 19340131     1.0
19340201 19340228    12.2
19340301 19340331    11.4
19340401 19340430    69.2
19340501 19340531     9.9
19340601 19340630    64.3
19340701 19340731    34.3
19340801 19340831    62.4
19340901 19340930    28.4
19341001 19341031    34.5
19341101 19341130    49.3
19341201 19341231     0.8
19350101 19350131    15.1
19350201 19350228     1.0
19350301 19350331    63.6
19350401 19350430    30.7
19350501 19350531    63.2
19350601 19350630    72.4
19350701 19350731    48.6
19350801 19350831    49.6
19350901 19350930    41.0
19351001 19351031    39.8
19351101 19351130    13.8
19351201 19351231     8.9
19360101 19360131     1.8
19360201 19360229     2.3
19360301 19360331     0.0
19360401 19360430     9.3
19360501 19360531    41.4
19360601 19360630    39.8
19360701 19360731    77.3
19360801 19360831    38.3
19360901 19360930    12.4
19361001 19361031    50.8
19361101 19361130    15.0
19361201 19361231    12.5
19370101 19370131    11.6
19370201 19370228    42.7
19370301 19370331     7.1
19370401 19370430    19.6
19370501 19370531    49.2
19370601 19370630    52.6
19370701 19370731    50.4
19370801 19370831    89.6
19370901 19370930    53.4
19371001 19371031    18.3
19371101 19371130    25.9
19371201 19371231    23.8
19380101 19380131     8.4
19380201 19380228   123.6
19380301 19380331     1.0
19380401 19380430    48.3
19380501 19380531    42.8
19380601 19380630    72.7
19380701 19380731    43.6
19380801 19380831    78.4
19380901 19380930     8.6
19381001 19381031     2.6
19381101 19381130     0.5
19381201 19381231    17.3
19390101 19390131    27.5
19390201 19390228     9.0
19390301 19390331    61.8
19390401 19390430    24.2
19390501 19390531    26.3
19390601 19390630   130.1
19390701 19390731    89.6
19390801 19390831   110.7
19390901 19390930    11.0
19391001 19391031    34.1
19391101 19391130    66.3
19391201 19391231     7.2
19400101 19400131    27.9
19400201 19400229     9.2
