PRCP       024535 18980801 20161231 missing_value=99999.9 SWAN REACH                                
19300401 19300430    11.6
19300501 19300531    15.7
19300601 19300630    11.2
19300701 19300731    33.4
19300801 19300831    42.5
19300901 19300930    20.6
19301001 19301031    78.3
19301101 19301130     2.3
19301201 19301231    17.8
19310101 19310131     4.5
19310201 19310228     0.0
19310301 19310331    10.0
19310401 19310430    52.8
19310501 19310531    46.1
19310601 19310630    34.1
19310701 19310731    24.6
19310801 19310831    31.4
19310901 19310930    34.1
19311001 19311031     7.6
19311101 19311130     7.9
19311201 19311231     4.6
19320101 19320131     5.6
19320201 19320229    37.1
19320301 19320331    20.4
19320401 19320430    24.3
19320501 19320531    24.8
19320601 19320630    50.3
19320701 19320731    23.3
19320801 19320831    44.2
19320901 19320930    25.7
19321001 19321031    14.3
19321101 19321130     0.0
19321201 19321231    13.8
19330101 19330131    86.2
19330201 19330228     0.0
19330301 19330331    25.9
19330401 19330430     2.6
19330501 19330531    39.4
19330601 19330630     7.2
19330701 19330731     9.7
19330801 19330831    39.6
19330901 19330930    19.6
19331001 19331031     6.9
19331101 19331130    24.2
19331201 19331231    29.8
19340101 19340131    15.0
19340201 19340228    13.7
19340301 19340331     3.3
19340401 19340430    37.6
19340501 19340531     0.0
19340601 19340630    19.8
19340701 19340731    28.3
19340801 19340831    28.2
19340901 19340930    29.8
19341001 19341031    47.6
19341101 19341130    50.8
19341201 19341231     4.1
19350101 19350131    12.9
19350201 19350228     0.0
19350301 19350331    14.8
19350401 19350430    21.6
19350501 19350531    21.1
19350601 19350630    20.2
19350701 19350731    29.2
19350801 19350831    34.7
19350901 19350930    39.4
19351001 19351031    26.0
19351101 19351130    11.6
19351201 19351231    15.5
19360101 19360131    60.1
19360201 19360229    13.4
19360301 19360331     7.8
19360401 19360430    10.2
19360501 19360531    27.2
19360601 19360630     9.9
19360701 19360731    49.5
19360801 19360831    19.6
19360901 19360930     4.1
19361001 19361031    20.2
19361101 19361130     3.6
19361201 19361231    26.7
19370101 19370131    30.4
19370201 19370228    26.7
19370301 19370331     8.9
19370401 19370430     5.6
19370501 19370531    22.6
19370601 19370630    39.8
19370701 19370731    14.9
19370801 19370831    55.6
19370901 19370930    13.9
19371001 19371031    12.5
19371101 19371130    16.2
19371201 19371231    54.4
19380101 19380131    17.7
19380201 19380228    33.2
19380301 19380331     1.3
19380401 19380430    29.0
19380501 19380531     3.1
19380601 19380630    11.2
19380701 19380731    30.1
19380801 19380831    40.5
