PRCP       018045 18770101 20170930 missing_value=99999.9 LAKE HAMILTON                             
19120101 19120131     0.0
19120201 19120229    11.2
19120301 19120331    47.5
19120401 19120430     9.8
19120501 19120531    13.4
19120601 19120630    75.2
19120701 19120731   104.6
19120801 19120831    47.6
19120901 19120930    67.3
19121001 19121031    40.8
19121101 19121130    41.9
19121201 19121231     8.4
19130101 19130131     0.0
19130201 19130228    27.9
19130301 19130331    19.6
19130401 19130430    12.9
19130501 19130531    41.4
19130601 19130630    16.5
19130701 19130731    36.8
19130801 19130831    53.0
19130901 19130930    31.2
19131001 19131031    61.7
19131101 19131130     7.6
19131201 19131231    24.6
19140101 19140131     0.0
19140201 19140228     0.0
19140301 19140331    37.6
19140401 19140430    48.3
19140501 19140531    64.9
19140601 19140630    29.6
19140701 19140731    34.3
19140801 19140831    11.9
19140901 19140930    11.2
19141001 19141031    10.1
19141101 19141130    24.9
19141201 19141231    35.3
19150101 19150131     6.6
19150201 19150228     0.0
19150301 19150331     0.8
19150401 19150430    50.0
19150501 19150531    39.1
19150601 19150630    78.8
19150701 19150731   124.4
19150801 19150831    92.5
19150901 19150930    66.0
19151001 19151031    11.5
19151101 19151130     0.5
19151201 19151231     0.0
19160101 19160131     8.9
19160201 19160229     0.0
19160301 19160331    10.2
19160401 19160430    20.9
19160501 19160531    73.3
19160601 19160630   165.1
19160701 19160731    97.4
19160801 19160831    67.2
19160901 19160930     7.2
19161001 19161031    26.8
19161101 19161130    47.2
19161201 19161231     3.8
19170101 19170131     7.9
19170201 19170228    43.9
19170301 19170331    36.1
19170401 19170430     5.6
19170501 19170531    83.5
19170601 19170630    97.7
19170701 19170731    81.5
19170801 19170831    77.6
19170901 19170930    71.0
19171001 19171031    26.5
19171101 19171130    10.3
19171201 19171231    10.4
19180101 19180131     0.0
19180201 19180228     3.3
19180301 19180331    12.5
19180401 19180430     7.2
19180501 19180531    64.9
19180601 19180630    45.4
19180701 19180731    47.8
19180801 19180831    73.3
19180901 19180930     4.6
19181001 19181031    26.7
19181101 19181130     0.0
19181201 19181231    14.4
19190101 19190131    16.0
19190201 19190228    28.7
