PRCP       040152 19090601 20131231 missing_value=99999.9 MURGON POST OFFICE                        
19660701 19660731    36.7
19660801 19660831    79.6
19660901 19660930    24.9
19661001 19661031    74.0
19661101 19661130    52.8
19661201 19661231    57.8
19670101 19670131   135.4
19670201 19670228   134.0
19670301 19670331    90.0
19670401 19670430    12.7
19670501 19670531    66.1
19670601 19670630   125.0
19670701 19670731    25.2
19670801 19670831    18.1
19670901 19670930     1.3
19671001 19671031    19.1
19671101 19671130   137.9
19671201 19671231    86.1
19680101 19680131   255.9
19680201 19680229   114.5
19680301 19680331   110.0
19680401 19680430    36.4
19680501 19680531    53.6
19680601 19680630    16.2
19680701 19680731    34.3
19680801 19680831    62.0
19680901 19680930    13.5
19681001 19681031     6.2
19681101 19681130    58.9
19681201 19681231   128.5
19690101 19690131     6.1
19690201 19690228   127.8
19690301 19690331    64.0
19690401 19690430     7.6
19690501 19690531    61.4
19690601 19690630    14.0
19690701 19690731    16.2
19690801 19690831    19.3
19690901 19690930    13.2
19691001 19691031   107.4
19691101 19691130    98.4
19691201 19691231   106.5
19700101 19700131   133.4
19700201 19700228   194.2
19700301 19700331    86.5
19700401 19700430    15.8
19700501 19700531    36.6
19700601 19700630    10.7
19700701 19700731     6.4
19700801 19700831     5.1
19700901 19700930    82.1
19701001 19701031    90.2
19701101 19701130    67.3
19701201 19701231   262.9
19710101 19710131   156.7
19710201 19710228   260.4
19710301 19710331    15.1
19710401 19710430    11.7
19710501 19710531    16.0
19710601 19710630    14.5
19710701 19710731    17.9
19710801 19710831    81.5
19710901 19710930    57.7
19711001 19711031    77.0
19711101 19711130    47.7
19711201 19711231   107.5
19720101 19720131    78.8
19720201 19720229   116.8
19720301 19720331    66.0
19720401 19720430    90.2
19720501 19720531    43.3
19720601 19720630    19.6
19720701 19720731     0.8
19720801 19720831     5.1
19720901 19720930     0.0
19721001 19721031   146.4
19721101 19721130    87.2
19721201 19721231    25.7
19730101 19730131   177.6
19730201 19730228   182.6
19730301 19730331    74.5
19730401 19730430     7.8
19730501 19730531    11.0
19730601 19730630    10.2
19730701 19730731   189.0
19730801 19730831    53.2
19730901 19730930    64.8
19731001 19731031    39.1
19731101 19731130    67.9
19731201 19731231   135.9
19740101 19740131   204.4
19740201 19740228    40.2
19740301 19740331    37.8
19740401 19740430    33.6
19740501 19740531    53.6
19740601 19740630     3.2
19740701 19740731    22.6
19740801 19740831    42.0
19740901 19740930    72.2
19741001 19741031    99.2
19741101 19741130   122.3
19741201 19741231    57.1
19750101 19750131   140.6
19750201 19750228   151.2
19750301 19750331    37.8
19750401 19750430    24.2
19750501 19750531     8.8
19750601 19750630    53.4
19750701 19750731    49.4
19750801 19750831    32.4
19750901 19750930    43.4
19751001 19751031   113.0
19751101 19751130    71.8
19751201 19751231   103.7
19760101 19760131    92.0
19760201 19760229    61.1
19760301 19760331    69.7
19760401 19760430    51.0
19760501 19760531    23.8
19760601 19760630     7.6
19760701 19760731    26.1
19760801 19760831     0.6
19760901 19760930    82.4
19761001 19761031    95.9
19761101 19761130   201.6
19761201 19761231    75.2
19770101 19770131    22.9
19770201 19770228    48.7
19770301 19770331    44.8
19770401 19770430     9.0
19770501 19770531    85.2
19770601 19770630     7.2
19770701 19770731     0.8
19770801 19770831     1.8
19770901 19770930     1.8
19771001 19771031    29.2
19771101 19771130    73.8
19771201 19771231    68.1
19780101 19780131   257.9
19780201 19780228    82.4
19780301 19780331    56.7
19780401 19780430    51.6
19780501 19780531    31.5
19780601 19780630    45.0
19780701 19780731    79.0
19780801 19780831    82.4
19780901 19780930   112.0
19781001 19781031    18.4
19781101 19781130    67.2
19781201 19781231   127.2
19790101 19790131    51.1
19790201 19790228    41.8
19790301 19790331    94.7
19790401 19790430    22.8
19790501 19790531    16.4
19790601 19790630    53.8
19790701 19790731    14.5
19790801 19790831    13.6
19790901 19790930     8.6
19791001 19791031    73.8
19791101 19791130   113.9
19791201 19791231    55.6
19800101 19800131    97.0
19800201 19800229    62.7
19800301 19800331    58.7
19800401 19800430     5.5
19800501 19800531    87.4
19800601 19800630     5.2
19800701 19800731    29.9
19800801 19800831    11.2
19800901 19800930     0.2
19801001 19801031   126.4
19801101 19801130    53.8
19801201 19801231   181.4
19810101 19810131    57.2
19810201 19810228   108.1
19810301 19810331    35.4
19810401 19810430    69.8
19810501 19810531    50.1
