PRCP       079010 19051201 20170930 missing_value=99999.9 DRUNG DRUNG                               
19350301 19350331    31.7
19350401 19350430    28.8
19350501 19350531    18.4
19350601 19350630    48.9
19350701 19350731    53.3
19350801 19350831    64.6
19350901 19350930    43.2
19351001 19351031    25.8
19351101 19351130    16.5
19351201 19351231    18.2
19360101 19360131    61.0
19360201 19360229     0.0
19360301 19360331    17.7
19360401 19360430     6.6
19360501 19360531    52.6
19360601 19360630    34.0
19360701 19360731   105.3
19360801 19360831    69.1
19360901 19360930     9.4
19361001 19361031    41.3
19361101 19361130     7.7
19361201 19361231    41.2
19370101 19370131    45.3
19370201 19370228    29.7
19370301 19370331    21.1
19370401 19370430     9.6
19370501 19370531    25.9
19370601 19370630    24.6
19370701 19370731    16.2
19370801 19370831    31.3
19370901 19370930    41.5
19371001 19371031    66.3
19371101 19371130     3.6
19371201 19371231    68.6
19380101 19380131    35.9
19380201 19380228    23.9
19380301 19380331     0.3
19380401 19380430    34.3
19380501 19380531    16.3
19380601 19380630    52.0
19380701 19380731    43.4
19380801 19380831    16.2
19380901 19380930     9.9
19381001 19381031     5.3
19381101 19381130    16.6
19381201 19381231     2.0
19390101 19390131    27.9
19390201 19390228    32.0
19390301 19390331     3.3
19390401 19390430    98.7
19390501 19390531    58.8
19390601 19390630    55.7
19390701 19390731    26.2
19390801 19390831    93.4
19390901 19390930    23.0
19391001 19391031    28.5
19391101 19391130    71.5
19391201 19391231     4.0
19400101 19400131     9.6
19400201 19400229     2.5
19400301 19400331     7.1
19400401 19400430    48.4
19400501 19400531    23.3
19400601 19400630    15.7
19400701 19400731    41.2
19400801 19400831     9.9
19400901 19400930    16.3
19401001 19401031    21.3
19401101 19401130    33.6
19401201 19401231    27.7
19410101 19410131   137.4
19410201 19410228     8.4
19410301 19410331    52.3
19410401 19410430    23.9
19410501 19410531     9.4
19410601 19410630    48.7
19410701 19410731    73.5
19410801 19410831    23.4
19410901 19410930    77.3
19411001 19411031    29.5
19411101 19411130    30.0
19411201 19411231    12.9
19420101 19420131    25.4
19420201 19420228    23.1
19420301 19420331     7.6
19420401 19420430    37.5
19420501 19420531    79.2
19420601 19420630    47.5
19420701 19420731    50.2
19420801 19420831    78.6
19420901 19420930    67.5
19421001 19421031    71.0
19421101 19421130    51.1
19421201 19421231    15.2
19430101 19430131    13.0
19430201 19430228    33.5
19430301 19430331     2.0
19430401 19430430    22.9
19430501 19430531    22.2
19430601 19430630    38.8
19430701 19430731    45.4
19430801 19430831    53.5
19430901 19430930    55.5
19431001 19431031    30.0
19431101 19431130     9.5
19431201 19431231     0.0
19440101 19440131    15.2
19440201 19440229    15.5
19440301 19440331     3.3
19440401 19440430    35.7
19440501 19440531    48.3
19440601 19440630     4.6
19440701 19440731    33.3
19440801 19440831     1.8
19440901 19440930    14.0
19441001 19441031    37.1
19441101 19441130     6.7
19441201 19441231    40.0
19450101 19450131     4.5
19450201 19450228    53.7
19450301 19450331     2.5
19450401 19450430     2.0
19450501 19450531    34.0
19450601 19450630    66.1
19450701 19450731    44.1
19450801 19450831    75.8
19450901 19450930    23.5
19451001 19451031    29.8
19451101 19451130    32.3
19451201 19451231    16.3
19460101 19460131    51.8
19460201 19460228    88.6
19460301 19460331    74.1
19460401 19460430    19.1
19460501 19460531    30.8
19460601 19460630    46.0
19460701 19460731    85.3
19460801 19460831    46.8
19460901 19460930    22.9
19461001 19461031    26.7
19461101 19461130    14.9
19461201 19461231    35.5
19470101 19470131     4.3
19470201 19470228    52.2
19470301 19470331    81.7
19470401 19470430    21.0
19470501 19470531     6.9
19470601 19470630    58.1
19470701 19470731    90.7
19470801 19470831    49.2
19470901 19470930    50.6
19471001 19471031    66.2
19471101 19471130    50.6
19471201 19471231    67.1
19480101 19480131     0.0
19480201 19480229    35.0
19480301 19480331     0.0
19480401 19480430    72.2
19480501 19480531    26.5
19480601 19480630    55.0
19480701 19480731    38.4
19480801 19480831    27.7
19480901 19480930    17.7
19481001 19481031   100.7
19481101 19481130    23.8
19481201 19481231    74.2
19490101 19490131     3.8
19490201 19490228    76.9
19490301 19490331    13.5
19490401 19490430     4.1
19490501 19490531    33.5
19490601 19490630    21.6
19490701 19490731    35.8
19490801 19490831    10.4
19490901 19490930    31.8
19491001 19491031    79.0
19491101 19491130    85.1
19491201 19491231     3.8
19500101 19500131     0.0
19500201 19500228    81.0
19500301 19500331    46.3
19500401 19500430    33.5
19500501 19500531    89.5
19500601 19500630     9.3
19500701 19500731    39.7
19500801 19500831    35.7
19500901 19500930    33.2
19501001 19501031    39.2
19501101 19501130    29.8
19501201 19501231    11.7
19510101 19510131    18.6
19510201 19510228    45.5
19510301 19510331     9.3
19510401 19510430    28.5
19510501 19510531    66.9
19510601 19510630    49.8
19510701 19510731    50.7
19510801 19510831    67.4
19510901 19510930     9.4
19511001 19511031    77.8
19511101 19511130    10.1
19511201 19511231    32.0
19520101 19520131    39.1
19520201 19520229    28.7
19520301 19520331    12.0
19520401 19520430    34.0
19520501 19520531    66.7
19520601 19520630    88.2
19520701 19520731    26.5
19520801 19520831    49.7
19520901 19520930    30.7
19521001 19521031   106.2
19521101 19521130    66.3
19521201 19521231    30.8
19530101 19530131    50.5
19530201 19530228     4.3
19530301 19530331     4.6
19530401 19530430    24.1
19530501 19530531    17.4
19530601 19530630    70.4
19530701 19530731    63.0
19530801 19530831    75.3
19530901 19530930    49.5
19531001 19531031    47.3
19531101 19531130    64.3
19531201 19531231    31.2
19540101 19540131    52.5
19540201 19540228     0.0
19540301 19540331     6.9
19540401 19540430   107.6
19540501 19540531    16.5
19540601 19540630    31.0
19540701 19540731    37.0
19540801 19540831    34.2
19540901 19540930    15.3
19541001 19541031    44.2
19541101 19541130    52.8
19541201 19541231    52.9
19550101 19550131     2.3
19550201 19550228    60.3
19550301 19550331    32.3
19550401 19550430    22.4
19550501 19550531    57.1
19550601 19550630   127.7
19550701 19550731    48.5
19550801 19550831   110.9
19550901 19550930    45.3
19551001 19551031    70.2
19551101 19551130    25.9
19551201 19551231    16.1
19560101 19560131    23.2
19560201 19560229     4.6
19560301 19560331    76.5
19560401 19560430    71.5
19560501 19560531    94.9
19560601 19560630    67.4
19560701 19560731    72.7
19560801 19560831    64.5
19560901 19560930    59.1
19561001 19561031    44.4
19561101 19561130    15.2
19561201 19561231    13.6
19570101 19570131     4.3
19570201 19570228   121.7
19570301 19570331    56.5
19570401 19570430    14.5
19570501 19570531    16.5
19570601 19570630    42.6
19570701 19570731    17.2
19570801 19570831    31.0
19570901 19570930    24.9
19571001 19571031    42.5
19571101 19571130    16.9
19571201 19571231    14.7
19580101 19580131    41.4
19580201 19580228    10.1
19580301 19580331     8.4
19580401 19580430     6.4
19580501 19580531    81.3
19580601 19580630     9.7
19580701 19580731    70.7
19580801 19580831    86.0
19580901 19580930    30.3
19581001 19581031    60.9
19581101 19581130    34.4
19581201 19581231     3.6
19590101 19590131    33.0
19590201 19590228    41.6
19590301 19590331    55.8
19590401 19590430     9.7
19590501 19590531     9.2
19590601 19590630    18.4
19590701 19590731    14.4
19590801 19590831    58.8
19590901 19590930    26.4
19591001 19591031    43.6
19591101 19591130    42.5
19591201 19591231    41.4
19600101 19600131    33.8
19600201 19600229    36.0
19600301 19600331    36.3
19600401 19600430    62.3
19600501 19600531    92.5
19600601 19600630    48.2
19600701 19600731    44.3
19600801 19600831    69.4
19600901 19600930    99.9
19601001 19601031    27.7
19601101 19601130    78.5
19601201 19601231    37.4
19610101 19610131     2.8
19610201 19610228    26.2
19610301 19610331     5.6
19610401 19610430    71.0
19610501 19610531    17.4
19610601 19610630    44.4
19610701 19610731    61.0
19610801 19610831    30.6
19610901 19610930    35.1
19611001 19611031    29.8
19611101 19611130    22.6
19611201 19611231    48.8
19620101 19620131     9.4
19620201 19620228     9.7
19620301 19620331    18.1
19620401 19620430     5.6
19620501 19620531    46.7
19620601 19620630    68.1
19620701 19620731    16.1
19620801 19620831    46.9
19620901 19620930    57.2
19621001 19621031    49.5
19621101 19621130    11.5
19621201 19621231    31.2
19630101 19630131    91.7
19630201 19630228     5.1
19630301 19630331    16.8
19630401 19630430     5.4
19630501 19630531    52.7
19630601 19630630    51.2
19630701 19630731    55.0
19630801 19630831    52.4
19630901 19630930    56.0
19631001 19631031    23.4
19631101 19631130     1.8
19631201 19631231     3.6
19640101 19640131     4.6
19640201 19640229    28.2
19640301 19640331     9.7
19640401 19640430    40.3
19640501 19640531    21.1
19640601 19640630    57.5
19640701 19640731    94.0
19640801 19640831    43.2
19640901 19640930    78.0
19641001 19641031    93.5
19641101 19641130    83.1
19641201 19641231    36.8
19650101 19650131     1.3
19650201 19650228     0.0
19650301 19650331     5.9
19650401 19650430    14.3
19650501 19650531    72.3
19650601 19650630    22.3
19650701 19650731    59.2
