PRCP       068034 18990701 20040630 missing_value=99999.9 POINT PERPENDICULAR LIGHTHOUSE COMPARISON 
19360301 19360331   153.4
19360401 19360430    63.4
19360501 19360531    60.7
19360601 19360630   113.1
19360701 19360731    62.7
19360801 19360831    48.9
19360901 19360930    52.1
19361001 19361031    21.1
19361101 19361130    20.3
19361201 19361231   154.8
19370101 19370131    91.7
19370201 19370228    43.5
19370301 19370331   162.2
19370401 19370430    94.2
19370501 19370531    13.3
19370601 19370630   365.0
19370701 19370731    79.5
19370801 19370831   104.0
19370901 19370930    23.4
19371001 19371031    67.5
19371101 19371130    76.0
19371201 19371231    54.5
19380101 19380131   104.7
19380201 19380228    53.0
19380301 19380331    66.0
19380401 19380430    46.1
19380501 19380531    73.1
19380601 19380630    12.1
19380701 19380731   116.3
19380801 19380831   218.9
19380901 19380930    33.2
19381001 19381031   115.1
19381101 19381130    41.8
19381201 19381231     7.7
19390101 19390131    52.8
19390201 19390228     6.4
19390301 19390331   149.6
19390401 19390430   153.5
19390501 19390531    49.8
19390601 19390630    20.4
19390701 19390731   105.0
19390801 19390831    96.9
19390901 19390930    63.6
19391001 19391031    81.8
19391101 19391130    53.8
19391201 19391231    31.5
19400101 19400131    23.8
19400201 19400229     4.9
19400301 19400331    10.6
19400401 19400430    79.1
19400501 19400531    89.6
19400601 19400630    56.2
19400701 19400731    44.0
19400801 19400831    14.2
19400901 19400930    86.3
19401001 19401031    11.3
19401101 19401130    68.5
19401201 19401231    97.4
19410101 19410131   134.9
19410201 19410228   105.0
19410301 19410331    32.7
19410401 19410430   106.5
19410501 19410531    42.1
19410601 19410630    46.9
19410701 19410731    42.8
19410801 19410831    90.9
19410901 19410930   113.3
19411001 19411031    59.0
19411101 19411130    64.8
19411201 19411231     8.1
19420101 19420131     6.7
19420201 19420228    56.5
19420301 19420331   109.5
19420401 19420430    34.4
19420501 19420531    59.1
19420601 19420630   113.3
19420701 19420731    65.4
19420801 19420831    23.8
19420901 19420930    11.4
19421001 19421031   109.7
19421101 19421130   128.0
19421201 19421231    56.8
19430101 19430131    49.8
19430201 19430228    21.8
19430301 19430331    51.5
19430401 19430430    42.4
19430501 19430531   468.7
19430601 19430630    46.2
19430701 19430731    10.1
19430801 19430831   121.7
19430901 19430930    76.3
19431001 19431031   183.9
19431101 19431130   112.3
19431201 19431231    83.1
19440101 19440131    15.9
19440201 19440229    12.5
19440301 19440331    16.4
19440401 19440430   105.2
19440501 19440531   158.2
19440601 19440630    55.3
19440701 19440731    49.4
19440801 19440831   132.6
19440901 19440930    18.9
19441001 19441031    30.3
19441101 19441130    31.9
19441201 19441231    29.8
19450101 19450131   123.3
19450201 19450228    73.4
19450301 19450331    38.7
19450401 19450430   300.3
19450501 19450531    96.4
19450601 19450630   132.5
19450701 19450731    72.7
19450801 19450831    24.5
19450901 19450930    19.6
19451001 19451031    30.6
19451101 19451130    49.4
19451201 19451231    39.8
19460101 19460131    32.7
19460201 19460228    87.8
19460301 19460331    89.6
19460401 19460430    94.8
19460501 19460531    28.5
19460601 19460630   156.8
19460701 19460731     3.6
19460801 19460831     5.0
19460901 19460930    37.3
19461001 19461031    56.9
19461101 19461130    77.6
19461201 19461231    16.0
19470101 19470131    41.6
19470201 19470228    61.5
19470301 19470331    39.4
19470401 19470430   162.6
19470501 19470531   103.1
19470601 19470630   106.5
19470701 19470731    18.6
19470801 19470831   106.2
19470901 19470930    23.1
19471001 19471031    66.6
19471101 19471130   140.7
19471201 19471231   175.5
19480101 19480131   245.9
19480201 19480229    54.0
19480301 19480331    48.2
19480401 19480430    70.1
19480501 19480531   137.7
19480601 19480630   134.4
19480701 19480731    49.3
19480801 19480831    40.7
19480901 19480930    32.1
19481001 19481031    60.1
19481101 19481130    53.6
19481201 19481231    61.8
19490101 19490131   185.5
19490201 19490228   137.9
19490301 19490331    98.8
19490401 19490430    63.9
19490501 19490531   111.2
19490601 19490630   221.1
