PRCP       080009 18870601 20171231 missing_value=99999.9 COONOOER BRIDGE                           
19251101 19251130    30.9
19251201 19251231     1.8
19260101 19260131     2.8
19260201 19260228     0.8
19260301 19260331     6.1
19260401 19260430    69.0
19260501 19260531    67.2
19260601 19260630    47.1
19260701 19260731    38.6
19260801 19260831    67.0
19260901 19260930    23.3
19261001 19261031    36.4
19261101 19261130     2.8
19261201 19261231    18.0
19270101 19270131    17.8
19270201 19270228    13.6
19270301 19270331     4.1
19270401 19270430     0.8
19270501 19270531    50.0
19270601 19270630    18.2
19270701 19270731    60.0
19270801 19270831    43.0
19270901 19270930    22.9
19271001 19271031    17.7
19271101 19271130     7.9
19271201 19271231    23.4
19280101 19280131    67.5
19280201 19280229    68.9
19280301 19280331    51.6
19280401 19280430     9.0
19280501 19280531    22.4
19280601 19280630    50.5
19280701 19280731    34.3
19280801 19280831     8.1
19280901 19280930    36.4
19281001 19281031    58.0
19281101 19281130     3.1
19281201 19281231     5.3
19290101 19290131     9.2
19290201 19290228    12.4
19290301 19290331    11.2
19290401 19290430    22.4
19290501 19290531    14.6
19290601 19290630    29.9
19290701 19290731    10.9
19290801 19290831    27.7
19290901 19290930     9.5
19291001 19291031    22.5
19291101 19291130    24.8
19291201 19291231    28.5
19300101 19300131     0.0
19300201 19300228    44.6
19300301 19300331    10.5
19300401 19300430    12.4
19300501 19300531    44.5
19300601 19300630    15.5
19300701 19300731    66.6
19300801 19300831    45.1
19300901 19300930    21.6
19301001 19301031    90.6
19301101 19301130    25.7
19301201 19301231   122.7
19310101 19310131     0.0
19310201 19310228     1.0
19310301 19310331    31.8
19310401 19310430    63.2
19310501 19310531    98.5
19310601 19310630    96.6
19310701 19310731    54.0
19310801 19310831    27.1
19310901 19310930    33.9
19311001 19311031     4.3
19311101 19311130    59.7
19311201 19311231     0.8
19320101 19320131     0.0
19320201 19320229    46.7
19320301 19320331    68.5
19320401 19320430    71.0
19320501 19320531    19.6
19320601 19320630    55.3
19320701 19320731    57.8
19320801 19320831    79.0
19320901 19320930    14.7
19321001 19321031    26.7
19321101 19321130    11.0
19321201 19321231    32.6
19330101 19330131   103.6
19330201 19330228     0.0
19330301 19330331     7.8
19330401 19330430    32.6
19330501 19330531    68.1
19330601 19330630    36.9
19330701 19330731    94.2
19330801 19330831    38.2
19330901 19330930    49.5
19331001 19331031    19.0
19331101 19331130    95.3
19331201 19331231    56.7
19340101 19340131    14.8
19340201 19340228    49.3
19340301 19340331     0.0
19340401 19340430    33.8
19340501 19340531     0.0
19340601 19340630    10.2
19340701 19340731    47.0
19340801 19340831    28.9
19340901 19340930    36.0
19341001 19341031    93.4
19341101 19341130    55.6
19341201 19341231     4.1
19350101 19350131    18.5
19350201 19350228     9.7
19350301 19350331    27.7
19350401 19350430    38.6
19350501 19350531    24.2
19350601 19350630    30.1
19350701 19350731    96.7
19350801 19350831    31.3
19350901 19350930    67.7
19351001 19351031    78.8
19351101 19351130     2.8
19351201 19351231    16.3
19360101 19360131    44.0
19360201 19360229     1.8
19360301 19360331     1.5
19360401 19360430     9.4
19360501 19360531    33.0
19360601 19360630    27.8
19360701 19360731   110.1
19360801 19360831    39.7
19360901 19360930     7.2
19361001 19361031    48.3
19361101 19361130     4.9
19361201 19361231    86.4
19370101 19370131    33.4
19370201 19370228    26.0
19370301 19370331     8.9
19370401 19370430     2.8
19370501 19370531    35.4
19370601 19370630    21.1
19370701 19370731    14.9
19370801 19370831    47.3
19370901 19370930    29.5
19371001 19371031    91.0
19371101 19371130     5.8
19371201 19371231    59.5
19380101 19380131    24.8
19380201 19380228    17.3
19380301 19380331     1.3
19380401 19380430    21.5
19380501 19380531     7.9
19380601 19380630    49.2
19380701 19380731    51.2
19380801 19380831    12.2
19380901 19380930     4.8
19381001 19381031     3.6
19381101 19381130    10.1
19381201 19381231     0.8
19390101 19390131    19.9
19390201 19390228    81.3
19390301 19390331    10.7
19390401 19390430   156.4
19390501 19390531    64.2
19390601 19390630    53.4
19390701 19390731    24.7
19390801 19390831    74.0
19390901 19390930    15.2
19391001 19391031    14.6
19391101 19391130    61.9
19391201 19391231     2.3
19400101 19400131    19.0
19400201 19400229     3.3
19400301 19400331     2.5
19400401 19400430    43.6
19400501 19400531     4.8
19400601 19400630     7.5
19400701 19400731    27.8
19400801 19400831     5.9
19400901 19400930    40.6
19401001 19401031     7.6
19401101 19401130    19.9
19401201 19401231    17.2
19410101 19410131    62.4
19410201 19410228     8.6
19410301 19410331    29.0
19410401 19410430    15.5
19410501 19410531     6.1
19410601 19410630    37.7
19410701 19410731    59.0
19410801 19410831    25.9
19410901 19410930    78.0
19411001 19411031    47.1
19411101 19411130    24.4
19411201 19411231    10.4
19420101 19420131    14.7
19420201 19420228     7.7
19420301 19420331    20.3
19420401 19420430    17.8
19420501 19420531    77.1
19420601 19420630    59.7
19420701 19420731    40.8
19420801 19420831    90.9
19420901 19420930    33.8
19421001 19421031    53.0
19421101 19421130    26.9
19421201 19421231    10.1
19430101 19430131    14.8
19430201 19430228    12.1
19430301 19430331     2.0
19430401 19430430    20.1
19430501 19430531    18.8
19430601 19430630    35.8
19430701 19430731    50.4
19430801 19430831    40.6
19430901 19430930    34.5
19431001 19431031    20.0
19431101 19431130    15.5
19431201 19431231    11.0
19440101 19440131    15.2
19440201 19440229     3.3
19440301 19440331    17.8
19440401 19440430    47.0
19440501 19440531    40.5
19440601 19440630     5.4
19440701 19440731    29.0
19440801 19440831     1.8
19440901 19440930    12.5
19441001 19441031    23.9
19441101 19441130    12.2
19441201 19441231    34.6
19450101 19450131    15.4
19450201 19450228    36.8
19450301 19450331     6.4
19450401 19450430     3.0
19450501 19450531    19.0
19450601 19450630    90.6
19450701 19450731    35.4
19450801 19450831    53.1
19450901 19450930    18.2
19451001 19451031    24.6
19451101 19451130    24.6
19451201 19451231     6.8
19460101 19460131    68.2
19460201 19460228    66.5
19460301 19460331    43.4
19460401 19460430    12.3
19460501 19460531    35.9
19460601 19460630    38.5
19460701 19460731    59.1
19460801 19460831    28.2
19460901 19460930    11.0
19461001 19461031    25.2
19461101 19461130    18.4
19461201 19461231    10.1
19470101 19470131     1.3
19470201 19470228    40.9
19470301 19470331    71.2
19470401 19470430    26.9
19470501 19470531     7.2
19470601 19470630    57.1
19470701 19470731    69.8
19470801 19470831    32.7
19470901 19470930    30.8
19471001 19471031    84.4
19471101 19471130    37.1
19471201 19471231    53.5
19480101 19480131     4.3
19480201 19480229     8.2
19480301 19480331     1.8
19480401 19480430    26.9
19480501 19480531    39.2
19480601 19480630    44.1
19480701 19480731    32.9
19480801 19480831    17.6
19480901 19480930    20.3
19481001 19481031   102.4
19481101 19481130    25.7
19481201 19481231    62.2
19490101 19490131     5.1
19490201 19490228    64.7
19490301 19490331    54.3
19490401 19490430     1.0
19490501 19490531    53.2
19490601 19490630    19.3
19490701 19490731    32.0
19490801 19490831    11.4
19490901 19490930    24.0
19491001 19491031   112.7
19491101 19491130    68.3
19491201 19491231     4.3
19500101 19500131     0.0
19500201 19500228    78.2
19500301 19500331    76.2
19500401 19500430    30.0
19500501 19500531    71.9
19500601 19500630    18.6
19500701 19500731    44.9
19500801 19500831    38.4
19500901 19500930    64.8
19501001 19501031    36.1
19501101 19501130    21.9
19501201 19501231    13.4
19510101 19510131    24.9
19510201 19510228    94.2
19510301 19510331     0.0
19510401 19510430    15.1
19510501 19510531    70.8
19510601 19510630    66.4
19510701 19510731    63.7
19510801 19510831    54.5
19510901 19510930    12.7
19511001 19511031    78.1
19511101 19511130     9.2
19511201 19511231    12.2
19520101 19520131    37.3
19520201 19520229    15.0
19520301 19520331    18.3
19520401 19520430    32.6
19520501 19520531    79.3
19520601 19520630    71.0
19520701 19520731    19.0
19520801 19520831    44.2
19520901 19520930    31.0
19521001 19521031    58.2
19521101 19521130    65.9
19521201 19521231    13.2
19530101 19530131    48.0
19530201 19530228    21.3
19530301 19530331     0.3
19530401 19530430    25.8
19530501 19530531     9.4
19530601 19530630    57.1
19530701 19530731    59.5
19530801 19530831    58.0
19530901 19530930    54.7
19531001 19531031    44.7
19531101 19531130    50.1
19531201 19531231    14.4
19540101 19540131    66.8
19540201 19540228    17.8
19540301 19540331     6.9
19540401 19540430    69.7
19540501 19540531    19.5
19540601 19540630    36.3
19540701 19540731    31.7
19540801 19540831    49.0
19540901 19540930    26.0
19541001 19541031    44.4
19541101 19541130    40.6
19541201 19541231    81.6
19550101 19550131     8.3
19550201 19550228    98.3
19550301 19550331    17.0
19550401 19550430    10.4
19550501 19550531    67.8
19550601 19550630    77.6
19550701 19550731    34.3
19550801 19550831    84.1
19550901 19550930    61.5
19551001 19551031    54.7
19551101 19551130    28.7
19551201 19551231    11.4
19560101 19560131    15.0
19560201 19560229     2.0
19560301 19560331    93.8
19560401 19560430    90.8
19560501 19560531   168.1
19560601 19560630    52.5
19560701 19560731    73.9
19560801 19560831    45.0
19560901 19560930    65.8
19561001 19561031    73.9
19561101 19561130    20.6
19561201 19561231     5.5
19570101 19570131     1.8
19570201 19570228    93.2
19570301 19570331    17.3
19570401 19570430    17.8
19570501 19570531    11.7
19570601 19570630    50.8
19570701 19570731     9.2
19570801 19570831    22.1
19570901 19570930    19.4
19571001 19571031    51.9
19571101 19571130    17.9
19571201 19571231    16.7
19580101 19580131    63.5
19580201 19580228     7.8
19580301 19580331     5.8
19580401 19580430    11.1
19580501 19580531    66.3
19580601 19580630     8.7
19580701 19580731    71.2
19580801 19580831    71.0
19580901 19580930    32.1
19581001 19581031    73.5
19581101 19581130    58.5
19581201 19581231     7.9
19590101 19590131    13.2
19590201 19590228    42.5
19590301 19590331    46.9
19590401 19590430    42.7
19590501 19590531    15.7
19590601 19590630    19.1
19590701 19590731    11.1
19590801 19590831    42.9
19590901 19590930    41.8
19591001 19591031    41.0
19591101 19591130    13.8
19591201 19591231    28.7
19600101 19600131    77.1
19600201 19600229    44.7
19600301 19600331    13.8
19600401 19600430    71.4
19600501 19600531    98.4
19600601 19600630    44.5
19600701 19600731    49.3
19600801 19600831    48.8
19600901 19600930   108.9
19601001 19601031    13.2
19601101 19601130    81.8
19601201 19601231    50.8
19610101 19610131     0.0
19610201 19610228    14.8
19610301 19610331    34.2
19610401 19610430    55.9
19610501 19610531     8.0
19610601 19610630    39.3
19610701 19610731    47.5
19610801 19610831    27.7
19610901 19610930    20.4
19611001 19611031    38.7
19611101 19611130    24.4
19611201 19611231    44.3
19620101 19620131    54.6
19620201 19620228    10.4
19620301 19620331    12.5
19620401 19620430    12.0
19620501 19620531    46.7
19620601 19620630    45.2
19620701 19620731    34.3
19620801 19620831    76.8
19620901 19620930    59.8
19621001 19621031    43.2
19621101 19621130    14.0
19621201 19621231    18.8
19630101 19630131   101.1
19630201 19630228     0.0
19630301 19630331    39.6
19630401 19630430    11.1
19630501 19630531    56.1
19630601 19630630    54.2
19630701 19630731    47.9
19630801 19630831    40.4
19630901 19630930    61.9
19631001 19631031    21.1
19631101 19631130    12.5
19631201 19631231     6.6
19640101 19640131     0.0
19640201 19640229     4.0
19640301 19640331     4.9
19640401 19640430    82.7
19640501 19640531    22.5
19640601 19640630    44.7
19640701 19640731    74.2
19640801 19640831    40.1
19640901 19640930   104.9
19641001 19641031   112.5
19641101 19641130    22.6
19641201 19641231    29.7
19650101 19650131     2.8
19650201 19650228     0.0
19650301 19650331     7.1
19650401 19650430    26.2
19650501 19650531    54.7
19650601 19650630    22.9
19650701 19650731    58.1
19650801 19650831    79.2
19650901 19650930    20.7
19651001 19651031     4.4
19651101 19651130    74.8
19651201 19651231    29.5
19660101 19660131    10.4
19660201 19660228    23.3
19660301 19660331    41.9
19660401 19660430    14.9
19660501 19660531    24.4
19660601 19660630    24.6
19660701 19660731    48.2
19660801 19660831    25.2
19660901 19660930    70.3
19661001 19661031    46.8
19661101 19661130    26.2
19661201 19661231    93.5
19670101 19670131     2.3
19670201 19670228     5.6
19670301 19670331     2.5
19670401 19670430     5.1
19670501 19670531    20.4
19670601 19670630    25.4
19670701 19670731    42.4
19670801 19670831    40.8
19670901 19670930    16.8
19671001 19671031     9.4
19671101 19671130     7.1
19671201 19671231    19.4
19680101 19680131    88.1
19680201 19680229     6.1
19680301 19680331    32.2
19680401 19680430    48.9
19680501 19680531    76.2
19680601 19680630    65.9
19680701 19680731    37.4
19680801 19680831    73.5
19680901 19680930    11.4
19681001 19681031    47.8
19681101 19681130    26.7
19681201 19681231    39.9
19690101 19690131     2.3
19690201 19690228    47.1
19690301 19690331   102.8
19690401 19690430    19.9
19690501 19690531    55.0
19690601 19690630     9.2
19690701 19690731    42.2
19690801 19690831    37.6
19690901 19690930    40.5
19691001 19691031     3.8
19691101 19691130    35.8
19691201 19691231    24.6
19700101 19700131    45.0
19700201 19700228     1.5
19700301 19700331    45.2
19700401 19700430    67.1
19700501 19700531    20.6
19700601 19700630    45.7
19700701 19700731    19.9
19700801 19700831    60.2
19700901 19700930    39.1
19701001 19701031    17.3
19701101 19701130    46.5
19701201 19701231    18.6
19710101 19710131    10.0
19710201 19710228    23.0
19710301 19710331    25.6
19710401 19710430    76.2
19710501 19710531    38.1
19710601 19710630    44.2
19710701 19710731    41.7
19710801 19710831    40.7
19710901 19710930    36.2
19711001 19711031    41.7
19711101 19711130    67.5
19711201 19711231    18.3
19720101 19720131    24.2
19720201 19720229    61.0
19720301 19720331    13.5
19720401 19720430    28.7
19720501 19720531    18.6
19720601 19720630    23.4
19720701 19720731    31.3
19720801 19720831    51.1
19720901 19720930    22.4
19721001 19721031    23.3
19721101 19721130    44.7
19721201 19721231     3.0
19730101 19730131    98.6
19730201 19730228   174.5
19730301 19730331    24.6
19730401 19730430    49.1
19730501 19730531    76.7
19730601 19730630    75.4
19730701 19730731    66.0
19730801 19730831    90.9
19730901 19730930    65.1
19731001 19731031    93.5
19731101 19731130    33.3
19731201 19731231    12.5
19740101 19740131   128.4
19740201 19740228    32.3
19740301 19740331    32.0
19740401 19740430   110.4
19740501 19740531    84.0
19740601 19740630    16.2
19740701 19740731    66.0
19740801 19740831    62.4
19740901 19740930    71.0
19741001 19741031    83.0
19741101 19741130     3.6
19741201 19741231    10.0
19750101 19750131    16.4
19750201 19750228     3.2
19750301 19750331    37.6
19750401 19750430     8.0
19750501 19750531    40.2
19750601 19750630    11.6
19750701 19750731    50.8
19750801 19750831    34.2
19750901 19750930   115.2
19751001 19751031   203.0
19751101 19751130    11.8
19751201 19751231    33.6
19760101 19760131    17.3
19760201 19760229    12.0
19760301 19760331    18.2
19760401 19760430     2.0
19760501 19760531    15.6
19760601 19760630    39.2
19760701 19760731    23.4
19760801 19760831    26.8
19760901 19760930    50.6
19761001 19761031    38.1
19761101 19761130    47.8
19761201 19761231    39.2
19770101 19770131    10.0
19770201 19770228    13.8
19770301 19770331    22.0
19770401 19770430    25.2
19770501 19770531    56.6
19770601 19770630    51.0
19770701 19770731    11.8
19770801 19770831    18.2
19770901 19770930    23.8
19771001 19771031    14.4
19771101 19771130    32.4
19771201 19771231     6.4
19780101 19780131     1.8
19780201 19780228     2.2
19780301 19780331    33.4
19780401 19780430    53.2
19780501 19780531    76.2
19780601 19780630    37.2
19780701 19780731    66.8
19780801 19780831    61.6
19780901 19780930    71.8
19781001 19781031    21.2
19781101 19781130    54.8
19781201 19781231    21.2
19790101 19790131    73.4
19790201 19790228    30.2
19790301 19790331     4.8
19790401 19790430    25.4
19790501 19790531    57.8
19790601 19790630    28.8
19790701 19790731    39.4
19790801 19790831   103.4
19790901 19790930    97.8
19791001 19791031    55.0
19791101 19791130    21.4
19791201 19791231     3.8
19800101 19800131    13.4
19800201 19800229     0.8
19800301 19800331    10.2
19800401 19800430   101.8
19800501 19800531    27.6
19800601 19800630    40.6
19800701 19800731    60.4
19800801 19800831    48.8
19800901 19800930    28.2
19801001 19801031    66.2
19801101 19801130    20.6
19801201 19801231    20.0
19810101 19810131    26.2
19810201 19810228     8.2
19810301 19810331     1.6
19810401 19810430     1.0
19810501 19810531    56.6
19810601 19810630    86.8
19810701 19810731    82.8
19810801 19810831    78.0
19810901 19810930    26.4
19811001 19811031    29.6
19811101 19811130    30.8
19811201 19811231    12.0
19820101 19820131    14.8
19820201 19820228     0.2
19820301 19820331    39.8
19820401 19820430    20.9
19820501 19820531    22.6
19820601 19820630    18.2
19820701 19820731     7.0
19820801 19820831     9.4
19820901 19820930     9.2
19821001 19821031     6.6
19821101 19821130     2.0
19821201 19821231    10.0
19830101 19830131     2.6
19830201 19830228     0.0
19830301 19830331   108.0
19830401 19830430    32.6
19830501 19830531    67.2
19830601 19830630    26.4
19830701 19830731    66.2
19830801 19830831    71.6
19830901 19830930    90.8
