PRCP       009520 18970101 20171231 missing_value=99999.9 CAPE RICHE                                
19280101 19280131    67.1
19280201 19280229     0.8
19280301 19280331    34.3
19280401 19280430    64.2
19280501 19280531    33.8
19280601 19280630    21.3
19280701 19280731    48.7
19280801 19280831    50.3
19280901 19280930    60.5
19281001 19281031    41.1
19281101 19281130    15.0
19281201 19281231     8.4
19290101 19290131     4.9
19290201 19290228    27.2
19290301 19290331    19.6
19290401 19290430    19.5
19290501 19290531    46.3
19290601 19290630   139.4
19290701 19290731    59.3
19290801 19290831    36.2
19290901 19290930   127.4
19291001 19291031    27.5
19291101 19291130   121.4
19291201 19291231    18.2
19300101 19300131     1.8
19300201 19300228     6.0
19300301 19300331    65.2
19300401 19300430    48.7
19300501 19300531    85.1
19300601 19300630    26.8
19300701 19300731    51.8
19300801 19300831    16.5
19300901 19300930    31.9
19301001 19301031    18.2
19301101 19301130    11.9
19301201 19301231    16.0
19310101 19310131     4.9
19310201 19310228    21.2
19310301 19310331    33.8
19310401 19310430    29.0
19310501 19310531    50.9
19310601 19310630    74.8
19310701 19310731    56.6
19310801 19310831    69.9
19310901 19310930    72.1
19311001 19311031    18.2
19311101 19311130     8.2
19311201 19311231    15.7
19320101 19320131    14.7
19320201 19320229    12.4
19320301 19320331    36.5
19320401 19320430    53.1
19320501 19320531    46.1
19320601 19320630   107.1
19320701 19320731    43.3
19320801 19320831   112.1
19320901 19320930    41.1
19321001 19321031   101.0
19321101 19321130    21.2
19321201 19321231     8.4
19330101 19330131    28.8
19330201 19330228     0.0
19330301 19330331    42.3
19330401 19330430    33.5
19330501 19330531    42.6
19330601 19330630    64.0
19330701 19330731    28.8
19330801 19330831    36.9
19330901 19330930    22.2
19331001 19331031    40.7
19331101 19331130    34.7
19331201 19331231     7.7
19340101 19340131    12.5
19340201 19340228     2.0
19340301 19340331   161.3
19340401 19340430    62.3
19340501 19340531    34.0
19340601 19340630    67.9
19340701 19340731    68.6
19340801 19340831    44.7
19340901 19340930    31.8
19341001 19341031    44.2
19341101 19341130    19.6
19341201 19341231     9.7
19350101 19350131     7.9
19350201 19350228    43.7
19350301 19350331     5.8
