PRCP       018106 18880101 20180131 missing_value=99999.9 NULLARBOR ROADHOUSE                       
19290101 19290131     0.3
19290201 19290228     0.3
19290301 19290331    10.5
19290401 19290430     0.0
19290501 19290531    10.0
19290601 19290630    19.1
19290701 19290731    10.5
19290801 19290831    15.0
19290901 19290930    17.4
19291001 19291031    16.2
19291101 19291130    19.1
19291201 19291231     1.5
19300101 19300131     0.0
19300201 19300228    80.3
19300301 19300331     0.3
19300401 19300430    24.1
19300501 19300531    30.0
19300601 19300630     2.8
19300701 19300731    10.7
19300801 19300831    47.3
19300901 19300930     3.1
19301001 19301031    49.4
19301101 19301130     0.3
19301201 19301231    11.5
19310101 19310131     0.5
19310201 19310228     0.8
19310301 19310331    72.5
19310401 19310430    23.9
19310501 19310531    61.2
19310601 19310630    42.6
19310701 19310731    25.3
19310801 19310831    16.4
19310901 19310930    14.4
19311001 19311031     0.8
19311101 19311130    44.2
19311201 19311231     0.0
19320101 19320131     2.5
19320201 19320229    40.3
19320301 19320331    13.0
19320401 19320430    70.7
19320501 19320531    18.1
19320601 19320630    26.1
19320701 19320731    18.8
19320801 19320831    72.7
19320901 19320930    26.6
19321001 19321031    46.5
19321101 19321130     2.5
19321201 19321231     7.4
19330101 19330131     2.0
19330201 19330228     0.0
19330301 19330331    35.6
19330401 19330430    17.8
19330501 19330531    28.8
19330601 19330630    30.6
19330701 19330731    18.9
19330801 19330831    17.6
19330901 19330930     8.3
19331001 19331031     5.4
19331101 19331130    27.9
19331201 19331231     4.8
19340101 19340131     0.5
19340201 19340228     2.5
19340301 19340331    42.7
19340401 19340430    16.4
19340501 19340531     0.5
19340601 19340630    91.5
19340701 19340731    27.5
19340801 19340831    21.8
19340901 19340930    10.3
19341001 19341031    28.8
19341101 19341130    29.5
19341201 19341231     0.0
19350101 19350131     2.3
19350201 19350228     0.0
19350301 19350331    70.1
19350401 19350430    19.6
19350501 19350531     9.2
19350601 19350630     4.4
19350701 19350731    26.2
19350801 19350831    13.3
19350901 19350930    24.6
19351001 19351031    45.6
19351101 19351130    28.2
19351201 19351231     4.9
19360101 19360131     2.8
19360201 19360229     3.8
19360301 19360331     0.0
19360401 19360430     2.4
19360501 19360531     8.6
19360601 19360630    29.8
19360701 19360731    27.1
19360801 19360831    20.9
19360901 19360930     1.1
19361001 19361031    17.1
19361101 19361130     8.2
19361201 19361231     2.6
19370101 19370131     7.7
19370201 19370228     6.6
19370301 19370331     1.0
19370401 19370430     8.1
19370501 19370531    23.5
19370601 19370630    28.7
19370701 19370731    13.1
19370801 19370831    15.7
19370901 19370930    10.4
19371001 19371031     7.3
19371101 19371130    18.7
19371201 19371231    35.0
19380101 19380131    10.2
19380201 19380228     2.9
19380301 19380331     0.0
19380401 19380430    21.8
19380501 19380531    66.4
19380601 19380630    35.5
19380701 19380731    18.1
19380801 19380831    25.4
19380901 19380930     1.3
19381001 19381031    11.0
19381101 19381130     1.3
19381201 19381231     5.0
19390101 19390131     0.0
19390201 19390228     4.1
19390301 19390331    32.0
19390401 19390430     1.3
19390501 19390531    25.4
19390601 19390630    23.1
19390701 19390731    32.1
19390801 19390831    33.4
19390901 19390930     2.9
19391001 19391031    42.7
19391101 19391130    22.2
19391201 19391231     1.0
19400101 19400131    48.7
19400201 19400229    22.6
19400301 19400331    29.5
19400401 19400430    22.1
19400501 19400531    36.0
19400601 19400630     1.8
19400701 19400731    48.2
19400801 19400831     0.3
19400901 19400930     5.2
19401001 19401031    23.7
19401101 19401130    27.1
19401201 19401231     4.3
19410101 19410131     3.4
19410201 19410228    21.0
19410301 19410331    27.8
19410401 19410430    36.8
19410501 19410531    10.4
19410601 19410630    27.2
19410701 19410731    57.7
19410801 19410831    26.0
19410901 19410930    25.6
19411001 19411031    21.0
19411101 19411130    18.6
19411201 19411231     5.7
19420101 19420131    47.0
19420201 19420228     3.5
19420301 19420331    30.0
19420401 19420430    15.7
19420501 19420531    55.5
19420601 19420630    28.2
19420701 19420731    18.8
19420801 19420831    38.2
19420901 19420930    18.1
19421001 19421031    11.7
19421101 19421130    26.2
19421201 19421231    21.0
19430101 19430131     0.5
19430201 19430228    10.5
19430301 19430331     1.1
19430401 19430430    34.0
19430501 19430531     7.4
19430601 19430630    13.2
19430701 19430731     0.0
19430801 19430831    17.8
19430901 19430930     1.5
19431001 19431031     9.2
19431101 19431130     5.9
19431201 19431231    10.1
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     2.5
19440401 19440430    25.0
19440501 19440531     2.7
19440601 19440630     6.3
19440701 19440731    33.8
19440801 19440831     3.8
19440901 19440930    12.6
19441001 19441031     1.8
19441101 19441130    18.1
19441201 19441231    10.7
19450101 19450131    38.3
19450201 19450228     4.5
19450301 19450331     6.6
19450401 19450430     0.0
19450501 19450531    23.7
19450601 19450630    27.2
19450701 19450731    12.3
19450801 19450831    27.8
19450901 19450930    16.3
19451001 19451031    31.6
19451101 19451130     8.9
19451201 19451231    56.0
19460101 19460131    13.5
19460201 19460228    60.5
19460301 19460331    42.4
19460401 19460430    31.9
19460501 19460531     1.4
19460601 19460630    13.1
19460701 19460731     9.4
19460801 19460831     5.2
19460901 19460930     7.9
19461001 19461031     0.7
19461101 19461130    58.0
19461201 19461231    21.6
19470101 19470131   111.5
19470201 19470228    55.7
19470301 19470331    60.2
19470401 19470430    13.4
19470501 19470531     3.8
19470601 19470630     3.6
19470701 19470731    26.3
19470801 19470831    30.9
19470901 19470930    13.3
19471001 19471031    66.5
19471101 19471130    22.6
19471201 19471231     3.1
19480101 19480131     0.0
19480201 19480229     6.8
19480301 19480331     4.9
19480401 19480430    33.4
19480501 19480531     1.5
19480601 19480630    17.8
19480701 19480731     6.6
19480801 19480831     3.1
19480901 19480930     8.3
19481001 19481031     4.5
19481101 19481130    17.0
19481201 19481231     5.6
19490101 19490131     2.7
19490201 19490228    44.2
19490301 19490331     0.4
19490401 19490430     3.1
19490501 19490531    62.8
19490601 19490630     8.2
19490701 19490731     2.5
19490801 19490831     7.1
19490901 19490930    23.8
19491001 19491031    26.8
19491101 19491130    14.2
19491201 19491231     7.0
19500101 19500131     1.8
19500201 19500228    14.6
19500301 19500331     1.4
19500401 19500430     0.0
19500501 19500531    37.2
19500601 19500630    32.7
19500701 19500731     9.0
19500801 19500831     7.9
19500901 19500930     2.5
19501001 19501031    95.6
19501101 19501130    15.6
19501201 19501231    44.7
19510101 19510131    25.3
19510201 19510228     1.4
19510301 19510331     6.6
19510401 19510430     9.6
19510501 19510531     4.0
19510601 19510630    33.8
19510701 19510731    59.2
19510801 19510831     6.0
19510901 19510930     0.0
19511001 19511031     0.4
19511101 19511130     8.8
19511201 19511231     0.4
19520101 19520131     4.5
19520201 19520229    11.1
19520301 19520331     0.7
19520401 19520430    49.7
19520501 19520531    21.9
19520601 19520630    19.2
19520701 19520731    12.6
19520801 19520831    10.8
19520901 19520930     9.7
19521001 19521031    23.1
19521101 19521130    14.6
19521201 19521231     0.0
19530101 19530131    23.7
19530201 19530228    37.2
19530301 19530331    10.4
19530401 19530430     8.3
19530501 19530531     9.4
19530601 19530630    71.8
19530701 19530731     7.7
19530801 19530831    55.7
19530901 19530930     0.0
19531001 19531031    38.6
19531101 19531130     8.8
19531201 19531231    62.7
19540101 19540131     9.3
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    25.6
19540501 19540531    44.5
19540601 19540630    58.8
19540701 19540731     4.8
19540801 19540831     7.3
19540901 19540930     0.0
19541001 19541031    53.4
19541101 19541130     1.8
19541201 19541231    10.1
19550101 19550131     0.0
19550201 19550228    19.4
19550301 19550331     0.7
19550401 19550430    81.9
19550501 19550531    11.6
19550601 19550630   209.2
19550701 19550731     9.3
19550801 19550831    12.2
19550901 19550930     4.5
19551001 19551031    27.1
19551101 19551130    24.1
19551201 19551231     3.8
19560101 19560131     2.5
19560201 19560229     0.0
19560301 19560331     0.4
19560401 19560430     3.6
19560501 19560531    38.2
19560601 19560630    13.0
19560701 19560731    60.9
19560801 19560831    17.5
19560901 19560930     8.6
19561001 19561031    75.5
19561101 19561130     8.5
19561201 19561231     3.8
19570101 19570131     0.0
19570201 19570228     7.0
19570301 19570331     4.8
19570401 19570430     7.1
19570501 19570531     2.9
19570601 19570630    13.5
19570701 19570731     4.4
19570801 19570831    11.5
19570901 19570930     4.9
19571001 19571031    10.5
19571101 19571130     0.0
19571201 19571231    55.5
19580101 19580131    30.0
19580201 19580228     1.1
19580301 19580331    93.4
19580401 19580430     3.4
19580501 19580531    31.3
19580601 19580630    15.3
19580701 19580731    72.5
19580801 19580831    62.2
19580901 19580930    47.7
19581001 19581031    27.6
19581101 19581130     4.9
19581201 19581231    53.9
19590101 19590131     2.5
19590201 19590228    10.8
19590301 19590331     2.2
19590401 19590430    13.3
19590501 19590531     3.1
19590601 19590630    52.3
19590701 19590731    34.1
19590801 19590831     0.7
19590901 19590930    10.3
19591001 19591031     8.6
19591101 19591130    31.7
19591201 19591231     6.8
19600101 19600131    22.3
19600201 19600229    57.9
19600301 19600331     2.5
19600401 19600430    17.1
19600501 19600531     7.1
19600601 19600630    27.8
19600701 19600731    16.8
19600801 19600831    24.8
19600901 19600930    44.9
19601001 19601031     7.7
19601101 19601130     9.8
19601201 19601231    16.4
19610101 19610131     2.0
19610201 19610228     3.3
19610301 19610331     9.1
19610401 19610430    59.8
19610501 19610531     2.8
19610601 19610630    18.7
19610701 19610731     5.6
19610801 19610831    24.6
19610901 19610930     3.8
19611001 19611031     7.6
19611101 19611130     7.9
19611201 19611231     0.0
19620101 19620131     0.0
19620201 19620228     4.8
19620301 19620331    19.3
19620401 19620430     3.8
19620501 19620531    32.2
19620601 19620630     9.9
19620701 19620731    46.7
19620801 19620831     8.8
19620901 19620930    18.1
19621001 19621031    68.7
19621101 19621130     2.6
19621201 19621231     0.0
19630101 19630131     0.0
19630201 19630228     0.0
19630301 19630331     0.0
19630401 19630430     6.8
19630501 19630531    41.1
19630601 19630630    28.8
19630701 19630731    17.3
19630801 19630831    13.8
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130     0.0
19631201 19631231     1.3
19640101 19640131     2.5
19640201 19640229     0.0
19640301 19640331     2.5
19640401 19640430    29.2
19640501 19640531    18.5
19640601 19640630     3.8
19640701 19640731    13.3
19640801 19640831     3.0
19640901 19640930    52.3
19641001 19641031     2.6
19641101 19641130    31.0
19641201 19641231     4.6
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     1.0
19650401 19650430     2.3
19650501 19650531    17.5
19650601 19650630    26.8
19650701 19650731    12.4
19650801 19650831    16.1
19650901 19650930    13.2
19651001 19651031     0.5
19651101 19651130     5.6
19651201 19651231    23.6
19660101 19660131     4.3
19660201 19660228    11.4
19660301 19660331     7.7
19660401 19660430     6.1
19660501 19660531    24.7
19660601 19660630    33.8
19660701 19660731    21.2
19660801 19660831    19.0
19660901 19660930    28.8
19661001 19661031    24.9
19661101 19661130    16.8
19661201 19661231    86.4
19670101 19670131    44.6
19670201 19670228    42.8
19670301 19670331    11.3
19670401 19670430     6.6
19670501 19670531    27.1
19670601 19670630     7.7
19670701 19670731    44.6
19670801 19670831    11.8
19670901 19670930     6.9
19671001 19671031    12.4
19671101 19671130     7.2
19671201 19671231     1.3
19680101 19680131     1.3
19680201 19680229    13.0
19680301 19680331   219.5
19680401 19680430    26.9
19680501 19680531    43.6
19680601 19680630    85.2
19680701 19680731    17.2
19680801 19680831    41.7
19680901 19680930    16.2
19681001 19681031     4.4
19681101 19681130    12.3
19681201 19681231    18.3
19690101 19690131     6.7
19690201 19690228     2.9
19690301 19690331   123.6
19690401 19690430     3.9
19690501 19690531    30.1
19690601 19690630    45.8
19690701 19690731    27.5
19690801 19690831    34.5
19690901 19690930    23.6
19691001 19691031    28.8
19691101 19691130     2.5
19691201 19691231     1.0
19700101 19700131     1.6
19700201 19700228     0.0
19700301 19700331     1.3
19700401 19700430     8.9
19700501 19700531    34.8
19700601 19700630     9.5
19700701 19700731     7.7
19700801 19700831    31.3
19700901 19700930    44.5
19701001 19701031     6.1
19701101 19701130     9.6
19701201 19701231     6.8
19710101 19710131     8.0
19710201 19710228     3.1
19710301 19710331    33.3
19710401 19710430    56.1
19710501 19710531    10.9
19710601 19710630    27.9
19710701 19710731    17.8
19710801 19710831    36.9
19710901 19710930     6.1
19711001 19711031     8.2
19711101 19711130    64.0
19711201 19711231    14.2
19720101 19720131    14.0
19720201 19720229     0.0
19720301 19720331     0.0
19720401 19720430    11.9
19720501 19720531     0.0
19720601 19720630    14.5
19720701 19720731    26.7
19720801 19720831    31.0
19720901 19720930     7.6
19721001 19721031     5.9
19721101 19721130    14.3
19721201 19721231     0.5
19730101 19730131    20.2
19730201 19730228     0.0
19730301 19730331    90.1
19730401 19730430    45.1
19730501 19730531    22.1
19730601 19730630    47.3
19730701 19730731    34.0
19730801 19730831    72.1
19730901 19730930    36.0
19731001 19731031    13.7
19731101 19731130    29.7
19731201 19731231    21.5
19740101 19740131     3.0
19740201 19740228     3.2
19740301 19740331     5.2
19740401 19740430   210.4
19740501 19740531    42.2
19740601 19740630    13.6
19740701 19740731    56.0
19740801 19740831    23.2
19740901 19740930    71.2
19741001 19741031    66.6
19741101 19741130    26.6
19741201 19741231     0.8
19750101 19750131     0.2
19750201 19750228    61.4
19750301 19750331    47.0
19750401 19750430    39.2
19750501 19750531    42.4
19750601 19750630    16.4
19750701 19750731    15.2
19750801 19750831     9.4
19750901 19750930    58.6
19751001 19751031    88.6
19751101 19751130    27.0
19751201 19751231     2.0
19760101 19760131    24.6
19760201 19760229    57.8
19760301 19760331     0.0
19760401 19760430    11.6
19760501 19760531    14.8
19760601 19760630     9.2
19760701 19760731     5.0
19760801 19760831    21.8
19760901 19760930    17.6
19761001 19761031   117.4
19761101 19761130    52.2
19761201 19761231     4.0
19770101 19770131     4.0
19770201 19770228    19.5
19770301 19770331    11.2
19770401 19770430     9.7
19770501 19770531    52.2
19770601 19770630    12.6
19770701 19770731     3.8
19770801 19770831    10.4
19770901 19770930    15.0
19771001 19771031     7.4
19771101 19771130    42.1
19771201 19771231     7.9
19780101 19780131    19.4
19780201 19780228     4.1
19780301 19780331     6.3
19780401 19780430     1.6
19780501 19780531     9.0
19780601 19780630    11.2
19780701 19780731    47.6
19780801 19780831    32.6
19780901 19780930    65.9
19781001 19781031    41.0
19781101 19781130    44.0
19781201 19781231     0.8
19790101 19790131     0.0
19790201 19790228     3.0
19790301 19790331    15.3
19790401 19790430    52.0
19790501 19790531    34.5
19790601 19790630    39.1
19790701 19790731    15.6
19790801 19790831    32.0
19790901 19790930    87.6
19791001 19791031     3.8
19791101 19791130    24.1
19791201 19791231     0.0
19800101 19800131     0.3
19800201 19800229    33.4
19800301 19800331     0.0
19800401 19800430    58.6
19800501 19800531    57.9
19800601 19800630    27.9
19800701 19800731    20.0
19800801 19800831    14.8
19800901 19800930     0.0
19801001 19801031    38.0
19801101 19801130    35.6
19801201 19801231    43.2
19810101 19810131     1.6
19810201 19810228    45.1
19810301 19810331    30.6
19810401 19810430     4.7
19810501 19810531    12.3
19810601 19810630     8.2
19810701 19810731     6.3
19810801 19810831    38.9
19810901 19810930     0.8
19811001 19811031     2.2
19811101 19811130    56.4
19811201 19811231    17.5
19820101 19820131     6.0
19820201 19820228    35.0
19820301 19820331    21.1
19820401 19820430     6.3
19820501 19820531    12.0
19820601 19820630     9.3
19820701 19820731     3.0
19820801 19820831     0.3
19820901 19820930    24.4
19821001 19821031     0.8
19821101 19821130     1.1
19821201 19821231    15.7
19830101 19830131    12.3
19830201 19830228    21.1
19830301 19830331   214.8
19830401 19830430    95.5
19830501 19830531     4.7
19830601 19830630     2.7
19830701 19830731    12.3
19830801 19830831    11.8
19830901 19830930    14.8
19831001 19831031    20.5
19831101 19831130    13.1
19831201 19831231    58.0
19840101 19840131    21.9
19840201 19840229     0.0
19840301 19840331     8.1
