PRCP       015019 19030901 20151231 missing_value=99999.9 LAKE NASH                                 
19340301 19340331     5.6
19340401 19340430     0.0
19340501 19340531     0.0
19340601 19340630    97.3
19340701 19340731    33.8
19340801 19340831     4.3
19340901 19340930     0.0
19341001 19341031    33.0
19341101 19341130    12.2
19341201 19341231     0.0
19350101 19350131    68.6
19350201 19350228     0.0
19350301 19350331    18.5
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630    58.1
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930     4.1
19351001 19351031     1.8
19351101 19351130     0.0
19351201 19351231     7.6
19360101 19360131    89.7
19360201 19360229    93.0
19360301 19360331    22.1
19360401 19360430    19.6
19360501 19360531    68.6
19360601 19360630     0.0
19360701 19360731     1.3
19360801 19360831     0.0
19360901 19360930    42.4
19361001 19361031     6.8
19361101 19361130    44.9
19361201 19361231    52.8
19370101 19370131   111.2
19370201 19370228     0.0
19370301 19370331    24.7
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630    78.0
19370701 19370731     0.0
19370801 19370831    13.7
19370901 19370930     0.0
19371001 19371031     2.0
19371101 19371130     0.0
19371201 19371231    11.9
19380101 19380131    76.2
19380201 19380228    68.3
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630    13.0
19380701 19380731    12.9
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031    52.9
19381101 19381130     2.0
19381201 19381231     0.0
19390101 19390131     7.1
19390201 19390228   132.9
19390301 19390331    17.1
19390401 19390430    14.8
19390501 19390531     0.0
19390601 19390630    28.2
19390701 19390731    49.1
19390801 19390831    18.5
19390901 19390930     3.0
19391001 19391031    17.8
19391101 19391130    52.3
19391201 19391231     0.0
19400101 19400131   120.6
19400201 19400229    62.8
19400301 19400331    47.5
19400401 19400430    52.1
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.5
19401001 19401031     0.0
19401101 19401130     1.5
19401201 19401231    10.9
19410101 19410131   152.6
19410201 19410228     0.0
19410301 19410331   191.2
19410401 19410430    38.9
19410501 19410531     5.3
19410601 19410630    36.6
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031    18.3
19411101 19411130    24.9
19411201 19411231    62.2
19420101 19420131    34.0
19420201 19420228    57.4
19420301 19420331     2.0
19420401 19420430     5.6
19420501 19420531    65.5
19420601 19420630     0.0
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031    34.8
19421101 19421130     0.0
19421201 19421231    94.0
19430101 19430131    35.4
19430201 19430228   164.9
19430301 19430331     8.1
19430401 19430430    22.9
19430501 19430531     0.0
19430601 19430630     1.0
19430701 19430731     2.8
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031    33.6
19431101 19431130    11.9
19431201 19431231    19.6
19440101 19440131    19.5
19440201 19440229   153.6
