PRCP       054036 18830101 20171231 missing_value=99999.9 WALLANGRA (WALLANGRA STATION)             
19651101 19651130    24.9
19651201 19651231   197.1
19660101 19660131    15.5
19660201 19660228    56.4
19660301 19660331    85.6
19660401 19660430    33.3
19660501 19660531     6.4
19660601 19660630    57.9
19660701 19660731     9.2
19660801 19660831   156.8
19660901 19660930    31.3
19661001 19661031   101.9
19661101 19661130    83.4
19661201 19661231    30.5
19670101 19670131    56.9
19670201 19670228     8.7
19670301 19670331   156.7
19670401 19670430     0.3
19670501 19670531    32.9
19670601 19670630    61.2
19670701 19670731    36.2
19670801 19670831    26.8
19670901 19670930    11.9
19671001 19671031    85.2
19671101 19671130    11.1
19671201 19671231    69.8
19680101 19680131   158.9
19680201 19680229    28.2
19680301 19680331   112.9
19680401 19680430    18.0
19680501 19680531    79.4
19680601 19680630     8.9
19680701 19680731    40.9
19680801 19680831    54.9
19680901 19680930    30.8
19681001 19681031    36.4
19681101 19681130    13.3
19681201 19681231    92.3
19690101 19690131   147.6
19690201 19690228    21.5
19690301 19690331    11.7
19690401 19690430    44.2
19690501 19690531    88.4
19690601 19690630    44.1
19690701 19690731    36.9
19690801 19690831    36.5
19690901 19690930    72.7
19691001 19691031   114.7
19691101 19691130   110.1
19691201 19691231    51.9
19700101 19700131   173.0
19700201 19700228    45.0
19700301 19700331    31.3
19700401 19700430    60.7
19700501 19700531    22.2
19700601 19700630    14.7
19700701 19700731     0.0
19700801 19700831    29.1
19700901 19700930   174.3
19701001 19701031    60.4
19701101 19701130    57.1
19701201 19701231   355.0
19710101 19710131   233.2
19710201 19710228   162.2
19710301 19710331    14.5
19710401 19710430    28.0
19710501 19710531     6.4
19710601 19710630    13.5
19710701 19710731   112.5
19710801 19710831    75.0
19710901 19710930    48.2
19711001 19711031    25.5
19711101 19711130    78.9
19711201 19711231    60.6
19720101 19720131    62.5
19720201 19720229    20.8
19720301 19720331    17.5
19720401 19720430    54.6
19720501 19720531    24.9
19720601 19720630     7.5
19720701 19720731     6.4
19720801 19720831    64.1
19720901 19720930    71.7
19721001 19721031   195.0
19721101 19721130   106.1
19721201 19721231    87.1
19730101 19730131   116.3
19730201 19730228   120.0
19730301 19730331    28.2
19730401 19730430     3.0
19730501 19730531    29.4
19730601 19730630    30.0
19730701 19730731    76.0
