PRCP       047053 18680101 20130228 missing_value=99999.9 WENTWORTH POST OFFICE                     
19120301 19120331     4.1
19120401 19120430     0.0
19120501 19120531     0.5
19120601 19120630    89.9
19120701 19120731     8.7
19120801 19120831    48.1
19120901 19120930    29.1
19121001 19121031     3.1
19121101 19121130    63.2
19121201 19121231    16.0
19130101 19130131     0.0
19130201 19130228    36.8
19130301 19130331    89.1
19130401 19130430    11.0
19130501 19130531    18.1
19130601 19130630     0.0
19130701 19130731     1.8
19130801 19130831    12.6
19130901 19130930    36.9
19131001 19131031   121.2
19131101 19131130     9.5
19131201 19131231    23.7
19140101 19140131     5.1
19140201 19140228    13.5
19140301 19140331    76.7
19140401 19140430    25.1
19140501 19140531     9.6
19140601 19140630     2.6
19140701 19140731     9.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031     2.8
19141101 19141130    39.4
19141201 19141231    20.8
19150101 19150131    10.9
19150201 19150228     0.0
19150301 19150331     0.0
19150401 19150430    26.4
19150501 19150531    27.0
19150601 19150630    29.6
19150701 19150731    28.3
19150801 19150831    33.0
19150901 19150930    54.1
19151001 19151031    11.3
19151101 19151130     0.0
19151201 19151231     0.0
19160101 19160131    13.0
19160201 19160229     0.5
19160301 19160331     0.0
19160401 19160430     4.5
19160501 19160531    20.9
19160601 19160630    62.7
19160701 19160731    67.9
19160801 19160831    62.8
19160901 19160930    74.2
19161001 19161031    26.4
19161101 19161130    60.2
19161201 19161231    13.4
19170101 19170131    38.9
19170201 19170228    59.2
19170301 19170331    14.8
19170401 19170430     0.0
19170501 19170531    34.2
19170601 19170630    51.8
19170701 19170731    49.8
19170801 19170831    65.5
19170901 19170930    56.1
19171001 19171031    58.2
19171101 19171130    38.4
19171201 19171231    10.7
19180101 19180131    21.3
19180201 19180228    14.0
19180301 19180331    31.5
19180401 19180430    45.2
19180501 19180531    80.0
19180601 19180630    20.1
19180701 19180731    10.4
19180801 19180831    35.0
19180901 19180930     9.1
19181001 19181031    18.9
19181101 19181130     0.0
19181201 19181231     4.1
19190101 19190131     5.6
19190201 19190228    45.4
19190301 19190331     0.0
19190401 19190430    11.9
19190501 19190531    68.7
19190601 19190630    12.4
19190701 19190731     7.1
19190801 19190831     7.1
19190901 19190930     9.4
19191001 19191031    12.4
19191101 19191130     7.8
19191201 19191231    19.8
19200101 19200131    21.6
19200201 19200229     0.8
19200301 19200331     3.8
19200401 19200430    15.2
19200501 19200531    20.7
19200601 19200630    32.9
19200701 19200731    12.2
19200801 19200831    77.8
19200901 19200930    65.1
19201001 19201031    55.5
19201101 19201130    47.5
19201201 19201231    41.4
19210101 19210131    28.0
19210201 19210228    49.4
19210301 19210331    27.0
19210401 19210430     0.0
19210501 19210531    43.3
19210601 19210630    30.1
19210701 19210731    12.0
19210801 19210831    18.3
19210901 19210930    59.1
19211001 19211031    18.9
19211101 19211130     4.3
19211201 19211231    27.4
19220101 19220131    18.3
19220201 19220228    40.6
19220301 19220331     0.0
19220401 19220430    33.0
19220501 19220531    26.9
19220601 19220630    29.7
19220701 19220731    12.8
19220801 19220831     9.4
19220901 19220930    21.6
19221001 19221031    18.3
19221101 19221130     0.0
19221201 19221231    12.1
19230101 19230131     2.5
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    27.3
19230601 19230630    83.3
19230701 19230731    55.7
19230801 19230831    19.6
19230901 19230930    25.6
19231001 19231031    10.6
19231101 19231130     8.9
19231201 19231231    27.2
19240101 19240131    14.2
19240201 19240229    29.7
19240301 19240331    16.8
19240401 19240430     6.9
19240501 19240531     6.2
19240601 19240630    32.1
19240701 19240731     0.8
19240801 19240831    23.0
19240901 19240930    27.0
19241001 19241031    26.2
19241101 19241130    35.4
19241201 19241231    32.8
19250101 19250131    10.9
19250201 19250228    15.9
19250301 19250331    13.5
19250401 19250430     0.5
19250501 19250531    47.9
19250601 19250630    13.7
19250701 19250731    24.6
19250801 19250831    13.7
19250901 19250930    37.3
19251001 19251031     1.6
19251101 19251130    16.9
19251201 19251231     0.0
19260101 19260131     0.0
19260201 19260228     0.0
19260301 19260331    12.4
19260401 19260430     5.6
19260501 19260531    89.9
19260601 19260630    35.3
19260701 19260731    13.7
19260801 19260831    34.2
19260901 19260930    26.8
19261001 19261031    14.6
19261101 19261130     0.3
19261201 19261231     2.3
19270101 19270131     8.6
19270201 19270228     1.8
19270301 19270331     6.1
