PRCP       077039 19100101 20180131 missing_value=99999.9 SEA LAKE (POST OFFICE)                    
19481001 19481031    77.6
19481101 19481130    20.1
19481201 19481231    23.1
19490101 19490131     4.3
19490201 19490228    63.5
19490301 19490331    30.5
19490401 19490430     1.0
19490501 19490531    69.5
19490601 19490630     5.6
19490701 19490731    33.8
19490801 19490831    11.0
19490901 19490930    28.6
19491001 19491031    62.2
19491101 19491130    32.1
19491201 19491231     0.0
19500101 19500131     0.5
19500201 19500228   101.1
19500301 19500331    75.9
19500401 19500430     9.4
19500501 19500531    58.9
19500601 19500630    12.1
19500701 19500731    28.3
19500801 19500831    19.3
19500901 19500930    34.3
19501001 19501031    42.9
19501101 19501130    42.9
19501201 19501231    19.3
19510101 19510131    14.3
19510201 19510228    16.5
19510301 19510331     0.0
19510401 19510430    14.2
19510501 19510531    66.7
19510601 19510630    57.2
19510701 19510731    42.7
19510801 19510831    46.7
19510901 19510930     3.8
19511001 19511031    41.0
19511101 19511130    12.5
19511201 19511231    12.5
19520101 19520131    21.1
19520201 19520229     7.6
19520301 19520331    26.2
19520401 19520430    58.5
19520501 19520531    85.2
19520601 19520630    40.0
19520701 19520731    20.0
19520801 19520831    28.0
19520901 19520930    18.2
19521001 19521031    54.1
19521101 19521130    59.2
19521201 19521231     7.2
19530101 19530131    32.2
19530201 19530228     5.1
19530301 19530331     0.0
19530401 19530430    14.3
19530501 19530531    15.8
19530601 19530630    37.3
19530701 19530731    35.6
19530801 19530831    33.5
19530901 19530930    35.3
19531001 19531031    23.2
19531101 19531130    22.2
19531201 19531231    10.5
19540101 19540131    52.6
19540201 19540228     1.8
19540301 19540331     4.3
19540401 19540430    46.2
19540501 19540531    14.2
19540601 19540630    16.3
19540701 19540731    31.3
19540801 19540831    43.1
19540901 19540930    22.9
19541001 19541031    37.8
19541101 19541130    26.5
19541201 19541231    52.6
19550101 19550131     2.3
19550201 19550228   101.6
19550301 19550331    33.8
19550401 19550430     9.5
19550501 19550531    48.1
19550601 19550630    65.4
19550701 19550731    34.3
19550801 19550831    50.2
19550901 19550930    72.5
19551001 19551031    68.0
19551101 19551130    30.0
19551201 19551231    13.8
19560101 19560131     5.7
19560201 19560229     0.0
19560301 19560331    71.9
19560401 19560430    64.9
19560501 19560531   103.2
19560601 19560630    34.7
19560701 19560731    75.6
19560801 19560831    36.0
19560901 19560930    52.0
19561001 19561031    81.1
19561101 19561130    35.6
19561201 19561231     4.3
19570101 19570131     0.5
19570201 19570228   148.4
19570301 19570331     7.4
19570401 19570430    10.4
19570501 19570531     8.9
19570601 19570630    48.5
19570701 19570731    12.5
19570801 19570831    15.6
19570901 19570930     7.6
19571001 19571031    15.6
19571101 19571130     7.4
19571201 19571231    10.4
19580101 19580131    57.0
19580201 19580228    55.4
19580301 19580331     2.1
19580401 19580430    18.3
19580501 19580531    33.8
19580601 19580630     5.4
19580701 19580731    54.3
19580801 19580831    66.5
19580901 19580930    28.2
19581001 19581031    71.2
19581101 19581130    46.9
19581201 19581231    10.9
19590101 19590131    17.7
19590201 19590228    20.3
19590301 19590331    18.3
19590401 19590430     4.8
19590501 19590531    10.2
19590601 19590630     5.3
19590701 19590731    10.7
19590801 19590831    26.2
19590901 19590930    24.9
19591001 19591031    74.6
19591101 19591130     5.3
19591201 19591231    30.2
19600101 19600131    67.8
19600201 19600229    29.3
19600301 19600331    17.3
19600401 19600430    29.0
19600501 19600531    71.0
19600601 19600630    28.2
19600701 19600731    54.7
19600801 19600831    48.0
19600901 19600930    73.9
19601001 19601031     8.2
19601101 19601130    66.5
19601201 19601231     0.5
19610101 19610131     1.3
19610201 19610228    12.7
19610301 19610331    26.4
19610401 19610430    43.5
19610501 19610531     8.4
19610601 19610630    20.3
19610701 19610731    33.0
19610801 19610831    30.0
19610901 19610930    49.0
19611001 19611031    13.5
19611101 19611130    51.1
19611201 19611231   147.0
19620101 19620131    69.9
19620201 19620228     3.6
19620301 19620331     7.4
19620401 19620430     0.8
19620501 19620531    24.4
19620601 19620630    21.8
19620701 19620731    26.3
19620801 19620831    33.0
19620901 19620930    38.3
19621001 19621031    25.2
19621101 19621130     4.3
19621201 19621231    41.2
19630101 19630131    54.8
19630201 19630228     5.8
19630301 19630331    38.4
19630401 19630430    87.3
19630501 19630531    40.7
19630601 19630630    72.0
19630701 19630731    40.1
19630801 19630831    30.5
19630901 19630930    40.5
19631001 19631031    27.2
19631101 19631130     4.8
19631201 19631231    25.5
19640101 19640131    11.7
19640201 19640229     0.0
19640301 19640331     0.0
19640401 19640430    56.3
19640501 19640531    21.1
19640601 19640630    19.0
19640701 19640731    34.8
19640801 19640831    38.7
19640901 19640930   111.6
19641001 19641031    91.5
19641101 19641130    40.4
19641201 19641231     8.4
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     5.6
19650401 19650430    18.6
19650501 19650531    27.4
19650601 19650630    19.1
19650701 19650731    51.2
19650801 19650831    65.8
19650901 19650930    15.0
19651001 19651031    23.6
19651101 19651130    43.8
19651201 19651231    68.9
19660101 19660131    10.9
19660201 19660228    30.4
19660301 19660331     9.4
19660401 19660430     8.1
19660501 19660531    33.5
19660601 19660630    10.5
19660701 19660731    31.5
19660801 19660831    20.9
19660901 19660930    36.2
19661001 19661031    31.4
19661101 19661130    12.0
19661201 19661231    67.6
19670101 19670131     3.8
19670201 19670228     6.4
19670301 19670331     1.1
19670401 19670430     2.0
19670501 19670531    16.3
19670601 19670630    20.8
19670701 19670731    16.6
19670801 19670831    28.0
19670901 19670930    18.6
19671001 19671031     8.5
19671101 19671130     3.0
19671201 19671231     6.6
19680101 19680131    17.5
19680201 19680229     3.3
19680301 19680331    22.4
19680401 19680430    28.1
19680501 19680531    70.2
19680601 19680630    54.4
19680701 19680731    25.4
19680801 19680831    48.1
19680901 19680930    10.0
19681001 19681031    23.9
19681101 19681130    13.2
19681201 19681231    22.1
19690101 19690131     2.6
19690201 19690228   125.0
19690301 19690331   134.8
19690401 19690430    18.0
19690501 19690531    71.7
19690601 19690630    29.2
19690701 19690731    35.5
19690801 19690831    19.8
19690901 19690930    23.1
19691001 19691031    15.7
19691101 19691130    14.7
19691201 19691231    28.7
19700101 19700131    36.1
19700201 19700228     0.0
19700301 19700331    22.0
19700401 19700430    46.9
19700501 19700531    18.4
19700601 19700630    20.3
19700701 19700731     5.9
19700801 19700831    32.5
19700901 19700930    38.4
