PRCP       073012 19070401 20130331 missing_value=99999.9 HARDEN (DUNOLLY)                          
19360801 19360831 99999.9
19360901 19360930 99999.9
19361001 19361031 99999.9
19361101 19361130 99999.9
19361201 19361231 99999.9
19370101 19370131 99999.9
19370201 19370228 99999.9
19370301 19370331 99999.9
19370401 19370430 99999.9
19370501 19370531 99999.9
19370601 19370630 99999.9
19370701 19370731 99999.9
19370801 19370831    52.0
19370901 19370930    51.0
19371001 19371031    56.8
19371101 19371130    24.2
19371201 19371231    35.6
19380101 19380131    27.3
19380201 19380228    43.6
19380301 19380331     6.5
19380401 19380430    24.2
19380501 19380531    16.3
19380601 19380630    64.5
19380701 19380731    64.7
19380801 19380831    51.6
19380901 19380930     8.7
19381001 19381031    66.2
19381101 19381130    22.0
19381201 19381231     3.6
19390101 19390131     6.9
19390201 19390228    88.6
19390301 19390331   136.6
19390401 19390430    91.5
19390501 19390531    19.2
19390601 19390630    80.0
19390701 19390731    14.4
19390801 19390831    81.8
19390901 19390930    23.4
19391001 19391031    63.1
19391101 19391130    98.6
19391201 19391231    11.3
19400101 19400131     7.0
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430   130.1
19400501 19400531    26.9
19400601 19400630     8.6
19400701 19400731    13.0
19400801 19400831    10.8
19400901 19400930    62.1
19401001 19401031    17.0
19401101 19401130    19.3
19401201 19401231    56.5
19410101 19410131   145.3
19410201 19410228    56.1
19410301 19410331    20.3
19410401 19410430     4.8
19410501 19410531    17.0
19410601 19410630    40.9
19410701 19410731    29.0
19410801 19410831    24.6
19410901 19410930    48.3
19411001 19411031    37.3
19411101 19411130    29.0
19411201 19411231    36.1
19420101 19420131    14.5
19420201 19420228    31.5
19420301 19420331    12.7
19420401 19420430    19.1
19420501 19420531   128.0
19420601 19420630   110.2
19420701 19420731    62.0
19420801 19420831    44.2
19420901 19420930    55.6
19421001 19421031    31.8
19421101 19421130    88.6
19421201 19421231    18.8
19430101 19430131    94.7
19430201 19430228    10.4
19430301 19430331     3.6
19430401 19430430   106.7
19430501 19430531    16.0
19430601 19430630    30.7
19430701 19430731    52.6
19430801 19430831    86.6
19430901 19430930    62.5
19431001 19431031    53.8
19431101 19431130    92.5
19431201 19431231     7.9
19440101 19440131     3.6
19440201 19440229     2.0
19440301 19440331    12.4
19440401 19440430    20.8
19440501 19440531    53.8
19440601 19440630     8.9
19440701 19440731    21.6
19440801 19440831    22.1
19440901 19440930     9.4
19441001 19441031    32.8
19441101 19441130     9.1
19441201 19441231    20.6
19450101 19450131    24.4
19450201 19450228    56.6
19450301 19450331     6.9
19450401 19450430     6.6
19450501 19450531    25.9
19450601 19450630   108.2
19450701 19450731    25.4
19450801 19450831    70.9
19450901 19450930    16.3
19451001 19451031    43.4
19451101 19451130    31.2
19451201 19451231    22.9
19460101 19460131    84.1
19460201 19460228    82.3
19460301 19460331    58.4
19460401 19460430    28.4
19460501 19460531    15.7
19460601 19460630    32.8
19460701 19460731    45.0
19460801 19460831    32.0
19460901 19460930     7.4
19461001 19461031    45.7
19461101 19461130   105.4
19461201 19461231    42.7
19470101 19470131     0.0
19470201 19470228    56.1
19470301 19470331    31.0
19470401 19470430    50.5
19470501 19470531    17.8
19470601 19470630    35.3
19470701 19470731    69.6
19470801 19470831    42.7
19470901 19470930    65.0
19471001 19471031    44.2
19471101 19471130    58.2
19471201 19471231   157.5
19480101 19480131    62.7
19480201 19480229   102.4
19480301 19480331     6.4
19480401 19480430    45.7
19480501 19480531    80.3
19480601 19480630    47.8
19480701 19480731    10.4
19480801 19480831    19.3
19480901 19480930    42.2
19481001 19481031    55.1
19481101 19481130    20.6
19481201 19481231    25.4
19490101 19490131     1.8
19490201 19490228    38.6
19490301 19490331   126.5
19490401 19490430    24.9
19490501 19490531    60.5
19490601 19490630    38.9
19490701 19490731    68.3
19490801 19490831     9.7
19490901 19490930    70.9
19491001 19491031   128.3
19491101 19491130    67.8
19491201 19491231    32.3
19500101 19500131    84.8
19500201 19500228    91.7
19500301 19500331   238.3
19500401 19500430    52.8
19500501 19500531    46.7
19500601 19500630    64.0
19500701 19500731    99.6
19500801 19500831    42.4
19500901 19500930    42.4
19501001 19501031   152.1
19501101 19501130    70.9
19501201 19501231     1.5
19510101 19510131    33.0
19510201 19510228    41.1
19510301 19510331     0.0
19510401 19510430    22.1
19510501 19510531    50.8
19510601 19510630    56.4
19510701 19510731    64.0
19510801 19510831    57.7
19510901 19510930    85.3
19511001 19511031    36.8
19511101 19511130    41.1
19511201 19511231    21.3
19520101 19520131     5.6
19520201 19520229     0.0
19520301 19520331   100.8
19520401 19520430    90.4
19520501 19520531    99.8
19520601 19520630   112.5
19520701 19520731    49.0
19520801 19520831    49.3
19520901 19520930    62.7
19521001 19521031   116.1
19521101 19521130    31.5
19521201 19521231    78.2
19530101 19530131    54.9
19530201 19530228    26.2
19530301 19530331     8.1
19530401 19530430    63.5
19530501 19530531    81.3
19530601 19530630    28.4
19530701 19530731    22.1
19530801 19530831    42.4
19530901 19530930    47.5
19531001 19531031    83.6
19531101 19531130    62.2
19531201 19531231     8.1
19540101 19540131   108.2
19540201 19540228    26.4
19540301 19540331     0.0
19540401 19540430    46.5
19540501 19540531     5.8
19540601 19540630    45.2
19540701 19540731    15.7
19540801 19540831    43.9
19540901 19540930    15.5
19541001 19541031    54.1
19541101 19541130    96.8
19541201 19541231    58.4
19550101 19550131    38.9
19550201 19550228   166.1
19550301 19550331     9.7
19550401 19550430    19.1
19550501 19550531    71.9
19550601 19550630    65.5
19550701 19550731    39.9
19550801 19550831    69.6
19550901 19550930    47.2
19551001 19551031    83.6
19551101 19551130    41.7
19551201 19551231    39.6
19560101 19560131   103.9
19560201 19560229    38.6
19560301 19560331   183.9
19560401 19560430   133.1
19560501 19560531    97.8
19560601 19560630    93.2
19560701 19560731   107.7
19560801 19560831    47.0
19560901 19560930    41.1
19561001 19561031   137.7
19561101 19561130    32.5
19561201 19561231     9.7
19570101 19570131     0.0
19570201 19570228    61.7
19570301 19570331    18.8
19570401 19570430    25.4
19570501 19570531     6.1
19570601 19570630    39.1
19570701 19570731    46.2
19570801 19570831    39.6
19570901 19570930     8.4
19571001 19571031    12.7
19571101 19571130     6.4
19571201 19571231    50.3
19580101 19580131    69.6
19580201 19580228     3.8
19580301 19580331   131.1
19580401 19580430    11.2
19580501 19580531    47.0
19580601 19580630    51.1
19580701 19580731    59.7
19580801 19580831    56.6
19580901 19580930    41.9
19581001 19581031    66.3
19581101 19581130    39.9
19581201 19581231    38.6
19590101 19590131    13.7
19590201 19590228   142.5
19590301 19590331    81.3
19590401 19590430    79.8
19590501 19590531    18.3
19590601 19590630    39.9
19590701 19590731    39.4
19590801 19590831    14.2
19590901 19590930    34.0
19591001 19591031   125.5
19591101 19591130    90.7
19591201 19591231     1.3
19600101 19600131    82.0
19600201 19600229    22.9
19600301 19600331    24.1
19600401 19600430    12.2
19600501 19600531    97.5
19600601 19600630     4.1
19600701 19600731   101.9
19600801 19600831    43.2
19600901 19600930    79.2
19601001 19601031    35.6
19601101 19601130    27.9
19601201 19601231    84.1
19610101 19610131    16.0
19610201 19610228    34.0
19610301 19610331    49.3
19610401 19610430    67.8
19610501 19610531     5.6
19610601 19610630    58.7
19610701 19610731    70.4
19610801 19610831    56.9
19610901 19610930    34.5
19611001 19611031    43.4
19611101 19611130   110.0
19611201 19611231    71.6
19620101 19620131    98.6
19620201 19620228    61.5
19620301 19620331    51.1
19620401 19620430    24.4
19620501 19620531    71.4
19620601 19620630    20.3
19620701 19620731    45.2
19620801 19620831    72.9
19620901 19620930    60.7
19621001 19621031    41.7
19621101 19621130    31.0
19621201 19621231    85.1
19630101 19630131    55.1
19630201 19630228    36.1
19630301 19630331    39.4
19630401 19630430     8.9
19630501 19630531    86.4
19630601 19630630    56.4
19630701 19630731    45.7
19630801 19630831    56.1
19630901 19630930    54.6
19631001 19631031    19.1
19631101 19631130    23.4
19631201 19631231    67.6
19640101 19640131    34.0
19640201 19640229    41.9
19640301 19640331    91.4
19640401 19640430    44.2
19640501 19640531    49.3
19640601 19640630    46.7
19640701 19640731    68.3
19640801 19640831    33.5
19640901 19640930    86.6
19641001 19641031    81.5
19641101 19641130    17.0
19641201 19641231    30.0
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     1.5
19650401 19650430    59.4
19650501 19650531    24.6
19650601 19650630    40.4
19650701 19650731    25.7
19650801 19650831    55.1
19650901 19650930    47.8
19651001 19651031    69.1
19651101 19651130    38.4
19651201 19651231    71.4
19660101 19660131    43.4
19660201 19660228    56.6
19660301 19660331    66.0
19660401 19660430    10.4
19660501 19660531    22.6
19660601 19660630    42.9
19660701 19660731    49.0
19660801 19660831    63.0
19660901 19660930    52.1
19661001 19661031    72.9
19661101 19661130    87.9
19661201 19661231   118.9
19670101 19670131    51.1
19670201 19670228     3.6
19670301 19670331    19.3
19670401 19670430     0.0
19670501 19670531    15.7
19670601 19670630    24.9
19670701 19670731    51.1
19670801 19670831     9.7
19670901 19670930    67.6
19671001 19671031    40.9
19671101 19671130     8.9
19671201 19671231     2.3
19680101 19680131    34.8
19680201 19680229     0.0
19680301 19680331    48.3
19680401 19680430    42.4
19680501 19680531   157.0
19680601 19680630    29.2
19680701 19680731    41.4
19680801 19680831    66.8
19680901 19680930    17.0
19681001 19681031    59.7
19681101 19681130    30.7
