PRCP       062021 18760301 20180131 missing_value=99999.9 MUDGEE (GEORGE STREET)                    
19240401 19240430    64.6
19240501 19240531    26.7
19240601 19240630    41.9
19240701 19240731    38.1
19240801 19240831    57.5
19240901 19240930    82.4
19241001 19241031    44.4
19241101 19241130   236.8
19241201 19241231    16.0
19250101 19250131    26.6
19250201 19250228    39.4
19250301 19250331     9.4
19250401 19250430     3.3
19250501 19250531    59.8
19250601 19250630    45.7
19250701 19250731    48.3
19250801 19250831    43.5
19250901 19250930    17.3
19251001 19251031    17.3
19251101 19251130    95.6
19251201 19251231    23.8
19260101 19260131    63.5
19260201 19260228     1.5
19260301 19260331   303.2
19260401 19260430   143.3
19260501 19260531   102.7
19260601 19260630    37.2
19260701 19260731    30.4
19260801 19260831    43.2
19260901 19260930    76.0
19261001 19261031    28.0
19261101 19261130     0.0
19261201 19261231   101.3
19270101 19270131    59.0
19270201 19270228     0.0
19270301 19270331     5.1
19270401 19270430    38.6
19270501 19270531    10.9
19270601 19270630    13.4
19270701 19270731    18.6
19270801 19270831     8.6
19270901 19270930    17.2
19271001 19271031    34.9
19271101 19271130   162.8
19271201 19271231    41.9
19280101 19280131    90.8
19280201 19280229   188.5
19280301 19280331    92.2
19280401 19280430    65.3
19280501 19280531     6.3
19280601 19280630    52.0
19280701 19280731    73.4
19280801 19280831     7.1
19280901 19280930    12.2
19281001 19281031    27.7
19281101 19281130    19.5
19281201 19281231    13.7
19290101 19290131    10.7
19290201 19290228    51.8
19290301 19290331    40.3
19290401 19290430    56.7
19290501 19290531    36.6
19290601 19290630    30.0
19290701 19290731     5.1
19290801 19290831    30.3
19290901 19290930    24.5
19291001 19291031    46.3
19291101 19291130    62.3
19291201 19291231    27.0
19300101 19300131   104.2
19300201 19300228    14.8
19300301 19300331    59.2
19300401 19300430    16.8
19300501 19300531    38.5
19300601 19300630    74.4
19300701 19300731   106.6
19300801 19300831    49.7
19300901 19300930    25.1
19301001 19301031   128.3
19301101 19301130    50.8
19301201 19301231    93.2
19310101 19310131    47.7
19310201 19310228    11.4
19310301 19310331    78.7
19310401 19310430    76.8
19310501 19310531   131.7
19310601 19310630   103.1
19310701 19310731    30.1
19310801 19310831    14.5
19310901 19310930    26.5
19311001 19311031    11.2
19311101 19311130    34.3
19311201 19311231    66.1
19320101 19320131     9.4
19320201 19320229    27.8
19320301 19320331    80.7
19320401 19320430    72.1
19320501 19320531    13.2
19320601 19320630    39.6
19320701 19320731    30.5
19320801 19320831    40.4
19320901 19320930   117.5
19321001 19321031    19.1
19321101 19321130    77.8
19321201 19321231    25.1
19330101 19330131    97.5
19330201 19330228     2.3
19330301 19330331    73.5
19330401 19330430    54.1
19330501 19330531    41.4
19330601 19330630    45.7
19330701 19330731    61.5
19330801 19330831    14.4
19330901 19330930    59.3
19331001 19331031    53.4
19331101 19331130   139.2
19331201 19331231    72.5
19340101 19340131    57.9
19340201 19340228   146.7
19340301 19340331     0.0
19340401 19340430    48.0
19340501 19340531     0.0
19340601 19340630    40.4
19340701 19340731    80.9
19340801 19340831    77.9
19340901 19340930    28.2
19341001 19341031   167.6
19341101 19341130    77.9
19341201 19341231    49.0
19350101 19350131    55.9
19350201 19350228   102.4
19350301 19350331     3.6
19350401 19350430    35.8
19350501 19350531    22.3
19350601 19350630     9.9
19350701 19350731    42.2
19350801 19350831    44.1
19350901 19350930    28.7
19351001 19351031    86.3
19351101 19351130    22.3
19351201 19351231    10.4
19360101 19360131   100.4
19360201 19360229    83.1
19360301 19360331   119.8
19360401 19360430    16.2
19360501 19360531    29.4
19360601 19360630    42.6
19360701 19360731   102.3
19360801 19360831    77.6
19360901 19360930    34.6
19361001 19361031    12.5
19361101 19361130     2.5
19361201 19361231    78.6
19370101 19370131    76.5
19370201 19370228    43.7
19370301 19370331    54.4
19370401 19370430    14.9
19370501 19370531    18.3
19370601 19370630    42.2
19370701 19370731    16.3
19370801 19370831    82.4
19370901 19370930    44.2
19371001 19371031    28.5
19371101 19371130    53.5
19371201 19371231    49.7
19380101 19380131    45.2
19380201 19380228    63.6
19380301 19380331     0.0
19380401 19380430    29.2
19380501 19380531    39.9
19380601 19380630    33.9
19380701 19380731    45.4
19380801 19380831    38.6
19380901 19380930    11.7
19381001 19381031    75.3
19381101 19381130    48.2
19381201 19381231    26.9
19390101 19390131    21.3
19390201 19390228     8.6
19390301 19390331    63.1
19390401 19390430    87.1
19390501 19390531    40.4
19390601 19390630    47.5
19390701 19390731    24.6
19390801 19390831    94.9
19390901 19390930     8.9
19391001 19391031    79.6
19391101 19391130    54.8
19391201 19391231    44.4
19400101 19400131     2.5
19400201 19400229     2.0
19400301 19400331    14.0
19400401 19400430    88.5
19400501 19400531    13.0
19400601 19400630    20.8
19400701 19400731    25.3
19400801 19400831    26.2
19400901 19400930    57.4
19401001 19401031    21.6
19401101 19401130    95.1
19401201 19401231    62.9
19410101 19410131   191.9
19410201 19410228    25.4
19410301 19410331    55.7
19410401 19410430     5.1
19410501 19410531    36.0
19410601 19410630    72.7
19410701 19410731    24.1
19410801 19410831    24.1
19410901 19410930    42.6
19411001 19411031    31.9
19411101 19411130    50.3
19411201 19411231     3.3
19420101 19420131    16.8
19420201 19420228    56.8
19420301 19420331    44.2
19420401 19420430     0.0
19420501 19420531    75.2
19420601 19420630    72.3
19420701 19420731   106.1
19420801 19420831    45.2
19420901 19420930    62.5
19421001 19421031    26.5
19421101 19421130   131.7
19421201 19421231    36.0
19430101 19430131    52.3
19430201 19430228    15.2
19430301 19430331     4.8
19430401 19430430    49.6
19430501 19430531    87.7
19430601 19430630    35.1
19430701 19430731    34.0
19430801 19430831    69.8
19430901 19430930    44.6
19431001 19431031    27.2
19431101 19431130    93.7
19431201 19431231    48.5
19440101 19440131    81.3
19440201 19440229    64.1
19440301 19440331    20.4
19440401 19440430    20.6
19440501 19440531    48.1
19440601 19440630     9.4
19440701 19440731    46.5
19440801 19440831    75.4
19440901 19440930     9.7
19441001 19441031    12.2
19441101 19441130    28.1
19441201 19441231     7.0
19450101 19450131    90.3
19450201 19450228    49.9
19450301 19450331    20.6
19450401 19450430    44.4
19450501 19450531    58.8
19450601 19450630   103.4
19450701 19450731    36.9
19450801 19450831   116.1
19450901 19450930     4.6
19451001 19451031    39.1
19451101 19451130    39.1
19451201 19451231    30.1
19460101 19460131    93.0
19460201 19460228    41.0
19460301 19460331    18.8
19460401 19460430    26.3
19460501 19460531    16.8
19460601 19460630    22.7
19460701 19460731    20.4
19460801 19460831     3.6
19460901 19460930    25.2
19461001 19461031    53.6
19461101 19461130    44.4
19461201 19461231   128.9
19470101 19470131    20.3
19470201 19470228    86.2
19470301 19470331    18.7
19470401 19470430    28.3
19470501 19470531    39.2
19470601 19470630    15.8
19470701 19470731    76.1
19470801 19470831    54.5
19470901 19470930    95.8
19471001 19471031    46.2
19471101 19471130    93.6
19471201 19471231   223.1
19480101 19480131   103.2
19480201 19480229   117.1
19480301 19480331    38.9
19480401 19480430    65.4
19480501 19480531    29.2
19480601 19480630    98.2
19480701 19480731    15.4
19480801 19480831    44.7
19480901 19480930    38.1
19481001 19481031    22.9
19481101 19481130    31.1
19481201 19481231    73.9
19490101 19490131    62.3
19490201 19490228   125.2
19490301 19490331    56.6
19490401 19490430    48.5
19490501 19490531    34.8
19490601 19490630    65.1
19490701 19490731    62.0
19490801 19490831    21.6
19490901 19490930   118.7
19491001 19491031    91.7
19491101 19491130    64.2
19491201 19491231    77.4
19500101 19500131    97.6
19500201 19500228   203.2
19500301 19500331    83.1
19500401 19500430   179.6
19500501 19500531    56.7
19500601 19500630   121.7
19500701 19500731   177.6
19500801 19500831    79.5
19500901 19500930    60.4
19501001 19501031   189.3
19501101 19501130   174.8
19501201 19501231    19.0
19510101 19510131    62.1
19510201 19510228    67.6
19510301 19510331    50.8
19510401 19510430    34.8
19510501 19510531    40.9
19510601 19510630    88.2
19510701 19510731    60.3
19510801 19510831    74.7
19510901 19510930    24.9
19511001 19511031    45.9
19511101 19511130    40.2
19511201 19511231    18.8
19520101 19520131     5.6
19520201 19520229    26.5
19520301 19520331    59.3
19520401 19520430    70.2
19520501 19520531    62.4
19520601 19520630   110.7
19520701 19520731   100.9
19520801 19520831   116.6
19520901 19520930    32.5
19521001 19521031    66.3
19521101 19521130    38.4
19521201 19521231    81.7
19530101 19530131    69.7
19530201 19530228    47.2
19530301 19530331    23.4
19530401 19530430    20.4
19530501 19530531    76.9
19530601 19530630    20.3
19530701 19530731     3.3
19530801 19530831    78.2
19530901 19530930    32.4
19531001 19531031    45.9
19531101 19531130    52.6
19531201 19531231    24.3
19540101 19540131   152.7
19540201 19540228   190.5
19540301 19540331    20.6
19540401 19540430    36.3
19540501 19540531     1.6
19540601 19540630    51.1
19540701 19540731    12.6
19540801 19540831    26.4
19540901 19540930    28.3
19541001 19541031   138.2
19541101 19541130    67.8
19541201 19541231    14.6
19550101 19550131   113.8
19550201 19550228   259.5
19550301 19550331    12.9
19550401 19550430     9.6
19550501 19550531    65.3
19550601 19550630    51.6
19550701 19550731    50.1
19550801 19550831    94.0
19550901 19550930    65.1
19551001 19551031    86.1
19551101 19551130    74.4
19551201 19551231    93.5
19560101 19560131   121.9
19560201 19560229   191.3
19560301 19560331   202.4
19560401 19560430    60.4
19560501 19560531    88.7
19560601 19560630   141.0
19560701 19560731    94.7
19560801 19560831    46.0
19560901 19560930    45.2
19561001 19561031    85.0
19561101 19561130    10.4
19561201 19561231    13.4
19570101 19570131    50.5
19570201 19570228    70.4
19570301 19570331    27.4
19570401 19570430   100.7
19570501 19570531     2.0
19570601 19570630    17.5
19570701 19570731    33.8
19570801 19570831    55.5
19570901 19570930     2.0
19571001 19571031     7.0
19571101 19571130     4.6
19571201 19571231    80.3
19580101 19580131    87.0
19580201 19580228    76.5
19580301 19580331    29.8
19580401 19580430    38.9
19580501 19580531    64.3
19580601 19580630    40.1
19580701 19580731    34.2
19580801 19580831    57.2
19580901 19580930    78.7
19581001 19581031    93.8
19581101 19581130    21.5
19581201 19581231   122.8
19590101 19590131   106.1
19590201 19590228   100.6
19590301 19590331    60.0
19590401 19590430    52.8
19590501 19590531    17.3
19590601 19590630    55.1
19590701 19590731    44.3
19590801 19590831     8.1
19590901 19590930    29.8
19591001 19591031   120.7
19591101 19591130    47.7
19591201 19591231    93.0
19600101 19600131    46.3
19600201 19600229    54.4
19600301 19600331    12.5
19600401 19600430    51.4
19600501 19600531    63.4
19600601 19600630     8.6
19600701 19600731    65.4
19600801 19600831    69.0
19600901 19600930    51.9
19601001 19601031    47.2
19601101 19601130    64.8
19601201 19601231    62.7
19610101 19610131    52.2
19610201 19610228    33.0
19610301 19610331   106.7
19610401 19610430    32.0
19610501 19610531    12.2
19610601 19610630    20.2
19610701 19610731    53.4
19610801 19610831   101.3
19610901 19610930     5.2
19611001 19611031    39.9
19611101 19611130   161.4
19611201 19611231    56.2
19620101 19620131   123.3
19620201 19620228    37.9
19620301 19620331    11.0
19620401 19620430     1.0
19620501 19620531   120.9
19620601 19620630    42.4
19620701 19620731    63.5
19620801 19620831    63.9
19620901 19620930    26.9
19621001 19621031    38.6
19621101 19621130    25.9
19621201 19621231   105.5
19630101 19630131   174.0
19630201 19630228    66.0
19630301 19630331    40.3
19630401 19630430    31.0
19630501 19630531    89.3
19630601 19630630    55.7
19630701 19630731    61.1
19630801 19630831    64.0
19630901 19630930    65.1
19631001 19631031    64.5
19631101 19631130    38.2
19631201 19631231   150.1
19640101 19640131    43.2
19640201 19640229     6.9
19640301 19640331    19.8
19640401 19640430   106.5
19640501 19640531    47.8
19640601 19640630   104.0
19640701 19640731    71.5
19640801 19640831    46.6
19640901 19640930    87.6
19641001 19641031    93.9
19641101 19641130    90.9
19641201 19641231    48.5
19650101 19650131     4.5
19650201 19650228    13.0
19650301 19650331     5.4
19650401 19650430    30.8
19650501 19650531    26.4
19650601 19650630    17.9
19650701 19650731    22.6
19650801 19650831    34.1
19650901 19650930    35.6
19651001 19651031   103.9
19651101 19651130    17.0
19651201 19651231   123.4
19660101 19660131    19.0
19660201 19660228    44.2
19660301 19660331    60.6
19660401 19660430    14.0
19660501 19660531    31.3
19660601 19660630    32.4
19660701 19660731    25.0
19660801 19660831   102.3
19660901 19660930    86.1
19661001 19661031   113.3
19661101 19661130   119.4
19661201 19661231    40.8
19670101 19670131    86.9
19670201 19670228    36.5
19670301 19670331    99.1
19670401 19670430     3.6
19670501 19670531    24.8
19670601 19670630    67.5
19670701 19670731     8.9
19670801 19670831    66.5
19670901 19670930    17.5
19671001 19671031    44.2
19671101 19671130     6.4
19671201 19671231     6.9
19680101 19680131   102.1
19680201 19680229    31.6
19680301 19680331    70.2
19680401 19680430    30.4
19680501 19680531   101.8
19680601 19680630    18.0
19680701 19680731    45.6
19680801 19680831    65.6
19680901 19680930    29.7
19681001 19681031    23.5
19681101 19681130    37.7
19681201 19681231   143.9
19690101 19690131   107.8
19690201 19690228   152.1
19690301 19690331    59.1
19690401 19690430    47.8
19690501 19690531    68.6
19690601 19690630    44.2
19690701 19690731    53.5
19690801 19690831    84.2
19690901 19690930    52.9
19691001 19691031   168.0
19691101 19691130   117.6
19691201 19691231    25.9
19700101 19700131   127.8
19700201 19700228    39.4
19700301 19700331    52.3
19700401 19700430    98.4
19700501 19700531    45.2
19700601 19700630    27.5
19700701 19700731     2.6
19700801 19700831    33.5
19700901 19700930   186.3
19701001 19701031    55.4
19701101 19701130    96.2
19701201 19701231   142.4
19710101 19710131   143.9
19710201 19710228   116.2
19710301 19710331     2.3
19710401 19710430    18.1
19710501 19710531    30.0
19710601 19710630     7.0
19710701 19710731    50.4
19710801 19710831    77.9
19710901 19710930    77.6
19711001 19711031     5.3
19711101 19711130    74.4
19711201 19711231    62.3
19720101 19720131   151.7
19720201 19720229    86.6
19720301 19720331    18.6
19720401 19720430    28.5
19720501 19720531    22.7
