PRCP       087034 18770101 20161231 missing_value=99999.9 LOVELY BANKS RESERVOIR                    
19161101 19161130    80.1
19161201 19161231    74.3
19170101 19170131    22.1
19170201 19170228    33.7
19170301 19170331    44.7
19170401 19170430    39.4
19170501 19170531    46.7
19170601 19170630    30.9
19170701 19170731    38.4
19170801 19170831    42.2
19170901 19170930    59.0
19171001 19171031    82.5
19171101 19171130    54.3
19171201 19171231    25.7
19180101 19180131    14.2
19180201 19180228    18.9
19180301 19180331    73.2
19180401 19180430    22.6
19180501 19180531    49.1
19180601 19180630    45.5
19180701 19180731    40.7
19180801 19180831    43.4
19180901 19180930    40.7
19181001 19181031    47.6
19181101 19181130     6.6
19181201 19181231    20.2
19190101 19190131     9.3
19190201 19190228    85.6
19190301 19190331    83.7
19190401 19190430     5.8
19190501 19190531    41.7
19190601 19190630    40.0
19190701 19190731    38.0
19190801 19190831    24.4
19190901 19190930    36.9
19191001 19191031    24.2
19191101 19191130    16.0
19191201 19191231    87.7
19200101 19200131     4.6
19200201 19200229     3.6
19200301 19200331    25.3
19200401 19200430    17.4
19200501 19200531    42.0
19200601 19200630    40.8
19200701 19200731    21.1
19200801 19200831    55.0
19200901 19200930    61.6
19201001 19201031    40.6
19201101 19201130    73.9
19201201 19201231    20.8
19210101 19210131    61.5
19210201 19210228    70.1
19210301 19210331    16.6
19210401 19210430    12.0
19210501 19210531    68.1
19210601 19210630    28.0
19210701 19210731    56.3
19210801 19210831    45.9
19210901 19210930    71.4
19211001 19211031    57.7
19211101 19211130    49.2
19211201 19211231    33.2
19220101 19220131    10.8
19220201 19220228    25.0
19220301 19220331    10.3
19220401 19220430    34.3
19220501 19220531    76.3
19220601 19220630    56.6
19220701 19220731    54.4
19220801 19220831    66.7
19220901 19220930    48.7
19221001 19221031    77.2
19221101 19221130    16.6
19221201 19221231    67.1
19230101 19230131    43.9
19230201 19230228     6.0
19230301 19230331     3.8
19230401 19230430     1.2
19230501 19230531    49.7
19230601 19230630    79.5
19230701 19230731    74.3
19230801 19230831    30.8
19230901 19230930    39.6
19231001 19231031    70.4
19231101 19231130    41.5
19231201 19231231    69.8
19240101 19240131    52.9
19240201 19240229   125.6
19240301 19240331    99.3
19240401 19240430    41.6
19240501 19240531    29.6
19240601 19240630    33.1
19240701 19240731    24.6
19240801 19240831    64.5
19240901 19240930    44.9
19241001 19241031    50.4
19241101 19241130    83.2
19241201 19241231    79.9
19250101 19250131    29.7
19250201 19250228    30.7
19250301 19250331    13.2
19250401 19250430    19.3
19250501 19250531    59.2
19250601 19250630    22.9
19250701 19250731    37.3
19250801 19250831    26.4
19250901 19250930    28.2
