PRCP       008141 19070101 20160731 missing_value=99999.9 WILLI GULLI NORTH                         
19471101 19471130     3.8
19471201 19471231     0.7
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331     9.3
19480401 19480430    35.4
19480501 19480531     3.5
19480601 19480630    70.3
19480701 19480731    60.4
19480801 19480831    78.1
19480901 19480930    28.9
19481001 19481031     7.8
19481101 19481130    13.4
19481201 19481231     0.5
19490101 19490131     1.9
19490201 19490228    30.9
19490301 19490331     1.2
19490401 19490430    25.8
19490501 19490531    17.0
19490601 19490630    44.2
19490701 19490731   120.5
19490801 19490831    68.0
19490901 19490930    56.8
19491001 19491031    45.4
19491101 19491130    15.4
19491201 19491231     0.0
19500101 19500131     1.7
19500201 19500228     1.2
19500301 19500331     0.0
19500401 19500430     1.7
19500501 19500531   138.9
19500601 19500630    75.2
19500701 19500731   106.1
19500801 19500831    89.0
19500901 19500930    45.6
19501001 19501031    25.5
19501101 19501130    14.2
19501201 19501231     0.7
19510101 19510131     6.6
19510201 19510228     6.0
19510301 19510331     4.3
19510401 19510430    76.8
19510501 19510531    37.5
19510601 19510630   227.0
19510701 19510731    97.9
19510801 19510831    80.3
19510901 19510930    20.8
19511001 19511031    19.3
19511101 19511130     2.3
19511201 19511231    24.6
19520101 19520131     4.8
19520201 19520229     7.6
19520301 19520331     1.9
19520401 19520430     2.1
19520501 19520531   105.1
19520601 19520630    61.6
19520701 19520731    87.5
19520801 19520831    32.1
19520901 19520930    37.7
19521001 19521031    14.8
19521101 19521130     4.5
19521201 19521231     0.7
19530101 19530131     0.0
19530201 19530228     5.7
19530301 19530331    63.6
19530401 19530430    26.4
19530501 19530531   127.8
19530601 19530630   114.2
19530701 19530731    80.6
19530801 19530831    26.0
19530901 19530930    31.2
19531001 19531031    40.5
19531101 19531130    12.1
19531201 19531231     0.0
19540101 19540131    17.7
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    28.6
19540501 19540531    40.5
19540601 19540630    34.5
19540701 19540731    93.1
19540801 19540831    61.5
19540901 19540930    19.1
19541001 19541031    29.8
19541101 19541130     7.8
19541201 19541231     2.1
19550101 19550131     0.0
19550201 19550228    54.5
19550301 19550331     2.8
19550401 19550430    48.5
19550501 19550531    93.4
19550601 19550630    49.1
19550701 19550731    96.0
19550801 19550831   120.2
19550901 19550930    26.1
19551001 19551031    45.9
19551101 19551130     0.9
19551201 19551231     5.9
19560101 19560131     0.0
19560201 19560229     2.8
19560301 19560331    25.9
19560401 19560430     6.4
19560501 19560531   101.7
19560601 19560630   117.5
19560701 19560731   110.5
19560801 19560831    16.3
19560901 19560930     4.2
19561001 19561031    14.4
19561101 19561130     7.8
19561201 19561231     1.7
19570101 19570131     0.9
19570201 19570228     0.7
19570301 19570331     4.4
19570401 19570430    11.6
19570501 19570531    22.4
19570601 19570630   214.3
19570701 19570731    53.5
19570801 19570831    76.4
19570901 19570930     7.5
19571001 19571031    13.4
19571101 19571130     0.7
19571201 19571231     0.0
19580101 19580131    25.2
19580201 19580228     0.0
19580301 19580331    15.6
19580401 19580430     4.0
19580501 19580531    84.9
19580601 19580630    36.9
19580701 19580731   234.9
19580801 19580831   109.1
19580901 19580930    44.4
19581001 19581031    25.1
19581101 19581130     2.6
19581201 19581231     2.9
19590101 19590131     0.0
19590201 19590228     0.0
19590301 19590331     0.0
19590401 19590430    10.9
19590501 19590531    15.5
19590601 19590630   128.6
19590701 19590731    43.0
19590801 19590831    83.3
19590901 19590930     1.9
19591001 19591031    33.3
19591101 19591130     9.6
19591201 19591231    27.8
19600101 19600131    14.4
19600201 19600229    13.7
19600301 19600331    32.0
19600401 19600430     7.7
19600501 19600531    94.4
19600601 19600630    51.9
19600701 19600731   171.8
19600801 19600831    35.1
19600901 19600930    33.7
19601001 19601031     5.7
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131     8.3
19610201 19610228     0.9
19610301 19610331     7.7
19610401 19610430    64.6
19610501 19610531    53.2
19610601 19610630   121.3
19610701 19610731    84.4
19610801 19610831    50.4
19610901 19610930     7.9
19611001 19611031     9.6
19611101 19611130     2.1
19611201 19611231     1.2
19620101 19620131    33.7
19620201 19620228     0.0
19620301 19620331    12.7
19620401 19620430    11.6
19620501 19620531   128.6
19620601 19620630   109.0
19620701 19620731    90.7
19620801 19620831    31.3
19620901 19620930    19.3
19621001 19621031    26.3
19621101 19621130     5.6
19621201 19621231     1.5
19630101 19630131    18.3
19630201 19630228    84.9
19630301 19630331     7.9
19630401 19630430    30.8
19630501 19630531   239.5
19630601 19630630   129.4
19630701 19630731    93.5
19630801 19630831    98.2
19630901 19630930    20.8
19631001 19631031     3.3
19631101 19631130     6.1
19631201 19631231     4.6
19640101 19640131     1.5
19640201 19640229     0.0
19640301 19640331    11.1
19640401 19640430    42.0
19640501 19640531     7.9
19640601 19640630   187.6
19640701 19640731   115.2
19640801 19640831    71.4
19640901 19640930    45.8
19641001 19641031    43.5
19641101 19641130     1.3
19641201 19641231     4.1
19650101 19650131     2.5
19650201 19650228     1.0
19650301 19650331     9.9
19650401 19650430    18.7
19650501 19650531    47.3
19650601 19650630   155.4
19650701 19650731   116.9
19650801 19650831    83.2
19650901 19650930    22.3
19651001 19651031    36.2
19651101 19651130    32.2
19651201 19651231     3.6
19660101 19660131     7.1
19660201 19660228     0.0
19660301 19660331     0.3
19660401 19660430   147.0
19660501 19660531    37.8
19660601 19660630   102.4
19660701 19660731    82.5
19660801 19660831    20.9
19660901 19660930    27.4
19661001 19661031    28.6
19661101 19661130     1.0
19661201 19661231     0.0
19670101 19670131     9.9
19670201 19670228     0.0
19670301 19670331     3.3
19670401 19670430    12.2
19670501 19670531    58.1
19670601 19670630   134.8
19670701 19670731    74.7
19670801 19670831    54.2
19670901 19670930    21.3
19671001 19671031     9.6
19671101 19671130     8.7
19671201 19671231    22.1
19680101 19680131    15.9
19680201 19680229     3.6
19680301 19680331    15.8
19680401 19680430    65.0
19680501 19680531    47.7
19680601 19680630   223.7
19680701 19680731    51.2
19680801 19680831    42.8
19680901 19680930    60.0
19681001 19681031     9.9
19681101 19681130    15.3
19681201 19681231     0.0
19690101 19690131     0.0
19690201 19690228     0.0
19690301 19690331     1.0
19690401 19690430     9.6
19690501 19690531    59.7
19690601 19690630    75.7
19690701 19690731    15.7
19690801 19690831    21.0
19690901 19690930    18.9
19691001 19691031     0.0
19691101 19691130    13.7
19691201 19691231     1.3
19700101 19700131     0.0
19700201 19700228    78.8
19700301 19700331     0.0
19700401 19700430    39.0
19700501 19700531    58.3
19700601 19700630   121.4
19700701 19700731    85.3
19700801 19700831    35.2
19700901 19700930    52.0
19701001 19701031    29.3
19701101 19701130     0.5
19701201 19701231     5.1
19710101 19710131     6.4
19710201 19710228     2.3
19710301 19710331    95.5
19710401 19710430     0.0
19710501 19710531    50.1
19710601 19710630    62.9
19710701 19710731    87.6
19710801 19710831    54.7
19710901 19710930    31.1
19711001 19711031    30.6
19711101 19711130    28.8
19711201 19711231     0.0
19720101 19720131     0.8
19720201 19720229     0.0
19720301 19720331     3.0
19720401 19720430     4.9
19720501 19720531    42.5
19720601 19720630    79.8
19720701 19720731   111.5
19720801 19720831   102.7
19720901 19720930    19.2
19721001 19721031    19.3
19721101 19721130     1.6
19721201 19721231     0.8
19730101 19730131     0.0
19730201 19730228     0.0
19730301 19730331     0.0
19730401 19730430     9.4
19730501 19730531    44.7
19730601 19730630   136.8
19730701 19730731   101.5
19730801 19730831    71.4
19730901 19730930    41.7
19731001 19731031     5.1
19731101 19731130    10.6
19731201 19731231     2.3
19740101 19740131    23.6
19740201 19740228     4.6
19740301 19740331     0.0
19740401 19740430    10.0
19740501 19740531   161.4
19740601 19740630    62.4
19740701 19740731   152.8
19740801 19740831    69.0
19740901 19740930    35.0
19741001 19741031    46.2
19741101 19741130     3.0
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228    13.2
19750301 19750331    45.8
19750401 19750430    63.0
19750501 19750531    30.2
19750601 19750630    93.4
19750701 19750731   101.8
19750801 19750831    43.6
19750901 19750930    43.8
19751001 19751031    42.6
19751101 19751130     4.1
19751201 19751231     8.9
19760101 19760131     0.0
19760201 19760229    12.6
19760301 19760331     0.0
19760401 19760430     5.0
19760501 19760531    55.6
19760601 19760630    31.8
19760701 19760731    32.0
19760801 19760831    83.4
19760901 19760930    30.4
19761001 19761031     9.2
19761101 19761130     8.6
19761201 19761231     0.0
19770101 19770131     0.0
19770201 19770228     0.0
19770301 19770331     0.0
19770401 19770430     6.0
19770501 19770531    40.2
19770601 19770630    85.4
