PRCP       010091 19000101 20160531 missing_value=99999.9 MECKERING                                 
19391101 19391130    33.8
19391201 19391231     0.3
19400101 19400131    21.1
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     0.8
19400501 19400531    17.9
19400601 19400630    54.6
19400701 19400731    50.0
19400801 19400831    14.8
19400901 19400930    37.8
19401001 19401031    22.3
19401101 19401130     1.3
19401201 19401231    22.1
19410101 19410131     1.3
19410201 19410228    14.5
19410301 19410331     0.6
19410401 19410430    71.0
19410501 19410531    40.3
19410601 19410630    69.3
19410701 19410731    57.9
19410801 19410831    74.9
19410901 19410930    31.6
19411001 19411031    21.5
19411101 19411130    13.2
19411201 19411231     5.3
19420101 19420131     2.3
19420201 19420228     0.3
19420301 19420331    91.8
19420401 19420430    17.8
19420501 19420531    51.2
19420601 19420630    45.4
19420701 19420731    45.1
19420801 19420831    60.3
19420901 19420930    31.1
19421001 19421031    14.3
19421101 19421130     0.5
19421201 19421231    91.2
19430101 19430131    17.7
19430201 19430228    26.4
19430301 19430331    17.7
19430401 19430430    21.8
19430501 19430531    53.7
19430601 19430630    67.8
19430701 19430731    65.6
19430801 19430831    50.6
19430901 19430930    34.9
19431001 19431031    12.3
19431101 19431130     1.5
19431201 19431231     0.5
19440101 19440131    17.8
19440201 19440229     0.0
19440301 19440331     2.8
19440401 19440430    22.5
19440501 19440531    57.2
19440601 19440630    27.4
19440701 19440731    74.3
19440801 19440831    48.6
19440901 19440930    17.0
19441001 19441031     4.6
19441101 19441130     8.9
19441201 19441231    15.7
19450101 19450131     0.0
19450201 19450228     1.1
19450301 19450331    25.1
19450401 19450430     5.9
19450501 19450531    29.8
19450601 19450630   182.5
19450701 19450731    40.7
19450801 19450831    74.8
19450901 19450930    35.7
19451001 19451031     1.6
19451101 19451130    13.5
19451201 19451231     1.8
19460101 19460131     0.0
19460201 19460228     0.0
19460301 19460331     1.5
19460401 19460430    21.6
19460501 19460531    72.6
19460601 19460630    94.7
19460701 19460731   137.4
19460801 19460831    45.3
19460901 19460930     8.4
19461001 19461031     0.0
19461101 19461130    30.7
19461201 19461231    10.7
19470101 19470131     1.0
19470201 19470228     0.0
19470301 19470331     4.9
19470401 19470430    35.3
19470501 19470531    80.0
19470601 19470630    73.2
19470701 19470731    51.3
19470801 19470831    19.3
19470901 19470930    18.0
19471001 19471031    43.1
19471101 19471130    11.5
19471201 19471231     1.5
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331    12.2
19480401 19480430    31.5
19480501 19480531     0.5
19480601 19480630    64.0
19480701 19480731    50.6
19480801 19480831    64.4
19480901 19480930    51.2
19481001 19481031     6.3
19481101 19481130    32.5
19481201 19481231     5.3
19490101 19490131     0.0
19490201 19490228    10.1
19490301 19490331     1.8
19490401 19490430    13.7
19490501 19490531     1.3
19490601 19490630    34.8
19490701 19490731    64.1
19490801 19490831    44.1
19490901 19490930    16.0
19491001 19491031    13.4
19491101 19491130    23.9
19491201 19491231     0.0
19500101 19500131     2.8
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    39.4
19500601 19500630    47.4
19500701 19500731    49.5
19500801 19500831    32.5
19500901 19500930    24.3
19501001 19501031    21.1
19501101 19501130    13.0
19501201 19501231     0.0
19510101 19510131    13.8
19510201 19510228    45.3
19510301 19510331     1.3
19510401 19510430    67.1
19510501 19510531    14.4
19510601 19510630    93.7
19510701 19510731    34.0
19510801 19510831    25.1
19510901 19510930     6.4
19511001 19511031    17.7
19511101 19511130     9.7
19511201 19511231    14.6
19520101 19520131     2.0
19520201 19520229     2.4
19520301 19520331     8.1
19520401 19520430     0.0
19520501 19520531    67.3
19520601 19520630    36.7
19520701 19520731    92.7
19520801 19520831    15.5
19520901 19520930    24.8
19521001 19521031    25.6
19521101 19521130     2.5
19521201 19521231    67.5
19530101 19530131     0.0
19530201 19530228    22.9
19530301 19530331    45.2
19530401 19530430    78.8
19530501 19530531    88.7
19530601 19530630    84.0
19530701 19530731    51.5
19530801 19530831    45.5
19530901 19530930     4.6
19531001 19531031    38.4
19531101 19531130     6.3
19531201 19531231     0.0
19540101 19540131     3.5
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    11.9
19540501 19540531    55.7
19540601 19540630    26.7
19540701 19540731    66.0
19540801 19540831    31.7
19540901 19540930    24.6
19541001 19541031     1.3
19541101 19541130     5.1
19541201 19541231     0.0
19550101 19550131     0.0
19550201 19550228   164.8
19550301 19550331    21.4
19550401 19550430    44.9
19550501 19550531    59.9
19550601 19550630    22.7
19550701 19550731    35.1
19550801 19550831   120.6
19550901 19550930    55.8
19551001 19551031    30.3
19551101 19551130     1.0
19551201 19551231    14.2
19560101 19560131     0.0
19560201 19560229     0.0
19560301 19560331     0.0
19560401 19560430    10.2
19560501 19560531    64.8
19560601 19560630    73.5
19560701 19560731    71.5
19560801 19560831     2.3
19560901 19560930     8.9
19561001 19561031    25.6
19561101 19561130    22.6
19561201 19561231     0.0
19570101 19570131    16.0
19570201 19570228     2.5
19570301 19570331     5.1
19570401 19570430    15.7
19570501 19570531    45.0
19570601 19570630   156.4
19570701 19570731    12.9
19570801 19570831    34.0
19570901 19570930     7.1
19571001 19571031    13.8
19571101 19571130     0.0
19571201 19571231     0.0
19580101 19580131     0.0
19580201 19580228     0.8
19580301 19580331    10.4
19580401 19580430     2.8
19580501 19580531    96.9
19580601 19580630    29.7
19580701 19580731   169.1
19580801 19580831    30.5
19580901 19580930    41.0
19581001 19581031     8.2
19581101 19581130    33.8
19581201 19581231     3.4
19590101 19590131     1.6
19590201 19590228     6.1
19590301 19590331    13.0
19590401 19590430     1.8
19590501 19590531    16.0
19590601 19590630   111.9
19590701 19590731    20.2
19590801 19590831    56.6
19590901 19590930    30.8
19591001 19591031    23.2
19591101 19591130    16.2
19591201 19591231     0.0
19600101 19600131    33.5
19600201 19600229     2.6
19600301 19600331    38.5
19600401 19600430     2.8
19600501 19600531    86.2
19600601 19600630    64.7
19600701 19600731   107.1
19600801 19600831    20.1
19600901 19600930    45.8
19601001 19601031     3.8
19601101 19601130     0.8
19601201 19601231     0.0
19610101 19610131    43.7
19610201 19610228     4.1
19610301 19610331     2.8
19610401 19610430    57.8
19610501 19610531     8.4
19610601 19610630    66.7
19610701 19610731    57.4
19610801 19610831    43.6
19610901 19610930    15.9
19611001 19611031     4.3
19611101 19611130     0.0
19611201 19611231     4.0
19620101 19620131    56.9
19620201 19620228     2.8
19620301 19620331     2.0
19620401 19620430     1.8
19620501 19620531   118.7
19620601 19620630    50.4
19620701 19620731    51.3
19620801 19620831    20.9
19620901 19620930    17.9
