PRCP       042023 18850101 20171231 missing_value=99999.9 MILES POST OFFICE                         
19160501 19160531     3.3
19160601 19160630    74.9
19160701 19160731    87.2
19160801 19160831    33.7
19160901 19160930    11.9
19161001 19161031    55.6
19161101 19161130   184.9
19161201 19161231    52.6
19170101 19170131    94.4
19170201 19170228   104.6
19170301 19170331   129.3
19170401 19170430    30.5
19170501 19170531     1.5
19170601 19170630     5.3
19170701 19170731    20.6
19170801 19170831    19.7
19170901 19170930   150.6
19171001 19171031    70.6
19171101 19171130   262.6
19171201 19171231    49.8
19180101 19180131   120.3
19180201 19180228    85.4
19180301 19180331    14.0
19180401 19180430    54.9
19180501 19180531     8.1
19180601 19180630     1.3
19180701 19180731     1.8
19180801 19180831    25.8
19180901 19180930    11.2
19181001 19181031    25.6
19181101 19181130    11.9
19181201 19181231    14.2
19190101 19190131    27.0
19190201 19190228    32.8
19190301 19190331    42.2
19190401 19190430    40.4
19190501 19190531    36.8
19190601 19190630     0.0
19190701 19190731     4.6
19190801 19190831    15.5
19190901 19190930     0.8
19191001 19191031     4.3
19191101 19191130    20.8
19191201 19191231    21.2
19200101 19200131   114.7
19200201 19200229    29.2
19200301 19200331    11.4
19200401 19200430     6.1
19200501 19200531    13.3
19200601 19200630    49.1
19200701 19200731    93.3
19200801 19200831    37.4
19200901 19200930    67.9
19201001 19201031    83.0
19201101 19201130    41.5
19201201 19201231    72.1
19210101 19210131    61.4
19210201 19210228    29.7
19210301 19210331    53.4
19210401 19210430     3.3
19210501 19210531    33.2
19210601 19210630   111.8
19210701 19210731    57.4
19210801 19210831    15.3
19210901 19210930    31.1
19211001 19211031    32.8
19211101 19211130    29.0
19211201 19211231   164.6
19220101 19220131    70.4
19220201 19220228    64.3
19220301 19220331    21.6
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630    51.9
19220701 19220731    24.1
19220801 19220831     0.0
19220901 19220930    14.3
19221001 19221031    41.6
19221101 19221130     7.4
19221201 19221231   105.9
19230101 19230131    62.8
19230201 19230228     1.8
19230301 19230331     8.9
19230401 19230430     9.9
19230501 19230531     0.8
19230601 19230630    70.9
19230701 19230731    12.5
19230801 19230831     8.4
19230901 19230930    37.7
19231001 19231031    24.7
19231101 19231130     4.5
19231201 19231231   186.7
19240101 19240131    72.4
19240201 19240229   228.7
19240301 19240331   117.9
19240401 19240430     5.4
19240501 19240531     0.0
19240601 19240630     6.1
19240701 19240731    54.4
19240801 19240831    18.6
19240901 19240930    72.9
19241001 19241031   158.6
19241101 19241130   112.3
19241201 19241231   142.6
19250101 19250131    97.5
19250201 19250228    38.1
19250301 19250331    57.8
19250401 19250430     0.0
19250501 19250531    45.9
19250601 19250630    32.4
19250701 19250731    16.1
19250801 19250831    92.8
19250901 19250930     7.2
19251001 19251031     4.9
19251101 19251130    55.1
19251201 19251231   123.5
19260101 19260131   154.2
19260201 19260228    28.2
19260301 19260331    34.9
19260401 19260430    13.6
19260501 19260531    91.5
19260601 19260630    25.9
19260701 19260731     7.6
19260801 19260831    11.3
19260901 19260930    36.4
19261001 19261031    16.0
19261101 19261130    12.9
19261201 19261231   167.7
19270101 19270131   151.3
19270201 19270228    83.9
19270301 19270331   148.6
19270401 19270430    34.9
19270501 19270531     0.0
19270601 19270630    42.8
19270701 19270731     1.8
19270801 19270831     5.1
19270901 19270930     6.3
19271001 19271031    71.8
19271101 19271130    87.7
19271201 19271231   129.3
19280101 19280131    37.1
19280201 19280229   186.2
19280301 19280331    11.7
19280401 19280430   116.5
19280501 19280531    18.8
19280601 19280630    36.9
19280701 19280731    54.7
19280801 19280831     0.0
19280901 19280930     0.8
19281001 19281031     6.9
19281101 19281130    57.3
19281201 19281231    58.0
19290101 19290131    32.5
19290201 19290228    91.2
19290301 19290331   107.4
19290401 19290430   116.6
19290501 19290531     0.0
19290601 19290630    19.0
19290701 19290731     9.9
19290801 19290831    11.1
19290901 19290930     2.8
19291001 19291031    45.2
19291101 19291130    18.5
19291201 19291231   149.6
19300101 19300131    58.7
19300201 19300228    37.9
19300301 19300331    40.5
19300401 19300430    26.4
19300501 19300531    81.8
19300601 19300630    56.9
19300701 19300731    28.5
19300801 19300831    39.2
19300901 19300930    19.8
19301001 19301031    48.0
19301101 19301130   109.7
19301201 19301231    52.8
19310101 19310131    32.2
19310201 19310228    79.0
