PRCP       015553 18880101 20151231 missing_value=99999.9 HAMILTON DOWNS                            
19590401 19590430     0.0
19590501 19590531    35.6
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031    15.7
19591101 19591130    13.8
19591201 19591231    23.1
19600101 19600131    90.3
19600201 19600229     4.3
19600301 19600331     0.0
19600401 19600430    12.7
19600501 19600531    22.8
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930    14.0
19601001 19601031    24.6
19601101 19601130    16.5
19601201 19601231    12.7
19610101 19610131    16.0
19610201 19610228     0.0
19610301 19610331     0.0
19610401 19610430    66.0
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130     3.3
19611201 19611231     0.0
19620101 19620131   105.1
19620201 19620228     0.0
19620301 19620331   100.4
19620401 19620430     0.0
19620501 19620531     7.1
19620601 19620630    24.6
19620701 19620731    15.7
19620801 19620831    24.4
19620901 19620930     0.0
19621001 19621031    56.1
19621101 19621130     4.5
19621201 19621231     0.0
19630101 19630131    21.8
19630201 19630228     0.0
19630301 19630331     3.8
19630401 19630430     0.0
19630501 19630531    23.8
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     6.9
19631101 19631130     5.6
19631201 19631231    12.6
19640101 19640131     6.3
19640201 19640229     0.0
19640301 19640331     0.0
19640401 19640430     6.9
19640501 19640531    12.7
19640601 19640630    18.5
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930    32.8
19641001 19641031     6.9
19641101 19641130    21.8
19641201 19641231    15.2
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331    25.4
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     8.9
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130     3.0
19651201 19651231    53.8
19660101 19660131   124.4
19660201 19660228     0.0
19660301 19660331     3.0
19660401 19660430     2.3
19660501 19660531     6.4
19660601 19660630    62.8
19660701 19660731     0.0
19660801 19660831    45.7
19660901 19660930     0.0
19661001 19661031    21.0
19661101 19661130     5.0
19661201 19661231     9.7
19670101 19670131    30.0
19670201 19670228   195.4
19670301 19670331    38.2
19670401 19670430     0.0
