PRCP       009551 19020801 20161031 missing_value=99999.9 GRASSMERE                                 
19461101 19461130    68.7
19461201 19461231    34.5
19470101 19470131    11.7
19470201 19470228    17.1
19470301 19470331    26.7
19470401 19470430   132.9
19470501 19470531   139.1
19470601 19470630   226.1
19470701 19470731   173.1
19470801 19470831   105.4
19470901 19470930   120.1
19471001 19471031   133.6
19471101 19471130    45.0
19471201 19471231    41.7
19480101 19480131     3.9
19480201 19480229     9.8
19480301 19480331    32.9
19480401 19480430   119.1
19480501 19480531    60.8
19480601 19480630   105.9
19480701 19480731   189.3
19480801 19480831   124.7
19480901 19480930   167.9
19481001 19481031    87.6
19481101 19481130    79.6
19481201 19481231    35.2
19490101 19490131    17.6
19490201 19490228     5.9
19490301 19490331    68.5
19490401 19490430    56.1
19490501 19490531    84.0
19490601 19490630    86.3
19490701 19490731   197.9
19490801 19490831   125.4
19490901 19490930    97.8
19491001 19491031   218.4
19491101 19491130    84.0
19491201 19491231     5.6
19500101 19500131    31.2
19500201 19500228     8.0
19500301 19500331     5.5
19500401 19500430     9.7
19500501 19500531   155.3
19500601 19500630   133.5
19500701 19500731   204.3
19500801 19500831   116.2
19500901 19500930   138.4
19501001 19501031    80.7
19501101 19501130    81.0
19501201 19501231    19.1
19510101 19510131    28.3
19510201 19510228    63.3
19510301 19510331     5.1
19510401 19510430   145.3
19510501 19510531    89.0
19510601 19510630   151.9
19510701 19510731   111.5
19510801 19510831   172.0
19510901 19510930   165.6
19511001 19511031    75.4
19511101 19511130    65.5
19511201 19511231    63.7
19520101 19520131    41.4
19520201 19520229     4.9
19520301 19520331    91.4
19520401 19520430    48.4
19520501 19520531   156.1
19520601 19520630   140.7
19520701 19520731   145.4
19520801 19520831   100.7
19520901 19520930   159.3
19521001 19521031    69.9
19521101 19521130    44.3
19521201 19521231    80.9
19530101 19530131    14.5
19530201 19530228    39.4
19530301 19530331    10.7
19530401 19530430    48.0
19530501 19530531    72.7
19530601 19530630   166.1
19530701 19530731   103.9
19530801 19530831    77.0
19530901 19530930    92.2
19531001 19531031    85.5
19531101 19531130    62.2
19531201 19531231    26.3
19540101 19540131    15.2
19540201 19540228     7.4
19540301 19540331    25.4
19540401 19540430    81.2
19540501 19540531    98.2
19540601 19540630    83.2
19540701 19540731   122.0
19540801 19540831    94.9
19540901 19540930    74.9
19541001 19541031    62.4
19541101 19541130    63.1
19541201 19541231    33.0
19550101 19550131    23.7
19550201 19550228   157.6
19550301 19550331     9.4
19550401 19550430   146.9
19550501 19550531   148.8
19550601 19550630   176.5
19550701 19550731   152.2
19550801 19550831   301.0
19550901 19550930   124.1
19551001 19551031   211.3
19551101 19551130    33.8
19551201 19551231    78.6
19560101 19560131     4.1
19560201 19560229     6.7
19560301 19560331    59.2
19560401 19560430    67.6
19560501 19560531   150.9
19560601 19560630   189.5
19560701 19560731   166.9
19560801 19560831    86.3
19560901 19560930    86.0
19561001 19561031    95.3
19561101 19561130    46.7
19561201 19561231    25.0
19570101 19570131     2.6
19570201 19570228    14.8
19570301 19570331    30.9
19570401 19570430    76.9
19570501 19570531   105.6
19570601 19570630   184.7
19570701 19570731   141.8
19570801 19570831    99.0
19570901 19570930    72.3
19571001 19571031    85.9
19571101 19571130     4.6
19571201 19571231    13.5
19580101 19580131    15.5
19580201 19580228     9.4
19580301 19580331    30.4
19580401 19580430    66.8
