PRCP       005004 18970101 20140131 missing_value=99999.9 EXMOUTH GULF                              
19290301 19290331    54.0
19290401 19290430     0.0
19290501 19290531   136.1
19290601 19290630     2.8
19290701 19290731     0.0
19290801 19290831    37.1
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130     0.0
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331    47.3
19300401 19300430    27.0
19300501 19300531     0.0
19300601 19300630    29.5
19300701 19300731     6.8
19300801 19300831     0.0
19300901 19300930     1.4
19301001 19301031     0.0
19301101 19301130     0.0
19301201 19301231    17.1
19310101 19310131    18.2
19310201 19310228    30.4
19310301 19310331     3.5
19310401 19310430    24.7
19310501 19310531    93.0
19310601 19310630    91.7
19310701 19310731    58.4
19310801 19310831    27.5
19310901 19310930     0.0
19311001 19311031    25.0
19311101 19311130     5.8
19311201 19311231     6.8
19320101 19320131    11.9
19320201 19320229     0.0
19320301 19320331     1.6
19320401 19320430    19.6
19320501 19320531    86.5
19320601 19320630     7.3
19320701 19320731     1.4
19320801 19320831    32.2
19320901 19320930     0.0
19321001 19321031     0.0
19321101 19321130     0.0
19321201 19321231    21.7
19330101 19330131     0.0
19330201 19330228    39.7
19330301 19330331   324.5
19330401 19330430    29.6
19330501 19330531    24.5
19330601 19330630     7.1
19330701 19330731    40.2
19330801 19330831    38.3
19330901 19330930     0.0
19331001 19331031     0.0
19331101 19331130    24.7
19331201 19331231    23.9
19340101 19340131    55.9
19340201 19340228    89.0
19340301 19340331   179.7
19340401 19340430    13.9
19340501 19340531     7.1
19340601 19340630    11.3
19340701 19340731     0.0
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031     0.0
19341101 19341130     0.0
19341201 19341231     0.0
19350101 19350131    71.2
19350201 19350228    44.8
19350301 19350331    16.7
19350401 19350430     7.6
19350501 19350531     0.0
19350601 19350630     0.0
19350701 19350731     6.5
19350801 19350831     7.4
19350901 19350930     0.0
19351001 19351031     0.0
19351101 19351130     1.6
19351201 19351231     0.0
19360101 19360131    18.7
19360201 19360229     0.0
19360301 19360331     0.0
19360401 19360430    37.6
19360501 19360531     0.0
19360601 19360630     1.6
19360701 19360731     0.0
19360801 19360831     0.9
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130     0.0
19361201 19361231     0.0
19370101 19370131    12.7
19370201 19370228    66.3
19370301 19370331     0.0
19370401 19370430    68.6
19370501 19370531    86.9
19370601 19370630    19.6
19370701 19370731     0.0
19370801 19370831     5.8
19370901 19370930     0.0
19371001 19371031     9.2
19371101 19371130     0.0
19371201 19371231     0.0
19380101 19380131     3.9
19380201 19380228     0.0
19380301 19380331     0.5
19380401 19380430    26.1
19380501 19380531    31.2
19380601 19380630     4.1
19380701 19380731    24.5
19380801 19380831     1.9
19380901 19380930     0.0
