PRCP       026010 19010101 20170228 missing_value=99999.9 KEILIRA STATION                           
19501201 19501231    22.3
19510101 19510131    15.3
19510201 19510228    12.9
19510301 19510331     6.6
19510401 19510430    77.7
19510501 19510531   154.3
19510601 19510630    67.8
19510701 19510731   135.8
19510801 19510831    84.1
19510901 19510930    16.5
19511001 19511031    67.9
19511101 19511130    21.2
19511201 19511231    42.2
19520101 19520131    34.2
19520201 19520229    23.4
19520301 19520331     2.1
19520401 19520430    52.4
19520501 19520531    89.0
19520601 19520630   140.9
19520701 19520731    89.8
19520801 19520831    39.4
19520901 19520930    61.7
19521001 19521031    39.6
19521101 19521130    60.2
19521201 19521231    33.6
19530101 19530131    26.2
19530201 19530228    17.2
19530301 19530331     4.1
19530401 19530430    34.8
19530501 19530531    41.2
19530601 19530630   129.2
19530701 19530731    90.8
19530801 19530831   114.8
19530901 19530930    82.4
19531001 19531031    47.0
19531101 19531130    50.6
19531201 19531231    20.1
19540101 19540131    33.1
19540201 19540228     0.3
19540301 19540331    15.2
19540401 19540430    93.0
19540501 19540531    42.5
19540601 19540630    61.8
19540701 19540731    69.2
19540801 19540831    45.1
19540901 19540930    46.4
19541001 19541031    56.1
19541101 19541130    31.2
19541201 19541231    37.6
19550101 19550131     0.0
19550201 19550228    20.6
19550301 19550331     0.0
19550401 19550430    44.4
19550501 19550531   119.3
19550601 19550630   107.1
19550701 19550731    28.3
19550801 19550831   124.5
19550901 19550930    32.4
19551001 19551031    80.2
19551101 19551130    49.8
19551201 19551231    26.4
19560101 19560131    23.4
19560201 19560229     0.0
19560301 19560331    28.2
19560401 19560430   116.7
19560501 19560531    41.0
19560601 19560630   142.8
19560701 19560731    88.4
19560801 19560831   108.8
19560901 19560930    69.0
19561001 19561031    45.6
19561101 19561130    11.2
19561201 19561231    26.3
19570101 19570131     0.0
19570201 19570228     2.3
19570301 19570331    17.0
19570401 19570430    44.8
19570501 19570531    38.0
19570601 19570630    30.6
19570701 19570731    34.9
19570801 19570831    51.4
19570901 19570930    67.0
19571001 19571031    39.6
19571101 19571130    31.1
19571201 19571231    16.6
19580101 19580131     0.3
19580201 19580228     0.8
19580301 19580331    10.2
19580401 19580430    14.3
19580501 19580531   165.0
19580601 19580630    48.7
19580701 19580731   115.2
19580801 19580831   110.8
19580901 19580930    74.0
19581001 19581031    77.7
19581101 19581130    29.2
19581201 19581231     5.1
19590101 19590131     0.5
19590201 19590228    36.8
19590301 19590331    46.8
19590401 19590430     7.1
19590501 19590531     8.9
19590601 19590630    14.2
19590701 19590731    44.9
19590801 19590831    53.7
19590901 19590930    33.8
19591001 19591031    15.7
19591101 19591130    16.6
19591201 19591231    50.1
19600101 19600131     9.9
19600201 19600229    62.5
19600301 19600331    25.2
19600401 19600430    70.3
19600501 19600531   119.5
19600601 19600630    61.2
19600701 19600731    84.4
19600801 19600831    62.0
19600901 19600930   116.0
19601001 19601031    36.0
19601101 19601130    19.2
19601201 19601231     7.4
19610101 19610131     9.9
19610201 19610228    12.5
19610301 19610331     6.2
19610401 19610430    73.1
19610501 19610531    22.5
19610601 19610630    54.7
19610701 19610731    76.4
19610801 19610831    40.2
19610901 19610930    36.8
19611001 19611031    23.7
19611101 19611130    25.4
19611201 19611231    58.6
19620101 19620131     8.4
19620201 19620228    19.6
19620301 19620331    22.8
19620401 19620430    10.9
19620501 19620531    83.0
19620601 19620630   127.2
19620701 19620731    52.7
19620801 19620831    73.7
19620901 19620930    69.2
19621001 19621031    59.0
19621101 19621130    28.3
19621201 19621231    31.1
19630101 19630131   100.6
19630201 19630228     0.5
19630301 19630331     0.5
19630401 19630430     7.3
19630501 19630531    95.7
19630601 19630630    89.9
19630701 19630731   100.4
19630801 19630831    70.9
19630901 19630930    65.0
19631001 19631031    14.0
19631101 19631130    11.4
19631201 19631231     3.1
19640101 19640131     5.6
19640201 19640229     4.4
19640301 19640331    17.8
19640401 19640430    43.9
19640501 19640531    45.7
19640601 19640630   110.2
19640701 19640731   194.5
19640801 19640831    60.2
19640901 19640930    69.0
19641001 19641031    73.9
19641101 19641130    77.8
19641201 19641231    47.0
19650101 19650131     2.8
19650201 19650228     0.5
19650301 19650331    15.5
19650401 19650430    34.9
19650501 19650531   111.9
19650601 19650630    38.3
19650701 19650731    90.7
19650801 19650831    59.4
19650901 19650930    27.7
19651001 19651031     9.9
19651101 19651130    36.1
19651201 19651231    19.1
19660101 19660131     6.7
19660201 19660228    26.7
19660301 19660331    15.6
19660401 19660430    13.6
19660501 19660531    72.5
19660601 19660630    61.8
19660701 19660731   108.6
19660801 19660831    41.5
19660901 19660930    82.9
19661001 19661031    46.8
19661101 19661130    21.4
19661201 19661231   114.3
19670101 19670131     6.4
19670201 19670228    39.1
19670301 19670331     5.3
19670401 19670430     6.2
19670501 19670531    36.1
19670601 19670630    12.0
19670701 19670731   122.5
19670801 19670831    65.9
19670901 19670930    14.5
19671001 19671031     9.2
19671101 19671130     5.6
19671201 19671231    29.2
19680101 19680131    14.8
19680201 19680229    10.2
19680301 19680331    23.7
19680401 19680430   128.0
19680501 19680531   138.2
19680601 19680630    48.5
19680701 19680731    74.3
19680801 19680831   116.1
19680901 19680930    46.2
19681001 19681031    74.3
19681101 19681130    61.1
19681201 19681231    11.5
19690101 19690131     6.6
19690201 19690228    31.6
19690301 19690331    16.9
19690401 19690430    33.7
19690501 19690531    48.6
19690601 19690630    20.0
19690701 19690731    90.9
19690801 19690831    55.8
19690901 19690930    61.9
19691001 19691031     4.6
19691101 19691130    21.6
19691201 19691231    45.1
