PRCP       023721 18630101 20171231 missing_value=99999.9 HAPPY VALLEY RESERVOIR E&WS               
18970201 18970228    27.0
18970301 18970331    30.3
18970401 18970430    21.1
18970501 18970531    71.1
18970601 18970630    49.3
18970701 18970731    64.3
18970801 18970831    92.7
18970901 18970930    43.4
18971001 18971031    16.0
18971101 18971130     8.4
18971201 18971231     0.0
18980101 18980131     0.3
18980201 18980228     8.7
18980301 18980331    24.1
18980401 18980430    90.7
18980501 18980531   101.7
18980601 18980630   108.4
18980701 18980731   106.9
18980801 18980831    48.5
18980901 18980930    24.7
18981001 18981031    44.4
18981101 18981130    40.6
18981201 18981231     4.1
18990101 18990131    34.6
18990201 18990228    29.2
18990301 18990331    20.4
18990401 18990430    55.2
18990501 18990531    92.6
18990601 18990630    95.2
18990701 18990731    16.7
18990801 18990831    45.5
18990901 18990930    46.6
18991001 18991031    38.1
18991101 18991130    46.9
18991201 18991231    19.3
19000101 19000131    26.7
19000201 19000228     0.8
19000301 19000331    61.5
19000401 19000430   102.2
19000501 19000531    69.2
19000601 19000630   132.5
19000701 19000731    44.3
19000801 19000831   127.1
19000901 19000930    42.2
19001001 19001031    24.3
19001101 19001130    23.4
19001201 19001231    13.0
19010101 19010131    14.5
19010201 19010228     3.3
19010301 19010331    16.0
19010401 19010430    59.2
19010501 19010531    26.4
19010601 19010630   106.9
19010701 19010731    56.5
19010801 19010831    33.9
19010901 19010930    41.0
19011001 19011031    53.6
19011101 19011130    22.7
19011201 19011231    30.7
19020101 19020131     7.0
19020201 19020228    10.7
19020301 19020331    45.9
19020401 19020430     5.0
19020501 19020531    48.1
19020601 19020630   119.5
19020701 19020731    45.5
19020801 19020831    40.8
19020901 19020930    68.0
19021001 19021031    30.1
19021101 19021130    17.8
19021201 19021231    64.0
19030101 19030131    25.9
19030201 19030228    30.5
19030301 19030331    52.5
19030401 19030430    89.6
19030501 19030531    59.5
19030601 19030630    90.1
19030701 19030731    90.4
19030801 19030831    61.0
19030901 19030930    83.4
19031001 19031031    25.4
19031101 19031130    82.0
19031201 19031231    23.1
19040101 19040131    96.6
19040201 19040229    15.4
19040301 19040331     6.4
19040401 19040430    44.7
19040501 19040531    77.8
19040601 19040630   110.1
19040701 19040731    82.2
19040801 19040831    57.0
19040901 19040930    17.1
19041001 19041031    51.8
19041101 19041130    18.3
19041201 19041231     0.0
19050101 19050131    29.6
19050201 19050228     7.9
19050301 19050331     5.1
19050401 19050430   104.2
19050501 19050531    58.1
19050601 19050630   127.9
19050701 19050731    77.2
19050801 19050831    44.2
19050901 19050930    48.6
19051001 19051031    84.5
19051101 19051130     8.4
19051201 19051231     1.5
19060101 19060131     0.0
19060201 19060228     1.8
19060301 19060331    72.2
19060401 19060430    41.4
19060501 19060531    54.1
19060601 19060630   115.0
19060701 19060731    95.6
19060801 19060831   126.1
19060901 19060930   116.9
19061001 19061031    35.3
19061101 19061130    70.7
19061201 19061231    65.0
19070101 19070131     1.0
19070201 19070228     2.3
19070301 19070331    17.2
19070401 19070430    81.6
19070501 19070531    46.0
19070601 19070630    89.0
19070701 19070731    70.1
19070801 19070831    44.4
19070901 19070930    25.9
19071001 19071031    30.3
19071101 19071130    42.1
19071201 19071231    16.2
19080101 19080131     5.8
19080201 19080229    19.1
19080301 19080331    51.2
19080401 19080430    17.0
19080501 19080531    83.6
19080601 19080630   148.5
19080701 19080731    48.9
19080801 19080831    68.8
19080901 19080930    79.3
19081001 19081031    77.7
19081101 19081130    15.1
19081201 19081231    21.0
19090101 19090131    23.0
19090201 19090228     9.6
19090301 19090331    17.4
19090401 19090430   118.8
19090501 19090531   112.8
19090601 19090630    76.1
19090701 19090731   134.0
19090801 19090831   143.6
19090901 19090930    64.1
19091001 19091031    80.8
19091101 19091130    72.4
19091201 19091231    10.6
19100101 19100131     2.0
19100201 19100228     1.3
19100301 19100331   115.8
19100401 19100430    11.6
19100501 19100531   126.7
19100601 19100630    81.3
19100701 19100731   128.5
19100801 19100831    49.8
19100901 19100930    89.2
19101001 19101031    67.4
19101101 19101130    44.6
19101201 19101231    26.4
19110101 19110131     8.2
19110201 19110228    73.1
19110301 19110331    12.5
19110401 19110430    24.3
19110501 19110531    67.2
19110601 19110630    91.4
19110701 19110731    70.3
19110801 19110831    37.2
19110901 19110930    92.6
19111001 19111031    12.6
19111101 19111130     9.8
19111201 19111231    38.7
19120101 19120131     5.1
19120201 19120229    10.7
19120301 19120331    13.8
19120401 19120430    33.8
19120501 19120531    19.9
19120601 19120630   109.5
19120701 19120731    72.0
19120801 19120831    47.0
19120901 19120930    84.4
19121001 19121031    18.6
19121101 19121130    60.8
19121201 19121231    45.0
19130101 19130131     7.1
19130201 19130228    69.9
19130301 19130331    50.6
19130401 19130430    15.9
19130501 19130531    20.8
19130601 19130630    12.9
19130701 19130731    26.3
19130801 19130831    72.6
19130901 19130930    88.6
19131001 19131031    65.1
19131101 19131130    31.7
19131201 19131231    51.6
19140101 19140131    15.5
19140201 19140228     6.4
19140301 19140331    19.0
19140401 19140430    50.0
19140501 19140531    47.5
19140601 19140630    28.8
19140701 19140731    50.8
19140801 19140831    11.8
19140901 19140930    16.3
19141001 19141031     6.1
19141101 19141130    50.3
19141201 19141231    11.2
19150101 19150131     9.4
19150201 19150228     0.8
19150301 19150331     7.7
19150401 19150430    58.2
19150501 19150531    99.9
19150601 19150630   120.3
19150701 19150731    86.0
19150801 19150831   111.3
19150901 19150930   128.0
19151001 19151031    20.1
19151101 19151130     6.9
19151201 19151231     2.1
19160101 19160131    21.1
19160201 19160229     4.2
19160301 19160331    10.5
19160401 19160430    64.6
19160501 19160531    33.9
19160601 19160630   254.1
19160701 19160731    90.3
19160801 19160831   138.6
19160901 19160930    46.5
19161001 19161031    48.5
19161101 19161130    92.0
19161201 19161231    32.4
19170101 19170131    11.0
19170201 19170228    78.5
19170301 19170331    68.2
19170401 19170430    34.2
19170501 19170531   143.4
19170601 19170630    82.6
19170701 19170731   147.7
19170801 19170831   102.3
19170901 19170930   144.7
19171001 19171031    61.9
19171101 19171130    16.9
19171201 19171231    30.3
19180101 19180131    15.0
19180201 19180228    15.8
19180301 19180331    23.2
19180401 19180430    25.6
19180501 19180531    82.2
19180601 19180630    96.4
19180701 19180731    80.4
19180801 19180831    81.8
19180901 19180930    28.3
19181001 19181031    84.6
19181101 19181130     8.6
19181201 19181231    16.6
19190101 19190131     9.9
19190201 19190228    78.5
19190301 19190331     2.8
19190401 19190430     5.8
19190501 19190531    72.4
19190601 19190630    63.9
19190701 19190731    51.1
19190801 19190831    62.4
19190901 19190930    79.7
19191001 19191031    34.6
19191101 19191130     4.6
19191201 19191231    24.5
19200101 19200131     3.1
19200201 19200229     1.3
19200301 19200331    35.1
19200401 19200430    16.5
19200501 19200531    61.4
19200601 19200630   187.7
19200701 19200731    69.5
19200801 19200831    85.9
19200901 19200930    38.7
19201001 19201031    66.7
19201101 19201130    61.5
19201201 19201231    45.0
19210101 19210131    48.8
19210201 19210228     2.5
19210301 19210331    50.0
19210401 19210430    20.6
19210501 19210531   136.5
19210601 19210630    56.8
19210701 19210731    70.4
19210801 19210831    63.6
19210901 19210930    77.7
19211001 19211031    55.0
19211101 19211130    75.8
19211201 19211231    21.8
19220101 19220131    67.4
19220201 19220228     2.4
19220301 19220331     8.9
19220401 19220430    60.0
19220501 19220531   125.5
19220601 19220630   106.5
19220701 19220731   135.7
19220801 19220831    90.2
19220901 19220930    60.9
19221001 19221031    60.0
19221101 19221130     3.3
19221201 19221231    72.4
19230101 19230131    20.6
19230201 19230228     2.3
19230301 19230331     0.3
19230401 19230430     0.8
19230501 19230531   176.4
19230601 19230630   174.0
19230701 19230731   145.8
19230801 19230831    72.7
19230901 19230930   158.8
19231001 19231031    69.0
19231101 19231130    18.6
19231201 19231231    48.2
19240101 19240131    21.1
19240201 19240229    75.9
19240301 19240331    66.4
19240401 19240430    35.1
19240501 19240531    70.9
19240601 19240630   115.7
19240701 19240731    21.5
19240801 19240831    70.6
19240901 19240930   115.1
19241001 19241031    62.0
19241101 19241130    50.0
19241201 19241231     6.4
19250101 19250131    15.5
19250201 19250228    43.5
19250301 19250331     7.6
19250401 19250430    37.4
19250501 19250531    97.8
19250601 19250630    45.8
19250701 19250731    67.8
19250801 19250831    41.3
19250901 19250930   124.1
19251001 19251031    32.9
19251101 19251130    10.5
19251201 19251231     5.3
19260101 19260131     0.3
19260201 19260228    27.0
19260301 19260331     1.0
19260401 19260430    52.4
19260501 19260531   131.5
19260601 19260630    55.7
19260701 19260731    73.9
19260801 19260831   140.5
19260901 19260930    88.7
19261001 19261031    55.4
19261101 19261130    18.2
19261201 19261231    50.9
19270101 19270131     3.4
19270201 19270228    38.0
