PRCP       036028 18910101 20140630 missing_value=99999.9 LERIDA                                    
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630    13.5
19220701 19220731     6.6
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    16.0
19221101 19221130     3.8
19221201 19221231   192.7
19230101 19230131    32.7
19230201 19230228     4.6
19230301 19230331     7.1
19230401 19230430    21.1
19230501 19230531     0.0
19230601 19230630    25.3
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031     3.3
19231101 19231130     0.0
19231201 19231231    46.2
19240101 19240131    22.4
19240201 19240229   253.9
19240301 19240331   142.3
19240401 19240430    72.9
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     0.0
19240801 19240831    23.4
19240901 19240930     2.3
19241001 19241031    55.9
19241101 19241130    88.8
19241201 19241231   108.7
19250101 19250131   215.4
19250201 19250228    14.0
19250301 19250331   163.8
19250401 19250430     0.0
19250501 19250531     2.3
19250601 19250630     6.3
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     9.7
19251001 19251031     0.0
19251101 19251130    35.2
19251201 19251231    14.4
19260101 19260131    42.1
19260201 19260228    23.1
19260301 19260331     6.9
19260401 19260430     0.0
19260501 19260531    14.0
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930    38.0
19261001 19261031     3.8
19261101 19261130     0.0
19261201 19261231    60.9
19270101 19270131    49.8
19270201 19270228    57.3
19270301 19270331     6.6
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630    61.7
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930    33.0
19271001 19271031     5.3
19271101 19271130    14.7
19271201 19271231   176.2
19280101 19280131     0.0
19280201 19280229    13.0
19280301 19280331    11.4
19280401 19280430     4.5
19280501 19280531     0.0
19280601 19280630    13.2
19280701 19280731     3.3
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130    60.3
19281201 19281231    46.1
19290101 19290131    31.0
19290201 19290228    57.1
19290301 19290331     7.3
19290401 19290430    88.8
19290501 19290531     0.0
19290601 19290630     4.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130    30.5
19291201 19291231    24.4
19300101 19300131   281.7
19300201 19300228    94.3
19300301 19300331    12.7
19300401 19300430     0.0
19300501 19300531    64.0
19300601 19300630    29.0
19300701 19300731     0.0
19300801 19300831    39.9
19300901 19300930     0.0
19301001 19301031   108.7
19301101 19301130     0.0
19301201 19301231     0.0
19310101 19310131    17.5
19310201 19310228     7.6
19310301 19310331    63.5
19310401 19310430     0.0
19310501 19310531    14.0
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     0.0
19311001 19311031    76.2
19311101 19311130    42.2
19311201 19311231    17.5
19320101 19320131    14.5
19320201 19320229    59.7
19320301 19320331    24.1
19320401 19320430    20.6
19320501 19320531    47.0
19320601 19320630     8.6
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     5.8
19321001 19321031     4.1
19321101 19321130    50.3
19321201 19321231    23.9
19330101 19330131    66.0
19330201 19330228   212.6
19330301 19330331     0.0
19330401 19330430     0.0
19330501 19330531     0.0
19330601 19330630    27.2
19330701 19330731    86.1
19330801 19330831     0.0
19330901 19330930     0.0
19331001 19331031    13.2
19331101 19331130    97.5
19331201 19331231    90.7
19340101 19340131    64.8
19340201 19340228    72.6
19340301 19340331     0.0
19340401 19340430     0.0
19340501 19340531     0.0
19340601 19340630    19.3
19340701 19340731    22.1
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031    16.8
19341101 19341130    15.2
19341201 19341231     6.6
19350101 19350131    31.7
19350201 19350228    47.2
19350301 19350331     0.0
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630    94.8
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930    17.8
19351001 19351031    49.4
19351101 19351130     0.0
19351201 19351231     0.0
19360101 19360131    99.1
19360201 19360229    24.9
19360301 19360331   190.0
19360401 19360430    10.2
19360501 19360531    78.7
19360601 19360630     5.1
19360701 19360731    67.5
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130    15.5
19361201 19361231    65.0
19370101 19370131    10.7
19370201 19370228    63.5
19370301 19370331   258.9
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630    62.2
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031     0.0
19371101 19371130    81.1
19371201 19371231     0.0
19380101 19380131    49.5
19380201 19380228   131.8
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630    11.5
19380701 19380731    37.9
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    57.4
19381201 19381231     0.0
19390101 19390131    15.2
19390201 19390228    59.0
19390301 19390331    28.2
19390401 19390430    54.6
19390501 19390531     5.1
19390601 19390630    11.7
19390701 19390731    15.2
19390801 19390831     8.1
19390901 19390930     0.0
19391001 19391031    84.8
19391101 19391130    45.7
19391201 19391231    47.0
19400101 19400131   234.5
19400201 19400229    77.0
19400301 19400331   189.7
19400401 19400430    32.2
19400501 19400531    19.3
19400601 19400630    46.2
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    68.1
19401201 19401231     8.9
19410101 19410131     5.1
19410201 19410228   339.9
19410301 19410331    17.3
19410401 19410430    10.9
19410501 19410531     0.0
19410601 19410630     7.1
19410701 19410731     0.0
19410801 19410831     7.6
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130    32.1
19411201 19411231    24.1
19420101 19420131    10.4
19420201 19420228    56.4
19420301 19420331     0.0
19420401 19420430    22.4
19420501 19420531    42.7
19420601 19420630     0.0
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031    29.4
19421101 19421130    10.2
19421201 19421231   206.6
19430101 19430131     0.0
19430201 19430228    86.3
19430301 19430331     0.0
19430401 19430430    50.8
19430501 19430531     7.6
19430601 19430630     0.0
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930    86.6
19431001 19431031     7.6
19431101 19431130     0.0
19431201 19431231    36.8
19440101 19440131    17.8
19440201 19440229   190.0
19440301 19440331     0.0
19440401 19440430    63.0
19440501 19440531    50.8
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831    17.8
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     3.6
19441201 19441231    95.6
19450101 19450131     0.0
19450201 19450228    20.4
19450301 19450331    24.6
19450401 19450430     0.0
19450501 19450531   104.1
19450601 19450630    27.9
19450701 19450731     0.0
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031     6.9
19451101 19451130     0.0
19451201 19451231    12.7
19460101 19460131   175.3
19460201 19460228    47.3
19460301 19460331     0.0
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130    15.2
19461201 19461231     8.9
19470101 19470131    10.2
19470201 19470228    99.9
19470301 19470331    12.8
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     0.0
19470701 19470731     0.0
19470801 19470831    63.5
19470901 19470930    69.6
19471001 19471031    64.3
19471101 19471130    19.3
19471201 19471231    51.6
19480101 19480131    19.6
19480201 19480229    41.3
19480301 19480331     7.2
19480401 19480430    12.4
19480501 19480531     0.0
19480601 19480630    10.7
19480701 19480731    20.0
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     2.0
19481101 19481130    36.1
19481201 19481231    73.9
19490101 19490131    87.5
19490201 19490228    55.9
19490301 19490331   157.0
19490401 19490430     8.6
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     2.8
19491001 19491031    47.8
19491101 19491130    11.2
19491201 19491231    91.4
19500101 19500131   131.1
19500201 19500228   190.0
19500301 19500331   473.7
19500401 19500430   211.1
19500501 19500531    26.7
19500601 19500630    54.2
19500701 19500731   122.4
19500801 19500831     0.0
19500901 19500930    27.7
19501001 19501031    66.9
19501101 19501130   233.2
19501201 19501231    58.9
19510101 19510131   408.8
19510201 19510228    21.6
19510301 19510331     2.0
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630    20.3
19510701 19510731     0.0
19510801 19510831     4.1
19510901 19510930     0.0
19511001 19511031     6.1
19511101 19511130     9.9
19511201 19511231     4.3
19520101 19520131    20.0
19520201 19520229    69.3
19520301 19520331    22.8
19520401 19520430    27.6
19520501 19520531    49.5
19520601 19520630    10.1
19520701 19520731     0.0
19520801 19520831    15.5
19520901 19520930     0.0
19521001 19521031    16.0
