PRCP       013017 19560901 20180131 missing_value=99999.9 GILES METEOROLOGICAL OFFICE               
19860101 19860131    37.2
19860201 19860228    20.2
19860301 19860331     8.2
19860401 19860430     0.0
19860501 19860531     2.2
19860601 19860630    30.4
19860701 19860731    55.2
19860801 19860831     7.0
19860901 19860930     1.0
19861001 19861031     5.6
19861101 19861130    11.4
19861201 19861231    23.0
19870101 19870131    79.2
19870201 19870228    37.4
19870301 19870331     2.0
19870401 19870430     9.2
19870501 19870531     1.8
19870601 19870630    14.4
19870701 19870731     0.2
19870801 19870831     0.0
19870901 19870930     3.2
19871001 19871031     3.8
19871101 19871130    36.8
19871201 19871231    73.0
19880101 19880131     9.0
19880201 19880229     2.8
19880301 19880331    97.8
19880401 19880430     2.0
19880501 19880531    93.4
19880601 19880630     0.4
19880701 19880731     0.0
19880801 19880831     0.0
19880901 19880930     0.0
19881001 19881031     6.0
19881101 19881130    12.4
19881201 19881231    10.8
19890101 19890131    11.6
19890201 19890228     1.0
19890301 19890331   330.6
19890401 19890430     8.8
19890501 19890531     1.4
19890601 19890630     5.6
19890701 19890731     0.0
19890801 19890831     1.6
19890901 19890930     0.0
19891001 19891031     0.4
19891101 19891130    10.0
19891201 19891231    53.2
19900101 19900131    28.4
19900201 19900228     7.2
19900301 19900331     0.0
19900401 19900430    13.4
19900501 19900531    71.0
19900601 19900630     1.0
19900701 19900731     4.6
19900801 19900831    14.4
19900901 19900930     1.4
19901001 19901031     0.8
19901101 19901130     9.0
19901201 19901231     7.0
19910101 19910131    15.6
19910201 19910228     8.0
19910301 19910331     8.4
19910401 19910430     5.8
19910501 19910531     0.0
19910601 19910630     9.2
19910701 19910731    21.2
19910801 19910831     0.0
19910901 19910930    13.8
19911001 19911031     1.6
19911101 19911130   136.4
19911201 19911231    18.0
19920101 19920131    11.8
19920201 19920229    38.8
19920301 19920331     4.6
19920401 19920430    33.0
19920501 19920531    73.2
19920601 19920630    43.0
19920701 19920731     0.0
19920801 19920831    38.2
19920901 19920930    22.6
19921001 19921031    10.4
19921101 19921130    10.6
19921201 19921231    12.2
19930101 19930131    57.8
19930201 19930228    37.8
19930301 19930331     1.4
19930401 19930430     9.2
19930501 19930531    68.6
19930601 19930630    15.6
19930701 19930731     3.8
19930801 19930831    10.2
19930901 19930930    29.4
19931001 19931031     6.4
19931101 19931130     4.8
19931201 19931231    52.0
19940101 19940131    20.0
19940201 19940228    70.2
19940301 19940331     0.0
19940401 19940430     5.0
19940501 19940531     1.2
19940601 19940630     1.2
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     3.2
19941101 19941130    40.0
19941201 19941231    42.4
19950101 19950131    35.8
19950201 19950228    28.2
19950301 19950331    14.2
19950401 19950430    20.4
19950501 19950531     0.2
19950601 19950630    54.4
19950701 19950731    18.0
19950801 19950831     0.0
19950901 19950930    21.0
19951001 19951031     1.4
19951101 19951130    20.2
19951201 19951231    40.8
19960101 19960131     2.8
19960201 19960229    22.6
19960301 19960331     0.0
19960401 19960430    11.6
19960501 19960531    14.0
19960601 19960630    23.6
19960701 19960731    45.4
19960801 19960831     1.0
19960901 19960930     4.6
19961001 19961031     2.4
19961101 19961130     3.2
19961201 19961231    52.6
19970101 19970131    27.2
19970201 19970228    38.0
19970301 19970331     0.0
19970401 19970430     0.6
19970501 19970531    89.6
19970601 19970630    13.4
19970701 19970731    13.6
19970801 19970831     9.6
19970901 19970930    18.0
19971001 19971031    14.8
19971101 19971130     6.8
19971201 19971231    53.4
19980101 19980131     5.6
19980201 19980228    18.6
19980301 19980331    62.6
19980401 19980430    61.4
19980501 19980531     2.6
19980601 19980630    24.2
19980701 19980731    39.2
19980801 19980831     3.4
19980901 19980930    14.6
19981001 19981031     6.4
19981101 19981130    76.8
19981201 19981231    60.0
19990101 19990131    62.4
19990201 19990228   100.4
19990301 19990331    65.4
19990401 19990430     2.6
19990501 19990531     0.6
19990601 19990630    32.2
19990701 19990731     1.8
19990801 19990831    14.8
19990901 19990930     2.6
19991001 19991031    77.0
19991101 19991130    75.6
19991201 19991231    99.6
20000101 20000131    37.6
20000201 20000229   297.2
20000301 20000331    59.2
20000401 20000430   123.8
20000501 20000531     4.0
20000601 20000630     0.0
20000701 20000731     2.8
20000801 20000831     4.4
20000901 20000930     0.0
20001001 20001031    35.6
20001101 20001130    44.8
20001201 20001231     7.6
20010101 20010131    32.2
20010201 20010228    20.6
20010301 20010331   204.2
20010401 20010430     6.6
20010501 20010531    23.6
20010601 20010630    80.6
20010701 20010731    43.0
20010801 20010831     0.0
20010901 20010930    14.2
20011001 20011031    64.6
20011101 20011130    26.4
20011201 20011231   327.4
20020101 20020131    28.4
20020201 20020228    91.6
20020301 20020331     0.4
20020401 20020430     6.4
20020501 20020531     3.8
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.4
20021001 20021031     3.6
20021101 20021130    17.4
20021201 20021231     4.0
20030101 20030131    26.8
20030201 20030228    21.0
20030301 20030331     5.0
20030401 20030430    16.6
20030501 20030531     1.8
20030601 20030630    14.2
20030701 20030731     0.0
20030801 20030831    11.6
20030901 20030930    61.4
20031001 20031031     1.2
20031101 20031130   113.0
20031201 20031231   188.0
20040101 20040131    11.2
20040201 20040229    25.8
20040301 20040331    28.8
20040401 20040430     9.2
20040501 20040531    81.4
20040601 20040630    27.8
20040701 20040731     0.4
20040801 20040831     0.0
20040901 20040930     9.4
20041001 20041031     9.4
20041101 20041130     6.4
20041201 20041231    20.6
20050101 20050131     8.0
20050201 20050228     0.0
20050301 20050331     3.6
20050401 20050430     0.0
20050501 20050531     0.0
20050601 20050630    18.2
20050701 20050731    40.4
20050801 20050831    77.6
20050901 20050930     1.6
20051001 20051031    20.0
20051101 20051130    71.4
20051201 20051231    74.8
20060101 20060131    54.8
20060201 20060228    35.8
20060301 20060331    45.2
20060401 20060430    22.2
20060501 20060531     0.0
20060601 20060630     0.0
20060701 20060731    52.8
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031    28.2
20061101 20061130     4.0
20061201 20061231    14.0
20070101 20070131    21.8
20070201 20070228     8.2
20070301 20070331    89.0
20070401 20070430     3.0
20070501 20070531    24.4
20070601 20070630     0.0
20070701 20070731     0.2
20070801 20070831     0.0
20070901 20070930     0.0
20071001 20071031     6.8
20071101 20071130    29.8
20071201 20071231    96.4
20080101 20080131    11.2
20080201 20080229    34.2
20080301 20080331     7.8
20080401 20080430     1.6
20080501 20080531     0.0
20080601 20080630     1.2
20080701 20080731     0.2
20080801 20080831    16.2
20080901 20080930     2.0
20081001 20081031     3.8
20081101 20081130    74.8
20081201 20081231    84.6
20090101 20090131    15.8
20090201 20090228     6.4
20090301 20090331     4.2
20090401 20090430    15.8
20090501 20090531    22.6
20090601 20090630    41.0
20090701 20090731     7.4
20090801 20090831     6.6
20090901 20090930     5.8
20091001 20091031     1.8
20091101 20091130     2.8
20091201 20091231    37.0
20100101 20100131    66.0
20100201 20100228     5.6
20100301 20100331    33.4
20100401 20100430     2.2
20100501 20100531    17.6
20100601 20100630     0.0
20100701 20100731    25.8
20100801 20100831    19.0
20100901 20100930    63.2
20101001 20101031    53.4
20101101 20101130    24.8
20101201 20101231    26.6
20110101 20110131    17.0
20110201 20110228   120.2
20110301 20110331   112.4
20110401 20110430     0.0
20110501 20110531     3.6
20110601 20110630    24.2
20110701 20110731    19.8
20110801 20110831     0.2
20110901 20110930     1.6
20111001 20111031    79.2
20111101 20111130    50.4
20111201 20111231   126.0
