PRCP       084016 18700501 20180131 missing_value=99999.9 GABO ISLAND LIGHTHOUSE                    
19180901 19180930    54.3
19181001 19181031    81.7
19181101 19181130    49.5
19181201 19181231    37.7
19190101 19190131     2.4
19190201 19190228   118.5
19190301 19190331    82.7
19190401 19190430    82.4
19190501 19190531   199.9
19190601 19190630    42.6
19190701 19190731    81.6
19190801 19190831   135.8
19190901 19190930   171.2
19191001 19191031    31.6
19191101 19191130    33.6
19191201 19191231   109.4
19200101 19200131   152.2
19200201 19200229    11.9
19200301 19200331    78.6
19200401 19200430    83.4
19200501 19200531   113.6
19200601 19200630    38.7
19200701 19200731    31.2
19200801 19200831   146.2
19200901 19200930    49.0
19201001 19201031    85.4
19201101 19201130    27.0
19201201 19201231    79.7
19210101 19210131    24.0
19210201 19210228    60.5
19210301 19210331    33.4
19210401 19210430    84.3
19210501 19210531   102.0
19210601 19210630    64.0
19210701 19210731    51.3
19210801 19210831   110.9
19210901 19210930    46.1
19211001 19211031   100.3
19211101 19211130    47.7
19211201 19211231    89.4
19220101 19220131   104.0
19220201 19220228    67.3
19220301 19220331    38.6
19220401 19220430    17.5
19220501 19220531    90.7
19220601 19220630    58.3
19220701 19220731    82.0
19220801 19220831    87.0
19220901 19220930   175.2
19221001 19221031    69.9
19221101 19221130    15.6
19221201 19221231    50.2
19230101 19230131    49.5
19230201 19230228     4.9
19230301 19230331     5.5
19230401 19230430    33.6
19230501 19230531    37.3
19230601 19230630    52.9
19230701 19230731    76.6
19230801 19230831    53.3
19230901 19230930   110.9
19231001 19231031    64.1
19231101 19231130   135.2
19231201 19231231    42.2
19240101 19240131   102.8
19240201 19240229    63.6
19240301 19240331    64.4
19240401 19240430    94.3
19240501 19240531    71.8
19240601 19240630    76.3
19240701 19240731    59.0
19240801 19240831    35.6
19240901 19240930    41.1
19241001 19241031    26.5
19241101 19241130   101.7
19241201 19241231    82.7
19250101 19250131    70.9
19250201 19250228    55.4
19250301 19250331    30.2
19250401 19250430   114.9
19250501 19250531   154.8
19250601 19250630   109.4
19250701 19250731   147.9
19250801 19250831    52.3
19250901 19250930    27.6
19251001 19251031    40.5
19251101 19251130    45.8
19251201 19251231     7.0
19260101 19260131   160.1
19260201 19260228     3.3
19260301 19260331    77.5
19260401 19260430    90.9
19260501 19260531    87.7
19260601 19260630    71.2
19260701 19260731    51.8
19260801 19260831    91.5
19260901 19260930    64.1
19261001 19261031    69.4
19261101 19261130    28.3
19261201 19261231    69.7
19270101 19270131    47.3
19270201 19270228    26.6
19270301 19270331    41.6
19270401 19270430   148.4
19270501 19270531   140.2
19270601 19270630    38.8
19270701 19270731   142.1
19270801 19270831    54.8
19270901 19270930    75.6
19271001 19271031    78.9
19271101 19271130    48.3
19271201 19271231    32.9
19280101 19280131    72.4
19280201 19280229   118.0
19280301 19280331   123.5
19280401 19280430    70.0
19280501 19280531    48.2
19280601 19280630    64.5
19280701 19280731    33.4
19280801 19280831    20.5
19280901 19280930    25.6
19281001 19281031    75.2
19281101 19281130    31.1
19281201 19281231    16.3
19290101 19290131    13.7
19290201 19290228   171.0
19290301 19290331    34.8
19290401 19290430   113.6
19290501 19290531    95.2
19290601 19290630    57.4
19290701 19290731    86.7
19290801 19290831    88.4
19290901 19290930    42.2
19291001 19291031    40.4
19291101 19291130    77.6
19291201 19291231    91.4
19300101 19300131    16.5
19300201 19300228    35.3
19300301 19300331    43.8
19300401 19300430    46.0
19300501 19300531    60.4
19300601 19300630   132.1
19300701 19300731   113.2
19300801 19300831    64.0
19300901 19300930    42.2
19301001 19301031    99.8
19301101 19301130    50.3
19301201 19301231    97.5
19310101 19310131    38.4
19310201 19310228    28.2
19310301 19310331   142.9
19310401 19310430    99.8
19310501 19310531    59.6
19310601 19310630    76.4
19310701 19310731   108.6
19310801 19310831    46.4
19310901 19310930    34.4
19311001 19311031    78.0
19311101 19311130    27.4
19311201 19311231    53.1
19320101 19320131     2.8
19320201 19320229    52.3
19320301 19320331   106.5
19320401 19320430    98.2
19320501 19320531    61.1
19320601 19320630    42.4
19320701 19320731   115.3
19320801 19320831    67.3
19320901 19320930    54.7
19321001 19321031   133.1
19321101 19321130    74.0
19321201 19321231    89.4
19330101 19330131   206.9
19330201 19330228    19.1
19330301 19330331    30.7
19330401 19330430    22.9
19330501 19330531   118.3
19330601 19330630    73.9
19330701 19330731    81.6
19330801 19330831    48.0
19330901 19330930    36.0
19331001 19331031    55.4
19331101 19331130    41.9
19331201 19331231   114.7
19340101 19340131   173.8
19340201 19340228   135.2
19340301 19340331    14.0
19340401 19340430   208.3
19340501 19340531   112.5
19340601 19340630   246.9
19340701 19340731    86.9
19340801 19340831    93.3
19340901 19340930    16.5
19341001 19341031    97.6
19341101 19341130    58.9
19341201 19341231    38.8
19350101 19350131    88.3
19350201 19350228   134.7
19350301 19350331    37.2
19350401 19350430   196.5
19350501 19350531    46.5
19350601 19350630    81.7
19350701 19350731    37.6
19350801 19350831    35.4
19350901 19350930   130.6
19351001 19351031    88.4
19351101 19351130    17.7
19351201 19351231   140.5
19360101 19360131    74.8
19360201 19360229    56.2
19360301 19360331    36.9
19360401 19360430   160.6
19360501 19360531    42.6
19360601 19360630   127.5
19360701 19360731   100.7
19360801 19360831    24.9
19360901 19360930    16.6
19361001 19361031    42.4
19361101 19361130    59.6
19361201 19361231   164.7
19370101 19370131   112.8
19370201 19370228    11.3
19370301 19370331   102.4
19370401 19370430    38.3
19370501 19370531    31.2
19370601 19370630   192.1
19370701 19370731    51.4
19370801 19370831    66.9
19370901 19370930   117.0
19371001 19371031   153.7
19371101 19371130    20.5
19371201 19371231   136.8
19380101 19380131   110.9
19380201 19380228    72.6
19380301 19380331   258.6
19380401 19380430    52.6
19380501 19380531    29.4
19380601 19380630    97.9
19380701 19380731    79.8
19380801 19380831    59.1
19380901 19380930    29.0
19381001 19381031    30.1
19381101 19381130    71.9
19381201 19381231     8.7
19390101 19390131    22.7
19390201 19390228    27.5
19390301 19390331   106.9
19390401 19390430   172.3
19390501 19390531    96.6
19390601 19390630    72.0
19390701 19390731    84.9
19390801 19390831   165.5
19390901 19390930    30.8
19391001 19391031    64.5
19391101 19391130    79.4
19391201 19391231    29.8
19400101 19400131    30.6
19400201 19400229    15.1
19400301 19400331     1.5
19400401 19400430   103.7
19400501 19400531   203.3
19400601 19400630    52.7
19400701 19400731    46.2
19400801 19400831    25.2
19400901 19400930    92.9
19401001 19401031    28.9
19401101 19401130    47.9
19401201 19401231    66.9
19410101 19410131   124.7
19410201 19410228    22.6
19410301 19410331    77.7
19410401 19410430    81.5
19410501 19410531    25.3
19410601 19410630    80.9
19410701 19410731   119.6
19410801 19410831    89.7
19410901 19410930    45.7
19411001 19411031    45.3
19411101 19411130    47.9
19411201 19411231    32.0
19420101 19420131     9.6
19420201 19420228    38.2
19420301 19420331    90.5
19420401 19420430    13.6
19420501 19420531    97.8
19420601 19420630    58.4
19420701 19420731    50.6
19420801 19420831    14.7
19420901 19420930    92.6
19421001 19421031    78.6
19421101 19421130   178.5
19421201 19421231    19.8
19430101 19430131    75.4
19430201 19430228    11.7
19430301 19430331    16.5
19430401 19430430    43.7
19430501 19430531    46.6
19430601 19430630   243.4
19430701 19430731    11.3
19430801 19430831    90.5
19430901 19430930    59.4
19431001 19431031    45.6
19431101 19431130    60.0
19431201 19431231    56.8
19440101 19440131    19.5
19440201 19440229    25.9
19440301 19440331    57.9
19440401 19440430   124.9
19440501 19440531   209.4
19440601 19440630    29.4
19440701 19440731    60.5
19440801 19440831    75.6
19440901 19440930    30.0
19441001 19441031    54.7
19441101 19441130    19.7
19441201 19441231    24.1
19450101 19450131    55.9
19450201 19450228    35.3
19450301 19450331    49.3
19450401 19450430    97.6
19450501 19450531    70.6
19450601 19450630    47.6
19450701 19450731    80.1
19450801 19450831    71.6
19450901 19450930    43.8
19451001 19451031    47.3
19451101 19451130    62.1
19451201 19451231    10.1
19460101 19460131    49.0
19460201 19460228   115.3
19460301 19460331    63.7
19460401 19460430    91.7
19460501 19460531    89.4
19460601 19460630   240.8
19460701 19460731    54.1
19460801 19460831   148.9
19460901 19460930    80.9
19461001 19461031    69.4
19461101 19461130   100.8
19461201 19461231    44.3
19470101 19470131    12.2
19470201 19470228    35.2
19470301 19470331    63.4
19470401 19470430   236.7
19470501 19470531    16.3
19470601 19470630   105.9
19470701 19470731    60.2
19470801 19470831    79.9
19470901 19470930    50.5
19471001 19471031    38.5
