PRCP       010541 19070101 20180131 missing_value=99999.9 NYERILUP                                  
19400901 19400930    37.1
19401001 19401031    15.6
19401101 19401130    16.1
19401201 19401231    29.6
19410101 19410131    22.1
19410201 19410228     4.5
19410301 19410331    37.4
19410401 19410430    16.6
19410501 19410531    12.4
19410601 19410630    45.9
19410701 19410731    37.4
19410801 19410831    44.8
19410901 19410930    43.0
19411001 19411031    38.7
19411101 19411130    13.3
19411201 19411231    17.8
19420101 19420131     5.9
19420201 19420228     4.6
19420301 19420331    58.4
19420401 19420430    13.9
19420501 19420531   131.1
19420601 19420630    29.5
19420701 19420731    54.1
19420801 19420831    62.8
19420901 19420930    23.8
19421001 19421031    23.1
19421101 19421130     6.1
19421201 19421231    68.4
19430101 19430131    48.8
19430201 19430228    41.5
19430301 19430331    31.3
19430401 19430430    55.3
19430501 19430531    29.8
19430601 19430630    46.0
19430701 19430731    28.5
19430801 19430831    42.8
19430901 19430930    35.5
19431001 19431031     9.7
19431101 19431130    11.9
19431201 19431231    14.8
19440101 19440131    12.0
19440201 19440229     0.6
19440301 19440331     7.1
19440401 19440430    19.9
19440501 19440531    48.0
19440601 19440630    21.2
19440701 19440731    52.7
19440801 19440831    60.9
19440901 19440930    26.1
19441001 19441031     2.1
19441101 19441130     4.3
19441201 19441231    14.0
19450101 19450131     1.5
19450201 19450228     1.5
19450301 19450331    32.2
19450401 19450430     7.4
19450501 19450531    44.0
19450601 19450630   142.6
19450701 19450731    73.4
19450801 19450831    90.6
19450901 19450930    27.2
19451001 19451031    14.0
19451101 19451130     4.6
19451201 19451231    12.9
19460101 19460131     3.8
19460201 19460228     4.1
19460301 19460331     4.1
19460401 19460430     9.3
19460501 19460531    46.8
19460601 19460630   108.7
19460701 19460731    92.6
19460801 19460831    21.4
19460901 19460930    34.5
19461001 19461031    16.5
19461101 19461130    43.7
19461201 19461231     7.4
19470101 19470131     1.3
19470201 19470228    22.9
19470301 19470331     6.8
19470401 19470430    52.0
19470501 19470531    24.1
19470601 19470630    74.2
19470701 19470731    26.3
19470801 19470831    18.1
19470901 19470930    45.4
19471001 19471031    69.5
19471101 19471130    25.0
19471201 19471231     2.6
19480101 19480131     0.0
19480201 19480229     6.6
19480301 19480331    16.7
19480401 19480430    13.1
19480501 19480531    12.0
19480601 19480630    33.3
19480701 19480731    49.3
19480801 19480831    43.6
19480901 19480930    47.9
19481001 19481031    17.5
19481101 19481130    28.8
19481201 19481231    15.5
19490101 19490131     1.3
19490201 19490228    12.9
19490301 19490331     9.9
19490401 19490430    13.0
19490501 19490531    31.7
19490601 19490630    39.1
19490701 19490731    76.2
19490801 19490831    59.0
19490901 19490930    27.1
19491001 19491031    63.0
19491101 19491130    33.8
19491201 19491231     5.8
19500101 19500131     6.3
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     1.1
19500501 19500531    60.0
19500601 19500630    34.9
19500701 19500731    37.1
19500801 19500831    18.1
19500901 19500930    34.7
19501001 19501031    18.8
19501101 19501130     6.3
19501201 19501231     4.0
19510101 19510131    33.5
19510201 19510228    36.5
19510301 19510331     9.2
19510401 19510430    56.0
19510501 19510531    19.0
19510601 19510630    98.5
19510701 19510731    29.6
19510801 19510831    39.6
19510901 19510930    75.4
19511001 19511031    17.9
19511101 19511130     5.4
19511201 19511231    39.2
19520101 19520131    31.3
19520201 19520229     9.4
19520301 19520331    13.4
19520401 19520430    20.4
19520501 19520531    46.3
19520601 19520630    75.1
19520701 19520731    31.3
19520801 19520831    29.9
19520901 19520930    33.7
19521001 19521031    46.5
19521101 19521130    20.1
19521201 19521231    47.8
19530101 19530131    12.7
19530201 19530228    25.4
19530301 19530331     9.3
19530401 19530430    17.8
19530501 19530531    75.5
19530601 19530630    53.9
19530701 19530731    38.7
19530801 19530831    35.4
19530901 19530930    37.0
19531001 19531031    48.4
19531101 19531130    22.6
19531201 19531231     1.3
19540101 19540131    36.1
19540201 19540228     1.0
19540301 19540331     0.8
19540401 19540430     4.9
19540501 19540531    49.8
19540601 19540630    13.5
19540701 19540731    38.0
19540801 19540831    22.9
19540901 19540930    14.8
19541001 19541031    17.3
19541101 19541130    18.6
19541201 19541231     5.3
19550101 19550131     0.0
19550201 19550228   232.7
19550301 19550331     5.3
19550401 19550430   105.7
19550501 19550531    39.0
19550601 19550630    47.7
19550701 19550731    41.8
19550801 19550831    83.4
19550901 19550930    27.9
19551001 19551031    36.7
19551101 19551130     0.0
19551201 19551231    10.5
19560101 19560131     1.6
19560201 19560229     2.5
19560301 19560331    16.5
19560401 19560430     7.1
19560501 19560531    49.9
19560601 19560630    50.5
19560701 19560731    66.7
19560801 19560831     9.2
19560901 19560930    24.2
19561001 19561031    21.2
19561101 19561130    20.6
19561201 19561231     0.0
19570101 19570131    38.4
19570201 19570228     8.7
19570301 19570331    13.2
19570401 19570430    14.0
19570501 19570531    34.8
19570601 19570630    76.8
19570701 19570731    15.0
19570801 19570831    30.6
19570901 19570930    13.7
19571001 19571031    26.2
19571101 19571130     0.0
19571201 19571231     0.0
19580101 19580131     0.0
19580201 19580228    14.5
19580301 19580331     5.3
19580401 19580430     7.8
19580501 19580531    56.4
19580601 19580630    20.3
19580701 19580731   101.9
19580801 19580831    55.4
19580901 19580930    78.7
19581001 19581031    32.5
19581101 19581130    11.0
19581201 19581231    18.3
19590101 19590131    19.9
19590201 19590228    21.4
19590301 19590331    19.4
19590401 19590430     5.4
19590501 19590531     4.9
19590601 19590630    92.5
19590701 19590731    18.7
19590801 19590831    28.6
19590901 19590930   150.9
19591001 19591031    32.3
19591101 19591130   132.1
19591201 19591231    29.7
19600101 19600131    57.1
19600201 19600229     0.0
19600301 19600331    34.0
19600401 19600430    17.3
19600501 19600531    75.4
19600601 19600630    29.9
19600701 19600731   112.8
19600801 19600831    23.9
19600901 19600930    24.3
19601001 19601031     2.8
19601101 19601130    16.9
19601201 19601231    38.4
19610101 19610131    25.4
19610201 19610228    10.2
19610301 19610331    19.6
19610401 19610430    77.7
19610501 19610531    10.4
19610601 19610630    78.6
19610701 19610731    85.5
19610801 19610831    57.2
19610901 19610930    32.3
19611001 19611031    11.0
19611101 19611130     0.0
19611201 19611231    21.4
19620101 19620131     3.6
19620201 19620228     7.1
19620301 19620331    24.6
19620401 19620430     0.8
19620501 19620531    72.5
19620601 19620630    68.7
19620701 19620731    41.6
19620801 19620831    53.5
19620901 19620930    15.8
19621001 19621031    33.8
19621101 19621130     3.8
19621201 19621231    17.9
19630101 19630131     4.6
19630201 19630228    13.3
19630301 19630331    44.2
19630401 19630430    30.1
19630501 19630531    61.8
19630601 19630630    57.5
19630701 19630731    60.7
19630801 19630831    40.5
19630901 19630930    89.2
19631001 19631031    26.5
19631101 19631130     8.9
19631201 19631231    16.3
19640101 19640131    15.0
19640201 19640229    15.3
19640301 19640331     5.6
19640401 19640430    81.3
19640501 19640531     8.8
19640601 19640630    87.5
19640701 19640731    92.1
19640801 19640831    45.7
19640901 19640930    31.7
19641001 19641031    60.0
19641101 19641130     6.8
19641201 19641231     5.6
19650101 19650131     2.6
19650201 19650228     0.0
19650301 19650331     7.1
19650401 19650430     4.7
19650501 19650531    61.7
19650601 19650630    35.6
19650701 19650731    32.6
19650801 19650831    60.5
19650901 19650930    22.4
19651001 19651031    89.1
19651101 19651130   115.7
19651201 19651231    38.8
19660101 19660131    39.7
19660201 19660228    23.6
19660301 19660331     0.0
19660401 19660430    11.9
19660501 19660531     9.8
19660601 19660630   113.9
19660701 19660731    64.4
19660801 19660831    18.2
19660901 19660930    36.6
19661001 19661031    46.8
19661101 19661130     0.8
19661201 19661231    11.2
19670101 19670131    15.2
19670201 19670228     6.6
19670301 19670331    19.0
19670401 19670430    12.7
19670501 19670531    77.8
19670601 19670630    68.0
19670701 19670731    52.1
19670801 19670831    39.8
19670901 19670930    58.2
19671001 19671031    20.5
19671101 19671130     4.0
19671201 19671231     7.4
19680101 19680131    39.7
19680201 19680229    39.9
19680301 19680331    84.4
19680401 19680430    39.7
19680501 19680531    27.4
19680601 19680630   101.0
19680701 19680731    39.6
19680801 19680831    19.5
19680901 19680930    33.7
19681001 19681031    23.4
19681101 19681130     6.8
19681201 19681231     5.5
19690101 19690131     1.3
19690201 19690228     0.6
19690301 19690331    20.9
19690401 19690430    24.3
19690501 19690531    11.5
19690601 19690630    37.3
19690701 19690731    17.5
19690801 19690831    20.8
19690901 19690930    22.7
19691001 19691031     6.9
19691101 19691130    14.5
19691201 19691231    11.4
19700101 19700131     3.8
19700201 19700228    17.8
19700301 19700331     3.4
19700401 19700430    34.3
19700501 19700531    16.5
19700601 19700630    66.8
19700701 19700731    24.1
19700801 19700831    13.8
19700901 19700930    63.3
19701001 19701031    21.7
19701101 19701130    23.1
19701201 19701231     2.5
19710101 19710131    17.5
19710201 19710228     8.6
19710301 19710331    70.1
19710401 19710430     4.2
19710501 19710531    48.9
19710601 19710630    15.3
19710701 19710731    13.2
19710801 19710831    36.9
19710901 19710930    44.0
19711001 19711031    20.8
19711101 19711130   122.1
19711201 19711231     1.8
19720101 19720131     7.1
19720201 19720229    14.7
19720301 19720331    13.2
19720401 19720430     6.4
19720501 19720531    16.7
19720601 19720630    41.2
19720701 19720731    40.9
19720801 19720831    38.1
19720901 19720930     5.6
19721001 19721031    12.7
19721101 19721130     0.8
19721201 19721231     5.7
19730101 19730131     6.4
19730201 19730228     1.0
19730301 19730331     1.0
19730401 19730430    42.1
19730501 19730531    24.4
19730601 19730630    53.6
19730701 19730731    56.4
19730801 19730831    23.7
19730901 19730930    36.5
19731001 19731031    57.2
19731101 19731130    45.7
19731201 19731231     0.8
19740101 19740131     2.8
19740201 19740228     2.4
19740301 19740331    29.8
19740401 19740430    33.1
19740501 19740531    84.5
19740601 19740630    21.6
19740701 19740731    36.8
19740801 19740831    35.8
19740901 19740930    12.2
19741001 19741031    40.7
19741101 19741130    30.0
19741201 19741231     2.2
19750101 19750131     0.0
19750201 19750228    14.2
19750301 19750331     8.6
19750401 19750430    93.8
19750501 19750531    41.1
19750601 19750630    27.6
19750701 19750731    49.8
19750801 19750831    47.6
19750901 19750930    17.1
19751001 19751031    30.2
19751101 19751130    55.0
19751201 19751231    11.6
19760101 19760131    41.6
19760201 19760229    72.9
19760301 19760331     1.2
19760401 19760430    34.2
19760501 19760531    35.5
19760601 19760630    20.0
19760701 19760731    26.6
19760801 19760831    77.6
19760901 19760930    46.4
19761001 19761031    44.4
19761101 19761130    45.4
19761201 19761231     2.8
19770101 19770131     5.2
19770201 19770228    32.2
19770301 19770331     0.6
19770401 19770430    26.2
19770501 19770531    73.0
19770601 19770630    27.8
19770701 19770731    18.0
19770801 19770831    60.0
19770901 19770930    65.4
19771001 19771031    82.0
19771101 19771130    13.0
19771201 19771231    12.6
19780101 19780131    23.8
19780201 19780228    40.2
19780301 19780331     6.2
19780401 19780430    16.2
