PRCP       058063 18790101 20120731 missing_value=99999.9 CASINO AIRPORT                            
19410801 19410831     4.1
19410901 19410930     0.5
19411001 19411031     1.8
19411101 19411130    95.6
19411201 19411231    18.8
19420101 19420131    61.2
19420201 19420228   268.1
19420301 19420331    52.9
19420401 19420430    32.0
19420501 19420531    16.5
19420601 19420630    16.5
19420701 19420731    38.7
19420801 19420831     7.9
19420901 19420930    16.8
19421001 19421031   202.8
19421101 19421130    85.3
19421201 19421231   179.9
19430101 19430131    70.2
19430201 19430228   100.1
19430301 19430331    11.9
19430401 19430430    74.2
19430501 19430531    54.7
19430601 19430630     7.1
19430701 19430731     2.8
19430801 19430831    28.3
19430901 19430930    61.3
19431001 19431031   140.1
19431101 19431130   107.6
19431201 19431231   230.6
19440101 19440131   220.3
19440201 19440229    39.4
19440301 19440331    91.5
19440401 19440430     8.4
19440501 19440531    33.5
19440601 19440630    28.2
19440701 19440731    71.8
19440801 19440831    74.9
19440901 19440930    29.0
19441001 19441031    20.2
19441101 19441130    46.3
19441201 19441231    67.9
19450101 19450131    62.7
19450201 19450228   143.4
19450301 19450331    27.2
19450401 19450430   106.7
19450501 19450531    71.0
19450601 19450630   349.8
19450701 19450731    97.4
19450801 19450831    17.6
19450901 19450930    84.4
19451001 19451031    24.2
19451101 19451130    27.0
19451201 19451231    95.0
19460101 19460131   170.6
19460201 19460228   303.3
19460301 19460331   182.9
19460401 19460430   137.7
19460501 19460531    16.8
19460601 19460630     2.0
19460701 19460731     0.3
19460801 19460831     4.1
19460901 19460930    67.6
19461001 19461031    75.7
19461101 19461130    34.1
19461201 19461231    54.9
19470101 19470131   303.7
19470201 19470228   272.7
19470301 19470331   211.4
19470401 19470430    70.1
19470501 19470531    48.7
19470601 19470630     7.6
19470701 19470731     7.2
19470801 19470831    15.0
19470901 19470930    23.2
19471001 19471031    41.6
19471101 19471130   101.8
19471201 19471231   103.4
19480101 19480131    81.8
19480201 19480229    59.2
19480301 19480331   185.9
19480401 19480430    60.9
19480501 19480531   109.5
19480601 19480630   351.1
19480701 19480731    15.4
19480801 19480831    11.5
19480901 19480930    66.7
19481001 19481031     2.0
19481101 19481130    76.1
19481201 19481231    60.9
19490101 19490131   111.2
19490201 19490228   188.0
19490301 19490331   258.7
19490401 19490430    29.2
19490501 19490531    44.2
19490601 19490630    80.6
19490701 19490731    72.7
19490801 19490831    25.5
19490901 19490930    27.9
19491001 19491031   159.1
19491101 19491130    87.1
19491201 19491231    58.4
19500101 19500131    66.2
19500201 19500228   302.8
19500301 19500331   114.1
19500401 19500430   157.0
19500501 19500531    35.6
19500601 19500630   319.9
19500701 19500731   208.8
19500801 19500831    45.2
19500901 19500930    49.8
19501001 19501031   118.4
19501101 19501130    95.5
19501201 19501231    80.0
19510101 19510131   358.9
19510201 19510228    85.1
19510301 19510331   181.6
19510401 19510430    31.2
19510501 19510531    61.1
19510601 19510630   106.0
19510701 19510731     2.3
19510801 19510831    11.4
19510901 19510930    13.7
19511001 19511031    36.7
19511101 19511130    15.7
19511201 19511231    46.3
19520101 19520131    46.6
19520201 19520229    95.0
19520301 19520331    96.2
19520401 19520430    93.3
19520501 19520531    74.1
19520601 19520630    41.2
19520701 19520731    37.8
19520801 19520831   152.6
19520901 19520930    27.7
19521001 19521031   144.3
19521101 19521130    18.0
19521201 19521231    59.0
19530101 19530131   202.9
19530201 19530228   395.0
19530301 19530331   280.0
19530401 19530430    34.5
19530501 19530531    24.4
19530601 19530630     0.0
19530701 19530731    17.3
19530801 19530831    29.4
19530901 19530930     5.4
19531001 19531031    80.6
19531101 19531130    34.3
19531201 19531231    24.2
19540101 19540131    59.0
19540201 19540228   504.7
19540301 19540331   100.0
19540401 19540430   101.7
19540501 19540531   132.2
19540601 19540630    25.2
19540701 19540731   235.6
19540801 19540831    41.7
19540901 19540930   115.2
19541001 19541031    89.2
19541101 19541130    39.2
19541201 19541231    44.6
19550101 19550131   151.8
19550201 19550228    77.3
19550301 19550331   274.1
19550401 19550430   215.1
19550501 19550531    95.3
19550601 19550630    50.6
19550701 19550731    25.5
19550801 19550831     6.9
19550901 19550930    64.9
19551001 19551031    51.1
19551101 19551130    31.5
19551201 19551231   321.2
19560101 19560131   135.1
19560201 19560229   457.2
19560301 19560331   138.3
19560401 19560430    62.9
19560501 19560531   102.9
19560601 19560630    80.7
19560701 19560731    16.0
19560801 19560831     8.7
19560901 19560930    11.2
19561001 19561031    34.5
19561101 19561130    28.5
19561201 19561231   194.6
19570101 19570131    78.5
19570201 19570228   120.3
19570301 19570331    70.6
19570401 19570430    15.5
19570501 19570531    15.8
19570601 19570630    29.7
19570701 19570731    69.5
19570801 19570831   106.5
19570901 19570930     5.5
19571001 19571031    68.2
19571101 19571130    29.5
19571201 19571231     7.6
19580101 19580131   116.7
19580201 19580228    69.8
19580301 19580331   114.5
19580401 19580430   151.8
19580501 19580531    21.8
19580601 19580630   148.2
19580701 19580731     1.8
19580801 19580831   130.6
19580901 19580930    33.3
19581001 19581031    38.7
19581101 19581130    44.2
19581201 19581231   236.0
19590101 19590131   341.0
19590201 19590228   270.7
19590301 19590331   383.2
19590401 19590430    23.9
19590501 19590531    25.8
19590601 19590630    17.2
19590701 19590731    89.4
19590801 19590831    36.3
19590901 19590930   114.8
19591001 19591031    71.2
19591101 19591130   183.8
19591201 19591231   109.2
19600101 19600131    54.6
19600201 19600229   122.3
19600301 19600331    87.2
19600401 19600430    28.0
19600501 19600531    58.4
19600601 19600630    20.1
19600701 19600731    30.0
19600801 19600831    25.1
19600901 19600930     9.9
19601001 19601031    39.7
19601101 19601130    69.5
19601201 19601231    88.1
19610101 19610131   117.9
19610201 19610228   252.7
19610301 19610331   147.8
19610401 19610430    47.6
19610501 19610531    57.4
19610601 19610630    35.0
19610701 19610731    61.7
19610801 19610831    33.4
19610901 19610930    49.0
19611001 19611031   104.5
19611101 19611130   157.8
19611201 19611231   166.4
19620101 19620131   226.5
19620201 19620228   197.5
19620301 19620331   134.5
19620401 19620430   129.6
19620501 19620531    30.7
19620601 19620630    12.1
19620701 19620731   334.6
19620801 19620831    32.4
19620901 19620930    25.9
19621001 19621031    19.3
19621101 19621130    74.4
19621201 19621231   315.9
19630101 19630131   257.7
19630201 19630228   100.7
19630301 19630331   242.8
19630401 19630430   102.2
19630501 19630531   259.7
19630601 19630630    48.2
19630701 19630731     4.8
19630801 19630831    81.7
19630901 19630930    14.5
19631001 19631031    41.5
19631101 19631130   184.1
19631201 19631231   105.4
19640101 19640131    77.7
19640201 19640229   258.5
19640301 19640331   215.4
19640401 19640430   157.7
19640501 19640531    69.8
19640601 19640630    17.2
19640701 19640731    26.9
19640801 19640831    16.7
19640901 19640930    19.7
19641001 19641031    31.4
19641101 19641130   106.6
19641201 19641231    54.6
19650101 19650131    80.1
19650201 19650228    64.5
19650301 19650331    10.2
19650401 19650430    77.4
19650501 19650531    24.7
19650601 19650630    90.4
19650701 19650731   272.8
19650801 19650831    49.3
19650901 19650930    50.3
19651001 19651031    29.2
19651101 19651130    68.7
19651201 19651231   202.4
19660101 19660131     8.9
19660201 19660228   162.6
19660301 19660331    52.5
19660401 19660430    68.6
19660501 19660531    10.6
19660601 19660630    79.3
19660701 19660731     2.7
