PRCP       037001 18850101 20171231 missing_value=99999.9 AYRSHIRE DOWNS                            
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.5
19141001 19141031    32.3
19141101 19141130    34.2
19141201 19141231    32.0
19150101 19150131    22.0
19150201 19150228     0.0
19150301 19150331     3.3
19150401 19150430     0.0
19150501 19150531    31.8
19150601 19150630     0.0
19150701 19150731     0.0
19150801 19150831    11.9
19150901 19150930    40.8
19151001 19151031     3.8
19151101 19151130     4.1
19151201 19151231   117.9
19160101 19160131   207.6
19160201 19160229    63.2
19160301 19160331     5.3
19160401 19160430     0.0
19160501 19160531     0.0
19160601 19160630     7.4
19160701 19160731    63.3
19160801 19160831     3.0
19160901 19160930     5.1
19161001 19161031    17.3
19161101 19161130    53.9
19161201 19161231   212.9
19170101 19170131   128.0
19170201 19170228   144.6
19170301 19170331   120.7
19170401 19170430     0.0
19170501 19170531     0.0
19170601 19170630     2.0
19170701 19170731     1.3
19170801 19170831    11.6
19170901 19170930    29.1
19171001 19171031    17.3
19171101 19171130   176.6
19171201 19171231    47.5
19180101 19180131   280.3
19180201 19180228    52.9
19180301 19180331    95.5
19180401 19180430     4.3
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831     1.5
19180901 19180930     4.8
19181001 19181031     0.0
19181101 19181130     0.0
19181201 19181231    30.5
19190101 19190131   137.0
19190201 19190228   102.6
19190301 19190331     7.6
19190401 19190430    36.9
19190501 19190531    11.4
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     5.1
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130     0.0
19191201 19191231    48.2
19200101 19200131   287.6
19200201 19200229     1.8
19200301 19200331    56.9
19200401 19200430    82.9
19200501 19200531   122.6
19200601 19200630     8.7
19200701 19200731    65.5
19200801 19200831    10.4
19200901 19200930     3.3
19201001 19201031    21.1
19201101 19201130   105.3
19201201 19201231   111.8
19210101 19210131     7.4
19210201 19210228    53.9
19210301 19210331    85.1
19210401 19210430    20.3
19210501 19210531     4.8
19210601 19210630    30.3
19210701 19210731    19.6
19210801 19210831     0.0
19210901 19210930     1.5
19211001 19211031    55.8
19211101 19211130     2.5
19211201 19211231    35.8
19220101 19220131   155.7
19220201 19220228   145.3
19220301 19220331     1.5
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630    12.7
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031     2.3
19221101 19221130    15.5
19221201 19221231   108.0
19230101 19230131    16.5
19230201 19230228    32.5
19230301 19230331    20.3
19230401 19230430     0.0
19230501 19230531    12.5
19230601 19230630    51.6
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    13.1
19231101 19231130    14.7
19231201 19231231    50.3
19240101 19240131   123.4
19240201 19240229   236.3
19240301 19240331    73.2
19240401 19240430    85.0
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     0.0
19240801 19240831    14.0
19240901 19240930     4.1
19241001 19241031    16.2
19241101 19241130    40.9
19241201 19241231   122.1
19250101 19250131   125.9
