PRCP       010525 18910101 20171231 missing_value=99999.9 BROOMEHILL POST OFFICE                    
19390601 19390630    54.9
19390701 19390731   103.3
19390801 19390831    68.1
19390901 19390930    16.6
19391001 19391031   104.0
19391101 19391130    47.6
19391201 19391231     0.3
19400101 19400131     7.1
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     5.6
19400501 19400531    43.4
19400601 19400630    31.1
19400701 19400731    41.2
19400801 19400831    27.4
19400901 19400930    19.8
19401001 19401031    11.7
19401101 19401130     5.6
19401201 19401231    65.6
19410101 19410131     0.6
19410201 19410228    17.5
19410301 19410331    19.7
19410401 19410430    37.4
19410501 19410531    26.9
19410601 19410630    81.3
19410701 19410731    63.7
19410801 19410831    40.1
19410901 19410930    62.8
19411001 19411031    28.9
19411101 19411130    12.1
19411201 19411231    21.3
19420101 19420131     1.3
19420201 19420228     1.1
19420301 19420331    72.7
19420401 19420430    41.8
19420501 19420531    96.1
19420601 19420630    63.2
19420701 19420731    78.4
19420801 19420831    82.8
19420901 19420930    40.6
19421001 19421031    24.5
19421101 19421130    22.1
19421201 19421231    29.5
19430101 19430131    46.3
19430201 19430228    30.7
19430301 19430331    62.8
19430401 19430430    44.9
19430501 19430531    32.7
19430601 19430630    51.1
19430701 19430731    53.9
19430801 19430831    57.0
19430901 19430930    30.9
19431001 19431031    28.9
19431101 19431130     4.8
19431201 19431231    10.3
19440101 19440131     2.3
19440201 19440229     0.0
19440301 19440331     3.6
19440401 19440430     8.7
19440501 19440531    66.0
19440601 19440630    28.6
19440701 19440731    89.6
19440801 19440831    41.9
19440901 19440930    15.6
19441001 19441031     5.8
19441101 19441130     6.7
19441201 19441231    18.6
19450101 19450131     0.8
19450201 19450228     1.3
19450301 19450331    26.0
19450401 19450430     6.1
19450501 19450531    56.1
19450601 19450630   202.1
19450701 19450731    71.7
19450801 19450831   105.9
19450901 19450930    36.5
19451001 19451031    12.3
19451101 19451130    16.8
19451201 19451231     5.1
19460101 19460131     5.9
19460201 19460228     2.6
19460301 19460331     2.8
19460401 19460430    25.8
19460501 19460531    63.0
19460601 19460630    90.0
19460701 19460731   118.3
19460801 19460831    57.4
