PRCP       010582 18850101 20180131 missing_value=99999.9 KOJONUP                                   
19411201 19411231     8.7
19420101 19420131     8.8
19420201 19420228     4.6
19420301 19420331    70.7
19420401 19420430    30.9
19420501 19420531    87.7
19420601 19420630   104.6
19420701 19420731   100.6
19420801 19420831   114.9
19420901 19420930    73.7
19421001 19421031    46.5
19421101 19421130     8.1
19421201 19421231    35.8
19430101 19430131    55.9
19430201 19430228    26.0
19430301 19430331   100.0
19430401 19430430    71.1
19430501 19430531    54.2
19430601 19430630    87.7
19430701 19430731    67.3
19430801 19430831    78.6
19430901 19430930    57.5
19431001 19431031    22.8
19431101 19431130     4.3
19431201 19431231    16.1
19440101 19440131     6.1
19440201 19440229     0.5
19440301 19440331     3.2
19440401 19440430    14.1
19440501 19440531   105.1
19440601 19440630    47.0
19440701 19440731   126.1
19440801 19440831    70.7
19440901 19440930    33.6
19441001 19441031    10.2
19441101 19441130     8.9
19441201 19441231    37.2
19450101 19450131     1.0
19450201 19450228     2.6
19450301 19450331    27.0
19450401 19450430    13.4
19450501 19450531    81.1
19450601 19450630   235.2
19450701 19450731   111.1
19450801 19450831   126.1
19450901 19450930    57.8
19451001 19451031     6.3
19451101 19451130    34.1
19451201 19451231     8.5
19460101 19460131     9.9
19460201 19460228     1.3
19460301 19460331     9.3
19460401 19460430    28.0
19460501 19460531    99.6
19460601 19460630   120.0
19460701 19460731   181.4
19460801 19460831    54.7
19460901 19460930    23.1
19461001 19461031     6.8
19461101 19461130    39.5
19461201 19461231    21.2
19470101 19470131     1.8
19470201 19470228     4.2
19470301 19470331     6.9
19470401 19470430    67.2
19470501 19470531   128.1
19470601 19470630   159.5
19470701 19470731    45.9
19470801 19470831    32.6
19470901 19470930    33.3
19471001 19471031   103.6
19471101 19471130     8.5
19471201 19471231     6.3
19480101 19480131     0.6
19480201 19480229     0.3
19480301 19480331    10.9
19480401 19480430    21.7
19480501 19480531     6.4
19480601 19480630    71.8
19480701 19480731   105.7
19480801 19480831    93.5
19480901 19480930    76.1
19481001 19481031    26.9
19481101 19481130    37.1
19481201 19481231    30.1
19490101 19490131     4.0
19490201 19490228     0.3
19490301 19490331    18.1
19490401 19490430    25.5
19490501 19490531    16.9
19490601 19490630    75.4
19490701 19490731    91.5
19490801 19490831   131.1
19490901 19490930    30.7
19491001 19491031    83.1
19491101 19491130    42.6
19491201 19491231     0.0
19500101 19500131     3.3
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     3.0
19500501 19500531    62.9
19500601 19500630    77.8
19500701 19500731    83.1
19500801 19500831    59.0
19500901 19500930    50.7
19501001 19501031    42.0
19501101 19501130    40.7
19501201 19501231     7.7
19510101 19510131    27.5
19510201 19510228    29.6
19510301 19510331     5.1
19510401 19510430    40.7
19510501 19510531    41.0
19510601 19510630   134.5
19510701 19510731    43.7
19510801 19510831    71.1
19510901 19510930    21.5
19511001 19511031    28.6
19511101 19511130    38.2
19511201 19511231    60.6
19520101 19520131     6.9
19520201 19520229     9.2
19520301 19520331    20.5
19520401 19520430    12.7
19520501 19520531    85.8
19520601 19520630   109.1
19520701 19520731    69.7
19520801 19520831    55.0
19520901 19520930    34.1
19521001 19521031    40.2
19521101 19521130    42.5
19521201 19521231    12.0
19530101 19530131     0.8
19530201 19530228    17.3
19530301 19530331     4.4
19530401 19530430    19.5
19530501 19530531    59.7
19530601 19530630   115.2
19530701 19530731    68.6
19530801 19530831    34.8
19530901 19530930    61.3
19531001 19531031    92.9
19531101 19531130    21.7
19531201 19531231     1.3
19540101 19540131    24.0
19540201 19540228     0.8
19540301 19540331     3.8
19540401 19540430    16.2
19540501 19540531    98.2
19540601 19540630    59.7
19540701 19540731    85.4
19540801 19540831    42.0
19540901 19540930    27.6
19541001 19541031    15.6
19541101 19541130    24.7
19541201 19541231     0.8
19550101 19550131     7.7
19550201 19550228   156.1
19550301 19550331     7.4
19550401 19550430    62.9
19550501 19550531    68.6
19550601 19550630    41.8
19550701 19550731    80.1
19550801 19550831   185.3
19550901 19550930    63.5
19551001 19551031    62.7
19551101 19551130     3.9
19551201 19551231    12.5
19560101 19560131     0.0
19560201 19560229     2.3
19560301 19560331    78.3
19560401 19560430    18.2
19560501 19560531   119.0
19560601 19560630    81.5
19560701 19560731   100.1
19560801 19560831    25.0
19560901 19560930    37.6
19561001 19561031    18.8
19561101 19561130    19.1
19561201 19561231     8.9
19570101 19570131     3.3
19570201 19570228     4.8
19570301 19570331     4.1
19570401 19570430    51.4
19570501 19570531    81.8
19570601 19570630   154.7
19570701 19570731    33.5
19570801 19570831    63.0
19570901 19570930    22.3
19571001 19571031    27.0
19571101 19571130     0.5
19571201 19571231     4.1
19580101 19580131     9.7
19580201 19580228     7.4
19580301 19580331     0.8
19580401 19580430    13.1
19580501 19580531    82.0
19580601 19580630    39.5
19580701 19580731   184.3
19580801 19580831    65.9
19580901 19580930    47.8
