PRCP       070028 18980801 20160630 missing_value=99999.9 YASS (DERRINGULLEN)                       
19400401 19400430   142.1
19400501 19400531    36.6
19400601 19400630    16.9
19400701 19400731    19.6
19400801 19400831    21.9
19400901 19400930    70.7
19401001 19401031    12.7
19401101 19401130    26.6
19401201 19401231    57.9
19410101 19410131   185.4
19410201 19410228    98.2
19410301 19410331    27.4
19410401 19410430     8.1
19410501 19410531    51.8
19410601 19410630    75.9
19410701 19410731    40.8
19410801 19410831    26.9
19410901 19410930    76.9
19411001 19411031    35.3
19411101 19411130    54.4
19411201 19411231    31.5
19420101 19420131    12.9
19420201 19420228   106.1
19420301 19420331    26.4
19420401 19420430     8.9
19420501 19420531   149.2
19420601 19420630    88.7
19420701 19420731    46.0
19420801 19420831    69.4
19420901 19420930    74.7
19421001 19421031    39.1
19421101 19421130   115.0
19421201 19421231    16.7
19430101 19430131    80.5
19430201 19430228    11.6
19430301 19430331     5.6
19430401 19430430   105.3
19430501 19430531    85.5
19430601 19430630    36.4
19430701 19430731    66.7
19430801 19430831    97.2
19430901 19430930    54.0
19431001 19431031    71.8
19431101 19431130    86.9
19431201 19431231    26.1
19440101 19440131     9.7
19440201 19440229     1.3
19440301 19440331    17.2
19440401 19440430    31.7
19440501 19440531    62.2
19440601 19440630     7.6
19440701 19440731    24.1
19440801 19440831    20.9
19440901 19440930    16.6
19441001 19441031    31.0
19441101 19441130    24.4
19441201 19441231     8.4
19450101 19450131    32.1
19450201 19450228    41.2
19450301 19450331    20.9
19450401 19450430    29.7
19450501 19450531    28.1
19450601 19450630    81.2
19450701 19450731    38.3
19450801 19450831    71.7
19450901 19450930    30.4
19451001 19451031    52.9
19451101 19451130    91.9
19451201 19451231    16.7
19460101 19460131    74.2
19460201 19460228    85.0
19460301 19460331    36.6
19460401 19460430    38.9
19460501 19460531    24.0
19460601 19460630    32.5
19460701 19460731    72.9
19460801 19460831    42.2
19460901 19460930    10.4
19461001 19461031    38.7
19461101 19461130    93.0
19461201 19461231    37.1
19470101 19470131     0.6
19470201 19470228    58.1
19470301 19470331    24.4
19470401 19470430    44.3
19470501 19470531    29.5
19470601 19470630    51.7
19470701 19470731    98.2
19470801 19470831    56.4
19470901 19470930    81.4
19471001 19471031    71.2
19471101 19471130    59.0
19471201 19471231   226.6
19480101 19480131    82.7
19480201 19480229   158.2
19480301 19480331    10.4
19480401 19480430    57.7
19480501 19480531    88.3
19480601 19480630    76.7
19480701 19480731    16.7
19480801 19480831    34.5
19480901 19480930    60.2
19481001 19481031    58.0
19481101 19481130    18.2
19481201 19481231    79.0
19490101 19490131    12.9
19490201 19490228    59.8
19490301 19490331   132.1
19490401 19490430    20.3
19490501 19490531    85.1
19490601 19490630    50.3
19490701 19490731    69.7
19490801 19490831    16.3
19490901 19490930    79.7
19491001 19491031   142.1
19491101 19491130   109.6
19491201 19491231    53.9
19500101 19500131   103.4
19500201 19500228   126.4
