PRCP       085046 18880701 20160630 missing_value=99999.9 LABERTOUCHE                               
19221001 19221031   166.9
19221101 19221130    58.1
19221201 19221231    65.2
19230101 19230131    81.4
19230201 19230228    23.5
19230301 19230331     8.1
19230401 19230430     0.0
19230501 19230531   169.1
19230601 19230630    81.1
19230701 19230731   153.6
19230801 19230831   107.4
19230901 19230930   107.7
19231001 19231031   162.0
19231101 19231130    82.5
19231201 19231231    57.6
19240101 19240131   154.5
19240201 19240229    97.3
19240301 19240331   168.0
19240401 19240430    93.1
19240501 19240531    62.0
19240601 19240630    53.2
19240701 19240731    67.4
19240801 19240831   173.8
19240901 19240930    83.4
19241001 19241031   167.3
19241101 19241130   128.0
19241201 19241231    79.4
19250101 19250131    86.7
19250201 19250228   101.8
19250301 19250331    21.9
19250401 19250430    29.3
19250501 19250531    87.7
19250601 19250630    35.7
19250701 19250731    81.6
19250801 19250831    64.8
19250901 19250930   105.3
19251001 19251031    75.8
19251101 19251130    47.7
19251201 19251231    20.0
19260101 19260131    44.0
19260201 19260228     7.9
19260301 19260331    71.9
19260401 19260430    96.3
19260501 19260531   111.5
19260601 19260630    75.0
19260701 19260731   104.7
19260801 19260831    68.3
19260901 19260930    40.4
19261001 19261031   111.7
19261101 19261130   108.9
19261201 19261231    63.4
19270101 19270131    23.4
19270201 19270228    31.4
19270301 19270331    30.7
19270401 19270430    27.6
19270501 19270531   102.7
19270601 19270630    40.8
19270701 19270731    65.3
19270801 19270831   119.1
19270901 19270930    97.3
19271001 19271031    81.2
19271101 19271130    17.2
19271201 19271231    50.6
19280101 19280131    61.2
19280201 19280229   115.0
19280301 19280331    51.8
19280401 19280430    48.2
19280501 19280531   144.3
19280601 19280630    78.5
19280701 19280731    45.5
19280801 19280831    59.5
19280901 19280930   130.7
19281001 19281031   178.6
19281101 19281130    66.4
19281201 19281231    56.5
19290101 19290131    88.3
19290201 19290228    32.6
19290301 19290331    71.1
19290401 19290430   161.4
19290501 19290531    90.7
19290601 19290630    96.4
19290701 19290731   126.9
19290801 19290831    65.7
19290901 19290930    95.7
19291001 19291031    75.0
19291101 19291130   103.5
19291201 19291231   127.1
19300101 19300131    20.2
19300201 19300228    59.1
19300301 19300331     5.1
19300401 19300430    92.4
19300501 19300531    84.0
19300601 19300630    37.0
19300701 19300731    85.3
19300801 19300831    89.2
19300901 19300930   125.4
19301001 19301031    79.1
19301101 19301130   155.9
19301201 19301231   165.5
19310101 19310131    39.3
19310201 19310228    67.3
19310301 19310331   134.7
19310401 19310430    77.1
19310501 19310531   118.8
19310601 19310630   136.7
19310701 19310731    98.8
19310801 19310831   145.7
19310901 19310930    85.0
19311001 19311031    47.2
19311101 19311130   118.9
19311201 19311231    15.2
19320101 19320131     6.5
19320201 19320229    80.7
19320301 19320331    97.2
19320401 19320430   148.1
19320501 19320531    18.2
19320601 19320630   175.6
19320701 19320731    66.0
19320801 19320831   172.9
19320901 19320930    28.5
19321001 19321031   167.1
19321101 19321130    61.5
19321201 19321231    89.3
19330101 19330131    49.1
19330201 19330228    11.5
19330301 19330331    56.5
19330401 19330430    56.2
19330501 19330531    54.3
19330601 19330630    67.3
19330701 19330731    96.3
19330801 19330831   103.9
19330901 19330930    79.3
19331001 19331031    69.6
19331101 19331130    33.3
19331201 19331231    86.6
19340101 19340131    65.9
19340201 19340228    34.2
19340301 19340331    15.8
19340401 19340430   159.4
19340501 19340531     4.4
19340601 19340630    54.7
19340701 19340731    84.2
19340801 19340831   107.5
19340901 19340930    70.8
19341001 19341031   158.6
19341101 19341130   159.7
19341201 19341231   200.6
19350101 19350131    81.2
19350201 19350228   100.7
19350301 19350331    84.7
19350401 19350430   236.9
19350501 19350531    65.3
19350601 19350630    92.6
19350701 19350731    87.7
19350801 19350831   151.3
19350901 19350930    83.0
19351001 19351031    85.5
19351101 19351130    83.9
19351201 19351231    47.9
19360101 19360131    45.0
19360201 19360229    29.7
19360301 19360331    18.4
19360401 19360430   120.7
19360501 19360531    78.4
19360601 19360630    71.5
19360701 19360731   134.4
19360801 19360831   108.1
19360901 19360930    68.8
19361001 19361031   129.8
19361101 19361130   120.8
19361201 19361231   124.6
19370101 19370131    64.2
19370201 19370228    53.6
19370301 19370331   144.7
19370401 19370430    45.4
19370501 19370531    72.7
19370601 19370630    24.7
19370701 19370731    66.0
19370801 19370831    47.6
19370901 19370930    86.5
19371001 19371031    97.1
19371101 19371130    29.8
19371201 19371231    61.9
19380101 19380131    48.7
19380201 19380228    64.5
19380301 19380331    42.7
19380401 19380430    44.7
19380501 19380531    32.9
19380601 19380630   142.2
19380701 19380731    52.4
19380801 19380831    75.9
19380901 19380930    45.4
19381001 19381031    37.2
19381101 19381130    31.5
19381201 19381231    50.9
19390101 19390131     3.6
19390201 19390228   183.6
19390301 19390331    20.2
19390401 19390430   123.1
19390501 19390531    55.4
19390601 19390630   137.2
19390701 19390731    61.6
19390801 19390831   202.0
19390901 19390930   146.4
19391001 19391031   109.7
19391101 19391130   131.4
19391201 19391231    86.8
19400101 19400131    70.2
19400201 19400229    21.0
19400301 19400331    28.3
19400401 19400430    99.3
19400501 19400531    48.7
19400601 19400630   107.6
19400701 19400731    89.4
19400801 19400831    50.5
19400901 19400930    63.7
19401001 19401031    30.3
19401101 19401130   112.5
19401201 19401231    66.5
19410101 19410131   119.2
19410201 19410228    19.2
19410301 19410331   143.2
19410401 19410430    47.7
19410501 19410531    49.7
19410601 19410630   109.1
19410701 19410731    73.9
19410801 19410831   126.5
19410901 19410930    80.3
