PRCP       008013 19070101 20180131 missing_value=99999.9 BOWGADA                                   
19950401 19950430    34.6
19950501 19950531    41.3
19950601 19950630    57.0
19950701 19950731   102.8
19950801 19950831    10.0
19950901 19950930    31.3
19951001 19951031    15.0
19951101 19951130     8.0
19951201 19951231     2.5
19960101 19960131     0.0
19960201 19960229    18.0
19960301 19960331     0.0
19960401 19960430    31.0
19960501 19960531    13.6
19960601 19960630    86.8
19960701 19960731   128.2
19960801 19960831    67.4
19960901 19960930    27.6
19961001 19961031     5.4
19961101 19961130    28.5
19961201 19961231     1.4
19970101 19970131     0.0
19970201 19970228    33.4
19970301 19970331     5.4
19970401 19970430    81.7
19970501 19970531    29.7
19970601 19970630    22.4
19970701 19970731    32.4
19970801 19970831    66.0
19970901 19970930    43.6
19971001 19971031     8.6
19971101 19971130    18.8
19971201 19971231     0.0
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331     1.8
19980401 19980430     0.0
19980501 19980531   101.0
19980601 19980630    80.2
19980701 19980731    77.4
19980801 19980831    28.9
19980901 19980930    15.8
19981001 19981031     7.6
19981101 19981130     0.0
19981201 19981231    37.2
19990101 19990131     0.0
19990201 19990228     0.0
19990301 19990331   129.2
19990401 19990430    16.0
19990501 19990531   189.6
19990601 19990630    35.7
19990701 19990731    46.0
19990801 19990831    23.4
19990901 19990930    49.0
19991001 19991031    19.0
19991101 19991130     1.0
19991201 19991231    38.0
20000101 20000131    53.0
20000201 20000229     0.0
20000301 20000331   118.8
20000401 20000430    10.6
20000501 20000531     2.0
20000601 20000630    25.0
20000701 20000731    49.8
20000801 20000831    34.0
20000901 20000930    24.0
20001001 20001031     0.0
20001101 20001130     0.0
20001201 20001231    42.0
20010101 20010131   140.4
20010201 20010228    35.2
20010301 20010331    16.1
20010401 20010430     1.2
20010501 20010531    31.6
20010601 20010630     3.6
20010701 20010731    61.0
20010801 20010831    25.4
20010901 20010930    30.2
20011001 20011031    20.4
20011101 20011130    36.4
20011201 20011231     0.0
