PRCP       018002 18980901 20161231 missing_value=99999.9 PENNALUMBA                                
19751001 19751031    43.4
19751101 19751130    23.2
19751201 19751231     4.0
19760101 19760131     9.8
19760201 19760229    36.6
19760301 19760331     2.4
19760401 19760430     8.6
19760501 19760531    14.8
19760601 19760630    29.0
19760701 19760731     3.6
19760801 19760831    17.2
19760901 19760930    36.8
19761001 19761031    51.0
19761101 19761130    36.0
19761201 19761231     1.0
19770101 19770131    10.2
19770201 19770228    10.2
19770301 19770331     5.6
19770401 19770430     4.0
19770501 19770531    48.0
19770601 19770630     7.2
19770701 19770731     7.8
19770801 19770831    12.8
19770901 19770930    23.8
19771001 19771031    22.6
19771101 19771130    16.8
19771201 19771231     2.4
19780101 19780131     6.4
19780201 19780228     0.0
19780301 19780331     3.2
19780401 19780430    13.8
19780501 19780531    25.8
19780601 19780630    62.4
19780701 19780731    99.6
19780801 19780831    42.4
19780901 19780930    68.6
19781001 19781031     7.5
19781101 19781130    46.6
19781201 19781231     4.4
19790101 19790131     0.0
19790201 19790228     0.0
19790301 19790331     4.6
19790401 19790430    35.8
19790501 19790531    92.2
19790601 19790630    23.6
19790701 19790731    39.8
19790801 19790831    37.1
19790901 19790930   123.2
19791001 19791031     7.0
19791101 19791130    18.2
19791201 19791231     0.0
19800101 19800131     0.0
19800201 19800229     0.0
19800301 19800331     0.0
19800401 19800430    17.7
19800501 19800531    30.4
19800601 19800630    39.8
19800701 19800731    30.4
19800801 19800831    10.0
19800901 19800930     0.6
19801001 19801031    41.2
19801101 19801130    17.4
19801201 19801231    28.6
19810101 19810131     9.8
19810201 19810228    36.6
19810301 19810331     9.2
19810401 19810430     0.0
19810501 19810531    14.2
19810601 19810630   109.2
19810701 19810731    42.4
19810801 19810831    37.4
19810901 19810930     0.6
19811001 19811031     8.6
19811101 19811130    27.8
19811201 19811231     0.0
19820101 19820131     0.0
19820201 19820228    26.8
19820301 19820331    19.2
19820401 19820430     7.0
19820501 19820531    34.4
19820601 19820630    27.0
19820701 19820731    12.0
19820801 19820831     2.4
19820901 19820930    31.4
19821001 19821031     1.2
19821101 19821130     0.0
19821201 19821231    12.4
19830101 19830131     1.0
19830201 19830228     6.5
19830301 19830331    93.4
19830401 19830430    97.2
19830501 19830531    39.4
19830601 19830630     6.0
19830701 19830731    81.0
19830801 19830831    30.6
19830901 19830930    21.6
19831001 19831031    18.0
19831101 19831130     3.4
19831201 19831231    13.0
19840101 19840131     8.0
19840201 19840229     0.0
19840301 19840331     3.6
19840401 19840430    28.2
19840501 19840531    20.2
19840601 19840630     7.6
19840701 19840731    66.8
19840801 19840831    39.6
19840901 19840930    60.1
19841001 19841031    24.2
19841101 19841130     0.0
19841201 19841231    20.0
19850101 19850131     0.0
19850201 19850228     0.0
19850301 19850331     0.0
19850401 19850430    15.2
19850501 19850531     4.2
19850601 19850630    17.4
19850701 19850731    24.8
19850801 19850831    55.2
19850901 19850930     4.4
19851001 19851031    31.0
19851101 19851130     1.6
19851201 19851231    16.2
19860101 19860131     0.0
19860201 19860228     6.6
19860301 19860331     0.4
19860401 19860430    10.2
19860501 19860531    22.4
19860601 19860630    43.4
19860701 19860731   113.6
19860801 19860831    50.2
19860901 19860930    21.4
19861001 19861031    43.8
19861101 19861130     7.2
19861201 19861231     9.6
19870101 19870131    21.6
19870201 19870228    15.6
19870301 19870331     0.0
19870401 19870430     8.8
19870501 19870531    36.0
19870601 19870630    16.2
19870701 19870731    26.6
19870801 19870831    19.2
19870901 19870930    16.0
19871001 19871031     7.4
19871101 19871130     0.0
19871201 19871231    19.2
19880101 19880131    12.4
19880201 19880229    21.7
19880301 19880331    10.5
19880401 19880430     0.0
19880501 19880531    27.3
19880601 19880630     6.1
19880701 19880731    28.9
19880801 19880831     7.0
19880901 19880930    18.5
19881001 19881031     5.0
19881101 19881130    13.5
19881201 19881231    31.4
19890101 19890131     4.0
19890201 19890228     0.0
19890301 19890331    12.5
19890401 19890430    27.2
19890501 19890531    70.1
19890601 19890630    64.7
19890701 19890731    80.4
19890801 19890831    22.4
19890901 19890930    10.0
19891001 19891031     6.0
19891101 19891130    17.0
19891201 19891231     4.3
19900101 19900131    16.0
19900201 19900228    24.4
19900301 19900331     0.0
19900401 19900430     8.0
19900501 19900531    56.2
19900601 19900630    84.7
19900701 19900731    23.6
19900801 19900831    38.8
19900901 19900930    29.1
19901001 19901031    13.0
19901101 19901130     0.0
19901201 19901231    48.0
19910101 19910131     3.0
19910201 19910228     0.0
19910301 19910331     0.0
19910401 19910430    39.6
19910501 19910531    22.2
19910601 19910630    72.4
19910701 19910731    60.0
19910801 19910831    38.4
19910901 19910930    22.4
19911001 19911031    48.4
19911101 19911130    32.4
19911201 19911231     0.0
19920101 19920131     6.4
19920201 19920229     0.0
19920301 19920331    10.2
19920401 19920430    47.0
19920501 19920531    43.8
19920601 19920630    34.8
19920701 19920731    12.6
19920801 19920831    57.6
19920901 19920930    83.8
19921001 19921031    78.2
19921101 19921130    46.0
19921201 19921231    75.8
19930101 19930131    66.6
19930201 19930228     0.0
19930301 19930331     3.0
19930401 19930430     2.0
19930501 19930531    33.0
19930601 19930630    20.0
19930701 19930731    46.5
19930801 19930831    43.0
19930901 19930930    28.6
19931001 19931031    83.9
19931101 19931130    26.4
19931201 19931231    11.2
19940101 19940131     0.0
19940201 19940228     5.6
19940301 19940331 99999.9
19940401 19940430 99999.9
19940501 19940531     9.2
19940601 19940630    27.8
19940701 19940731    28.8
19940801 19940831    11.6
19940901 19940930     3.2
19941001 19941031     5.2
19941101 19941130     6.4
19941201 19941231     1.2
19950101 19950131    24.8
