PRCP       084030 18830301 20111031 missing_value=99999.9 ORBOST (COMPARISON)                       
19180901 19180930    62.3
19181001 19181031    78.1
19181101 19181130    19.3
19181201 19181231    79.6
19190101 19190131    11.7
19190201 19190228   122.4
19190301 19190331    83.2
19190401 19190430    57.9
19190501 19190531   157.0
19190601 19190630    24.8
19190701 19190731    73.8
19190801 19190831   221.3
19190901 19190930    85.2
19191001 19191031    49.4
19191101 19191130    40.8
19191201 19191231   199.6
19200101 19200131   196.1
19200201 19200229    22.3
19200301 19200331   115.0
19200401 19200430    85.6
19200501 19200531    47.9
19200601 19200630    27.8
19200701 19200731    19.5
19200801 19200831    55.8
19200901 19200930    65.0
19201001 19201031   124.5
19201101 19201130    59.1
19201201 19201231    78.7
19210101 19210131    28.3
19210201 19210228    80.1
19210301 19210331    29.5
19210401 19210430    27.9
19210501 19210531    60.1
19210601 19210630    11.8
19210701 19210731    56.4
19210801 19210831    46.6
19210901 19210930    46.0
19211001 19211031    81.5
19211101 19211130    50.0
19211201 19211231    45.9
19220101 19220131    94.8
19220201 19220228    78.2
19220301 19220331    59.7
19220401 19220430    19.3
19220501 19220531    45.7
19220601 19220630    47.2
19220701 19220731    40.3
19220801 19220831    54.2
19220901 19220930   131.0
19221001 19221031    86.4
19221101 19221130    38.8
19221201 19221231    27.7
19230101 19230131    38.8
19230201 19230228     2.0
19230301 19230331     3.0
19230401 19230430     9.4
19230501 19230531    24.3
19230601 19230630    69.4
19230701 19230731   110.5
19230801 19230831    74.5
19230901 19230930    79.2
19231001 19231031    88.4
19231101 19231130   115.6
19231201 19231231    75.4
19240101 19240131   138.9
19240201 19240229   122.9
19240301 19240331    54.6
19240401 19240430    77.5
19240501 19240531    57.1
19240601 19240630    19.3
19240701 19240731    54.9
19240801 19240831    28.4
19240901 19240930    64.4
19241001 19241031    48.7
19241101 19241130    77.7
19241201 19241231    91.3
19250101 19250131    64.5
19250201 19250228    22.2
19250301 19250331    50.3
19250401 19250430   161.8
19250501 19250531   138.8
19250601 19250630    21.1
19250701 19250731   219.4
19250801 19250831    54.5
19250901 19250930    35.9
19251001 19251031    56.0
19251101 19251130    43.6
19251201 19251231    22.4
19260101 19260131    81.3
19260201 19260228     2.5
19260301 19260331   117.4
19260401 19260430    95.8
19260501 19260531    34.8
19260601 19260630    43.4
19260701 19260731    36.4
19260801 19260831    98.6
19260901 19260930    46.7
19261001 19261031    71.7
19261101 19261130    23.7
19261201 19261231    70.9
19270101 19270131    43.3
19270201 19270228    33.7
19270301 19270331    39.4
19270401 19270430    37.3
19270501 19270531   109.9
19270601 19270630    10.7
19270701 19270731   176.3
19270801 19270831    41.0
19270901 19270930    75.0
19271001 19271031    97.1
19271101 19271130    54.9
19271201 19271231    41.2
19280101 19280131    55.6
19280201 19280229    93.1
19280301 19280331   184.8
19280401 19280430    92.4
19280501 19280531    64.9
19280601 19280630    89.4
19280701 19280731    29.7
19280801 19280831    20.5
19280901 19280930    47.4
19281001 19281031    77.2
19281101 19281130    35.5
19281201 19281231    40.6
19290101 19290131     7.6
19290201 19290228    54.5
19290301 19290331    33.3
19290401 19290430    55.5
19290501 19290531   122.0
19290601 19290630    43.7
19290701 19290731    21.2
19290801 19290831    76.9
19290901 19290930    27.2
19291001 19291031    59.4
19291101 19291130    85.5
19291201 19291231    69.2
19300101 19300131     3.8
19300201 19300228    42.8
19300301 19300331    23.2
19300401 19300430    34.0
19300501 19300531    63.1
19300601 19300630   146.9
19300701 19300731    17.9
19300801 19300831    47.2
19300901 19300930    52.7
19301001 19301031   103.9
19301101 19301130    84.7
19301201 19301231    93.1
19310101 19310131    57.2
19310201 19310228    34.3
19310301 19310331   142.3
19310401 19310430    69.0
19310501 19310531    53.6
19310601 19310630    86.7
19310701 19310731    70.4
19310801 19310831    25.6
19310901 19310930    50.7
19311001 19311031   167.2
19311101 19311130    59.7
19311201 19311231    29.0
19320101 19320131     9.9
19320201 19320229    66.2
19320301 19320331    63.3
19320401 19320430    64.6
