PRCP       047029 18821101 20180131 missing_value=99999.9 POONCARIE TELECENTRE                      
19300101 19300131     7.1
19300201 19300228     1.5
19300301 19300331     2.3
19300401 19300430    18.3
19300501 19300531    31.5
19300601 19300630     0.0
19300701 19300731    12.8
19300801 19300831    22.7
19300901 19300930    17.9
19301001 19301031    52.9
19301101 19301130    12.4
19301201 19301231    47.0
19310101 19310131     2.0
19310201 19310228     0.0
19310301 19310331    32.7
19310401 19310430    62.2
19310501 19310531    62.5
19310601 19310630    57.9
19310701 19310731    33.7
19310801 19310831    11.8
19310901 19310930    15.1
19311001 19311031    20.5
19311101 19311130     1.6
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229    89.9
19320301 19320331    10.7
19320401 19320430    35.8
19320501 19320531    39.1
19320601 19320630    27.2
19320701 19320731    11.0
19320801 19320831    34.2
19320901 19320930    10.7
19321001 19321031     1.0
19321101 19321130    12.0
19321201 19321231     6.1
19330101 19330131     0.0
19330201 19330228     0.0
19330301 19330331     4.8
19330401 19330430    10.2
19330501 19330531    13.7
19330601 19330630     6.6
19330701 19330731    13.4
19330801 19330831    21.6
19330901 19330930    24.7
19331001 19331031     0.0
19331101 19331130    78.2
19331201 19331231    26.0
19340101 19340131    16.2
19340201 19340228    16.2
19340301 19340331     2.0
19340401 19340430    19.3
19340501 19340531     0.0
19340601 19340630     4.6
19340701 19340731    24.8
19340801 19340831     9.1
19340901 19340930    12.4
19341001 19341031    59.7
19341101 19341130    37.5
19341201 19341231     0.3
19350101 19350131    12.4
19350201 19350228     1.3
19350301 19350331    10.2
19350401 19350430    26.7
19350501 19350531     2.8
19350601 19350630     2.6
19350701 19350731    10.2
19350801 19350831    12.9
19350901 19350930    18.2
19351001 19351031    26.7
19351101 19351130     1.8
19351201 19351231     5.1
19360101 19360131    53.7
19360201 19360229     0.0
19360301 19360331     1.3
19360401 19360430    13.0
19360501 19360531    33.8
19360601 19360630    12.2
19360701 19360731    37.6
19360801 19360831    17.3
19360901 19360930     5.1
19361001 19361031     4.6
19361101 19361130     6.9
19361201 19361231   124.7
19370101 19370131    71.1
19370201 19370228     4.1
19370301 19370331    13.0
19370401 19370430     4.4
19370501 19370531    19.6
19370601 19370630    12.8
19370701 19370731    12.9
19370801 19370831    33.1
19370901 19370930     1.3
19371001 19371031    87.6
19371101 19371130     0.0
19371201 19371231    10.7
19380101 19380131     0.0
19380201 19380228     4.3
19380301 19380331     0.0
19380401 19380430     0.5
19380501 19380531     3.8
19380601 19380630     9.4
19380701 19380731    36.9
19380801 19380831    25.7
19380901 19380930     5.9
19381001 19381031    82.6
19381101 19381130     0.0
19381201 19381231     0.0
19390101 19390131     1.3
19390201 19390228   114.9
19390301 19390331    10.2
19390401 19390430    16.3
19390501 19390531    71.1
19390601 19390630    45.4
19390701 19390731     8.4
