PRCP       018001 19070801 20180131 missing_value=99999.9 ARNO BAY                                  
19630901 19630930    10.8
19631001 19631031    33.8
19631101 19631130     4.1
19631201 19631231     1.6
19640101 19640131     8.8
19640201 19640229    28.0
19640301 19640331     0.5
19640401 19640430    55.7
19640501 19640531    38.8
19640601 19640630    34.0
19640701 19640731    64.1
19640801 19640831    24.0
19640901 19640930    67.6
19641001 19641031    21.1
19641101 19641130    54.4
19641201 19641231    21.0
19650101 19650131     0.5
19650201 19650228     0.0
19650301 19650331     8.9
19650401 19650430     8.9
19650501 19650531    38.1
19650601 19650630    43.4
19650701 19650731    20.9
19650801 19650831    38.3
19650901 19650930    14.9
19651001 19651031    12.7
19651101 19651130    27.8
19651201 19651231    24.1
19660101 19660131    14.9
19660201 19660228    18.1
19660301 19660331    21.9
19660401 19660430    14.5
19660501 19660531    45.8
19660601 19660630    45.1
19660701 19660731    46.5
19660801 19660831    18.5
19660901 19660930    54.8
19661001 19661031    59.5
19661101 19661130    13.5
19661201 19661231    86.5
19670101 19670131    11.8
19670201 19670228    35.1
19670301 19670331     0.8
19670401 19670430     4.6
19670501 19670531    20.4
19670601 19670630     9.9
19670701 19670731    41.0
19670801 19670831    22.0
19670901 19670930    31.5
19671001 19671031    12.0
19671101 19671130     0.5
19671201 19671231     2.3
19680101 19680131    20.6
19680201 19680229    19.6
19680301 19680331    56.1
19680401 19680430    42.2
19680501 19680531    33.2
19680601 19680630    56.6
19680701 19680731    63.9
19680801 19680831    36.1
19680901 19680930    24.4
19681001 19681031    32.0
19681101 19681130    18.0
19681201 19681231    31.8
19690101 19690131     5.1
19690201 19690228    95.6
19690301 19690331    13.3
19690401 19690430    23.5
19690501 19690531    45.1
19690601 19690630    23.2
19690701 19690731    32.2
19690801 19690831    25.0
19690901 19690930    38.8
19691001 19691031     2.0
19691101 19691130     9.2
19691201 19691231    20.1
19700101 19700131    26.8
19700201 19700228     0.0
19700301 19700331     7.2
19700401 19700430    35.5
19700501 19700531    21.0
19700601 19700630    26.3
19700701 19700731    18.8
19700801 19700831    51.0
19700901 19700930    35.2
19701001 19701031     3.6
19701101 19701130    17.5
19701201 19701231     8.4
19710101 19710131     0.3
19710201 19710228     4.9
19710301 19710331    31.0
19710401 19710430    52.3
19710501 19710531    33.2
19710601 19710630    26.9
19710701 19710731    28.8
